key	category	shot_type	missile_type	missile_model	explosion_type	trail	spin_type	projectile_number	in_flight_transition	trajectory_sight	effective_range	minimum_range	max_elevation	muzzle_velocity	marksmanship_bonus	spread	damage	penetration	incendiary	blast_effect	can_bounce	high_air_resistance	collision_radius	base_reload_time	base_misfire_chance	weather_effect	sail_damage_modifier	below_waterline_damage_modifier	launch_audio	hit_audio	launch_particle_effect	projectile_trail_particle_effect	impact	gun_type	first_person_launch_particle_effect	calibration_distance	calibration_area	can_penetrate_fort_wall	gravity
shogun_arrow_hero_genpei_mp	missile	arrow	arrow	projectile_arrow		hero_arrow_trail	none	1		low	175	0	88	50.0000	100.0000	0.0000	0.4500				false	false	0.1000	10	0		0.1000	0.0000	bow	small			arrow	bow		100.0000	1.0000	false	-1.0000
shogun_arrow_long	missile	arrow	arrow	projectile_arrow		arrow_trail	none	1		low	175	0	88	50.0000	5.0000	0.0000	0.3000				false	false	0.1000	10	0		0.1000	0.0000	bow	small			arrow	bow		100.0000	1.0000	false	-1.0000
shogun_arrow_naval	missile	arrow	arrow	projectile_arrow		naval_arrow_trail	none	1		low	180	0	88	50.0000	5.0000	0.0000	0.3000				false	false	0.1000	6	0		0.1000	0.0000	bow	small			arrow	bow		100.0000	1.0000	false	-1.0000
shogun_arrow_rider	missile	arrow	arrow	projectile_arrow		arrow_trail	none	1		low	150	0	88	50.0000	5.0000	0.0000	0.3000				false	false	0.1000	8	0		0.1000	0.0000	bow	small			arrow	bow		100.0000	1.0000	false	-1.0000
shogun_avatar_arrow	missile	arrow	arrow	projectile_arrow		arrow_trail	none	1		low	150	0	88	50.0000	5.0000	0.0000	0.4000				false	false	0.1000	8	0		0.1000	0.0000	bow	small			arrow	bow		100.0000	1.0000	false	-1.0000
shogun_carbine	missile	bullet	bullet	projectile_musketball		alpha_bullet	none	1		low	100	0	88	200.0000	-25.0000	0.0000	2.0000				false	false	0.1000	22	0	high	0.1000	0.0000	small_arm	small	MusketFire		musket_ball	musket_matchlock		100.0000	1.0000	false	-1.0000
shogun_donderbuss	missile	bullet	bullet	projectile_musketball		alpha_bullet	none	6		low	50	0	88	200.0000	-25.0000	2.0000	1.0000				false	false	0.1000	22	0	high	0.1000	0.0000	small_arm	small	MusketFire		musket_ball	musket_matchlock		100.0000	1.0000	false	-1.0000
shogun_european_cannon_shot	artillery	round_shot	cannon_ball	projectile_cannonbal		alpha	none	1		low	500	0	40	100.0000	0.0000	0.0000	20.0000	high		impact	true	false	0.1000	30	0		0.1000	0.0000	gun	large	LandGunFire		default_ball	cannon		300.0000	35.0000	false	-1.0000
shogun_european_naval_cannon_shot	artillery	round_shot	cannon_ball	projectile_cannonbal	cannon_blast	alpha	none	1		low	700	0	30	250.0000	0.0000	0.0000	200.0000	high		impact	false	false	0.1000	20	0		0.1000	0.0000	gun	large	LandGunFire		default_ball	cannon		300.0000	9.0000	false	-1.0000
shogun_fire_bomb	missile	fire_bomb	grenade	projectile_bomb	shogun_fire_bomb	alpha_grenade	grenade_spin	1	shrapnel	fixed	50	5	30	25.0000	-50.0000	0.0000	0.0000	ap	medium		false	false	0.0100	25	0	low	0.1000	0.0000	flight	small				sling		100.0000	1.0000	false	-1.0000
shogun_fire_bomb_fragment	missile	fragment	shrapnel	projectile_fragment01		alpha_shrapnel	grenade_spin	1		low	5	0	30	25.0000	0.0000	0.0000	0.1000				false	true	0.0080	0	0		0.1000	0.0000	boom	small				none		100.0000	1.0000	false	-1.0000
shogun_fire_bomb_naval	artillery	fire_bomb	cannon_ball	projectile_bomb	shogun_fire_bomb_naval	none	grenade_spin	1	shrapnel	fixed	60	0	30	25.0000	0.0000	0.0000	0.0000	ap	medium		false	false	0.0100	8	0	low	0.1000	0.0000	flight	small				sling		100.0000	1.0000	false	-1.0000
shogun_fire_stone	artillery	explosive_shell	cannon_ball	projectile_mangonel	shogun_fire_stone	none	shell_spin	1		low	450	50	35	67.0000	-50.0000	0.0000	2.0000	low	very_high	explode	false	false	0.3000	35	0	high	1.0000	0.0000	mortar	large		catapult_trail		mortar		300.0000	35.0000	false	-1.0000
shogun_handmortar	artillery	percussive_shell	chakram	projectile_grenade	hand_mortar	alpha_grenade	none	1	shrapnel	fixed	300	40	50	150.0000	0.0000	0.0000	0.0000	ap	medium		false	false	0.0100	25	0	low	0.1000	0.0000	mortar	small				mortar		300.0000	35.0000	false	-1.0000
shogun_heavygunner	missile	round_shot	cannon_ball	projectile_musketball		alpha_bullet	none	1		low	100	0	88	200.0000	-45.0000	0.0000	2.0000	body_piercing			false	false	0.1000	22	0	high	0.1000	0.0000	small_arm	small	MusketFire		musket_ball	cannon		100.0000	1.0000	false	-1.0000
shogun_hero_arrow	missile	arrow	arrow	projectile_arrow		hero_arrow_trail	none	1		low	200	0	88	50.0000	5.0000	0.0000	0.3000				false	false	0.1000	10	0		0.1000	0.0000	bow	small			arrow	bow		100.0000	1.0000	false	-1.0000
shogun_hero_matchlock	missile	bullet	bullet	projectile_musketball		alpha_bullet	none	1		low	125	0	88	200.0000	0.0000	0.0000	2.0000				false	false	0.1000	22	0	high	0.1000	0.0000	small_arm	small	MusketFire		musket_ball	musket_matchlock		100.0000	1.0000	false	-1.0000
shogun_japanese_cannon_shot	artillery	round_shot	cannon_ball	projectile_cannonbal		alpha	none	1		low	500	0	40	100.0000	0.0000	0.0000	15.0000	high		impact	true	false	0.1000	30	0		0.1000	0.0000	gun	large	LandGunFire		default_ball	cannon		300.0000	35.0000	false	-1.0000
shogun_japanese_naval_cannon_shot	artillery	round_shot	cannon_ball	projectile_cannonbal	cannon_blast	alpha	none	1		low	300	0	30	250.0000	-5.0000	0.0000	90.0000	high		impact	false	false	0.1000	4	0		0.1000	0.0000	gun	large	Navel_Cannon_Fire_Large		default_ball	cannon		300.0000	9.0000	false	-1.0000
shogun_matchlock	missile	bullet	bullet	projectile_musketball		alpha_bullet	none	1		low	100	0	88	200.0000	-25.0000	0.0000	2.0000				false	false	0.1000	22	0	high	0.1000	0.0000	small_arm	small	MusketFire		musket_ball	musket_matchlock		100.0000	1.0000	false	-1.0000
shogun_matchlock_naval	missile	bullet	bullet	projectile_musketball		alpha_bullet	none	1		low	180	0	88	200.0000	0.0000	0.0000	1.0000	ap			false	false	0.1000	6	0	high	0.1000	0.0000	small_arm	small	MusketFire		musket_ball	musket_matchlock		100.0000	1.0000	false	-1.0000
shogun_rocket	artillery	rocket	rocket	projectile_rocket	shogun_rocket	additive_rocket_trail	none	1		low	250	0	85	55.0000	0.0000	0.0000	1.0000	low	very_high	explode	false	false	0.1000	30	0	high	0.1000	0.0000	small_arm	small	MusketFire	rocket_trail		musket_matchlock		300.0000	30.0000	false	-1.0000
shogun_tower_arrow	missile	arrow	arrow	projectile_arrow		arrow_trail	none	1		low	150	20	88	50.0000	5.0000	0.0000	0.4500				false	false	0.1000	22	0		0.1000	0.0000	bow	small			arrow	bow		300.0000	30.0000	false	-1.0000
shrapnel	missile	fragment	shrapnel	projectile_fragment01		alpha_shrapnel	none	1		low	550	0	90	5.0000	0.0000	0.0000	1.0000	ap	low		false	false	0.1000	0	0		0.1000	0.0000	boom	small			musket_ball	none		100.0000	1.0000	false	-1.0000
torch	missile	torch	grenade	projectile_torch		none	axe_spin	1	shrapnel	fixed	35	0	50	25.0000	5.0000	0.0000	0.0000		high		false	false	0.1000	20	0	low	0.1000	0.0000	flight	small		fire_arrow_trail	fire_arrow	grenade		100.0000	1.0000	false	-1.0000
