version 1, schema character_trait_levels_tables
Trait_Level_ID(string)	Level(int)	Trait_IDRef(string)	Threshold(int)
"C_Napoleon_Career_Leader_1"	1	"C_Napoleon_Career_Leader"	1
"C_Napoleon_Career_Legend_1"	1	"C_Napoleon_Career_Legend"	1
"C_Napoleon_Career_Navigator_1"	1	"C_Napoleon_Career_Navigator"	1
"C_Napoleon_Career_Tactician_1"	1	"C_Napoleon_Career_Tactician"	1
"C_Napoleon_Career_Traveller_1"	1	"C_Napoleon_Career_Traveller"	1
"C_Napoleon_Emperor_Of_The_French_1"	1	"C_Napoleon_Emperor_Of_The_French"	1
"C_Napoleon_King_Of_Italy_1"	1	"C_Napoleon_King_Of_Italy"	1
"C_Napoleon_Protector_Of_The_Rhine"	1	"C_Napoleon_Protector_Of_The_Rhine"	1
"C_NTW_Gent_Agitator_1"	1	"C_NTW_Gent_Agitator"	1
"C_NTW_Gent_Agitator_2"	2	"C_NTW_Gent_Agitator"	3
"C_NTW_Gent_Agitator_3"	3	"C_NTW_Gent_Agitator"	6
"C_NTW_Gent_Agitator_4"	4	"C_NTW_Gent_Agitator"	9
"C_NTW_Gent_Agitator_5"	5	"C_NTW_Gent_Agitator"	12
"C_Personal_Hale_1"	1	"C_Personal_Hale"	10
"C_Personal_Hale_2"	2	"C_Personal_Hale"	15
"C_Personal_Hale_3"	3	"C_Personal_Hale"	20
"C_Personal_High_Personal_Security_1"	1	"C_Personal_High_Personal_Security"	1
"C_Personal_High_Personal_Security_2"	2	"C_Personal_High_Personal_Security"	3
"C_Personal_High_Personal_Security_3"	3	"C_Personal_High_Personal_Security"	6
"C_Personal_Piety_1"	1	"C_Personal_Piety"	1
"C_Personal_Piety_2"	2	"C_Personal_Piety"	3
"C_Personal_Sickly_1"	1	"C_Personal_Sickly"	10
"C_Personal_Sickly_2"	2	"C_Personal_Sickly"	15
"C_Personal_Sickly_3"	3	"C_Personal_Sickly"	20
"C_Rake_Assassin_Good_1"	1	"C_Rake_Assassin_Good"	1
"C_Rake_Assassin_Good_2"	2	"C_Rake_Assassin_Good"	3
"C_Rake_Assassin_Good_3"	3	"C_Rake_Assassin_Good"	6
"C_Rake_Assassin_Good_4"	4	"C_Rake_Assassin_Good"	12
"C_Rake_Assassin_Good_5"	5	"C_Rake_Assassin_Good"	18
"C_Rake_Born_Bounder_1"	1	"C_Rake_Born_Bounder"	1
"C_Rake_Born_Bounder_2"	2	"C_Rake_Born_Bounder"	3
"C_Rake_Born_Bounder_3"	3	"C_Rake_Born_Bounder"	6
"C_Rake_Counter_Spy_1"	1	"C_Rake_Counter_Spy"	1
"C_Rake_Counter_Spy_2"	2	"C_Rake_Counter_Spy"	6
"C_Rake_Counter_Spy_3"	3	"C_Rake_Counter_Spy"	12
"C_Rake_Im_A_Laydee_1"	1	"C_Rake_Im_A_Laydee"	1
"C_Rake_Im_A_Laydee_2"	2	"C_Rake_Im_A_Laydee"	2
"C_Rake_Naughty_Club_1"	1	"C_Rake_Naughty_Club"	5
"C_Rake_Naughty_Club_2"	2	"C_Rake_Naughty_Club"	10
"C_Rake_Naughty_Club_3"	3	"C_Rake_Naughty_Club"	15
"C_Rake_Sabot_Good_1"	1	"C_Rake_Sabot_Good"	2
"C_Rake_Sabot_Good_2"	2	"C_Rake_Sabot_Good"	4
"C_Rake_Sabot_Good_3"	3	"C_Rake_Sabot_Good"	8
"C_Rake_Sabot_Good_4"	4	"C_Rake_Sabot_Good"	16
"C_Rake_Sabot_Good_5"	5	"C_Rake_Sabot_Good"	32
"C_Rake_Spy_Good_1"	1	"C_Rake_Spy_Good"	2
"C_Rake_Spy_Good_2"	2	"C_Rake_Spy_Good"	4
"C_Rake_Spy_Good_3"	3	"C_Rake_Spy_Good"	8
"C_Rake_Spy_Good_4"	4	"C_Rake_Spy_Good"	16
"C_Rake_Spy_Good_5"	5	"C_Rake_Spy_Good"	32
"C_Sausage_Vice_1"	1	"C_Sausage_Vice"	10
"C_Sausage_Vice_2"	2	"C_Sausage_Vice"	15
"C_Sausage_Vice_3"	3	"C_Sausage_Vice"	20
"C_Sausage_Vice_4"	4	"C_Sausage_Vice"	25
"C_Sausage_Vice_5"	5	"C_Sausage_Vice"	30
"C_Sausage_Vice_6"	6	"C_Sausage_Vice"	35
"Spain_C_Agent_Provocateur_Pure_Blood_1"	1	"Spain_C_Agent_Provocateur_Pure_Blood"	1
"Spain_C_Agent_Provocateur_Pure_Blood_2"	2	"Spain_C_Agent_Provocateur_Pure_Blood"	2
"Spain_C_Agent_Provocateur_Radical_1"	1	"Spain_C_Agent_Provocateur_Radical"	1
"Spain_C_Agent_Guerrillero_Bandit_1"	1	"Spain_C_Agent_Guerrillero_Bandit"	1
"Spain_C_Agent_Guerrillero_Bandit_2"	2	"Spain_C_Agent_Guerrillero_Bandit"	3
"Spain_C_Agent_Guerrillero_Bandit_3"	3	"Spain_C_Agent_Guerrillero_Bandit"	6
"Spain_C_Agent_Priest_Patriot_1"	1	"Spain_C_Agent_Priest_Patriot"	1
"Spain_C_Agent_Priest_Patriot_2"	2	"Spain_C_Agent_Priest_Patriot"	3
"Spain_C_Agent_Guerrillero_Former_Soldier_1"	1	"Spain_C_Agent_Guerrillero_Former_Soldier"	1
"Spain_C_Agent_Guerrillero_Former_Soldier_2"	2	"Spain_C_Agent_Guerrillero_Former_Soldier"	3
"Spain_C_Agent_Priest_Politics_1"	1	"Spain_C_Agent_Priest_Politics"	1
"Spain_C_Agent_Priest_Politics_2"	2	"Spain_C_Agent_Priest_Politics"	3
"Spain_C_Agent_Priest_Politics_3"	3	"Spain_C_Agent_Priest_Politics"	6
"Spain_C_Agent_Provocateur_Dirty_Fighter_1"	1	"Spain_C_Agent_Provocateur_Dirty_Fighter"	1
"Spain_C_Agent_Provocateur_Dirty_Fighter_2"	2	"Spain_C_Agent_Provocateur_Dirty_Fighter"	3
"Spain_C_Agent_Provocateur_Dirty_Fighter_3"	3	"Spain_C_Agent_Provocateur_Dirty_Fighter"	6
"Spain_C_Agent_Guerrillero_Torturer_1"	1	"Spain_C_Agent_Guerrillero_Torturer"	1
"Spain_C_Agent_Guerrillero_Torturer_2"	2	"Spain_C_Agent_Guerrillero_Torturer"	3
"Spain_C_Agent_Guerrillero_Torturer_3"	3	"Spain_C_Agent_Guerrillero_Torturer"	6
"Spain_C_Agent_Guerrillero_Dead_Family_1"	1	"Spain_C_Agent_Guerrillero_Dead_Family"	1
"Spain_C_Agent_Guerrillero_Dead_Family_2"	2	"Spain_C_Agent_Guerrillero_Dead_Family"	3
"Spain_C_Agent_Guerrillero_Dead_Family_3"	3	"Spain_C_Agent_Guerrillero_Dead_Family"	6
"Spain_C_General_Guerrilla_Leader_1"	1	"Spain_C_General_Guerrilla_Leader"	1
"Spain_C_General_Guerrilla_Leader_2"	2	"Spain_C_General_Guerrilla_Leader"	2
"Spain_C_General_Guerrilla_Leader_3"	3	"Spain_C_General_Guerrilla_Leader"	4
"Spain_C_General_Guerrilla_Leader_4"	4	"Spain_C_General_Guerrilla_Leader"	6
"Spain_C_General_Guerrilla_Leader_5"	5	"Spain_C_General_Guerrilla_Leader"	8
"Spain_C_General_Guerrilla_Leader_6"	6	"Spain_C_General_Guerrilla_Leader"	10
