version 2, schema quotes_tables
Text(string)	Author(string)	Quote_ID(string)	unknown1(optstring)
"When a white army battles Indians and wins, it is called a great victory, but if they lose it is called a massacre."	"chiksika_shawnee"	"286"	"tribal_playable"
"We are now about to take our leave and kind farewell to our native land, the country the Great Spirit gave our Fathers, we are on the eve of leaving that country that gave us birth,\\n\\nit is with sorrow we are forced by the white man to quit the scenes of our childhood...we bid farewell to it and all we hold dear."	"charles_hicks"	"287"	"tribal_playable"
"One does not sell the land people walk on."	"crazy_horse"	"288"	"tribal_playable"
"What is life? It is the flash of a firefly in the night. It is the breath of a buffalo in the wintertime.\\n\\nIt is the little shadow which runs across the grass and loses itself in the sunset."	"crowfoot"	"289"	"tribal_playable"
"I have seen that in any great undertaking it is not enough for a man to depend simply upon himself."	"lone_man"	"290"	"tribal_playable"
"How smooth must be the language of the whites,\\n\\nwhen they can make right look like wrong, and wrong like right."	"black_hawk"	"291"	"tribal_playable"
"We know our lands have now become more valuable. The white people think we do not know their value;\\n\\nbut we know that the land is everlasting, and the few goods we receive for it are soon worn out and gone."	"canassatego"	"292"	"tribal_playable"
"When it comes time to die, be not like those whose hearts are filled with the fear of death,\\n\\nso when their time comes they weep and pray for a little more time to live their lives\\n\\nover again in a different way. Sing your death song, and die like a hero going home."	"chief_aupumut"	"293"	"tribal_playable"
"When the Earth is sick, the animals will begin to disappear. When that happens, the Warriors of the Rainbow will come to save them."	"chief_seattle"	"294"	"tribal_playable"
"I am a red man. If the Great Spirit had desired me to be a white man he would have made me so in the first place."	"sitting_bull"	"295"	"tribal_playable"
"There is no death. Only a change of worlds."	"native_proverb"	"296"	"tribal_playable"
"At some time there shall come among you a stranger, speaking a language you do not understand.\\n\\nHe will try to buy the land from you, but do not sell it; keep it for an inheritance to your children."	"aseenewub"	"297"	"tribal_playable"
"It's our stuff. We made it and we know best how to use it and care for it. And now we're going to get it back."	"john_pretty"	"298"	"tribal_playable"
"Where today are the Pequot? Where are the Narragansett, the Mohican, the Pokanoket, and many other once powerful tribes of our people? They have vanished before the avarice and the oppression of the White Man, as snow before a summer sun."	"chief_tecumseh_shawnee"	"299"	"tribal_playable"
"The ground on which we stand is sacred ground. It is the blood of our ancestors."	"chief_plenty_coups"	"300"	"tribal_playable"
"I will follow the white man's trail. I will make him my friend, but I will not bend my back to his burdens. I will be cunning as a coyote.\\n\\nI will ask him to help me understand his ways, then I will prepare the way for my children, and their children.\\n\\nThe Great Spirit has shown me - a day will come when they will outrun the white man in his own shoes."	"many_horses"	"301"	"tribal_playable"
"Will we let ourselves be destroyed in our turn without a struggle, give up our homes, our country bequeathed to us by the Great Spirit,\\n\\nthe graves of our dead and everything that is dear and sacred to us? I know you will cry with me, 'Never! Never!'"	"chief_tecumseh_shawnee"	"302"	"tribal_playable"
"It is better to have less thunder in the mouth and more lightning in the hand."	"apache_proverb"	"303"	"tribal_playable"
"Those that lie down with dogs, get up with fleas."	"blackfoot_proverb"	"304"	"tribal_playable"
"Those who have one foot in the canoe and one foot in the boat are going to fall into the river."	"tuscarora_proverb"	"305"	"tribal_playable"
"Force, no matter how concealed, begets resistance."	"lakota_proverb"	"306"	"tribal_playable"
"You can't wake a person who is pretending to be asleep."	"navajo_proverb"	"307"	"tribal_playable"
"He who would do great things should not attempt them all alone."	"seneca_proverb"	"308"	"tribal_playable"
"A brave man dies but once, a coward many times."	"unknown_tribe"	"309"	"tribal_playable"
"Seek wisdom, not knowledge. Knowledge is of the past, Wisdom is of the future."	"lumbee_proverb"	"310"	"tribal_playable"
"White men have too many chiefs."	"nex_perce_saying"	"311"	"tribal_playable"
"What treaty have the Sioux made with the white man that we have broken? Not one.\\n\\nWhat treaty have the white man ever made with us that they have kept? Not one."	"sitting_bull"	"313"	"tribal_playable"
