version 1, schema battlefield_buildings_tables
Battlefield_Building_ID(string)	Type(string)	Building_2(string)	Material(string)	Hit_points(int)	Fort_type(optstring)	Terrain(optstring)
"south_euro_house09"	"house"	"south_euro_house09"	"brick"	300	nil	nil
"south_euro_house09b"	"house"	"south_euro_house09b"	"brick"	300	nil	nil
"south_euro_house10"	"house"	"south_euro_house10"	"brick"	300	nil	nil
"south_euro_house10b"	"house"	"south_euro_house10b"	"brick"	300	nil	nil
"south_euro_hut01"	"house"	"south_euro_hut01"	"brick"	200	nil	nil
"south_euro_hut02"	"house"	"south_euro_hut02"	"brick"	200	nil	nil
"south_euro_hut03"	"house"	"south_euro_hut03"	"brick"	200	nil	nil
"south_euro_hut04"	"house"	"south_euro_hut04"	"brick"	200	nil	nil
"south_euro_hut05"	"house"	"south_euro_hut05"	"brick"	150	nil	nil
"south_euro_ruins"	"ruins"	"south_euro_ruins"	"brick"	150	nil	nil
"south_euro_rural01"	"rural"	"south_euro_rural01"	"brick"	200	nil	nil
"south_euro_rural02"	"rural"	"south_euro_rural02"	"brick"	200	nil	nil
"south_euro_rural03"	"rural"	"south_euro_rural03"	"brick"	200	nil	nil
"south_euro_rural04"	"rural"	"south_euro_rural04"	"brick"	200	nil	nil
"south_euro_stone_bridge"	"bridge"	"south_euro_stone_bridge"	"stone"	500	nil	nil
"south_euro_townhall"	"townhall"	"south_euro_townhall"	"brick"	700	nil	nil
"south_euro_windmill"	"windmill"	"south_euro_windmill"	"brick"	300	nil	nil
"star_fort_armoury_v2"	"armoury"	"star_fort_armoury_v2"	"stone"	800	nil	nil
"star_fort_barracks_v2"	"armoury"	"star_fort_barracks_v2"	"stone"	800	nil	nil
"star_fort_command_hq"	"command_HQ"	"star_fort_command_hq"	"wood"	900	nil	nil
"west_euro_church"	"church"	"west_euro_church"	"stone"	500	nil	nil
"west_euro_church02"	"house"	"west_euro_church02"	"brick"	600	nil	nil
"west_euro_farmhouse"	"house"	"west_euro_farmhouse"	"stone"	150	nil	nil
"west_euro_farmhouse02"	"farmhouse"	"west_euro_farmhouse02"	"brick"	300	nil	nil
"west_euro_farmhouse03"	"farmhouse"	"west_euro_farmhouse03"	"wood"	500	nil	nil
"west_euro_house01"	"house"	"west_euro_house01"	"wood"	300	nil	nil
"west_euro_house01b"	"house"	"west_euro_house01b"	"wood"	300	nil	nil
"west_euro_house02"	"house"	"west_euro_house02"	"stone"	300	nil	nil
"west_euro_house02b"	"house"	"west_euro_house02b"	"brick"	300	nil	nil
"west_euro_house03"	"house"	"west_euro_house03"	"brick"	300	nil	nil
"west_euro_house03b"	"house"	"west_euro_house03b"	"brick"	300	nil	nil
"west_euro_house04"	"house"	"west_euro_house04"	"brick"	300	nil	nil
"west_euro_house04b"	"house"	"west_euro_house04b"	"brick"	300	nil	nil
"west_euro_house05"	"house"	"west_euro_house05"	"brick"	300	nil	nil
"west_euro_house05b"	"house"	"west_euro_house05b"	"brick"	300	nil	nil
"west_euro_house06"	"house"	"west_euro_house06"	"brick"	300	nil	nil
"west_euro_house06b"	"house"	"west_euro_house06b"	"brick"	300	nil	nil
"west_euro_house07"	"house"	"west_euro_house07"	"brick"	300	nil	nil
"west_euro_house07a"	"house"	"west_euro_house07a"	"brick"	300	nil	nil
"west_euro_house07b"	"house"	"west_euro_house07b"	"brick"	300	nil	nil
"west_euro_house07c"	"house"	"west_euro_house07c"	"brick"	300	nil	nil
"west_euro_house08"	"house"	"west_euro_house08"	"brick"	300	nil	nil
"west_euro_house08a"	"house"	"west_euro_house08a"	"brick"	300	nil	nil
"west_euro_house08b"	"house"	"west_euro_house08b"	"brick"	300	nil	nil
"west_euro_hut01"	"house"	"west_euro_hut01"	"brick"	200	nil	nil
"west_euro_hut02"	"house"	"west_euro_hut02"	"brick"	150	nil	nil
"west_euro_hut03"	"house"	"west_euro_hut03"	"brick"	150	nil	nil
"west_euro_hut04"	"house"	"west_euro_hut04"	"brick"	150	nil	nil
"west_euro_hut05"	"house"	"west_euro_hut05"	"brick"	150	nil	nil
"west_euro_ruins"	"house"	"west_euro_ruins"	"stone"	150	nil	nil
"west_euro_rural01"	"house"	"west_euro_rural01"	"wood"	150	nil	nil
"west_euro_rural02"	"house"	"west_euro_rural02"	"brick"	150	nil	nil
"west_euro_rural03"	"house"	"west_euro_rural03"	"stone"	100	nil	nil
"west_euro_stone_bridge"	"bridge"	"west_euro_stone_bridge"	"stone"	500	nil	nil
"west_euro_townhall"	"house"	"west_euro_townhall"	"stone"	700	nil	nil
"western_fort_armoury"	"armoury"	"western_fort_armoury"	"wood"	500	nil	nil
"western_fort_armoury_v2"	"armoury"	"western_fort_armoury_v2"	"wood"	800	nil	nil
"western_fort_barracks"	"barracks"	"western_fort_barracks"	"wood"	800	nil	nil
"western_fort_command_hq"	"house"	"western_fort_command_hq"	"stone"	150	nil	nil
