version 1, schema effect_bundles_tables, guid c6311e0b-01ba-447d-8e9f-b1a2f59fd966
unknown1(string)	unknown2(string)	unknown3(string)	unknown4(string)
"p_taskmaster_global"	"Your command to intensify construction efforts across your domain has caused them to progress rapidly."	"Taskmaster"	"effect_construction_positive.tga"
"p_taskmaster_local"	"Your command to intensify construction efforts in this province has caused them to progress rapidly."	"Taskmaster"	"effect_construction_positive.tga"
"p_thriving_markets"	"As a result of your recent mercantile endeavours trade is now booming throughout your lands."	"Thriving Markets"	"effect_trade_positive.tga"
"p_vigilance_global"	"Mindful of the clan's defensive needs, clansmen throughout your domain have been keeping a close guard on all comings and goings."	"Vigilance"	"effect_army_positive.tga"
"p_vigilance_local"	"Mindful of the clan's defensive needs, clansmen throughout this province have been keeping a close guard on all comings and goings."	"Vigilance"	"effect_army_positive.tga"
"p_war_fervour"	"Morale is currently running high. Your recent military undertakings have filled your troops with an unquenchable thirst for battle!"	"War Fervour"	"effect_army_positive.tga"
"p_way_words"	"Your politeness and tact has given you an edge in matters of diplomatic relations."	"Way with Words"	"effect_diplomacy_positive.tga"
"p_wisdom_shinran_global"	"Faith in the Ikko cause is strong as people across your lands find solace in Shinran's wise teachings."	"Wisdom of Shinran"	"effect_ikko_positive.tga"
"p_wisdom_shinran_local"	"Faith in the Ikko cause is strong as people in this province find solace in Shinran's wise teachings."	"Wisdom of Shinran"	"effect_ikko_positive.tga"
"p_word_of_god_global"	"Christianity has flourished throughout your lands as converts spread the word of God without fear of repression."	"Word of God"	"effect_christianity_positive.tga"
"p_word_of_god_local"	"Christianity has flourished throughout this province as converts spread the word of God without fear of repression."	"Word of God"	"effect_christianity_positive.tga"
"requiem_of_the_dead"	"Your courage throughout the long, dark winter has not gone unnoticed; Amaterasu blesses you with her light, dispelling fear and doubt amongst your people. (Applies only during the winter season.)"	"Reflection of Amaterasu"	"effect_midwinter_positive.tga"
"s_broken_trade"	"An end to trade with another clan has affected your clan's domestic growth, as merchants adapt to the situation."	"Broken Trade Agreement"	"effect_trade_negative.tga"
"s_christian"	"You have embraced the Christian faith, thereby improving trade relations with the nanban and enabling the construction of Christian buildings."	"Christian"	"effect_christianity_positive.tga"
"s_family_death_mourn"	"Your clan is in mourning following the recent tragic loss of the daimyo and his family."	"In Mourning"	"effect_daimyo_negative.tga"
"s_shogun_effects"	"You are the shogun. All Japan bows before your military might!"	"Shogun"	"effect_daimyo.tga"
"summer_son"	"Amaterasu recognises the victories you have achieved in her honour and accords your warriors her blessing. (Applies only during the summer season.)"	"Blessing of Amaterasu"	"effect_summer_son_positive.tga"
"t_chosokabe"	"As the arrow flies, so travels the honest man."	"Masters of the Land"	"effect_chosokabe.tga"
"t_date"	"The sword that strikes first, strikes hardest."	"Masters of Battle"	"effect_date.tga"
"t_hattori"	"Death comes in many ways, not only in battle."	"Masters of Darkness"	"effect_hattori.tga"
"t_hojo"	"Those who know how to build also know how to destroy."	"Master Builders"	"effect_hojo.tga"
"t_ikko"	"Conquering the soul secures the land."	"Masters of Faith"	"effect_ikko_ikki.tga"
"t_mori"	"Water is stronger than any stone, any steel, any man."	"Masters of the Waves"	"effect_mori.tga"
"t_oda"	"Any man can bravely carry a spear."	"Masters of Peasantry"	"effect_oda.tga"
"t_otomo"	"Shooting an enemy is not a matter of honour, but victory."	"Master Gunners"	"effect_otomo.tga"
"t_shimazu"	"Blood is thicker than water."	"Masters of Integrity"	"effect_shimazu.tga"
"t_takeda"	"Born to the saddle; born to command."	"Masters of Horses"	"effect_takeda.tga"
"t_tokugawa"	"Words are weapons in the mouths of the wise."	"Masters of Intrigue"	"effect_tokugawa.tga"
"t_uesugi"	"Evil will never prevail against those with faith."	"Masters of Prayer"	"effect_uesugi.tga"
