version 1, schema trait_triggers_tables
Trait_IDRef(string)	Event_IDRef(string)	Condition(string)
"C_Gent_Research_Economics_Trigger_01"	"ResearchCompleted"	"[CharacterType(\"gentleman\") or CharacterType(\"Eastern_Scholar\")] and [ResearchType(\"enlightenment_joint_stock_companies\") or ResearchType(\"enlightenment_free_trade_doctrine\") or ResearchType(\"enlightenment_abolition_of_slavery\") or ResearchType(\"enlightenment_national_debt\") or ResearchType(\"enlightenment_division_of_labour\") or ResearchType(\"enlightenment_wealth_of_nations\")] and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Gent_Research_Industry_Trigger_01"	"ResearchCompleted"	"[CharacterType(\"gentleman\") or CharacterType(\"Eastern_Scholar\")] and ResearchCategory(\"industry\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Gent_Research_Military_Trigger_01"	"ResearchCompleted"	"[CharacterType(\"gentleman\") or CharacterType(\"Eastern_Scholar\")] and ResearchCategory(\"military\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Gent_Research_Navy_Trigger_01"	"ResearchCompleted"	"[CharacterType(\"gentleman\") or CharacterType(\"Eastern_Scholar\")] and ResearchCategory(\"navy\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Gent_Research_Philosophy_Trigger_01"	"ResearchCompleted"	"[CharacterType(\"gentleman\") or CharacterType(\"Eastern_Scholar\")] and ResearchCategory(\"enlightenment\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Gent_Science_Club_Trigger"	"ResearchCompleted"	"CharacterType(\"gentleman\") and ResearchCategory(\"industry\") and FactionLeadersTrait(\"C_Leader_Clever_Stick\") >= 1 and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_George_Washington_Trigger"	"CharacterCompletedBattle"	"CharacterForename(\"names_name_names_englishGeorge\") and CharacterSurname(\"names_name_names_englishWashington\") and CharacterWonBattle() and CommanderFoughtInBattle() and CampaignName(\"episode_5\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and not CampaignName(\"main\") and not CampaignName(\"main_2\")"
"C_Leader_Agent_99_Trigger"	"SufferSpyingAttempt"	"CharacterType(\"minister\") and IsFactionLeader() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Leader_Army_Buff_Trigger"	"BuildingCompleted"	"[IsBuildingInChain(\"army-admin\") or IsBuildingInChain(\"ordnance\")] and IsFactionLeader() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and not CharacterCultureType(\"indian\")"
"C_Leader_Created_Trigger_01_King"	"CharacterCreated"	"IsFactionLeader() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and not FactionGovernmentType(\"gov_republic\")"
"C_Leader_Created_Trigger_02_Queen"	"CharacterCreated"	"IsFactionLeaderFemale() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and not FactionGovernmentType(\"gov_republic\")"
"C_Leader_Created_Trigger_03_President"	"CharacterCreated"	"IsFactionLeader() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and FactionGovernmentType(\"gov_republic\")"
"C_Leader_Created_Trigger_04_Heir_not_inbred_yet"	"CharacterCreated"	"CharacterType(\"minister\") and CharacterMinisterialPosition(\"royal_heir\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and not FactionGovernmentType(\"gov_republic\") and FactionLeadersTrait(\"C_Leader_Inbred\") == 1"
"C_Leader_Created_Trigger_04a_Heir_inbred_1"	"CharacterCreated"	"CharacterType(\"minister\") and CharacterMinisterialPosition(\"royal_heir\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and not FactionGovernmentType(\"gov_republic\") and FactionLeadersTrait(\"C_Leader_Inbred\") == 1"
"C_Leader_Created_Trigger_04b_Heir_inbred_2"	"CharacterCreated"	"CharacterType(\"minister\") and CharacterMinisterialPosition(\"royal_heir\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and not FactionGovernmentType(\"gov_republic\") and FactionLeadersTrait(\"C_Leader_Inbred\") == 2"
"C_Leader_Created_Trigger_04c_Heir_inbred_3"	"CharacterCreated"	"CharacterType(\"minister\") and CharacterMinisterialPosition(\"royal_heir\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and not FactionGovernmentType(\"gov_republic\") and FactionLeadersTrait(\"C_Leader_Inbred\") == 3"
"C_Leader_Enlightened_Despot_Trigger_01"	"ResearchCompleted"	"[ResearchCategory(\"enlightenment\") or ResearchCategory(\"industry\")] and IsFactionLeader() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Leader_Harsh_Ruler_Trigger"	"CharacterTurnEnd"	"CharacterType(\"minister\") and IsFactionLeader() and not IsFactionLeaderFemale() and InsurrectionCrushed() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Leader_Intellectual_Pretensions_Trigger"	"BuildingCompleted"	"IsBuildingInChain(\"education\") and IsFactionLeader() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Leader_M_Trigger"	"SpyingAttemptSuccess"	"IsFactionLeader() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Leader_Navy_Buff_Trigger"	"BuildingCompleted"	"[IsBuildingInChain(\"navy-admin\") or IsBuildingInChain(\"ordnance\")] and IsFactionLeader() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Leader_Philistine_Trigger"	"BuildingCompleted"	"IsBuildingInChain(\"education\") and IsFactionLeader() and not CharacterTrait(\"C_Leader_Intellectual_Pretensions\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Leader_Promoted_Trigger_01_King"	"CharacterPromoted"	"IsFactionLeader() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and not FactionGovernmentType(\"gov_republic\")"
"C_Leader_Promoted_Trigger_02_Queen"	"CharacterPromoted"	"IsFactionLeaderFemale() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and not FactionGovernmentType(\"gov_republic\")"
"C_Minister_Army_Good_Trigger_01"	"BuildingCompleted"	"FactionLeadersTrait(\"C_Leader_Army_Buff\") >= 1 and IsBuildingInChain(\"army-admin\") and CharacterType(\"minister\") and CharacterMinisterialPosition(\"army\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Minister_Army_job_Trigger_02_Army"	"CharacterTurnEnd"	"CharacterType(\"minister\") and CharacterMinisterialPosition(\"army\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Minister_Corrupt_Trigger"	"CharacterTurnEnd"	"CharacterType(\"minister\") and CharacterHoldsPost() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and FactionTreasuryWorldPercentage() > 5"
"C_Minister_Created_Trigger_01_Basic"	"CharacterCreated"	"CharacterType(\"minister\") and not IsFactionLeader() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Minister_Entertainer_Trigger"	"BuildingCompleted"	"[IsBuildingInChain(\"happiness\") or IsBuildingInChain(\"culture\")] and CharacterType(\"minister\") and CharacterMinisterialPosition(\"head_of_government\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Minister_Finance_Job_Trigger_03_Finance"	"CharacterTurnEnd"	"CharacterType(\"minister\") and CharacterMinisterialPosition(\"finance\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Minister_Fiscal_Genius_Trigger_01"	"ResearchCompleted"	"[ResearchType(\"enlightenment_joint_stock_companies\") or ResearchType(\"enlightenment_free_trade_doctrine\") or ResearchType(\"enlightenment_abolition_of_slavery\") or ResearchType(\"enlightenment_national_debt\") or ResearchType(\"enlightenment_division_of_labour\") or ResearchType(\"enlightenment_wealth_of_nations\")] and CharacterType(\"minister\") and CharacterMinisterialPosition(\"finance\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Minister_Head_Job_Trigger_04_Head"	"CharacterTurnEnd"	"CharacterType(\"minister\") and CharacterMinisterialPosition(\"head_of_government\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Minister_Industrialist_Trigger"	"BuildingCompleted"	"[IsBuildingInChain(\"industry-metal\") or IsBuildingInChain(\"industry-pottery\") or IsBuildingInChain(\"industry-textile\")] and CharacterType(\"minister\") and not CharacterCultureType(\"middle_east\") and not CharacterCultureType(\"indian\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Minister_Justice_Job_Trigger_05_Justice"	"CharacterTurnEnd"	"CharacterType(\"minister\") and CharacterMinisterialPosition(\"justice\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Minister_Miser_Trigger"	"CharacterTurnEnd"	"CharacterType(\"minister\") and CharacterMinisterialPosition(\"finance\") and PercentageUnspentIncome() >= 50 and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Minister_Navy_Good_Trigger"	"BuildingCompleted"	"IsBuildingInChain(\"navy-admin\") and CharacterType(\"minister\") and CharacterMinisterialPosition(\"navy\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Minister_Navy_Job_Trigger_06_Navy"	"CharacterTurnEnd"	"CharacterType(\"minister\") and CharacterMinisterialPosition(\"navy\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Minister_Physiocrat_Trigger_01"	"ResearchCompleted"	"[ResearchType(\"industry_agriculture_advanced_irrigation\") or ResearchType(\"industry_agriculture_common_land_enclosures\") or ResearchType(\"industry_agriculture_four_field_crop_rotation\") or ResearchType(\"industry_agriculture_improved_animal_husbandry\") or ResearchType(\"industry_agriculture_seed_planting_drill\") or ResearchType(\"industry_agriculture_selective_breeding\") or ResearchType(\"industry_agriculture_steam-pumped_land_drainage\") or ResearchType(\"industry_agriculture_threshing_machine\")] and CharacterType(\"minister\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\") and CharacterHoldsPost()"
"C_Minister_Trader_Trigger_01"	"ResearchCompleted"	"[ResearchType(\"enlightenment_joint_stock_companies\") or ResearchType(\"enlightenment_free_trade_doctrine\") or ResearchType(\"enlightenment_abolition_of_slavery\") or ResearchType(\"enlightenment_national_debt\") or ResearchType(\"enlightenment_division_of_labour\") or ResearchType(\"enlightenment_wealth_of_nations\")] and CharacterType(\"minister\") and CharacterHoldsPost() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Minister_Unjust_Trigger"	"CharacterTurnEnd"	"CharacterType(\"minister\") and CharacterMinisterialPosition(\"justice\") and InsurrectionCrushed() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Missionary_Created_Trigger_01"	"CharacterCreated"	"[CharacterType(\"catholic_missionary\") or CharacterType(\"indian_missionary\") or CharacterType(\"middle_east_missionary\") or CharacterType(\"shaman\") or CharacterType(\"orthodox_missionary\") or CharacterType(\"Protestant_Missionary\")] and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Missionary_Gone_Native_Trigger"	"CharacterTurnEnd"	"CharacterInTheatre(1) and [CharacterType(\"catholic_missionary\") or CharacterType(\"indian_missionary\") or CharacterType(\"middle_east_missionary\") or CharacterType(\"shaman\") or CharacterType(\"orthodox_missionary\") or CharacterType(\"Protestant_Missionary\")] and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Missionary_Hate_America_Trigger"	"CharacterTurnEnd"	"CharacterInTheatre(1) and [CharacterType(\"catholic_missionary\") or CharacterType(\"indian_missionary\") or CharacterType(\"middle_east_missionary\") or CharacterType(\"shaman\") or CharacterType(\"orthodox_missionary\") or CharacterType(\"Protestant_Missionary\")] and RandomPercentCampaign(15) and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Missionary_Hate_Europe_Trigger"	"CharacterTurnEnd"	"CharacterInTheatre(2) and [CharacterType(\"indian_missionary\") or CharacterType(\"middle_east_missionary\") or CharacterType(\"shaman\")] and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Missionary_Hate_India_Trigger"	"CharacterTurnEnd"	"CharacterInTheatre(3) and [CharacterType(\"catholic_missionary\") or CharacterType(\"middle_east_missionary\") or CharacterType(\"shaman\") or CharacterType(\"orthodox_missionary\") or CharacterType(\"Protestant_Missionary\")] and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Missionary_Like_America_Trigger"	"CharacterTurnEnd"	"CharacterInTheatre(1) and [CharacterType(\"catholic_missionary\") or CharacterType(\"indian_missionary\") or CharacterType(\"middle_east_missionary\") or CharacterType(\"shaman\") or CharacterType(\"orthodox_missionary\") or CharacterType(\"Protestant_Missionary\")] and RandomPercentCampaign(50) and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Missionary_Like_Europe_Trigger"	"CharacterTurnEnd"	"CharacterInTheatre(2) and [CharacterType(\"indian_missionary\") or CharacterType(\"middle_east_missionary\") or CharacterType(\"shaman\")] and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Missionary_Like_India_Trigger"	"CharacterTurnEnd"	"CharacterInTheatre(3) and [CharacterType(\"catholic_missionary\") or CharacterType(\"middle_east_missionary\") or CharacterType(\"shaman\") or CharacterType(\"orthodox_missionary\") or CharacterType(\"Protestant_Missionary\")] and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Personal_Hale_Trigger_01"	"CharacterTurnEnd"	"not CharacterType(\"minister\") and not CharacterType(\"colonel\") and not CharacterType(\"captain\") and not InSettlement() and not NoActionThisTurn() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Personal_High_Personal_Security_Trigger"	"SufferAssassinationAttempt"	"not CharacterType(\"minister\") and not CharacterType(\"rake\") and not CharacterType(\"assassin\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Personal_Sickly_Trigger_01"	"CharacterTurnEnd"	"not CharacterType(\"minister\") and not CharacterType(\"colonel\") and not CharacterType(\"captain\") and InSettlement() and NoActionThisTurn() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Rake_Assassin_Created_Trigger_01"	"CharacterCreated"	"[CharacterType(\"rake\") or CharacterType(\"assassin\")] and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Rake_Assassin_Good_Trigger"	"AssassinationAttemptSuccess"	"[CharacterType(\"rake\") or CharacterType(\"assassin\")] and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Rake_Counter_Spy_Trigger"	"EspionageAgentApprehended"	"[CharacterType(\"rake\") or CharacterType(\"assassin\")] and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Rake_Naughty_Club_Trigger"	"SpyingAttemptSuccess"	"[CharacterType(\"rake\") or CharacterType(\"assassin\")] and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Rake_Sabot_Good_Trigger"	"SabotageAttemptSuccess"	"[CharacterType(\"rake\") or CharacterType(\"assassin\")] and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Rake_Spy_Good_Trigger"	"SpyingAttemptSuccess"	"[CharacterType(\"rake\") or CharacterType(\"assassin\")] and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Sausage_Vice_Trigger"	"CharacterTurnEnd"	"InSettlement() and NoActionThisTurn() and not CharacterType(\"minister\") and not CharacterType(\"colonel\") and not CharacterType(\"captain\") and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
"C_Siege_Engineering_Trigger"	"CharacterCompletedBattle"	"CharacterType(\"General\") and [CampaignBattleType(\"fort_standard\") or CampaignBattleType(\"fort_relief\") or CampaignBattleType(\"fort_sally\") or CampaignBattleType(\"settlement_standard\") or CampaignBattleType(\"settlement_relief\") or CampaignBattleType(\"settlement_sally\")] and CharacterWonBattle() and not CampaignName(\"episodic_1\") and not CampaignName(\"episodic_3\")"
