version 2, schema cdir_events_incident_payloads_tables, guid 452fa591-5b8f-4abc-8363-18f962dae6cc
unknown1(int)	unknown2(float)	unknown3(string)	unknown4(string)	unknown5(string)
424	0	"c_meritorious_action_SECOND_peer_contempt"	"p_peer_contempt"	"DURATION[4]"
429	0	"c_monopoly_FIRST_disaffected_populace"	"p_disaffected_populace_local"	"DURATION[4]"
43	0	"c_conflict_beliefs_buddhist_FIRST_rebellion"	"REBELLION"	"remove_me"
430	0	"c_monopoly_SECOND_merchant_discontent"	"p_merchant_discontent"	"DURATION[4]"
44	0	"c_conflict_beliefs_buddhist_SECOND_nanban_ambassador"	"p_nanban_ambassador"	"DURATION[8]"
440	0	"c_ronin_SECOND_ronin_marauders"	"p_ronin_marauders"	"DURATION[4]"
448	0	"c_tribute_emperor_SECOND_peer_contempt"	"p_peer_contempt"	"DURATION[4]"
449	0	"c_tribute_shogun_FIRST_shogunal_deputy"	"p_shogunal_deputy"	"DURATION[6]"
459	0	"c_tribute_shogun_SECOND_peer_contempt"	"p_peer_contempt"	"DURATION[4]"
469	0	"c_urban_migration_FIRST_meagre_harvest"	"p_meagre_harvest"	"DURATION[4]"
470	0	"c_urban_migration_SECOND_merchant_discontent"	"p_merchant_discontent"	"DURATION[4]"
477	0	"c_wako_threat_FIRST_able_sailors"	"p_able_sailors"	"DURATION[4]"
479	0	"c_wako_threat_FIRST_lucrative_shipping"	"p_lucrative_shipping"	"DURATION[4]"
484	0	"c_wako_threat_SECOND_rampant_piracy"	"p_rampant_piracy"	"DURATION[4]"
49	0	"c_conflict_beliefs_christian_FIRST_nanban_ambassador"	"p_nanban_ambassador"	"DURATION[8]"
492	0	"i_defection"	"DEFECTION"	"remove_me"
56	0	"c_conflict_beliefs_christian_FIRST_rebellion"	"REBELLION"	"remove_me"
626	0	"i_dis_earthquake"	"p_dis_earthquake"	"DURATION[2]"
632	0	"i_dis_tsunami"	"p_dis_tsunami"	"DURATION[2]"
636	0	"i_dis_typhoon"	"p_dis_typhoon"	"DURATION[2]"
640	0	"i_dis_volcano"	"p_dis_volcano"	"DURATION[2]"
643	0	"i_dis_drought"	"p_dis_drought"	"DURATION[2]"
649	0	"i_dis_flood"	"p_dis_flood"	"DURATION[2]"
656	0	"i_dis_fire"	"p_dis_fire"	"DURATION[2]"
657	0	"i_dis_severe_winter"	"p_dis_severe_winter"	"DURATION[2]"
66	0	"c_conflict_beliefs_christian_SECOND_old_ways"	"p_old_ways"	"DURATION[4]"
662	0	"i_dis_stormy_seas"	"p_dis_stormy_seas"	"DURATION[2]"
670	0	"c_omen_wind_typhoon"	"p_dis_typhoon"	"DURATION[2]"
677	0	"c_omen_fire_fire"	"p_dis_fire"	"DURATION[2]"
680	0	"c_omen_fire_volcano"	"p_dis_volcano"	"DURATION[2]"
685	0	"c_omen_mountain_earthquake"	"p_dis_earthquake"	"DURATION[2]"
694	0	"c_omen_mountain_volcano"	"p_dis_volcano"	"DURATION[2]"
701	0	"c_omen_ocean_tsunami"	"p_dis_tsunami"	"DURATION[2]"
71	0	"c_desecration_FIRST_nanban_ire"	"p_nanban_ire"	"DURATION[8]"
714	0	"c_imperial_new_year_SECOND_peer_contempt"	"p_peer_contempt"	"DURATION[4]"
724	0	"i_religion_convert_nanban_trade"	"UNLOCK_STATE_RELIGION_CHANGE"	"remove_me"
728	0	"i_religion_convert_christian_influence"	"UNLOCK_STATE_RELIGION_CHANGE"	"remove_me"
733	0	"c_conflict_beliefs_buddhist_FIRST_rebellion"	"TARGET"	"EVENT"
741	0	"c_conflict_beliefs_christian_FIRST_rebellion"	"TARGET"	"EVENT"
746	0	"c_desecration_SECOND_rebellion"	"TARGET"	"EVENT"
748	0	"c_disgruntled_vassal_SECOND_rebellion"	"TARGET"	"EVENT"
752	0	"c_disloyalty_FIRST_rebellion"	"TARGET"	"EVENT"
753	0	"c_land_dispute_FIRST_rebellion"	"TARGET"	"EVENT"
755	0	"c_land_dispute_SECOND_rebellion"	"TARGET"	"EVENT"
756	0	"i_nanban_trade_nondilemma"	"BUILDING_LEVEL_RESTRICTION"	"BUILDING_LEVEL[SHO_Port_3_Nanban_Trade_Port];ENABLE"
764	0	"i_dis_meagre_harvest"	"p_meagre_harvest_local"	"DURATION[4]"
774	0	"i_dis_volcano_asama"	"p_dis_volcano"	"DURATION[2]"
782	0	"i_dis_volcano_aso"	"p_dis_volcano"	"DURATION[2]"
788	0	"i_dis_volcano_bandai"	"p_dis_volcano"	"DURATION[2]"
797	0	"i_dis_volcano_chokai"	"p_dis_volcano"	"DURATION[2]"
801	0	"i_dis_volcano_fuji"	"p_dis_volcano"	"DURATION[2]"
809	0	"i_dis_volcano_haku"	"p_dis_volcano"	"DURATION[2]"
81	0	"c_desecration_FIRST_old_ways"	"p_old_ways"	"DURATION[4]"
811	0	"i_dis_volcano_nasu"	"p_dis_volcano"	"DURATION[2]"
816	0	"i_dis_volcano_sakurajima"	"p_dis_volcano"	"DURATION[2]"
818	0	"i_dis_volcano_unzen"	"p_dis_volcano"	"DURATION[2]"
822	0	"i_dis_volcano_yake"	"p_dis_volcano"	"DURATION[2]"
828	0	"i_dis_volcano_zao"	"p_dis_volcano"	"DURATION[2]"
832	0	"i_dis_disease"	"p_dis_disease"	"DURATION[2]"
84	0	"c_desecration_SECOND_anti_nanban_riots"	"p_anti_nanban_riots_local"	"DURATION[4]"
841	0	"i_dis_earthquake"	"TARGET"	"EVENT"
844	0	"i_dis_tsunami"	"TARGET"	"EVENT"
850	0	"i_dis_typhoon"	"TARGET"	"EVENT"
851	0	"i_dis_volcano"	"TARGET"	"EVENT"
861	0	"i_dis_volcano_asama"	"TARGET"	"EVENT"
864	0	"i_dis_volcano_aso"	"TARGET"	"EVENT"
871	0	"i_dis_volcano_bandai"	"TARGET"	"EVENT"
881	0	"i_dis_volcano_chokai"	"TARGET"	"EVENT"
885	0	"i_dis_volcano_fuji"	"TARGET"	"EVENT"
894	0	"i_dis_volcano_haku"	"TARGET"	"EVENT"
898	0	"i_dis_volcano_nasu"	"TARGET"	"EVENT"
904	0	"i_dis_volcano_sakurajima"	"TARGET"	"EVENT"
907	0	"i_dis_volcano_unzen"	"TARGET"	"EVENT"
911	0	"i_dis_volcano_yake"	"TARGET"	"EVENT"
913	0	"i_dis_volcano_zao"	"TARGET"	"EVENT"
92	0	"c_desecration_SECOND_rebellion"	"REBELLION"	"remove_me"
929	0	"i_teeming_sea"	"TARGET"	"EVENT"
933	0	"i_safeguard"	"TARGET"	"EVENT"
934	0	"i_dis_disease"	"TARGET"	"EVENT"
944	0	"i_dis_drought"	"TARGET"	"EVENT"
954	0	"i_dis_flood"	"TARGET"	"EVENT"
956	0	"i_dis_fire"	"TARGET"	"EVENT"
96	0	"c_disgruntled_vassal_SECOND_rebellion"	"REBELLION"	"remove_me"
965	0	"i_dis_severe_winter"	"TARGET"	"EVENT"
966	0	"c_omen_ocean_tsunami"	"TARGET"	"EVENT"
973	0	"c_omen_mountain_earthquake"	"TARGET"	"EVENT"
982	0	"c_omen_mountain_volcano"	"TARGET"	"EVENT"
989	0	"c_omen_fire_fire"	"TARGET"	"EVENT"
991	0	"c_omen_fire_volcano"	"TARGET"	"EVENT"
994	0	"c_omen_wind_typhoon"	"TARGET"	"EVENT"
997	0	"c_intoxication_FIRST_provincial_discord"	"TARGET"	"EVENT"
