version 5, schema battles_tables, guid f1cc110e-afc9-4192-b1bd-23a3623aacea
Map_Name(string)	Map_Type(string)	Is_Naval(boolean)	specification(string)	Thumbnail(optstring)	Unknown1(boolean)	team_size_1(int)	team_size_2(int)	release(boolean)	multiplayer(boolean)	Unknown6(boolean)	unknown12(optstring)	unknown13(int)	unknown14(float)	unknown15(boolean)	unknown16(boolean)
"sho_mp_boshin_nishizawa_valley"	"classic"	false	"BattleTerrain/presets/sho_mp_boshin_nishizawa_valley/"	"BattleTerrain/presets/sho_mp_boshin_nishizawa_valley/screenshot_small.tga"	false	4	4	true	true	false	nil	0	1	true	true
"sho_mp_boshin_nishizawa_valley_no_kbs"	"classic"	false	"BattleTerrain/presets/sho_mp_boshin_nishizawa_valley_no_kbs/"	"BattleTerrain/presets/sho_mp_boshin_nishizawa_valley_no_kbs/screenshot_small.tga"	false	4	4	true	true	true	nil	0	1	false	false
"sho_mp_boshin_osaka_plain"	"classic"	false	"BattleTerrain/presets/sho_mp_boshin_osaka_plain/"	"BattleTerrain/presets/sho_mp_boshin_osaka_plain/screenshot_small.tga"	false	4	4	true	true	false	nil	0	1	true	true
"sho_mp_boshin_osaka_plain_no_kbs"	"classic"	false	"BattleTerrain/presets/sho_mp_boshin_osaka_plain_no_kbs/"	"BattleTerrain/presets/sho_mp_boshin_osaka_plain_no_kbs/screenshot_small.tga"	false	4	4	true	true	true	nil	0	1	false	false
"sho_mp_boshin_ridge_pass"	"classic"	false	"BattleTerrain/presets/sho_mp_boshin_ridge_pass/"	"BattleTerrain/presets/sho_mp_boshin_ridge_pass/screenshot_small.tga"	false	4	4	true	true	false	nil	0	1	true	true
"sho_mp_boshin_ridge_pass_no_kbs"	"classic"	false	"BattleTerrain/presets/sho_mp_boshin_ridge_pass_no_kbs/"	"BattleTerrain/presets/sho_mp_boshin_ridge_pass_no_kbs/screenshot_small.tga"	false	4	4	true	true	true	nil	0	1	false	false
"sho_mp_boshin_ubayu_onsen"	"classic"	false	"BattleTerrain/presets/sho_mp_boshin_ubayu_onsen/"	"BattleTerrain/presets/sho_mp_boshin_ubayu_onsen/screenshot_small.tga"	false	4	4	true	true	false	nil	0	1	true	true
"sho_mp_boshin_ubayu_onsen_no_kbs"	"classic"	false	"BattleTerrain/presets/sho_mp_boshin_ubayu_onsen_no_kbs/"	"BattleTerrain/presets/sho_mp_boshin_ubayu_onsen_no_kbs/screenshot_small.tga"	false	4	4	true	true	true	nil	0	1	false	false
"sho_mp_boshin_usui_pass"	"classic"	false	"BattleTerrain/presets/sho_mp_boshin_usui_pass/"	"BattleTerrain/presets/sho_mp_boshin_usui_pass/screenshot_small.tga"	false	4	4	true	true	false	nil	0	1	true	true
"sho_mp_boshin_usui_pass_no_kbs"	"classic"	false	"BattleTerrain/presets/sho_mp_boshin_usui_pass_no_kbs/"	"BattleTerrain/presets/sho_mp_boshin_usui_pass_no_kbs/screenshot_small.tga"	false	4	4	true	true	true	nil	0	1	false	false
"sho_mp_caldera"	"classic"	false	"BattleTerrain/Presets/sho_mp_caldera/"	nil	false	4	4	true	true	false	nil	0	1	true	true
"sho_mp_chikugo_river"	"classic"	false	"BattleTerrain/presets/sho_mp_chikugo_river/"	nil	false	4	4	true	true	false	nil	0	1	true	true
"sho_mp_chikugo_river_no_kbs"	"classic"	false	"BattleTerrain/presets/sho_mp_chikugo_river_no_kbs/"	nil	false	4	4	true	true	true	nil	0	1	false	false
"sho_mp_crossroads"	"classic"	false	"BattleTerrain/presets/sho_mp_crossroads/"	nil	false	4	4	true	true	false	nil	0	1	true	true
"sho_mp_crossroads_no_kbs"	"classic"	false	"BattleTerrain/presets/sho_mp_crossroads_no_kbs/"	nil	false	4	4	true	true	true	nil	0	1	false	false
"sho_mp_daisetsuzan_basin"	"classic"	false	"BattleTerrain/presets/sho_mp_daisetsuzan_basin/"	nil	false	4	4	true	true	false	nil	0	1	true	true
"sho_mp_daisetsuzan_basin_no_kbs"	"classic"	false	"BattleTerrain/presets/sho_mp_daisetsuzan_basin_no_kbs/"	nil	false	4	4	true	true	true	nil	0	1	false	false
"sho_mp_dlc_chubu"	"classic"	false	"BattleTerrain/presets/sho_mp_dlc_chubu/"	"BattleTerrain/presets/sho_mp_dlc_chubu/screenshot_small.tga"	false	4	4	true	true	false	nil	0	1	true	true
"sho_mp_dlc_chubu_no_kbs"	"classic"	false	"BattleTerrain/presets/sho_mp_dlc_chubu_no_kbs/"	"BattleTerrain/presets/sho_mp_dlc_chubu_no_kbs/screenshot_small.tga"	false	4	4	true	true	true	nil	0	1	false	false
"sho_mp_dlc_chugoku"	"classic"	false	"BattleTerrain/presets/sho_mp_dlc_chugoku/"	"BattleTerrain/presets/sho_mp_dlc_chugoku/screenshot_small.tga"	false	4	4	true	true	false	nil	0	1	true	true
"sho_mp_dlc_chugoku_no_kbs"	"classic"	false	"BattleTerrain/presets/sho_mp_dlc_chugoku_no_kbs/"	"BattleTerrain/presets/sho_mp_dlc_chugoku_no_kbs/screenshot_small.tga"	false	4	4	true	true	true	nil	0	1	false	false
"sho_mp_dlc_ehime"	"classic"	false	"BattleTerrain/presets/sho_mp_dlc_ehime/"	"BattleTerrain/presets/sho_mp_dlc_ehime/screenshot_small.tga"	false	4	4	true	true	false	nil	0	1	true	true
"sho_mp_dlc_ehime_no_kbs"	"classic"	false	"BattleTerrain/presets/sho_mp_dlc_ehime_no_kbs/"	"BattleTerrain/presets/sho_mp_dlc_ehime_no_kbs/screenshot_small.tga"	false	4	4	true	true	true	nil	0	1	false	false
"sho_mp_dlc_gunma"	"classic"	false	"BattleTerrain/presets/sho_mp_dlc_gunma/"	"BattleTerrain/presets/sho_mp_dlc_gunma/screenshot_small.tga"	false	4	4	true	true	false	nil	0	1	true	false
"sho_mp_dlc_gunma_no_kbs"	"classic"	false	"BattleTerrain/presets/sho_mp_dlc_gunma_no_kbs/"	"BattleTerrain/presets/sho_mp_dlc_gunma_no_kbs/screenshot_small.tga"	false	4	4	true	true	true	nil	0	1	false	false
"sho_mp_dlc_hokuriku"	"classic"	false	"BattleTerrain/presets/sho_mp_dlc_hokuriku/"	"BattleTerrain/presets/sho_mp_dlc_hokuriku/screenshot_small.tga"	false	4	4	true	true	false	nil	0	1	true	true
"sho_mp_dlc_hokuriku_no_kbs"	"classic"	false	"BattleTerrain/presets/sho_mp_dlc_hokuriku_no_kbs/"	"BattleTerrain/presets/sho_mp_dlc_hokuriku_no_kbs/screenshot_small.tga"	false	4	4	true	true	true	nil	0	1	false	false
"sho_mp_dlc_kansai"	"classic"	false	"BattleTerrain/presets/sho_mp_dlc_kansai/"	"BattleTerrain/presets/sho_mp_dlc_kansai/screenshot_small.tga"	false	4	4	true	true	false	nil	0	1	true	true
"sho_mp_dlc_kansai_no_kbs"	"classic"	false	"BattleTerrain/presets/sho_mp_dlc_kansai_no_kbs/"	"BattleTerrain/presets/sho_mp_dlc_kansai_no_kbs/screenshot_small.tga"	false	4	4	true	true	true	nil	0	1	false	false
"sho_mp_dlc_kanto"	"classic"	false	"BattleTerrain/presets/sho_mp_dlc_kanto/"	"BattleTerrain/presets/sho_mp_dlc_kanto/screenshot_small.tga"	false	4	4	true	true	false	nil	0	1	true	true
"sho_mp_dlc_kanto_no_kbs"	"classic"	false	"BattleTerrain/presets/sho_mp_dlc_kanto_no_kbs/"	"BattleTerrain/presets/sho_mp_dlc_kanto_no_kbs/screenshot_small.tga"	false	4	4	true	true	true	nil	0	1	false	false
"sho_mp_dlc_koshinetsu"	"classic"	false	"BattleTerrain/presets/sho_mp_dlc_koshinetsu/"	"BattleTerrain/presets/sho_mp_dlc_koshinetsu/screenshot_small.tga"	false	4	4	true	true	false	nil	0	1	true	true
"sho_mp_dlc_koshinetsu_no_kbs"	"classic"	false	"BattleTerrain/presets/sho_mp_dlc_koshinetsu_no_kbs/"	"BattleTerrain/presets/sho_mp_dlc_koshinetsu_no_kbs/screenshot_small.tga"	false	4	4	true	true	true	nil	0	1	false	false
"sho_mp_dlc_saga"	"classic"	false	"BattleTerrain/presets/sho_mp_dlc_saga/"	"BattleTerrain/presets/sho_mp_dlc_saga/screenshot_small.tga"	false	4	4	true	true	false	nil	0	1	true	true
"sho_mp_dlc_saga_no_kbs"	"classic"	false	"BattleTerrain/presets/sho_mp_dlc_saga_no_kbs/"	"BattleTerrain/presets/sho_mp_dlc_saga_no_kbs/screenshot_small.tga"	false	4	4	true	true	true	nil	0	1	false	false
"sho_mp_dlc_tohoku"	"classic"	false	"BattleTerrain/presets/sho_mp_dlc_tohoku/"	"BattleTerrain/presets/sho_mp_dlc_tohoku/screenshot_small.tga"	false	4	4	true	true	false	nil	0	1	true	true
"sho_mp_dlc_tohoku_no_kbs"	"classic"	false	"BattleTerrain/presets/sho_mp_dlc_tohoku_no_kbs/"	"BattleTerrain/presets/sho_mp_dlc_tohoku_no_kbs/screenshot_small.tga"	false	4	4	true	true	true	nil	0	1	false	false
"sho_mp_dlc_tokai"	"classic"	false	"BattleTerrain/presets/sho_mp_dlc_tokai/"	"BattleTerrain/presets/sho_mp_dlc_tokai/screenshot_small.tga"	false	4	4	true	true	false	nil	0	1	true	true
"sho_mp_dlc_tokai_no_kbs"	"classic"	false	"BattleTerrain/presets/sho_mp_dlc_tokai_no_kbs/"	"BattleTerrain/presets/sho_mp_dlc_tokai_no_kbs/screenshot_small.tga"	false	4	4	true	true	true	nil	0	1	false	false
"sho_mp_flood_plain"	"classic"	false	"BattleTerrain/presets/sho_mp_flood_plain/"	"BattleTerrain/presets/sho_mp_flood_plain/screenshot_small.tga"	false	4	4	true	true	false	nil	0	1	true	true
"sho_mp_flood_plain_no_kbs"	"classic"	false	"BattleTerrain/presets/sho_mp_flood_plain_no_kbs/"	"BattleTerrain/presets/sho_mp_flood_plain_no_kbs/screenshot_small.tga"	false	4	4	true	true	true	nil	0	1	false	false
"sho_mp_foothills"	"classic"	false	"BattleTerrain/presets/sho_mp_foothills/"	nil	false	4	4	true	true	false	nil	0	1	true	true
"sho_mp_foothills_no_kbs"	"classic"	false	"BattleTerrain/presets/sho_mp_foothills_no_kbs/"	nil	false	4	4	true	true	true	nil	0	1	false	false
"sho_mp_forest_gully"	"classic"	false	"BattleTerrain/presets/sho_mp_forest_gully/"	nil	false	4	4	true	true	false	nil	0	1	true	true
"sho_mp_grassy_flatlands"	"classic"	false	"BattleTerrain/presets/SHO_MP_Grassy_Flatlands/"	"BattleTerrain/presets/Key_Buildings/screenshot_small.tga"	false	4	4	false	true	true	nil	0	1	false	true
"sho_mp_hida_mountains"	"classic"	false	"BattleTerrain/presets/sho_mp_hida_mountains/"	"BattleTerrain/presets/sho_mp_hida_mountains/screenshot_small.tga"	false	4	4	true	true	false	nil	0	1	true	true
"sho_mp_hida_mountains_no_kbs"	"classic"	false	"BattleTerrain/presets/sho_mp_hida_mountains_no_kbs/"	"BattleTerrain/presets/sho_mp_hida_mountains_no_kbs/screenshot_small.tga"	false	4	4	true	true	true	nil	0	1	false	false
"sho_mp_ikenoura_village"	"classic"	false	"BattleTerrain/Presets/sho_mp_ikenoura_village/"	nil	false	3	3	true	true	false	nil	0	1	true	true
"sho_mp_koyasan_temple"	"classic"	false	"BattleTerrain/Presets/sho_mp_koyasan_temple/"	nil	false	2	2	true	true	false	nil	0	1	true	true
"sho_mp_lowlands"	"classic"	false	"BattleTerrain/presets/sho_mp_lowlands/"	nil	false	4	4	true	true	false	nil	0	1	true	true
"sho_mp_lowlands_no_kbs"	"classic"	false	"BattleTerrain/presets/sho_mp_lowlands_no_kbs/"	nil	false	4	4	true	true	true	nil	0	1	false	false
"sho_mp_naval_akai_cove"	"naval"	true	"BattleTerrain/presets/sho_mp_naval_akai_cove/"	nil	false	4	4	true	true	true	nil	0	1	false	true
"sho_mp_naval_aodaisho_sea"	"naval"	true	"BattleTerrain/presets/sho_mp_naval_aodaisho_sea/"	nil	false	2	2	true	true	true	nil	0	1	false	true
"sho_mp_naval_archipelago"	"naval"	true	"BattleTerrain/presets/sho_mp_naval_archipelago/"	nil	false	4	4	true	true	true	nil	0	1	false	true
"sho_mp_naval_cape_nosappu"	"naval"	true	"BattleTerrain/presets/sho_mp_naval_cape_nosappu/"	nil	false	2	2	true	true	true	nil	0	1	false	true
"sho_mp_naval_island_chain"	"naval"	true	"BattleTerrain/presets/sho_mp_naval_island_chain/"	nil	false	4	4	true	true	true	nil	0	1	false	true
"sho_mp_naval_monkey_bay"	"naval"	true	"BattleTerrain/presets/sho_mp_naval_monkey_bay/"	nil	false	4	4	true	true	true	nil	0	1	false	true
"sho_mp_naval_strait_of_shimonoseki"	"naval"	true	"BattleTerrain/presets/sho_mp_naval_strait_of_shimonoseki/"	nil	false	3	3	true	true	true	nil	0	1	false	true
"sho_mp_naval_suruga_bay"	"naval"	true	"BattleTerrain/presets/sho_mp_naval_suruga_bay/"	nil	false	4	4	true	true	true	nil	0	1	false	true
"sho_mp_numazawa"	"classic"	false	"BattleTerrain/presets/sho_mp_numazawa/"	nil	false	4	4	true	true	false	nil	0	1	true	true
"sho_mp_numazawa_no_kbs"	"classic"	false	"BattleTerrain/presets/sho_mp_numazawa_no_kbs/"	nil	false	4	4	true	true	true	nil	0	1	false	false
"sho_mp_oboke_gorge"	"classic"	false	"BattleTerrain/presets/sho_mp_oboke_gorge/"	nil	false	4	4	true	true	false	nil	0	1	true	true
"sho_mp_rice_fields"	"classic"	false	"BattleTerrain/Presets/sho_mp_rice_fields/"	nil	false	4	4	true	true	false	nil	0	1	true	true
"sho_mp_rice_fields_no_kbs"	"classic"	false	"BattleTerrain/Presets/sho_mp_rice_fields_no_kbs/"	nil	false	4	4	true	true	true	nil	0	1	false	false
"sho_mp_river_town"	"classic"	false	"BattleTerrain/Presets/sho_mp_river_town/"	nil	false	4	4	true	true	false	nil	0	1	true	true
"sho_mp_sakura_ridge"	"classic"	false	"BattleTerrain/presets/sho_mp_sakura_ridge/"	nil	false	4	4	true	true	false	nil	0	1	true	true
"sho_mp_sakura_ridge_no_kbs"	"classic"	false	"BattleTerrain/presets/sho_mp_sakura_ridge_no_kbs/"	nil	false	4	4	true	true	true	nil	0	1	false	false
"sho_mp_sanriku_ria"	"classic"	false	"BattleTerrain/presets/sho_mp_sanriku_ria/"	"BattleTerrain/presets/sho_mp_sanriku_ria/screenshot_small.tga"	false	3	3	true	true	false	nil	0	1	true	true
"sho_mp_sanriku_ria_no_kbs"	"classic"	false	"BattleTerrain/presets/sho_mp_sanriku_ria_no_kbs/"	"BattleTerrain/presets/sho_mp_sanriku_ria_no_kbs/screenshot_small.tga"	false	3	3	true	true	true	nil	0	1	false	false
"sho_mp_shinano_river"	"classic"	false	"BattleTerrain/Presets/sho_mp_shinano_river/"	nil	false	4	4	true	true	false	nil	0	1	true	true
"sho_mp_shinano_river_no_kbs"	"classic"	false	"BattleTerrain/Presets/sho_mp_shinano_river_no_kbs/"	nil	false	4	4	true	true	true	nil	0	1	false	false
"sho_mp_slumbering_settlement"	"classic"	false	"BattleTerrain/Presets/sho_mp_slumbering_settlement/"	nil	false	4	4	true	true	false	nil	0	1	true	true
"sho_mp_slumbering_settlement_no_kbs"	"classic"	false	"BattleTerrain/Presets/sho_mp_slumbering_settlement_no_kbs/"	nil	false	4	4	true	true	true	nil	0	1	false	false
"sho_mp_tranquil_streams"	"classic"	false	"BattleTerrain/Presets/sho_mp_tranquil_streams/"	nil	false	4	4	true	true	false	nil	0	1	true	true
"sho_mp_waterfalls"	"classic"	false	"BattleTerrain/Presets/sho_mp_waterfalls/"	nil	false	4	4	true	true	false	nil	0	1	true	true
"sho_mp_yamasaki_choke_point"	"classic"	false	"BattleTerrain/presets/sho_mp_yamasaki_choke_point/"	nil	false	4	4	true	true	false	nil	0	1	true	true
"tree_test_v2"	"classic"	false	"BattleTerrain/presets/tree_test_v2/"	nil	false	4	4	false	true	true	nil	0	1	false	false
