version 5, schema units_tables
Unit_ID(string)	Screen_Name(string)	Category(string)	Class(string)	MP_Cost_Early(int)	MP_Cost_Late(int)	Turns_to_Build(int)	Cost(int)	Upkeep(int)	Campaign_Map_Action_Points(int)	Enabled__x0023__True_x0020_Disabled__x0023__False(boolean)	unknown4(string)	Unit_Icon_Path(string)	Unit_Info_Pic_Path(string)	Localisation_Key(string)	Region_IDRef(optstring)	Unit_Limit(int)	MP_Category(string)	Early_Availability(boolean)	Related_with_x0020_Early_x0020_availability(boolean)	Late_Availability(boolean)	unknown9(int)	Garrison_Availability(boolean)	MP_Unit_Limit(int)	unknown25(optstring)	unknown26(boolean)
"Cav_Heavy_British_Dragoons"	"Dragoons"	"cavalry"	"cavalry_heavy"	680	680	2	560	240	29	true	"dragoons"	"placeholder_cavalry"	"placeholder"	"Cav_Heavy_Dragoons"	"global"	0	"mp_cavalry"	true	true	true	0	false	0	"heavy_cavalry"	false
"Cav_Heavy_British_Horse_Guards"	"Horse Guards"	"cavalry"	"cavalry_heavy"	1020	1020	4	820	350	29	true	"cavalry_household"	"placeholder_cavalry"	"placeholder"	"Cav_Heavy_British_Horse_Guards"	"global"	1	"mp_cavalry"	true	true	true	5	false	2	"heavy_cavalry"	false
"Cav_Heavy_British_Horse_Guards_Uxbridge"	"Earl of Uxbridge"	"cavalry"	"cavalry_heavy"	1020	1020	4	820	350	29	true	"cavalry_household"	"placeholder_cavalry"	"placeholder"	"Cav_Heavy_British_Horse_Guards_Uxbridge"	"global"	1	"mp_cavalry"	false	false	false	5	false	2	"heavy_cavalry"	false
"Cav_Heavy_British_KGL_Dragoons"	"Kings German Legion Dragoons"	"cavalry"	"cavalry_heavy"	760	760	2	620	270	29	true	"dragoons"	"placeholder_cavalry"	"placeholder"	"Cav_Heavy_British_KGL_Dragoons"	"global"	2	"mp_cavalry"	true	true	true	0	false	2	"heavy_cavalry"	false
"Cav_Heavy_British_Life_Guards"	"Life Guards"	"cavalry"	"cavalry_heavy"	950	950	4	760	330	29	true	"cavalry_life_guards"	"placeholder_cavalry"	"placeholder"	"Cav_Heavy_British_Life_Guards"	"global"	2	"mp_cavalry"	true	true	true	5	false	4	"heavy_cavalry"	false
"Cav_Heavy_British_Royal_Scots_Greys"	"Royal Scots Greys"	"cavalry"	"cavalry_heavy"	880	880	2	710	310	29	true	"cavalry_cuirassiers"	"placeholder_cavalry"	"placeholder"	"Cav_Heavy_British_Royal_Scots_Greys"	"global"	1	"mp_cavalry"	true	true	true	0	false	1	"heavy_cavalry"	false
"Cav_Heavy_Carabiniers"	"Carabiniers"	"cavalry"	"cavalry_heavy"	780	780	4	640	200	29	true	"cavalry_dragoon_carabineer"	"placeholder_cavalry"	"placeholder"	"Cav_Heavy_Carabiniers"	"global"	0	"mp_cavalry"	true	true	true	0	false	0	"heavy_cavalry"	false
"Cav_Heavy_Cuirassiers"	"Cuirassiers"	"cavalry"	"cavalry_heavy"	850	850	4	690	220	29	true	"cavalry_cuirassiers"	"placeholder_cavalry"	"placeholder"	"Cav_Heavy_Cuirassiers"	"global"	0	"mp_cavalry"	true	true	true	0	false	0	"heavy_cavalry"	false
"Cav_Heavy_Dragoons"	"Dragoons"	"cavalry"	"cavalry_heavy"	650	650	2	540	170	29	true	"dragoons"	"placeholder_cavalry"	"placeholder"	"Cav_Heavy_Dragoons"	"global"	0	"mp_cavalry"	true	true	true	0	false	0	"heavy_cavalry"	false
"Cav_Heavy_French_Carabiniers"	"Carabiniers"	"cavalry"	"cavalry_heavy"	1110	1110	4	890	280	29	true	"cavalry_dragoon_carabineer"	"placeholder_cavalry"	"placeholder"	"Cav_Heavy_French_Carabiniers"	"global"	2	"mp_cavalry"	true	true	true	5	false	2	"heavy_cavalry"	false
"Cav_Heavy_French_Cuirassiers"	"Cuirassiers"	"cavalry"	"cavalry_heavy"	980	980	4	780	250	29	true	"cavalry_cuirassiers"	"placeholder_cavalry"	"placeholder"	"Cav_Heavy_Cuirassiers"	"global"	0	"mp_cavalry"	true	true	true	0	false	0	"heavy_cavalry"	false
"Cav_Heavy_French_Cuirassiers_Murat"	"Joachim Murat"	"cavalry"	"cavalry_heavy"	980	980	4	780	250	29	true	"cavalry_cuirassiers"	"placeholder_cavalry"	"placeholder"	"Cav_Heavy_French_Cuirassiers_Murat"	"global"	0	"mp_cavalry"	true	true	true	0	false	0	"heavy_cavalry"	false
"Cav_Heavy_French_Cuirassiers_Ney"	"Michel Ney"	"cavalry"	"cavalry_heavy"	980	980	4	780	250	29	true	"cavalry_cuirassiers"	"placeholder_cavalry"	"placeholder"	"Cav_Heavy_French_Cuirassiers_Ney"	"global"	0	"mp_cavalry"	true	true	true	0	false	0	"heavy_cavalry"	false
"Cav_Heavy_French_Dragoons"	"Dragoons"	"cavalry"	"cavalry_heavy"	770	770	2	630	200	29	true	"dragoons"	"placeholder_cavalry"	"placeholder"	"Cav_Heavy_Dragoons"	"global"	0	"mp_cavalry"	true	true	true	0	false	0	"heavy_cavalry"	false
"Cav_Heavy_French_Grenadiers_a_Cheval"	"Grenadiers à Cheval"	"cavalry"	"cavalry_heavy"	1110	1110	4	890	280	29	true	"cavalry_life_guards"	"placeholder_cavalry"	"placeholder"	"Cav_Heavy_French_Grenadiers_a_Cheval"	"global"	4	"mp_cavalry"	true	true	true	5	false	4	"heavy_cavalry"	false
"Cav_Heavy_French_Tutorial_Dragoons"	"Dragoons"	"cavalry"	"cavalry_heavy"	770	770	1	620	200	29	true	"dragoons"	"placeholder_cavalry"	"placeholder"	"Cav_Heavy_Dragoons"	"global"	1	"mp_cavalry"	true	true	true	0	false	0	"heavy_cavalry"	false
"Cav_Heavy_Garde_du_Corp"	"Garde du Corp"	"cavalry"	"cavalry_heavy"	900	900	4	720	230	29	true	"cavalry_garde_du_corps"	"placeholder_cavalry"	"placeholder"	"Cav_Heavy_Garde_du_Corp"	"global"	0	"mp_cavalry"	true	true	true	5	false	0	"heavy_cavalry"	false
"Cav_Heavy_Italian_Guards_of_Honour"	"Guards of Honour"	"cavalry"	"cavalry_heavy"	900	900	4	720	230	29	true	"cavalry_life_guards"	"placeholder_cavalry"	"placeholder"	"Cav_Heavy_Italian_Guards_of_Honour"	"global"	4	"mp_cavalry"	true	true	true	5	false	4	"heavy_cavalry"	false
"Cav_Heavy_Life_Guards_of_Horse"	"Life Guards of Horse"	"cavalry"	"cavalry_heavy"	920	920	4	740	240	29	true	"cavalry_life_guards"	"placeholder_cavalry"	"placeholder"	"Cav_Heavy_Life_Guards_of_Horse"	"global"	4	"mp_cavalry"	true	true	true	5	false	4	"heavy_cavalry"	false
"Cav_Heavy_Ottoman_Silahtar_Guard"	"Silahtar Guard"	"cavalry"	"cavalry_heavy"	910	910	4	730	230	29	true	"cavalry_sipahi"	"placeholder_cavalry"	"placeholder"	"Cav_Heavy_Ottoman_Silahtar_Guard"	"global"	4	"mp_cavalry"	true	true	true	5	false	4	"heavy_cavalry"	false
"Cav_Heavy_Ottoman_Siphai_Cavalry"	"Siphai Cavalry"	"cavalry"	"cavalry_heavy"	770	770	3	630	200	29	true	"cavalry_cuirassiers"	"placeholder_cavalry"	"placeholder"	"Cav_Heavy_Ottoman_Siphai_Cavalry"	"global"	0	"mp_cavalry"	true	true	true	0	false	0	"heavy_cavalry"	false
"Cav_Heavy_Prussian_Cuirassiers"	"Cuirassiers"	"cavalry"	"cavalry_heavy"	850	850	4	680	220	29	true	"cavalry_cuirassiers"	"placeholder_cavalry"	"placeholder"	"Cav_Heavy_Prussian_Cuirassiers"	"global"	0	"mp_cavalry"	true	true	true	0	false	0	"heavy_cavalry"	false
"Cav_Heavy_Prussian_Dragoons"	"Dragoons"	"cavalry"	"cavalry_heavy"	710	710	2	580	180	29	true	"dragoons"	"placeholder_cavalry"	"placeholder"	"Cav_Heavy_Dragoons"	"global"	0	"mp_cavalry"	true	true	true	0	false	0	"heavy_cavalry"	false
"Cav_Heavy_Republican_Horse_Guards"	"Horse Guards"	"cavalry"	"cavalry_heavy"	900	900	4	720	230	29	true	"cavalry_life_guards"	"placeholder_cavalry"	"placeholder"	"Cav_Heavy_Republican_Horse_Guards"	"global"	4	"mp_cavalry"	false	false	false	5	false	4	"heavy_cavalry"	false
"Cav_Heavy_Russian_Chevalier_Garde"	"Chevaliers Garde"	"cavalry"	"cavalry_heavy"	1060	1060	4	850	270	29	true	"cavalry_life_guards"	"placeholder_cavalry"	"placeholder"	"Cav_Heavy_Russian_Chevalier_Garde"	"global"	1	"mp_cavalry"	true	true	true	5	false	2	"heavy_cavalry"	false
"Cav_Heavy_Russian_Cuirassiers"	"Cuirassiers"	"cavalry"	"cavalry_heavy"	850	850	4	690	220	29	true	"cavalry_cuirassiers"	"placeholder_cavalry"	"placeholder"	"Cav_Heavy_Cuirassiers"	"global"	0	"mp_cavalry"	true	true	true	0	false	0	"heavy_cavalry"	false
"Cav_Heavy_Russian_Dragoons"	"Dragoons"	"cavalry"	"cavalry_heavy"	710	710	2	580	180	29	true	"dragoons"	"placeholder_cavalry"	"placeholder"	"Cav_Heavy_Dragoons"	"global"	0	"mp_cavalry"	true	true	true	0	false	0	"heavy_cavalry"	false
"Cav_Heavy_Russian_Lifeguard_Horse"	"Lifeguard Horse"	"cavalry"	"cavalry_heavy"	1050	1050	4	840	270	29	true	"cavalry_life_guards"	"placeholder_cavalry"	"placeholder"	"Cav_Heavy_Russian_Lifeguard_Horse"	"global"	4	"mp_cavalry"	true	true	true	5	false	4	"heavy_cavalry"	false
"Cav_Heavy_Spanish_Dragoons"	"Dragoons"	"cavalry"	"cavalry_heavy"	650	650	2	540	170	29	true	"dragoons"	"placeholder_cavalry"	"placeholder"	"Cav_Heavy_Dragoons"	"global"	0	"mp_cavalry"	true	true	true	0	false	0	"heavy_cavalry"	false
"Cav_Heavy_Spanish_Guardias_da_Corp"	"Guardias da Corp"	"cavalry"	"cavalry_heavy"	990	990	4	790	250	29	true	"cavalry_garde_du_corps"	"placeholder_cavalry"	"placeholder"	"Cav_Heavy_Spanish_Guardias_da_Corp"	"global"	4	"mp_cavalry"	true	true	true	5	false	4	"heavy_cavalry"	false
"Cav_Lancer_Austrian_Ulans"	"Ulans"	"cavalry"	"cavalry_lancers"	640	640	2	530	170	32	true	"cavalry_generic"	"placeholder_cavalry"	"placeholder"	"Cav_Lancer_Austrian_Ulans"	"global"	0	"mp_cavalry"	true	true	true	0	false	0	"lancers"	false
"Cav_Lancer_French_7th_Lancers"	"7e Regiment de Chevaulegers-Lanciers"	"cavalry"	"cavalry_lancers"	830	830	2	670	210	32	true	"cavalry_generic"	"placeholder_cavalry"	"placeholder"	"Cav_Lancer_French_7th_Lancers"	"global"	1	"mp_cavalry"	true	true	true	0	false	1	"lancers"	true
"Cav_Lancer_French_Cheveau_Legers_Lancers"	"Chevau-Légers Lancers"	"cavalry"	"cavalry_lancers"	720	720	2	590	190	32	true	"cavalry_chevau"	"placeholder_cavalry"	"placeholder"	"Cav_Lancer_Lancers"	"global"	0	"mp_cavalry"	true	true	true	0	false	0	"lancers"	false
"Cav_Lancer_Lancers"	"Lancers"	"cavalry"	"cavalry_lancers"	570	570	2	470	150	32	true	"cavalry_generic"	"placeholder_cavalry"	"placeholder"	"Cav_Lancer_Lancers"	"global"	0	"mp_cavalry"	true	true	true	0	false	0	"lancers"	false
"Cav_Lancer_Prussian_Brandenburg_Uhlans"	"Brandenburg Uhlans"	"cavalry"	"cavalry_lancers"	670	670	2	560	180	32	true	"cavalry_generic"	"placeholder_cavalry"	"placeholder"	"Cav_Lancer_Prussian_Brandenburg_Uhlans"	"global"	1	"mp_cavalry"	true	true	true	0	false	1	"lancers"	false
"Cav_Lancer_Prussian_Lancers"	"Lancers"	"cavalry"	"cavalry_lancers"	570	570	2	470	150	32	true	"cavalry_generic"	"placeholder_cavalry"	"placeholder"	"Cav_Lancer_Lancers"	"global"	0	"mp_cavalry"	true	true	true	0	false	0	"lancers"	false
"Cav_Lancer_Prussian_Towarczys"	"Towarczys"	"cavalry"	"cavalry_lancers"	600	600	4	500	160	32	true	"cavalry_generic"	"placeholder_cavalry"	"placeholder"	"Cav_Lancer_Prussian_Towarczys"	"global"	1	"mp_cavalry"	true	true	true	0	false	1	"lancers"	false
"Cav_Lancer_Russian_Cossack_Cavalry"	"Cossack Cavalry"	"cavalry"	"cavalry_lancers"	440	440	2	380	120	32	true	"cavalry_generic"	"placeholder_cavalry"	"placeholder"	"Cav_Lancer_Russian_Cossack_Cavalry"	"cossacks"	0	"mp_cavalry"	true	true	true	0	false	0	"lancers"	false
"Cav_Lancer_Russian_Ulans"	"Ulans"	"cavalry"	"cavalry_lancers"	570	570	2	470	150	32	true	"cavalry_generic"	"placeholder_cavalry"	"placeholder"	"Cav_Lancer_Austrian_Ulans"	"global"	0	"mp_cavalry"	true	true	true	0	false	0	"lancers"	false
"Cav_Light_Austrian_1st_Hussars"	"1st Hussars"	"cavalry"	"cavalry_light"	800	800	2	650	210	34	true	"cavalry_hussars"	"placeholder_cavalry"	"placeholder"	"Cav_Light_Austrian_1st_Hussars"	"global"	1	"mp_cavalry"	true	true	true	0	false	1	"light_cavalry"	true
"Cav_Light_Austrian_Hungarian_Hussars"	"Hungarian Hussars"	"cavalry"	"cavalry_light"	730	730	2	600	190	34	true	"cavalry_hussars"	"placeholder_cavalry"	"placeholder"	"Cav_Light_Austrian_Hungarian_Hussars"	"hungary"	0	"mp_cavalry"	true	true	true	0	false	0	"light_cavalry"	false
"Cav_Light_Bedouin_Camel_Warriors"	"Camel Warriors"	"cavalry"	"cavalry_light"	560	560	2	470	150	34	true	"cavalry_hussars"	"placeholder_cavalry"	"placeholder"	"Cav_Light_Bedouin_Camel_Warriors"	"bedouin"	0	"mp_cavalry"	true	true	true	0	false	0	"light_cavalry"	false
"Cav_Light_British_15th_Hussars"	"15th Hussars"	"cavalry"	"cavalry_light"	730	730	2	600	260	34	true	"cavalry_hussars"	"placeholder_cavalry"	"placeholder"	"Cav_Light_British_15th_Hussars"	"global"	1	"mp_cavalry"	true	true	true	0	false	1	"light_cavalry"	true
"Cav_Light_British_KGL_Light_Dragoons"	"Kings German Legion Light Dragoons"	"cavalry"	"cavalry_light"	680	680	2	560	240	34	true	"dragoons_light"	"placeholder_cavalry"	"placeholder"	"Cav_Light_British_KGL_Light_Dragoons"	"global"	3	"mp_cavalry"	true	true	true	0	false	2	"light_cavalry"	false
"Cav_Light_British_Light_Dragoons"	"Light Dragoons"	"cavalry"	"cavalry_light"	640	640	2	530	230	34	true	"dragoons_light"	"placeholder_cavalry"	"placeholder"	"Cav_Light_Light_Dragoons"	"global"	0	"mp_cavalry"	true	true	true	0	false	0	"light_cavalry"	false
"Cav_Light_Brunswick_Hussars"	"Hussars"	"cavalry"	"cavalry_light"	550	550	2	470	150	34	true	"cavalry_hussars"	"placeholder_cavalry"	"placeholder"	"Cav_Light_Hussars"	"global"	0	"mp_cavalry"	true	true	true	0	false	0	"light_cavalry"	false
"Cav_Light_Dutch_Light_Dragoons"	"Dutch Light Dragoons"	"cavalry"	"cavalry_light"	560	560	2	470	150	34	true	"dragoons_light"	"placeholder_cavalry"	"placeholder"	"Cav_Light_Light_Dragoons"	"global"	0	"mp_cavalry"	false	false	false	0	false	0	"light_cavalry"	false
"Cav_Light_French_5e_Hussards"	"5e Regiment de Hussards"	"cavalry"	"cavalry_light"	730	730	2	600	190	34	true	"cavalry_hussars"	"placeholder_cavalry"	"placeholder"	"Cav_Light_French_5e_Hussards"	"global"	1	"mp_cavalry"	true	true	true	0	false	1	"light_cavalry"	true
"Cav_Light_French_Chasseurs_a_Cheval"	"Chasseurs à Cheval"	"cavalry"	"cavalry_light"	700	700	2	580	180	34	true	"cavalry_chasseurs"	"placeholder_cavalry"	"placeholder"	"Cav_Light_French_Chasseurs_a_Cheval"	"global"	0	"mp_cavalry"	true	true	true	0	false	0	"missile_cavalry"	false
"Cav_Light_Hussars"	"Hussars"	"cavalry"	"cavalry_light"	550	550	2	470	150	34	true	"cavalry_hussars"	"placeholder_cavalry"	"placeholder"	"Cav_Light_Hussars"	"global"	0	"mp_cavalry"	true	true	true	0	false	0	"light_cavalry"	false
"Cav_Light_Italian_Chasseurs_a_Cheval"	"Chasseurs à Cheval"	"cavalry"	"cavalry_light"	610	610	2	510	160	34	true	"cavalry_chasseurs"	"placeholder_cavalry"	"placeholder"	"Cav_Light_French_Chasseurs_a_Cheval"	"global"	0	"mp_cavalry"	true	true	true	0	false	0	"missile_cavalry"	false
"Cav_Light_Light_Dragoons"	"Light Dragoons"	"cavalry"	"cavalry_light"	610	610	2	510	160	34	true	"dragoons_light"	"placeholder_cavalry"	"placeholder"	"Cav_Light_Light_Dragoons"	"global"	0	"mp_cavalry"	true	true	true	0	false	0	"light_cavalry"	false
"Cav_Light_Mamelukes"	"Mamelukes"	"cavalry"	"cavalry_light"	650	650	2	540	170	34	true	"cavalry_mamelukes"	"placeholder_cavalry"	"placeholder"	"Cav_Light_Mamelukes"	"global"	0	"mp_cavalry"	true	true	true	0	false	0	"light_cavalry"	false
"Cav_Light_Ottoman_Bedouin_Camel_Warriors"	"Camel Warriors"	"cavalry"	"cavalry_light"	550	550	2	460	140	34	true	"cavalry_hussars"	"placeholder_cavalry"	"placeholder"	"Cav_Light_Bedouin_Camel_Warriors"	"bedouin"	0	"mp_cavalry"	true	true	true	0	false	0	"light_cavalry"	false
"Cav_Light_Ottoman_Deli_Horsemen"	"Deli Horsemen"	"cavalry"	"cavalry_light"	550	550	2	460	140	34	true	"cavalry_generic"	"placeholder_cavalry"	"placeholder"	"Cav_Light_Ottoman_Deli_Horsemen"	"global"	0	"mp_cavalry"	true	true	true	0	false	0	"light_cavalry"	false
"Cav_Light_Prussian_Hussars"	"Hussars"	"cavalry"	"cavalry_light"	550	550	2	470	150	34	true	"cavalry_hussars"	"placeholder_cavalry"	"placeholder"	"Cav_Light_Hussars"	"global"	0	"mp_cavalry"	true	true	true	0	false	0	"light_cavalry"	false
"Cav_Light_Russian_Hussars"	"Hussars"	"cavalry"	"cavalry_light"	550	550	2	470	150	34	true	"cavalry_hussars"	"placeholder_cavalry"	"placeholder"	"Cav_Light_Hussars"	"global"	0	"mp_cavalry"	true	true	true	0	false	0	"light_cavalry"	false
"Cav_Light_Russian_Pavlograd_Hussars"	"Pavlograd Hussars"	"cavalry"	"cavalry_light"	650	650	2	540	170	34	true	"cavalry_hussars"	"placeholder_cavalry"	"placeholder"	"Cav_Light_Russian_Pavlograd_Hussars"	"global"	1	"mp_cavalry"	true	true	true	0	false	1	"light_cavalry"	false
"Cav_Light_Spanish_Hussars"	"Husares"	"cavalry"	"cavalry_light"	550	550	2	470	150	34	true	"cavalry_hussars"	"placeholder_cavalry"	"placeholder"	"Cav_Light_Hussars"	"global"	0	"mp_cavalry"	true	true	true	0	false	0	"light_cavalry"	false
"Cav_Miss_Bedouin_Camel_Gunners"	"Camel Gunners"	"cavalry"	"cavalry_missile"	500	500	2	420	130	32	true	"camels"	"placeholder_cavalry"	"placeholder"	"Cav_Miss_Bedouin_Camel_Gunners"	"bedouin"	0	"mp_cavalry"	true	true	true	0	false	0	"missile_cavalry"	false
"Cav_Miss_French_Dromedary_Cavalry"	"Dromedary Cavalry"	"cavalry"	"cavalry_missile"	510	510	2	440	140	32	true	"camels"	"placeholder_cavalry"	"placeholder"	"Cav_Miss_French_Dromedary_Cavalry"	"global"	2	"mp_cavalry"	true	true	true	0	false	0	"missile_cavalry"	false
"Cav_Miss_Ottoman_Bedouin_Camel_Gunners"	"Camel Gunners"	"cavalry"	"cavalry_missile"	500	500	2	420	130	32	true	"camels"	"placeholder_cavalry"	"placeholder"	"Cav_Miss_Bedouin_Camel_Gunners"	"bedouin"	0	"mp_cavalry"	true	true	true	0	false	0	"missile_cavalry"	false
"Cav_Miss_Ottoman_Shaturnal_Camel_Gunners"	"Shaturnal Camel Gunners"	"cavalry"	"cavalry_missile"	500	500	2	420	130	32	true	"camels"	"placeholder_cavalry"	"placeholder"	"Cav_Miss_Ottoman_Shaturnal_Camel_Gunners"	"camels"	0	"mp_cavalry"	true	true	true	0	false	0	"missile_cavalry"	false
"Cav_Stand_Austrian_Chevauxlegers"	"Chevauxlégers"	"cavalry"	"cavalry_standard"	710	710	2	590	190	32	true	"cavalry_generic"	"placeholder_cavalry"	"placeholder"	"Cav_Stand_Chevauxlegers"	"global"	0	"mp_cavalry"	true	true	true	0	false	0	"heavy_cavalry"	false
"Cav_Stand_Chevauxlegers"	"Chevauxlégers"	"cavalry"	"cavalry_standard"	640	640	2	530	170	32	true	"cavalry_generic"	"placeholder_cavalry"	"placeholder"	"Cav_Stand_Chevauxlegers"	"global"	0	"mp_cavalry"	true	true	true	0	false	0	"heavy_cavalry"	false
"Cav_Stand_Portuguese_Cavalry"	"Portuguese Cavalry"	"cavalry"	"cavalry_standard"	510	510	2	430	130	32	true	"cavalry_generic"	"placeholder_cavalry"	"placeholder"	"Cav_Stand_Portuguese_Cavalry"	"global"	0	"mp_cavalry"	true	true	true	0	false	0	"heavy_cavalry"	false
"Cav_Stand_Spanish_Line_Cavalry"	"Line Cavalry"	"cavalry"	"cavalry_standard"	580	580	2	490	150	32	true	"cavalry_generic"	"placeholder_cavalry"	"placeholder"	"Cav_Stand_Spanish_Line_Cavalry"	"global"	0	"mp_cavalry"	true	true	true	0	false	0	"heavy_cavalry"	false
"Frigate_24"	"24-gun Frigate"	"naval_frigate"	"naval_sixth_rate"	430	430	5	370	90	70	true	"naval_captain"	"1deck_24"	"1deck_24"	"Frigate_24"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"Frigate_32"	"32-gun Frigate"	"naval_frigate"	"naval_fifth_rate"	570	570	5	490	120	70	true	"naval_captain"	"1deck_32"	"1deck_32"	"Frigate_32"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"Frigate_38"	"38-gun Frigate"	"naval_frigate"	"naval_fifth_rate"	760	760	5	640	160	70	true	"naval_captain"	"1deck_38"	"1deck_38"	"Frigate_38"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"Frigate_British_32_5th_Rate"	"32-gun Fifth Rate"	"naval_frigate"	"naval_fifth_rate"	560	560	5	480	120	70	true	"naval_captain"	"1deck_32"	"1deck_32"	"Frigate_32"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"Frigate_British_38_5th_Rate"	"38-gun Fifth Rate"	"naval_frigate"	"naval_fifth_rate"	740	740	5	630	150	70	true	"naval_captain"	"1deck_38"	"1deck_38"	"Frigate_38"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"Frigate_British_6th_Rate"	"24-gun Sixth Rate"	"naval_frigate"	"naval_sixth_rate"	430	430	5	370	90	70	true	"naval_captain"	"1deck_24"	"1deck_24"	"Frigate_24"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"Frigate_British_Carronade_Frigate"	"Carronade Frigate"	"naval_frigate"	"naval_fifth_rate"	710	710	5	600	150	70	true	"naval_captain"	"1deck_32_carronade"	"1deck_32_carronade"	"Frigate_Carronade_Frigate"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"Frigate_British_Razee"	"Razee"	"naval_frigate"	"naval_razee"	1220	1220	5	1010	250	70	true	"naval_captain"	"razee"	"razee"	"Frigate_British_Razee"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"Frigate_Carronade_Frigate"	"Carronade Frigate"	"naval_frigate"	"naval_fifth_rate"	740	740	5	630	150	70	true	"naval_captain"	"1deck_32_carronade"	"1deck_32_carronade"	"Frigate_Carronade_Frigate"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"Frigate_Dutch_24"	"24-gun Frigate"	"naval_frigate"	"naval_sixth_rate"	430	430	5	370	90	70	true	"naval_captain"	"1deck_24"	"1deck_24"	"Frigate_24"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"Frigate_Dutch_32"	"32-gun Frigate"	"naval_frigate"	"naval_fifth_rate"	570	570	5	490	120	70	true	"naval_captain"	"1deck_32"	"1deck_32"	"Frigate_32"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"Frigate_Dutch_38"	"38-gun Frigate"	"naval_frigate"	"naval_fifth_rate"	760	760	5	640	160	70	true	"naval_captain"	"1deck_38"	"1deck_38"	"Frigate_38"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"Frigate_French_32"	"32-gun Frigate"	"naval_frigate"	"naval_fifth_rate"	600	600	5	510	120	70	true	"naval_captain"	"1deck_32"	"1deck_32"	"Frigate_32"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"Frigate_French_38"	"38-gun Frigate"	"naval_frigate"	"naval_fifth_rate"	790	790	5	670	160	70	true	"naval_captain"	"1deck_38"	"1deck_38"	"Frigate_38"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"Frigate_French_Carronade_Frigate"	"Carronade Frigate"	"naval_frigate"	"naval_fifth_rate"	770	770	5	650	160	70	true	"naval_captain"	"1deck_32_carronade"	"1deck_32_carronade"	"Frigate_Carronade_Frigate"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"Frigate_Ottoman_32"	"32-gun Frigate"	"naval_frigate"	"naval_fifth_rate"	570	570	5	490	120	70	true	"naval_captain"	"1deck_32"	"1deck_32"	"Frigate_32"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"Frigate_Russian_24"	"24-gun Frigate"	"naval_frigate"	"naval_sixth_rate"	430	430	5	370	90	70	true	"naval_captain"	"1deck_24"	"1deck_24"	"Frigate_24"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"Frigate_Russian_32"	"32-gun Frigate"	"naval_frigate"	"naval_fifth_rate"	570	570	5	490	120	70	true	"naval_captain"	"1deck_32"	"1deck_32"	"Frigate_32"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"Frigate_Russian_38"	"38-gun Frigate"	"naval_frigate"	"naval_fifth_rate"	760	760	5	640	160	70	true	"naval_captain"	"1deck_38"	"1deck_38"	"Frigate_38"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"Frigate_Scandinavian_24"	"24-gun Frigate"	"naval_frigate"	"naval_sixth_rate"	430	430	5	370	90	70	true	"naval_captain"	"1deck_24"	"1deck_24"	"Frigate_24"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"Frigate_Scandinavian_32"	"32-gun Frigate"	"naval_frigate"	"naval_fifth_rate"	570	570	5	490	120	70	true	"naval_captain"	"1deck_32"	"1deck_32"	"Frigate_32"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"Frigate_Scandinavian_38"	"38-gun Frigate"	"naval_frigate"	"naval_fifth_rate"	760	760	5	640	160	70	true	"naval_captain"	"1deck_38"	"1deck_38"	"Frigate_38"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"Frigate_Spanish_32"	"32-gun Frigate"	"naval_frigate"	"naval_fifth_rate"	570	570	5	490	120	70	true	"naval_captain"	"1deck_32"	"1deck_32"	"Frigate_32"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"Frigate_Spanish_38"	"38-gun Frigate"	"naval_frigate"	"naval_fifth_rate"	760	760	5	640	160	70	true	"naval_captain"	"1deck_38"	"1deck_38"	"Frigate_38"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
