version 1, schema trait_level_effects_tables
Trait_Level_IDRef(string)	Effect_IDRef(string)	Magnitude(float)
"C_Minister_Corrupt_2"	"happy_character_upper"	-1
"C_Minister_Corrupt_2"	"management_finance"	-1
"C_Minister_Corrupt_3"	"happy_character_upper"	-2
"C_Minister_Corrupt_3"	"management_finance"	-2
"C_Minister_Entertainer_1"	"happy_character_lower"	1
"C_Minister_Fiscal_Genius_1"	"management_finance"	1
"C_Minister_Fiscal_Genius_2"	"management_finance"	2
"C_Minister_Fiscal_Genius_3"	"management_finance"	3
"C_Minister_Good_Entertainment_2"	"happy_character_lower"	1
"C_Minister_Good_Entertainment_2"	"happy_character_upper"	-1
"C_Minister_Good_Entertainment_3"	"happy_character_lower"	-1
"C_Minister_Good_Entertainment_3"	"happy_character_upper"	1
"C_Minister_Good_Entertainment_3"	"prestige_enlightenment_generic"	1
"C_Minister_Industrialist_1"	"management_finance"	1
"C_Minister_Industrialist_2"	"happy_character_lower"	-1
"C_Minister_Industrialist_2"	"management_finance"	2
"C_Minister_Industrialist_3"	"happy_character_lower"	-2
"C_Minister_Industrialist_3"	"management_finance"	2
"C_Minister_Miser_1"	"happy_character_upper"	-1
"C_Minister_Miser_1"	"management_finance"	2
"C_Minister_Navy_Good_1"	"management_navy"	1
"C_Minister_Navy_Good_2"	"management_navy"	2
"C_Minister_Navy_Good_3"	"management_navy"	3
"C_Minister_Physiocrat_1"	"education_happy_mod"	-1
"C_Minister_Physiocrat_2"	"education_happy_mod"	-2
"C_Minister_Radical_1"	"education_happy_mod"	3
"C_Minister_Radical_1"	"happy_character_lower"	1
"C_Minister_Radical_1"	"happy_character_upper"	-1
"C_Minister_Reactionary_1"	"education_happy_mod"	-3
"C_Minister_Reactionary_1"	"happy_character_lower"	-1
"C_Minister_Reactionary_1"	"happy_character_upper"	1
"C_Minister_Trader_1"	"happy_character_upper"	1
"C_Minister_Trader_1"	"management_finance"	1
"C_Minister_Trader_2"	"happy_character_upper"	2
"C_Minister_Trader_2"	"management_finance"	2
"C_Minister_Unjust_1"	"happy_character_lower"	-1
"C_Minister_Unjust_1"	"management_justice"	1
"C_Minister_Unjust_2"	"happy_character_lower"	-2
"C_Minister_Unjust_2"	"management_justice"	2
"C_Minister_Unjust_3"	"happy_character_lower"	-2
"C_Minister_Unjust_3"	"management_justice"	3
"C_Minister_Upright_1"	"management_finance"	1
"C_Minister_Upright_2"	"happy_character_upper"	-1
"C_Minister_Upright_2"	"management_finance"	1
"C_Minister_Upright_3"	"happy_character_upper"	-2
"C_Minister_Upright_3"	"management_finance"	2
"C_NTW_Gent_Agitator_1"	"gentlemen_happiness_bonus"	1
"C_NTW_Gent_Agitator_2"	"gentlemen_happiness_bonus"	2
"C_NTW_Gent_Agitator_3"	"gentlemen_happiness_bonus"	3
"C_NTW_Gent_Agitator_4"	"gentlemen_happiness_bonus"	4
"C_NTW_Gent_Agitator_5"	"gentlemen_happiness_bonus"	5
"C_Personal_Hale_1"	"Movement_Points_All"	3
"C_Personal_Hale_2"	"Movement_Points_All"	6
"C_Personal_Hale_3"	"Movement_Points_All"	10
"C_Personal_High_Personal_Security_1"	"personal_security"	-5
"C_Personal_High_Personal_Security_2"	"personal_security"	-10
"C_Personal_High_Personal_Security_3"	"personal_security"	-15
"C_Personal_Piety_1"	"happy_mod_religious_unrest"	-1
"C_Personal_Piety_2"	"happy_mod_religious_unrest"	-2
"C_Personal_Sickly_1"	"Movement_Points_All"	-3
"C_Personal_Sickly_2"	"Movement_Points_All"	-6
"C_Personal_Sickly_3"	"Movement_Points_All"	-10
"C_Rake_Assassin_Good_1"	"subterfuge_assassination"	1
"C_Rake_Assassin_Good_2"	"subterfuge_assassination"	2
"C_Rake_Assassin_Good_3"	"subterfuge_assassination"	3
"C_Rake_Assassin_Good_4"	"subterfuge_assassination"	4
"C_Rake_Assassin_Good_5"	"subterfuge_assassination"	5
"C_Rake_Counter_Spy_1"	"subterfuge_counterspying"	1
"C_Rake_Counter_Spy_2"	"subterfuge_counterspying"	3
"C_Rake_Counter_Spy_3"	"subterfuge_counterspying"	5
"C_Rake_Im_A_Laydee_2"	"subterfuge_assassination"	1
"C_Rake_Naughty_Club_3"	"character_death_chance_turn_end"	2
"C_Rake_Sabot_Good_1"	"subterfuge_sabotage"	1
"C_Rake_Sabot_Good_2"	"subterfuge_sabotage"	2
"C_Rake_Sabot_Good_3"	"subterfuge_sabotage"	3
"C_Rake_Sabot_Good_4"	"subterfuge_sabotage"	4
"C_Rake_Sabot_Good_5"	"subterfuge_sabotage"	5
"C_Rake_Spy_Good_1"	"line_of_sight_mod"	25
"C_Rake_Spy_Good_1"	"subterfuge_spying"	1
"C_Rake_Spy_Good_2"	"line_of_sight_mod"	50
"C_Rake_Spy_Good_2"	"subterfuge_spying"	2
"C_Rake_Spy_Good_3"	"line_of_sight_mod"	75
"C_Rake_Spy_Good_3"	"subterfuge_spying"	3
"C_Rake_Spy_Good_4"	"subterfuge_spying"	4
"C_Rake_Spy_Good_5"	"subterfuge_spying"	5
"C_Sausage_Vice_1"	"Movement_Points_All"	-1
"C_Sausage_Vice_2"	"Movement_Points_All"	-2
"C_Sausage_Vice_3"	"Movement_Points_All"	-4
"C_Sausage_Vice_4"	"Movement_Points_All"	-6
"C_Sausage_Vice_5"	"Movement_Points_All"	-8
"C_Sausage_Vice_6"	"character_death_chance_turn_end"	20
"C_Sausage_Vice_6"	"Movement_Points_All"	-10
"Spain_C_Agent_Provocateur_Pure_Blood_1"	"zeal_spain"	1
"Spain_C_Agent_Provocateur_Pure_Blood_2"	"zeal_spain"	2
"Spain_C_Agent_Guerrillero_Former_Soldier_1"	"Movement_Points_All"	1
"Spain_C_Agent_Guerrillero_Former_Soldier_2"	"Movement_Points_All"	2
"Spain_C_Agent_Guerrillero_Torturer_2"	"subterfuge_assassination"	2
"Spain_C_Agent_Guerrillero_Torturer_1"	"subterfuge_assassination"	1
"Spain_C_Agent_Guerrillero_Torturer_3"	"subterfuge_assassination"	3
"Spain_C_Agent_Priest_Patriot_1"	"zeal_spain"	1
"Spain_C_Agent_Priest_Patriot_2"	"zeal_spain"	2
"Spain_C_Agent_Priest_Politics_1"	"zeal_spain"	1
"Spain_C_Agent_Priest_Politics_2"	"zeal_spain"	2
"Spain_C_Agent_Priest_Politics_3"	"zeal_spain"	3
"Spain_C_Agent_Provocateur_Radical_1"	"zeal_spain"	2
"Spain_C_General_Guerrilla_Leader_1"	"Command_Land_Ambushes"	1
"Spain_C_General_Guerrilla_Leader_2"	"Command_Land_Ambushes"	2
"Spain_C_General_Guerrilla_Leader_3"	"Command_Land_Ambushes"	3
"Spain_C_General_Guerrilla_Leader_4"	"Command_Land_Ambushes"	3
"Spain_C_General_Guerrilla_Leader_5"	"Command_Land_Ambushes"	4
"Spain_C_General_Guerrilla_Leader_6"	"Command_Land_Ambushes"	4
"Spain_C_General_Guerrilla_Leader_4"	"hates_french"	1
"Spain_C_General_Guerrilla_Leader_5"	"hates_french"	1
"Spain_C_General_Guerrilla_Leader_6"	"hates_french"	2
"Spain_C_Agent_Guerrillero_Dead_Family_1"	"hates_french"	1
"Spain_C_Agent_Guerrillero_Dead_Family_2"	"hates_french"	2
"Spain_C_Agent_Guerrillero_Dead_Family_3"	"hates_french"	3
