version 1, schema unit_to_unit_abilities_junctions_tables
Unit_IDRef(string)	Unit_Ability_IDRef(string)
"nizam_I_cedit_light_infantry"	"chevaux_de_frise"
"nizam_I_cedit_light_infantry"	"earthworks"
"nizam_I_cedit_light_infantry"	"fire_volley"
"nizam_I_cedit_light_infantry"	"fougasse_basic"
"nizam_I_cedit_light_infantry"	"light_infantry_behaviour"
"nizam_I_cedit_rifles"	"chevaux_de_frise"
"nizam_I_cedit_rifles"	"earthworks"
"nizam_I_cedit_rifles"	"fire_volley"
"nizam_I_cedit_rifles"	"fougasse_basic"
"nizam_I_cedit_rifles"	"fougasse_improved"
"nizam_I_cedit_rifles"	"light_infantry_behaviour"
"nizam_I_cedit_rifles"	"wooden_stakes"
"norwegian_ski_troops"	"chevaux_de_frise"
"norwegian_ski_troops"	"earthworks"
"norwegian_ski_troops"	"fire_volley"
"norwegian_ski_troops"	"light_infantry_behaviour"
"ottoman_great_cannon"	"gabionade"
"pandours"	"chevaux_de_frise"
"pandours"	"earthworks"
"pandours"	"fire_volley"
"pirates"	"chevaux_de_frise"
"pirates"	"earthworks"
"prussian_garde_du_corp"	"diamond_formation"
"prussian_garde_du_corp"	"wedge_formation"
"prussian_grenadiers"	"chevaux_de_frise"
"prussian_grenadiers"	"earthworks"
"prussian_life_guard"	"chevaux_de_frise"
"prussian_life_guard"	"earthworks"
"prussian_life_guard"	"fire_and_advance"
"prussian_life_guard"	"square_formation"
"puckle_gun"	"gabionade"
"rapparees"	"chevaux_de_frise"
"rapparees"	"earthworks"
"rapparees"	"fire_volley"
"regiment_horse_light"	"diamond_formation"
"regiment_horse_light"	"wedge_formation"
"revolutionary_guard"	"chevaux_de_frise"
"revolutionary_guard"	"earthworks"
"revolutionary_guard"	"square_formation"
"revolutionary_infantry"	"chevaux_de_frise"
"revolutionary_infantry"	"earthworks"
"revolutionary_infantry"	"fire_and_advance"
"revolutionary_infantry"	"square_formation"
"rockets_fixed"	"gabionade"
"russian_grenadiers"	"chevaux_de_frise"
"russian_grenadiers"	"earthworks"
"sp_ed_dahomey_amazon"	"chevaux_de_frise"
"sp_ed_dahomey_amazon"	"earthworks"
"sp_ed_ghoorkas"	"chevaux_de_frise"
"sp_ed_ghoorkas"	"earthworks"
"sp_ed_guerillas"	"chevaux_de_frise"
"sp_ed_guerillas"	"earthworks"
"sp_ed_guerillas"	"fire_volley"
"sp_ed_rogers_rangers"	"chevaux_de_frise"
"sp_ed_rogers_rangers"	"earthworks"
"sp_ed_rogers_rangers"	"fire_volley"
"sp_ed_rogers_rangers"	"light_infantry_behaviour"
"sp_ed_wild_geese"	"chevaux_de_frise"
"sp_ed_wild_geese"	"earthworks"
"sp_ed_wild_geese"	"fire_and_advance"
"sp_ed_wild_geese"	"square_formation"
"spanish_grenadiers"	"chevaux_de_frise"
"spanish_grenadiers"	"earthworks"
"spanish_guardias_de_corp"	"diamond_formation"
"spanish_guardias_de_corp"	"wedge_formation"
"spanish_guardias_de_infanteria"	"chevaux_de_frise"
"spanish_guardias_de_infanteria"	"earthworks"
"spanish_guardias_de_infanteria"	"fire_and_advance"
"spanish_guardias_de_infanteria"	"square_formation"
"swedish_life_guards_of_foot"	"chevaux_de_frise"
"swedish_life_guards_of_foot"	"earthworks"
"swedish_life_guards_of_foot"	"fire_and_advance"
"swedish_life_guards_of_foot"	"square_formation"
"swedish_life_guards_of_horse"	"diamond_formation"
"swedish_life_guards_of_horse"	"wedge_formation"
"viborniye_streltsy"	"diamond_formation"
"viborniye_streltsy"	"wedge_formation"
"voltigeur"	"chevaux_de_frise"
"voltigeur"	"earthworks"
"voltigeur"	"fire_volley"
"voltigeur"	"light_infantry_behaviour"
"eue_armenian_archers"	"wooden_stakes"
"eue_armenian_archers"	"chevaux_de_frise"
"eue_barawardi"	"wedge_formation"
"eue_barawardi"	"diamond_formation"
"eue_bosnian_panduks"	"chevaux_de_frise"
"eue_bosnian_panduks"	"fougasse_basic"
"eue_bosnian_panduks"	"fougasse_improved"
"eue_cairo_janissaries"	"chevaux_de_frise"
"eue_cairo_janissaries"	"earthworks"
"eue_circassian_armoured_cavalry"	"diamond_formation"
"eue_circassian_armoured_cavalry"	"wedge_formation"
"eue_haydut_irregulars"	"chevaux_de_frise"
"eue_haydut_irregulars"	"fougasse_basic"
"eue_haydut_irregulars"	"fougasse_improved"
"eue_palestinian_auxiliaries"	"chevaux_de_frise"
"eue_palestinian_auxiliaries"	"earthworks"
"eue_poligar"	"diamond_formation"
"eue_poligar"	"wedge_formation"
"eue_rajput_zamindar"	"diamond_formation"
"eue_rajput_zamindar"	"wedge_formation"
"eue_wallachian_boyars"	"diamond_formation"
"eue_wallachian_boyars"	"wedge_formation"
"eue_libyan_kuloglu"	"wedge_formation"
"eue_libyan_kuloglu"	"diamond_formation"
"eue_mounted_nizam_i_cedit"	"wedge_formation"
"eue_mounted_nizam_i_cedit"	"diamond_formation"
"12_lber_land_cannon_persian"	"gabionade"
"18_lber_land_cannon_persian"	"gabionade"
"24_lber_land_cannon_(demi_cannon)_caucasian"	"gabionade"
"24_lber_land_cannon_(demi_cannon)_persian"	"gabionade"
"24_lber_land_cannon_persian"	"gabionade"
"4_inch_mortar_persian"	"gabionade"
"8_inch_mortar_persian"	"gabionade"
"9_lber_land_cannon_(saker)_caucasian"	"gabionade"
"9_lber_land_cannon_(saker)_persian"	"gabionade"
"east_afghan_sherbacha"	"wedge_formation"
"east_afghan_sherbacha"	"diamond_formation"
"east_ethnic_musketeers_bargir_nerfed"	"square_formation"
"east_ethnic_musketmen_islamic_musketeers"	"square_formation"
"east_ethnic_musketmen_jazayerchi"	"chevaux_de_frise"
"east_ethnic_musketmen_jazayerchi"	"earthworks"
"east_ethnic_musketmen_tofangchi"	"square_formation"
"east_ethnic_musketmen_tufekci"	"square_formation"
"east_ethnic_musketmen_tufekci_garrison"	"square_formation"
"east_ethnic_hillmen_musketeers_caucasian"	"fire_volley"
"east_ethnic_hillmen_musketeers_caucasian"	"light_infantry_behaviour"
"east_ethnic_hillmen_musketeers_caucasian_garrison"	"fire_volley"
"east_ethnic_hillmen_musketeers_caucasian_garrison"	"light_infantry_behaviour"
"east_ethnic_hillmen_musketeers_jezail"	"fire_volley"
"east_ethnic_hillmen_musketeers_jezail"	"light_infantry_behaviour"
"east_guard_cavalry_qurchi"	"diamond_formation"
"east_guard_cavalry_qurchi"	"wedge_formation"
"east_guard_cavalry_silahdar"	"diamond_formation"
"east_guard_cavalry_silahdar"	"wedge_formation"
"east_heavy_cavalry_mirza"	"diamond_formation"
"east_heavy_cavalry_mirza"	"wedge_formation"
"east_heavy_cavalry_savar"	"diamond_formation"
"east_heavy_cavalry_savar"	"wedge_formation"
"east_heavy_cavalry_sowar"	"diamond_formation"
"east_heavy_cavalry_sowar"	"wedge_formation"
"east_irregular_cavalry_circassian"	"diamond_formation"
"east_irregular_cavalry_circassian"	"wedge_formation"
"east_lancers_berber"	"diamond_formation"
"east_lancers_berber"	"wedge_formation"
"east_lancers_deli"	"diamond_formation"
"east_lancers_deli"	"wedge_formation"
"east_lancers_oglans"	"diamond_formation"
"east_lancers_oglans"	"wedge_formation"
"east_light_cavalry_berber"	"diamond_formation"
"east_light_cavalry_berber"	"wedge_formation"
"east_light_cavalry_jigits"	"diamond_formation"
"east_light_cavalry_jigits"	"wedge_formation"
"east_light_cavalry_nogai"	"diamond_formation"
"east_light_cavalry_nogai"	"wedge_formation"
"east_pikemen_gholam"	"pike_square_formation"
"east_pikemen_gholam"	"pike_wall_formation"
"east_pikemen_sadrosho"	"pike_square_formation"
"east_pikemen_sadrosho"	"pike_wall_formation"
"east_sikh_infantry_musketeers_nerfed"	"square_formation"
"euro_line_infantry_russia_suvorov"	"chevaux_de_frise"
"euro_line_infantry_russia_suvorov"	"earthworks"
"euro_line_infantry_russia_suvorov"	"fire_and_advance"
"euro_line_infantry_russia_suvorov"	"square_formation"
"euro_line_infantry_russia_trained"	"chevaux_de_frise"
"euro_line_infantry_russia_trained"	"earthworks"
"euro_line_infantry_russia_trained"	"fire_and_advance"
"euro_line_infantry_russia_trained"	"square_formation"
"glekhebi"	"chevaux_de_frise"
"glekhebi"	"earthworks"
"gorodskiye_streltsy_musket"	"chevaux_de_frise"
"gorodskiye_streltsy_musket"	"earthworks"
"janissaries_anatolian"	"chevaux_de_frise"
"janissaries_anatolian"	"earthworks"
"janissaries_anatolian_kupa"	"chevaux_de_frise"
"janissaries_anatolian_kupa"	"earthworks"
"mameluks_buffed"	"diamond_formation"
"mameluks_buffed"	"wedge_formation"
"pirates_with_grenades"	"chevaux_de_frise"
"pirates_with_grenades"	"earthworks"
