version 2, schema dilemmas_tables, guid 1400f62e-ccab-4c6a-acc2-526615181d1a
unknown1(boolean)	unknown2(string)	unknown3(string)	unknown4(string)	unknown5(string)	unknown6(string)	unknown7(string)	unknown8(string)	unknown9(string)	unknown10(string)	unknown11(boolean)
true	"d_gem_three_legged_gem_crow"	"As you sit in a secluded shrine to Amaterasu, contemplating matters of Heaven and Earth, a three-legged crow perches upon a branch before you."	"Amaterasu approves of our clan's great undertakings! Yatagarasu has come to lead us to victory!"	"Can Amaterasu be warning us of troubled times to come? We must remain cautious."	"Three-legged Crow"	"message_dilemmas_active.tga"	"Dilemma_Omens.tga"	"Amaterasu's Blessing"	"Amaterasu's Warning"	false
true	"d_gem_todaiji"	"Yamato province is home to numerous prominent temples. One such temple is the Todaiji; commanding considerable wealth and home to proficient warrior monks, their support could greatly aid our cause. Alternatively, sacking the temple may provide a quick source of funds."	"In these trying times, all assistance is welcome. Dispatch an envoy to Miidera at once."	"We need no assistance from outsiders; we need only help ourselves! Dispatch a raiding party at once."	"Todaiji"	"message_dilemmas_active.tga"	"GEM_Great_Temple.tga"	"Request Aid"	"Sack Temple"	false
true	"d_gem_warrior_tax"	"The leader of a warrior band from this province seeks an audience, my lord. He and his men are distraught at the court's increasing levies upon the bushidan."	"They owe the court nothing; they reside within our domain and their service to the clan is payment enough. We will see to it that they are no longer troubled by the court."	"They owe the court nothing; they are our subjects to tax as we see fit."	"The Warrior's Plight"	"message_dilemmas_active.tga"	"Dilemma_Samurai_Daimyo.tga"	"Exempt Them"	"Exploit Them"	false
true	"d_gem_young_thief"	"A young man has been apprehended by the guards, my lord. He was caught stealing supplies from the quartermaster's stores; claiming that he sought only to provide for his impoverished family."	"It is impressive that this youth managed to inflitrate us beneath the guards' very noses! Release him to his family, and allow him as many supplies as he can carry."	"How is it that this thief, barely a man, gained access to our stores? Throw him back on the street and bring me the guard captain; dereliction of duty will not be tolerated!"	"The Young Thief"	"message_dilemmas_active.tga"	"Dilemma_Military_Crackdown.tga"	"Sympathise"	"Reprimand Guards"	false
true	"d_hachiman_flock"	"A flight of doves has been seen circling the capital, my lord. Hachiman's flock brings divine blessings upon our clan!"	"Hachiman favours our war efforts and grants our warriors the blessings of Heaven!"	"Hachiman sends blessings that our fishermen might better reap the teeming seas!"	"Hachiman's Flock"	"message_dilemmas_active.tga"	"Dilemma_Omens.tga"	"Warrior's Blessing"	"Fisherman's Blessing"	false
true	"d_heralding_spring"	"Spring has come. The people have toiled throughout the winter to ensure that our coffers remain filled, reinforcing the strength of the clan."	"In honour of their efforts and of the flowering of the cherry blossom, we will arrange festivities for the people."	"Diligence is insufficient. It is their duty to push themselves to their limits for the good of the clan."	"Heralding the Spring"	"message_dilemmas_active.tga"	"Dilemma_Agriculture.tga"	"Reward Their Efforts"	"Push Them Harder"	false
true	"d_imperial_new_year"	"The Imperial court is preparing for the new year's felicitations in honour of His Imperial Majesty. They seek tribute from his true and deferent lords so that due respect can be paid."	"In honour of His Majesty and of his divine authority, we will send offerings for this year's choga."	"We haven't the resources to spare given the more pressing matters of clan development and warfare at hand."	"The Imperial New Year"	"message_dilemmas_active.tga"	"Dilemma_Emperor.tga"	"Send tribute"	"Refuse tribute"	false
true	"d_intoxication"	"As the war effort escalates, an increasing number of drunken incidents are being reported as people seek solace in their cups from the many hardships it has brought."	"Heavy drinking is a base and shameful practice. All offenders will incur a fine and anyone behaving disgracefully will lose their head."	"Times of conflict are trying times indeed. The people must be allowed some leeway, as long as no criminal offence is committed."	"In Their Cups"	"message_dilemmas_active.tga"	"Dilemma_Clan.tga"	"Severe Response"	"Leniency"	false
true	"d_jizamurai"	"With so many provinces under our control, we have dominion over an increasing number of jizamurai. These minor land-holders are both excellent warriors and agricultural experts."	"Their expertise in agrarian matters makes them invaluable to the economy; they will best serve their clan managing the land."	"In this time of war, we need as many able warriors in our ranks as possible; they will best serve the clan by fighting our enemies."	"Jizamurai"	"message_dilemmas_active.tga"	"Dilemma_Samurai.tga"	"Agrarian Focus"	"Military Focus"	false
true	"d_land_dispute"	"A landowner in this province has seized estates belonging to his neighbour. The victim demands justice, while the offending party claims that he will make better use of the soil for the good of the clan. "	"Justice must be served. The offender will be forcibly removed from the land and must return it to its rightful owner. If he resists, he will be executed."	"The clan's best interests are paramount; we will allow him to keep the land and have it put to the best use - for a price."	"Land Dispute"	"message_dilemmas_active.tga"	"Dilemma_Commoner_Daimyo.tga"	"Justice"	"Extortion"	false
true	"d_martial_priorities"	"In this time of conflict, our strategists are divided as to whether to invest the clan's military resources in the practice of either offensive or defensive techniques."	"We will focus on attack so that we will have clear advantage over our enemies when pressing the offensive."	"We will bolster our defensive capabilities for the protection of our lands and our people."	"Martial Priorities"	"message_dilemmas_active.tga"	"Dilemma_Military.tga"	"Attack Focus"	"Defence Focus"	false
true	"d_master_archer"	"A reputable marksman has approached the clan, offering his services so that we might extend our reputation for skill with the bow. This man's mastery of ranged fighting knows no equal; for a price, he has offered to improve the proficiency of our archers."	"The chance of further improving our archers cannot be ignored; this man will be employed at once."	"He demands too much for his services; our own sensei are more than adequate for the training of archers."	"Marksmanship"	"message_dilemmas_active.tga"	"Dilemma_Bowman.tga"	"Employ Him"	"Dismiss Him"	false
true	"d_master_cavalry"	"A renowned horseman has approached the clan, enticed by our reputation for optimum use of cavalry in the field. For a price, this master of horse and mounted combat has offered to help improve the skills of our cavalrymen."	"A chance to field stronger cavalry cannot be ignored; this man will be employed at once."	"He demands too much for his services; our own sensei are more than adequate for our cavalry training needs."	"Great Horsemanship"	"message_dilemmas_active.tga"	"Dilemma_cavalry.tga"	"Employ Him"	"Dismiss Him"	false
true	"d_master_gunner"	"A gaijin claiming to be a master of matchlock weaponry is offering - for a price - to instruct our clan's warriors in the use of firearms."	"A chance at improving our newly-recruited gunmen cannot be ignored; this man will be employed at once."	"We have no need for this gaijin's extortionate services. Our men need only aim and fire; mastery will surely follow in time."	"Nanban Firearms Expert"	"message_dilemmas_active.tga"	"Dilemma_Nanban.tga"	"Employ Him"	"Dismiss Him"	false
true	"d_master_swordsman"	"Our inclination towards the use of close quarters fighters in battle has led to a master of kenjutsu approaching the clan and offering to improve our infantry's swordsmanship - for a price."	"The chance of training finer swordsmen cannot be ignored; this man will be employed at once."	"He demands too much for his services; our own sensei are more than capable of training our swordsmen."	"Sword Mastery"	"message_dilemmas_active.tga"	"Dilemma_Swordsman.tga"	"Employ Him"	"Dismiss Him"	false
true	"d_merchant_accession"	"In spite of their low social status, traders and merchants have gained substantial influence of late as our clan's efforts in this sphere have increased."	"The clan stands to benefit financially from these people. We will allow them to prosper, for now."	"These upstarts should not presume to tamper with the balance of society. They must know their place; as such, their influence will be tempered."	"Merchant Accession"	"message_dilemmas_active.tga"	"Dilemma_Merchants.tga"	"Let Them Prosper"	"Repress Them"	false
true	"d_misfortune_others"	"My lord, word has reached us that a rival clan has suffered following a terrible harvest. Their people are starving and their daimyo seeks aid from other clans. We may be at war, but does that mean that the toiling masses need suffer needlessly?"	"Wars are to be won with spears and swords, not with rice. We will send aid to our noble foe and his people."	"This is war, and there can be only one victor. We must maintain our superiority even if that means exploiting our enemy's misfortunes."	"The Misfortune of Others"	"message_dilemmas_active.tga"	"Dilemma_Harvest_Poor.tga"	"Dispatch aid"	"Ignore their plight"	false
true	"d_monopoly"	"As trade opportunities grow in this province, merchants and artisans have established trade guilds to secure monopolies over their trades. Independent artisans and traders are being put out of business."	"As long as we are paid our dues, these trade guilds may continue as they please."	"Economic growth will be stifled as long as only a select few are allowed to hold the reins. Their power will be curbed."	"Monopoly"	"message_dilemmas_active.tga"	"Dilemma_Merchants.tga"	"Exploit"	"Intervene"	false
true	"d_nine_tailed_fox"	"Whilst surveying our domain, an astonishing sight was observed outside a shrine to Inari; a nine-tailed fox, sitting sentinel-like beneath a torii."	"Inari favours our martial efforts and grants our warriors the blessings of heaven!"	"Inari's kitsune has come to bless our crops; a time of prosperity is at hand!"	"Nine-tailed Fox"	"message_dilemmas_active.tga"	"Dilemma_Omens.tga"	"Warrior's Blessing"	"Farmer's Blessing"	false
true	"d_omen_fire"	"My lord! The monks speak of raging fires that cannot be quelled and believe this to be a sign sent by Kagutsuchi. They fear that the fire-god is displeased with our people and beseech you to appease him with a chinka-sai."	"We will arrange a clan-wide chinka-sai at once; see to it that no expense is spared in the preparation of the rites and the festivities."	"We have neither the time nor the money to squander on such superstitious frivolities."	"Kagutsuchi's Warning"	"message_dilemmas_active.tga"	"Dilemma_Omens.tga"	"Honour the Fire-God"	"Ignore the Omens"	false
true	"d_omen_mountains"	"My lord! The monks speak of a rumbling deep beneath the mountains and believe this to be a sign sent by Oyamatsumi. They fear the wrath of the earth and beseech you to appease the mountain-god."	"Deference will be shown to the great kami of the mountains; see to it that no expense is spared in the preparation of the appropriate rites and festivities."	"We have neither the time nor the money to squander on such superstitious frivolities."	"Oyamatsumi's Warning"	"message_dilemmas_active.tga"	"Dilemma_Omens.tga"	"Honour the Mountain-God"	"Ignore the Omens"	false
true	"d_omen_ocean"	"My lord! The monks speak of a gathering of great turtles upon our shores and believe this to be a sign sent by Owatatsumi. They fear ominous tides and beseech you to honour the sea-god."	"We will arrange shiomatsuri in all provinces that sit upon the Owatatsumi's waters. See to it that no expense is spared in the preparations of the rites and the festivities."	"We have neither the time nor the money to squander on such superstitious frivolities."	"Owatatsumi's Warning"	"message_dilemmas_active.tga"	"Dilemma_Omens.tga"	"Honour the Sea-God"	"Ignore the Omens"	false
true	"d_omen_wind"	"My lord! The monks speak of dark skies closing in above our lands and believe this to be an omen sent by Fujin. They fear a coming storm and beseech you to honour the wind-god."	"We will arrange a clan-wide Fujin-sai at once; see to it that no expense is spared in the preparation of the appropriate rites and festivities."	"We have neither the time nor the money to squander on such superstitious frivolities."	"Fujin's Warning"	"message_dilemmas_active.tga"	"Dilemma_Omens.tga"	"Honour the Wind-God"	"Ignore the Omens"	false
true	"d_otomo_baptism"	"My lord! Our support for their religion has strengthened the ties between the clan and our Christian friends. As such, they have expressed their wish to have you baptised in their faith."	"Our support for the nanban and their ways has made us strong. We will accept this honour."	"We have profited from the nanban, but a line must be drawn at such disregard for tradition and our ancestors."	"Baptism"	"message_dilemmas_active.tga"	"Dilemma_Nanban.tga"	"Accept Baptism"	"Decline Baptism"	false
true	"d_otomo_embassy"	"My lord, the Jesuit Alessandro Valignano has brought us a proposal. He believes we should send an embassy to the Pope. This is surely an opportunity to strengthen our relations with the Church."	"A sound proposal; we can only benefit from further interaction with the Church. We will dispatch an embassy at once."	"An interesting notion, but our resources are best directed at Japanese matters."	"Embassy"	"message_dilemmas_active.tga"	"Dilemma_Nanban.tga"	"Send Embassy"	"Decline Proposal"	false
true	"d_otomo_nanban_shipwreck"	"A nanban ship has been wrecked nearby. The survivors, seeking to buy safe passage home, are selling salvage. Among the items are matchlock guns, sufficient to equip a unit of samurai."	"A fair price. Buy their stock and have them delivered to the dojo at once."	"We have no need for any matchlocks at this time."	"Nanban Shipwreck"	"message_dilemmas_active.tga"	"Dilemma_Naval_Fleet_Destroyed.tga"	"Obtain Matchlocks"	"Decline"	false
true	"d_otomo_trade_venture_gift"	"Owing to our progressive trade policies, a Jesuit missionary within our nanban quarter has managed to broker an agreement between our clan and his masters. In return, he offers some fine weapons as a gift."	"These fine matchlocks are certainly a worthy addition to our arsenal. We will see to it that our troops receive the guns at once."	"These cannon will help topple our enemies’ defences. We will take them."	"A Gift of Guns"	"message_dilemmas_active.tga"	"Dilemma_Nanban.tga"	"Fine Matchlocks"	"Superlative Cannon"	false
true	"d_otomo_western_knowledge"	"My lord, we should take advantage of our good relations with the western power, and use Jesuit advisors to help further our knowledge and skills."	"Western knowledge will keep us one step ahead of our rivals: send word to the nanban quarter at once!"	"Our ability to master the arts is beyond question. We see no reason to pursue this course at this time."	"Western Knowledge"	"message_dilemmas_active.tga"	"Dilemma_Clan.tga"	"Hire Experts"	"Decline"	false
true	"d_ronin_spears"	"Our forces have encountered a ronin band. Having lost their masters to the incessant warfare that has gripped the country, these yari samurai will fight for any daimyo willing to pay for their services. Left to their own devices, there is no telling what they might do."	"We can exploit these masterless warriors to our own military ends. We will enlist them at once."	"We have no need to enlist the bandit remnants of fallen clans. Send them on their way."	"Ronin"	"message_dilemmas_active.tga"	"Dilemma_Ronin.tga"	"Hire Them"	"Ignore Them"	false
true	"d_ronin_swords"	"Our forces have encountered a ronin band. Having lost their masters to the incessant warfare that has gripped the country, these katana samurai will fight for any daimyo willing to pay for their services. Left to their own devices, there is no telling what they might do."	"We can exploit these masterless warriors to our own military ends. We will enlist them at once."	"We have no need to enlist the bandit remnants of fallen clans. Send them on their way."	"Ronin"	"message_dilemmas_active.tga"	"Dilemma_Ronin.tga"	"Hire Them"	"Ignore Them"	false
true	"d_three_legged_crow"	"As you sit in a secluded shrine to Amaterasu, contemplating matters of Heaven and Earth, a three-legged crow perches upon a branch before you."	"Amaterasu approves of our clan's great undertakings! Yatagarasu has come to lead us to victory!"	"Can Amaterasu be warning us of troubled times to come? We must remain cautious."	"Three-legged Crow"	"message_dilemmas_active.tga"	"Dilemma_Omens.tga"	"Amaterasu's Blessing"	"Amaterasu's Warning"	false
true	"d_tribute_emperor"	"The Emperor has commissioned the construction of a grand new palace and has requested contributions from all the great clans towards this glorious undertaking."	"The glory of Amaterasu's lineage must be honoured. See to it that the Emperor receives the tribute that he requires."	"The needs of the clan far outweigh those of the emperor. We will give no tribute."	"Imperial Tribute"	"message_dilemmas_active.tga"	"Dilemma_Emperor.tga"	"Pay Tribute"	"Refuse to Pay"	false
true	"d_tribute_shogun"	"The Shogun has demanded that, as a mark of dedication and of respect towards his supreme power, all great clans should pay tribute to the Shogunate."	"We are currently in no position to draw the ire of Kyoto. We will acquiesce to the shogun's request - for now."	"Who are we, to be cowed by this petty charlatan? Before long, he will be brought to his knees before the might of our clan. "	"Tribute to the Shogun"	"message_dilemmas_active.tga"	"Dilemma_Shogun.tga"	"Pay Tribute"	"Refuse to Pay"	false
true	"d_urban_migration"	"The uncertainty of the harvest and the increasing profitability of the life of the artisan is driving people away from the land and into the towns."	"There will always be peasants to till the land. Our clan will benefit from the increase in trade brought about by such migration."	"Nothing good may be said for merchants and tinkerers; it is the hard work of the farmer class on which the clan thrives."	"Urban Migration"	"message_dilemmas_active.tga"	"Dilemma_Agriculture.tga"	"Encourage Migration"	"Prevent Migration"	false
true	"d_wako_threat_china"	"An increasing amount of wako activity is compromising our trade with China. As we are operating without the approval of the Ming Emperor, we cannot expect China to take any steps towards resolving this issue."	"We will address this issue, lest our lucrative - if unsanctioned - trade deals suffer at the hands of the pirates."	"We cannot spare the time nor the necessary resources for dealing with these petty pirates. We will leave them be, for the time being at least."	"The Wako Threat"	"message_dilemmas_active.tga"	"Dilemma_Naval_Battle.tga"	"Deal With Them!"	"Ignore Them"	false
true	"d_wako_threat_korea"	"The amount of wako activity in the vicinity of Tsushima island has increased dramatically. These acts of piracy have compromised our prolific trade links with Korea and should be stopped at the first opportunity."	"We must ensure that good trade relations with Korea are maintained. We will deal with the pirates at once."	"We cannot spare the time nor the necessary resources for dealing with these petty pirates. We will leave them be, for the time being at least."	"The Wako Threat"	"message_dilemmas_active.tga"	"Dilemma_Naval_Battle.tga"	"Deal With Them!"	"Ignore Them"	false
false	"s_adoption_no_heir"	"My lord, you are without a male heir. Should some misfortune befall you our great clan would be doomed to fall. This man has proved himself capable of great deeds; adopting him as your son will secure the clan's future whilst duly honouring his diligence."	"We must assure the future of our clan, and this man has proved his dedication to our cause. We will adopt him as heir."	"We are not prepared to adopt this man into our family. Heirs will be forthcoming."	"Adoption Opportunity"	"message_dilemmas_active.tga"	"Dilemma_Samurai_Daimyo.tga"	"Adopt him"	"Do not adopt"	false
false	"s_adoption_young_heir"	"Your only male heir is young and inexperienced, my lord. Might I be so bold as to suggest adopting this worthy general, that he might lead the clan in your stead should some misfortune befall you before your son comes of age?"	"We must assure the future of our clan, and this man has proved his dedication to our cause. We will adopt him as heir."	"The clan's future is already assured; our son will come of age and he will lead our people admirably."	"Adoption Opportunity"	"message_dilemmas_active.tga"	"Dilemma_Samurai_Daimyo.tga"	"Adopt him"	"Do not adopt"	false
false	"s_bos_promotion_post_battle"	"My lord, one of our valiant warriors has proved his mettle in securing this victory for the clan. It is our belief that his talents are wasted in the rank-and-file and that he will best serve the clan leading our forces in battle."	"An army needs leadership if it is to wage war effectively. We will exercise his martial prowess to further our military objectives."	"This man’s ability is unquestionable, but we have no need of his services for the time being."	"Fit for Command"	"bos_message_character_negative_active.tga"	"bos_army_victory.tga"	"Promote Him"	"Do Not Promote"	false
false	"s_bos_promotion_turn_start"	"My lord, the son of one of your most loyal subjects - a fine warrior, I am told -  desires to prove his worth to you and the clan. As such, he requests the opportunity to lead your glorious forces in battle."	"An army needs leadership if it is to wage war effectively. We will give him the chance to prove his worth."	"This man’s eagerness to serve is admirable, but we do not require his services for the time being."	"Eager to Serve"	"bos_message_character_negative_active.tga"	"bos_army_victory.tga"	"Enlist Him"	"Do Not Enlist"	false
true	"s_disloyalty_major"	"If rumours regarding this man's loyalties are to be believed he is nothing but a traitor to the clan. Action must be taken, lest he be allowed to bring further shame upon or cause harm to the people."	"He will commit seppuku immediately!"	"He may yet be of some use to us, so will be given the chance to redeem himself on this occasion."	"Rumours of Treason"	"message_dilemmas_active.tga"	"Dilemma_Military_Crackdown.tga"	"Order Seppuku"	"Chance for Redemption"	true
false	"s_disloyalty_minor"	"Rumours abound regarding this man's waning loyalty to us. We must be wary of such sedition lest it propagates and compromises the clan."	"We will give him a chance to prove his loyalty to the clan and to preserve his honour by committing seppuku at once."	"It is too early to tell. In due course we shall see where his true loyalties lie; for now we will make use of his talents."	"Rumours of Disloyalty"	"message_dilemmas_active.tga"	"Dilemma_Military_Crackdown.tga"	"Order Seppuku"	"Wait and See"	false
false	"s_matter_of_honour_major"	"A disgrace to the clan, this man is not worthy to lead our armies in battle. His death is the only means by which the shame and dishonour he has brought upon the clan can be undone."	"His continued violation of our clan's reputation ends here. Have him commit seppuku at once."	"He will be kept alive to make amends for his repeated failure. The dishonour will be his punishment."	"Death or Dishonour"	"message_dilemmas_active.tga"	"Dilemma_Samurai_Daimyo.tga"	"Order Seppuku"	"Chance for Redemption"	false
true	"s_matter_of_honour_minor"	"One of your subjects has been disgraced after repeatedly failing to serve the clan to the best of his ability on the battlefield. As a matter of honour, he beseeches you to allow his immediate suicide."	"Honour and tradition must be maintained. He is to commit seppuku at once."	"A samurai cannot serve the clan if he is dead. He will be allowed to atone for his misdeeds through service to his lord."	"A Matter of Honour"	"message_dilemmas_active.tga"	"Dilemma_Samurai_Daimyo.tga"	"Accept Request"	"Deny Request"	false
false	"s_meritorious_action"	"This distinguished warrior has secured many victories for our clan since assuming the mantle of general. Such accomplishments surely deserve recognition?"	"We are grateful for this man's achievements; he shall be granted a fief for his efforts."	"This man has done no more than carry out his duties; we expect no less from our subjects."	"Meritorious Action"	"message_dilemmas_active.tga"	"Dilemma_Samurai.tga"	"Acknowledge Him"	"Do Nothing"	false
true	"s_nanban_trade_centre"	"Nanban traders have arrived at one of our ports, seeking permission to establish a trading post. Allowing this will give us access to new firearms. However, by doing so we run the risk of introducing undesirable nanban influences, such as Christianity, to the clan."	"We welcome the opportunity to engage in material and cultural exchange with the nanban. We will build them a trading post."	"We have no need to engage in trade with the nanban at this time. Perhaps at a later time?"	"Nanban Trade"	"message_dilemmas_active.tga"	"Europeans_Arrive.tga"	"Accept Trade"	"Decline Trade"	true
true	"s_nanban_trade_east"	"Nanban traders have arrived at one of our ports, seeking permission to establish a trading post. Allowing this will give us access to new firearms. However, by doing so we run the risk of introducing undesirable nanban influences, such as Christianity, to the clan."	"We welcome the opportunity to engage in material and cultural exchange with the nanban. We will build them a trading post."	"We have no need to engage in trade with the nanban at this time. Perhaps at a later time?"	"Nanban Trade"	"message_dilemmas_active.tga"	"Europeans_Arrive.tga"	"Accept Trade"	"Decline Trade"	true
true	"s_nanban_trade_west"	"Nanban traders have arrived at one of our ports, seeking permission to establish a trading post. Allowing this will give us access to new firearms. However, by doing so we run the risk of introducing undesirable nanban influences, such as Christianity, to the clan."	"We welcome the opportunity to engage in material and cultural exchange with the nanban. We will build them a trading post."	"We have no need to engage in trade with the nanban at this time. Perhaps at a later time?"	"Nanban Trade"	"message_dilemmas_active.tga"	"Europeans_Arrive.tga"	"Accept Trade"	"Decline Trade"	true
false	"s_promotion_post_battle"	"My lord, one of our valiant warriors has proved his mettle in securing this victory for the clan. It is our belief that his talents are wasted in the rank-and-file and that he will best serve the clan leading our forces in battle."	"An army needs leadership if it is to wage war effectively. We will exercise his martial prowess to further our military objectives."	"This man’s ability is unquestionable, but we have no need of his services for the time being."	"Fit for Command"	"message_dilemmas_active.tga"	"Dilemma_Military.tga"	"Promote Him"	"Do Not Promote"	false
false	"s_promotion_turn_start"	"My lord, the son of one of your most loyal subjects - a fine warrior, I am told -  desires to prove his worth to you and the clan. As such, he requests the opportunity to lead your glorious forces in battle."	"An army needs leadership if it is to wage war effectively. We will give him the chance to prove his worth."	"This man’s eagerness to serve is admirable, but we do not require his services for the time being."	"Eager to Serve"	"message_dilemmas_active.tga"	"Dilemma_Samurai_Daimyo.tga"	"Enlist Him"	"Do Not Enlist"	false
false	"s_relief_effort"	"This province has recently been ravaged by the forces of nature. Many of our people have had their livelihoods ruined. The process of rebuilding all that was lost is an arduous affair."	"We cannot stand idle while our people suffer. We shall fully occupy ourselves in the reconstruction effort, for the good of all."	"There are more pressing issues to attend to than the trivial problems faced by the peasantry."	"Relief Effort"	"message_dilemmas_active.tga"	"Dilemma_Relief_Effort.tga"	"Dispatch Aid"	"Ignore Their Plight"	false
