version 2, schema battle_script_strings_tables
Battle_Script_String_ID(string)	string(string)	unknown3(string)
"CreativeAssembly.HB_Waterloo_Intro_4"	"Wellington's main army however, occupies the northern part of the plains of Mont-Saint-Jean, laying in wait behind a sunken lane. This gives him a strategic advantage over me and I will need to take some care when ordering an attack here."	"Napoleon Old"
"CreativeAssembly.HB_Waterloo_Intro_5"	"I have sent Grouchy to pursue the Prussians. He must hound them. But will he send word? Grouchy! Grouchy! He tries my patience."	"Napoleon Old"
"CreativeAssembly.HB_Waterloo_Narration"	"I must trust Grouchy to keep the Prussians on the run. Ney: he has forced the enemy to go north. We followed at their heels. And now, there is this English general, this Wellington. They tell me he was good, in Spain. Beaten men would say that. Is he as good as me? We shall see."	"Napoleon Old"
"CreativeAssembly.HB_Waterloo_sfx_1"	"A direct attack on the hill will not work! We need to advance carefully."	"Berthier"
"CreativeAssembly.HB_Waterloo_sfx_2"	"The farm of Hougoumont on the left is key to victory!"	"Berthier"
"CreativeAssembly.HB_Waterloo_sfx_3"	"We have taken Hougoumont!"	"Berthier"
"CreativeAssembly.HB_Waterloo_sfx_4"	"We have taken La Haye Sainte!"	"Berthier"
"CreativeAssembly.HB_Waterloo_sfx_5"	"The Prussians have entered Plachenoit!"	"Berthier"
"CreativeAssembly.HB_Waterloo_sfx_6"	"Reinforcements have arrived!"	"Berthier"
"CreativeAssembly.HB_Waterloo_sfx_7"	"We are being flanked by the Prussians!"	"Berthier"
"CreativeAssembly.HB_Waterloo_sfx_8"	"Vive L'Empereur!"	"Berthier"
"CreativeAssembly.Naval_Basic_Controls.Anchor_Advice_1"	"You can halt your ship at any time or cancel its current orders by clicking the highlighted anchor button. Try clicking it now."	"Berthier"
"CreativeAssembly.Naval_Basic_Controls.Board_Order"	"Well done. Your ship will now automatically move into position and begin boarding the enemy."	"Berthier"
"CreativeAssembly.Naval_Basic_Controls.Boarding_1"	"Now is an excellent time to board the enemy."	"Berthier"
"CreativeAssembly.Naval_Basic_Controls.Boarding_2"	"You can give your ship an order to board the enemy ship by clicking on the highlighted Board Button, and then right clicking on the enemy Ship. Do this now."	"Berthier"
"CreativeAssembly.Naval_Basic_Controls.Boarding_3"	"Boarding is a useful way of trying to capture enemy ships by making them surrender. This then adds that ship to your faction \nonce the battle is over."	"Berthier"
"CreativeAssembly.Naval_Basic_Controls.Broadside_Clicked"	"Notice the orange ring running round the outside of the broadside buttons. This represents the number of guns on that side that are loaded and ready to fire. Hover your mouse over the Broadside Button to see exactly how many cannons are ready. This ring will build up as more cannons reload."	"Berthier"
"CreativeAssembly.Naval_Basic_Controls.Broadsides_1"	"You can also control how your ship fires by use of the Broadside Buttons highlighted now. These buttons control the main \nbattery of guns on the left and right side of the ship. They can be used to deliver a devastating punch to the enemy."	"Berthier"
"CreativeAssembly.Naval_Basic_Controls.Broadsides_2"	"Try clicking either of the Broadside Buttons now."	"Berthier"
"CreativeAssembly.Naval_Basic_Controls.Broadsides_3"	"You can click on the Broadside Button again to fire off all the ready guns on that side. This allows you more control over how your ship fires, and allows you to deal more damage to the enemy."	"Berthier"
"CreativeAssembly.Naval_Basic_Controls.Camera_1"	"Now you must learn how to control the camera."	"Berthier"
"CreativeAssembly.Naval_Basic_Controls.Camera_2"	"First try moving the camera forward and back by using the W key to move forward, and the S key to move back."	"Berthier"
"CreativeAssembly.Naval_Basic_Controls.Camera_3"	"Now try moving the camera left and right by using the A key to move left and the D key to move right."	"Berthier"
"CreativeAssembly.Naval_Basic_Controls.Camera_4"	"Try rotating the camera left and right by using the Q key to rotate the camera left, and the E key to rotate it right."	"Berthier"
"CreativeAssembly.Naval_Basic_Controls.Camera_5"	"You can use the V key to pan the camera up, and the C key  to pan the camera down."	"Berthier"
"CreativeAssembly.Naval_Basic_Controls.Camera_6"	"Finally try moving the camera up and down by using the X key to move it up, and the Z key to move it down."	"Berthier"
"CreativeAssembly.Naval_Basic_Controls.Camera_7"	"Well done. You can also use the mouse to move the camera around by either moving it to the edges of the screen, or by \nholding down the middle mouse button whilst moving the mouse to drag the camera around."	"Berthier"
"CreativeAssembly.Naval_Basic_Controls.Combat_1"	"As the enemy approaches you will learn how to give an attack order to your ship."	"Berthier"
"CreativeAssembly.Naval_Basic_Controls.Combat_2"	"With your ship selected, right click on the enemy ship to give your ship an attack order."	"Berthier"
"CreativeAssembly.Naval_Basic_Controls.Double_Click"	"You can double click on the ship card to centre the camera on that ship. Try this now."	"Berthier"
"CreativeAssembly.Naval_Basic_Controls.Fire_At_Will_1"	"The highlighted button is the Fire at Will button, with Fire at Will turned on your ship will automatically fire on any enemy ships within range without needing an attack order."	"Berthier"
"CreativeAssembly.Naval_Basic_Controls.Fire_At_Will_2"	"Turn it on now and your ship will fire on the enemy if they are within range and within your ships firing arc. Firing arcs are the faint triangles that project out of the sides of your ship."	"Berthier"
"CreativeAssembly.Naval_Basic_Controls.Fire_At_Will_3"	"Your ship will now automatically fire on the enemy once they are within range."	"Berthier"
"CreativeAssembly.Naval_Basic_Controls.First_Combat"	"Your ship will now sail into range and open fire on the enemy. Your experienced crew will soon make short work of them."	"Berthier"
"CreativeAssembly.Naval_Basic_Controls.First_Enemy_Approaching"	"Look sir, one of the enemy sloops is approaching us."	"Berthier"
"CreativeAssembly.Naval_Basic_Controls.First_Enemy_Sunk"	"Well done sir, this enemy Sloop has been sunk."	"Berthier"
"CreativeAssembly.Naval_Basic_Controls.Health_Bars_1"	"The circular flag above your ship is its icon. The green bars at the bottom represent the strength of the hull on each side of \nyour ship, and the white bar at the top represents the amount of damage your sails and masts have taken."	"Berthier"
"CreativeAssembly.Naval_Basic_Controls.Health_Bars_2"	"As your ship takes hits throughout a battle these bars will go down and change colour to represent the fact your ship is taking damage."	"Berthier"
"CreativeAssembly.Naval_Basic_Controls.HUD_1"	"The HUD, or heads up display, has now been revealed. You will be taught about the HUD and buttons over the course of this tutorial."	"Berthier"
"CreativeAssembly.Naval_Basic_Controls.Movement_1"	"Now you will learn how to move your ship."	"Berthier"
"CreativeAssembly.Naval_Basic_Controls.Movement_1_Info"	"With your ship selected, right click at the base of the marker shown to have your ship move there."	"Berthier"
"CreativeAssembly.Naval_Basic_Controls.Movement_1_Move"	"Your ship will now move to the first marker."	"Berthier"
"CreativeAssembly.Naval_Basic_Controls.Movement_1_Resume"	"Now have your ship resume its movement to the first marker."	"Berthier"
"CreativeAssembly.Naval_Basic_Controls.Movement_2_Info"	"Now try double clicking at the base of the next marker to have your ship move there at its fastest speed."	"Berthier"
"CreativeAssembly.Naval_Basic_Controls.Movement_2_Move"	"Double clicking to have your ship move will always make it move at its fastest speed."	"Berthier"
"CreativeAssembly.Naval_Basic_Controls.Player_Ship"	"Your ship is nearby, and ready for you to learn how to control it."	"Berthier"
"CreativeAssembly.Naval_Basic_Controls.Player_Ship_Card"	"The new flashing icon is the ship card for your ship. Left click the ship card now to select it."	"Berthier"
"CreativeAssembly.Naval_Basic_Controls.Review_Panel"	"The flashing part of the HUD is the review panel. This is where the ship cards for the ships in your navy will be displayed."	"Berthier"
"CreativeAssembly.Naval_Basic_Controls.Rotate"	"You can use the highlighted buttons to rotate your ship and help keep the enemy within your broadsides when moving your ship around manually."	"Berthier"
"CreativeAssembly.Naval_Basic_Controls.Second_Enemy_Approaching"	"The second enemy sloop is now approaching us, and you must be ready to receive it."	"Berthier"
"CreativeAssembly.Naval_Basic_Controls.Second_Enemy_Combat"	"Use all the ways to control your ship in combat to fight the last enemy ship. Remember, you can give your ship an attack order and control how its broadsides fire at the same time if you want to."	"Berthier"
"CreativeAssembly.Naval_Basic_Controls.Second_Enemy_Demasted"	"A lucky shot has demasted the enemy Sloop, and its crew are bringing it to a halt."	"Berthier"
"CreativeAssembly.Naval_Basic_Controls.Shot_Types_1"	"Now whilst your ship moves into range and engages the enemy you will learn about the different shot types your ship can use."	"Berthier"
"CreativeAssembly.Naval_Basic_Controls.Shot_Types_2"	"The currently selected shot type for your ship and the default is Round Shot. This shot type is effective against the enemy’s hull and taking out their guns."	"Berthier"
"CreativeAssembly.Naval_Basic_Controls.Shot_Types_3"	"The highlighted type is Chain Shot. This shot type will hit the enemy’s masts and can be used to cripple an enemy’s movement."	"Berthier"
"CreativeAssembly.Naval_Basic_Controls.Shot_Types_4"	"The final shot type now highlighted is Grape Shot. This is a close range shot type that is devastating against the enemy’s crew."	"Berthier"
"CreativeAssembly.Naval_Basic_Controls.Shot_Types_5"	"You have now learnt about the various shot types, experiment with them now if you want but your aim is to sink this enemy ship."	"Berthier"
"CreativeAssembly.Naval_Basic_Controls.Tutorial_Complete_1"	"The enemy sloop has surrendered, well done sir!"	"Berthier"
"CreativeAssembly.Naval_Basic_Controls.Tutorial_Complete_2"	"This brings the Naval tutorial to an end."	"Berthier"
"CreativeAssembly.Naval_Basic_Controls.Tutorial_Complete_3"	"In this tutorial you learnt how to control the camera, how to move your ship, how to attack, how to board and how to control your ship in combat. You also learned the basics of the HUD."	"Berthier"
"CreativeAssembly.Naval_Basic_Controls.Welcome_1"	"Welcome to the Naval tutorial."	"Berthier"
"CreativeAssembly.Naval_Basic_Controls.Welcome_2"	"We have had reports of British ships raiding in the Caribbean and you have been dispatched to deal with them."	"Berthier"
"CreativeAssembly.Naval_Basic_Controls.Welcome_3"	"In this tutorial you will learn about the HUD, camera controls, ship movement and combat."	"Berthier"
"CreativeAssembly.Naval_Basic_Controls.Welcome_4"	"For now please click the End Deployment button to begin the tutorial."	"Berthier"
"CreativeAssembly.Naval_General_Tutorial_Messages.Good"	"Good."	"Berthier"
"CreativeAssembly.Naval_Tut_1"	"Welcome to the Battle of Algeciras Bay. Here you will learn the basic navigation and command of the French fleet."	"Berthier"
"CreativeAssembly.Naval_Tut_10"	"Try experimenting with these shot types to sink the approaching enemy ship."	"Berthier"
"CreativeAssembly.Naval_Tut_11"	"You can give your ship an order to board the British ship by clicking on the highlighted Board Button, and then right-clicking \non the enemy ship. Try this now."	"Berthier"
"CreativeAssembly.Naval_Tut_12"	"One of the British ships is moving to attack."	"Berthier"
"CreativeAssembly.Naval_Tut_13"	"Well done, you have successfully sunk the British ship."	"Berthier"
"CreativeAssembly.Naval_Tut_14"	"The British flagship is now approaching us, prepare to engage."	"Berthier"
"CreativeAssembly.Naval_Tut_15"	"The British ship has been demasted, its crew are bringing it to a halt."	"Berthier"
"CreativeAssembly.Naval_Tut_16"	"With your ship moving into engage the enemy, let's look at the different shot types your ship has on board."	"Berthier"
"CreativeAssembly.Naval_Tut_17"	"The British ship has surrendered."	"Berthier"
"CreativeAssembly.Naval_Tut_18"	"Congratulations, you have successfully removed the British threat from the Mediterranean."	"Berthier"
"CreativeAssembly.Naval_Tut_19"	"The default shot type for this ship is Round Shot. This is extremely effective against an enemy’s hull and at destroying their guns. As your ship is automatically set to Fire-At-Will, once in range of the enemy your ship will open fire."	"Berthier"
"CreativeAssembly.Naval_Tut_2"	"Anchored off the coast of Gibraltar are the Royal Navy, your British enemies. Your task is to remove their fleet from the Mediterranean by any means necessary."	"Berthier"
"CreativeAssembly.Naval_Tut_20"	"Also on board is Chain Shot. This shot type is designed to hit the enemy’s masts and can therefore be used to cripple their movement."	"Berthier"
"CreativeAssembly.Naval_Tut_21"	"The final shot type in your arsenal is Grape Shot. This is a close range shot type that is devastating against enemy crew members."	"Berthier"
"CreativeAssembly.Naval_Tut_22"	"You can also set your ship's speed by increasing or decreasing the number of sails it uses. This is done by selecting one of \nthe highlighted buttons at the bottom of the screen."	"Berthier"
"CreativeAssembly.Naval_Tut_23"	"To engage in combat, right-click on the enemy with your ship selected."	"Berthier"
"CreativeAssembly.Naval_Tut_24"	"With the British now in close quarters try using the Rotation buttons to help keep their ship within the firing arc of your cannons."	"Berthier"
"CreativeAssembly.Naval_Tut_25"	"Return to your ship quickly by double-clicking on its ship card at the bottom of the screen."	"Berthier"
"CreativeAssembly.Naval_Tut_26"	"Now engage the remaining British ship."	"Berthier"
"CreativeAssembly.Naval_Tut_27"	"Additional British ships are coming to join the fray. French reinforcements will be here shortly."	"Berthier"
"CreativeAssembly.Naval_Tut_28"	"Use the techniques you have just learnt to see off the British fleet once and for all."	"Berthier"
"CreativeAssembly.Naval_Tut_29"	"With additional ships at your command this would be a good time to group them together, allowing you to control your fleet \nmore easily."	"Berthier"
"CreativeAssembly.Naval_Tut_3"	"This is your flagship, the most important ship in any Admiral's fleet."	"Berthier"
"CreativeAssembly.Naval_Tut_30"	"To do this left-click and drag with your mouse around the ships you wish to group and then select the Group button at \nthe bottom of the screen."	"Berthier"
"CreativeAssembly.Naval_Tut_31"	"You will now notice that your ship cards have been rearranged into the new groups you have just created. You can still move \nand select you ships individually, but you can now select the group tab to move your ships as a group."	"Berthier"
"CreativeAssembly.Naval_Tut_32"	"Whilst in Group mode you will also have access to the Formations button, located at the bottom of the screen. By selecting this, you will \nbe able to choose a specific formation for your ships to use, allowing you to improve your attack prowess or defensive strength."	"Berthier"
"CreativeAssembly.Naval_Tut_4"	"It appears your ship has taken some damage since last being in port, and is in need of urgent attention."	"Berthier"
"CreativeAssembly.Naval_Tut_5"	"Left-click on the ship card at the bottom of the screen to select your ship."	"Berthier"
"CreativeAssembly.Naval_Tut_6"	"Now select the Repair Ship button at the bottom of the screen to get your crew to fix the damage."	"Berthier"
"CreativeAssembly.Naval_Tut_7"	"During the repair process your ship will not be able to perform another task unless you cancel the repair process first. Once the repair process is completed your ship will be fully functional and ready for combat."	"Berthier"
"CreativeAssembly.Naval_Tut_8"	"With your ship now being readied for war, you need to learn how to use the camera to help track down and destroy the British fleet."	"Berthier"
"CreativeAssembly.Naval_Tut_9"	"Let's now set sail. To do this right-click at the base of the marker shown with your ship selected."	"Berthier"
"CreativeAssembly.HB_Waterloo_Well_Intro_1"	"I have decided to make our stand here, on the Brussels road, south of Waterloo. Despite yesterday's rain, that fellow just keeps coming on."	"Wellington"
"CreativeAssembly.HB_Waterloo_Well_Intro_2"	"The main body of my army is on the reverse slope, to protect them from the Corsican’s artillery."	"Wellington"
"CreativeAssembly.HB_Waterloo_Well_Intro_3"	"The remainder are positioned at Hougoumont on my right, with a unit of Jägers hidden in the orchard,"	"Wellington"
"CreativeAssembly.HB_Waterloo_Well_Intro_4"	"La Haye Saint in the centre and …"	"Wellington"
"CreativeAssembly.HB_Waterloo_Well_Intro_5"	"Papellotte on my left. These we must hold!"	"Wellington"
"CreativeAssembly.HB_Waterloo_Well_Intro_6"	"As always, that man has his artillery. His guns are strong on the right and …"	"Wellington"
"CreativeAssembly.HB_Waterloo_Well_Battle_Lost"	"This is a dark day for England and Europe. Bonaparte does war honour, but he must be stopped!"	"Wellington"
"CreativeAssembly.HB_Waterloo_Well_Battle_Won"	"I Say! That'll do men, that'll do. They came on in the same old way, and we beat them in the same old way."	"Wellington"
"CreativeAssembly.HB_Waterloo_Well_Intro_7"	"He has placed those dashed Imperial Guard, behind La Belle Alliance. They are tough, fighting men."	"Wellington"
"CreativeAssembly.HB_Waterloo_Well_Intro_8"	"I know that Blücher will keep his promise. He will be here, but until then my gin-sodden wretches, bless them, will have to hold the high ground."	"Wellington"
