version 1, schema unit_to_unit_abilities_junctions_tables, guid f0583eb3-5ebc-4d4c-8c23-918b9141a56f
Unit_IDRef(string)	Unit_Ability_IDRef(string)
"Inf_Missile_Bow_Warrior_Monks_Chosokabe"	"pavisse_deployable"
"Inf_Missile_Bow_Warrior_Monks_Chosokabe"	"whistling_arrows_long_range_ability"
"Inf_Missile_Bow_Warrior_Monks_Ikko_Ikki"	"flaming_arrows_long_range_ability"
"Inf_Missile_Bow_Warrior_Monks_Ikko_Ikki"	"pavisse_deployable"
"Inf_Missile_Bow_Warrior_Monks_Ikko_Ikki"	"whistling_arrows_long_range_ability"
"Inf_Missile_Bow_Warrior_Monks_MP"	"flaming_arrows_long_range_ability"
"Inf_Missile_Bow_Warrior_Monks_Uesugi"	"flaming_arrows_long_range_ability"
"Inf_Missile_Bow_Warrior_Monks_Uesugi"	"pavisse_deployable"
"Inf_Missile_Bow_Warrior_Monks_Uesugi"	"whistling_arrows_long_range_ability"
"Inf_Missile_Bow_Warrior_Monks"	"flaming_arrows_long_range_ability"
"Inf_Missile_Bow_Warrior_Monks"	"pavisse_deployable"
"Inf_Missile_Bow_Warrior_Monks"	"whistling_arrows_long_range_ability"
"Inf_Missile_Imported_Matchlock_Ashigaru"	"bamboo_wall"
"Inf_Missile_Imported_Matchlock_Ashigaru"	"rank_fire"
"Inf_Missile_Matchlock_Ashigaru_Hattori"	"bamboo_wall"
"Inf_Missile_Matchlock_Ashigaru_Hattori"	"rank_fire"
"Inf_Missile_Matchlock_Ashigaru_Ikko_Ikki"	"bamboo_wall"
"Inf_Missile_Matchlock_Ashigaru_Ikko_Ikki"	"rank_fire"
"Inf_Missile_Matchlock_Ashigaru_Oda"	"bamboo_wall"
"Inf_Missile_Matchlock_Ashigaru_Oda"	"rank_fire"
"Inf_Missile_Matchlock_Ashigaru_Otomo"	"bamboo_wall"
"Inf_Missile_Matchlock_Ashigaru_Otomo"	"rank_fire"
"Inf_Missile_Matchlock_Ashigaru"	"bamboo_wall"
"Inf_Missile_Matchlock_Ashigaru"	"rank_fire"
"Inf_Missile_Matchlock_Samurai_Hattori"	"bamboo_wall"
"Inf_Missile_Matchlock_Samurai_Hattori"	"rank_fire"
"Inf_Missile_Matchlock_Samurai_Hattori"	"rapid_volley"
"Inf_Missile_Matchlock_Samurai_Otomo"	"bamboo_wall"
"Inf_Missile_Matchlock_Samurai_Otomo"	"rank_fire"
"Inf_Missile_Matchlock_Samurai_Otomo"	"rapid_volley"
"Inf_Missile_Matchlock_Samurai"	"bamboo_wall"
"Inf_Missile_Matchlock_Samurai"	"rank_fire"
"Inf_Missile_Matchlock_Samurai"	"rapid_volley"
"Inf_Missile_Matchlock_Warrior_Monks_MP"	"range_effect"
"Inf_Missile_Matchlock_Warrior_Monks_Uesugi"	"bamboo_wall"
"Inf_Missile_Matchlock_Warrior_Monks_Uesugi"	"range_effect"
"Inf_Missile_Matchlock_Warrior_Monks"	"bamboo_wall"
"Inf_Missile_Matchlock_Warrior_Monks"	"range_effect"
"Inf_Missile_Portuguese_Tercos"	"rank_fire"
"Inf_Missile_Portuguese_Tercos"	"rapid_volley"
"Inf_Spear_Yari_Ashigaru_Citizenry"	"pike_wall_formation"
"Inf_Spear_Yari_Ashigaru_Hattori"	"pike_wall_formation"
"Inf_Spear_Yari_Ashigaru_Ikko_Ikki"	"pike_wall_formation"
"Inf_Spear_Yari_Ashigaru_MP"	"pike_wall_formation"
"Inf_Spear_Yari_Ashigaru_Oda"	"pike_wall_formation"
"Inf_Spear_Yari_Ashigaru_Tutorial_No_Cap"	"pike_wall_formation"
"Inf_Spear_Yari_Ashigaru_Tutorial"	"pike_wall_formation"
"Inf_Spear_Yari_Ashigaru"	"pike_wall_formation"
"Inf_Spear_Yari_Hero_MP"	"pike_square_formation"
"Inf_Spear_Yari_Hero_MP"	"rapid_advance"
"Inf_Spear_Yari_Hero_MP"	"second_wind"
"Inf_Spear_Yari_Hero"	"pike_square_formation"
"Inf_Spear_Yari_Hero"	"rapid_advance"
"Inf_Spear_Yari_Hero"	"second_wind"
"Inf_Spear_Yari_Hero"	"stand_firm"
"Inf_Spear_Yari_Samurai_Dojo"	"rapid_advance"
"Inf_Spear_Yari_Samurai_Hattori"	"rapid_advance"
"Inf_Spear_Yari_Samurai_MP"	"rapid_advance"
"Inf_Spear_Yari_Samurai"	"rapid_advance"
"Inf_Special_Kisho_Ninjas_Hattori"	"active_hiding"
"Inf_Special_Kisho_Ninjas_Hattori"	"blinding_grenade"
"Inf_Special_Kisho_Ninjas_MP"	"active_hiding"
"Inf_Special_Kisho_Ninjas_Tokugawa"	"active_hiding"
"Inf_Special_Kisho_Ninjas_Tokugawa"	"blinding_grenade"
"Inf_Special_Kisho_Ninjas"	"active_hiding"
"Inf_Special_Kisho_Ninjas"	"blinding_grenade"
"Inf_Sword_Katana_Hero_Shimazu"	"banzai"
"Inf_Sword_Katana_Hero_Shimazu"	"stand_firm"
"Inf_Sword_Katana_Hero"	"banzai"
"Inf_Sword_Katana_Hero"	"stand_firm"
"Inf_Sword_Katana_Wako"	"banzai"
"Inf_Sword_Nodachi_Samurai_Date"	"banzai"
"Inf_Sword_Nodachi_Samurai_Hattori"	"banzai"
"Inf_Sword_Nodachi_Samurai_MP"	"banzai"
"Inf_Sword_Nodachi_Samurai"	"banzai"
"Light_Ship_Bow_Kobaya_MP"	"battle_speed_naval"
"Light_Ship_Bow_Kobaya_MP"	"flaming_arrows_naval"
"Light_Ship_Bow_Kobaya_Mori"	"battle_speed_naval"
"Light_Ship_Bow_Kobaya_Mori"	"flaming_arrows_naval"
"Light_Ship_Bow_Kobaya"	"battle_speed_naval"
"Light_Ship_Bow_Kobaya"	"flaming_arrows_naval"
"Light_Ship_Fire_Bomb_Kobaya_MP"	"battle_speed_naval"
"Light_Ship_Fire_Bomb_Kobaya_Mori"	"battle_speed_naval"
"Light_Ship_Fire_Bomb_Kobaya"	"battle_speed_naval"
"Light_Ship_Matchlock_Kobaya_MP"	"battle_speed_naval"
"Light_Ship_Matchlock_Kobaya_Mori"	"battle_speed_naval"
"Light_Ship_Matchlock_Kobaya_Otomo"	"battle_speed_naval"
"Light_Ship_Matchlock_Kobaya"	"battle_speed_naval"
"Light_Ship_Siege_Tower_Bune_MP"	"battle_speed_naval"
"Light_Ship_Siege_Tower_Bune_Mori"	"battle_speed_naval"
"Light_Ship_Siege_Tower_Bune"	"battle_speed_naval"
"Medium_Ship_Medium_Bune_MP"	"battle_speed_naval"
"Medium_Ship_Medium_Bune_MP"	"flaming_arrows_naval"
"Medium_Ship_Medium_Bune_MP"	"warcry_naval"
"Medium_Ship_Medium_Bune_Mori"	"battle_speed_naval"
"Medium_Ship_Medium_Bune_Mori"	"warcry_naval"
"Medium_Ship_Medium_Bune"	"battle_speed_naval"
"Medium_Ship_Medium_Bune"	"warcry_naval"
"Medium_Ship_Wako_Medium_Bune"	"warcry_naval"
"Sh_Cav_Missile_Bow_Cavalry_Hero_MP"	"flaming_arrows_extreme_range_ability"
"Sh_Cav_Missile_Bow_Cavalry_Hero"	"cantabrian_circle"
"Sh_Cav_Missile_Bow_Cavalry_Hero"	"flaming_arrows_extreme_range_ability"
"Sh_Cav_Spear_Yari_Cavalry_Hero_MP"	"second_wind"
"Sh_Cav_Spear_Yari_Cavalry_Hero_MP"	"wedge_formation"
"Sh_Cav_Spear_Yari_Cavalry_Hero"	"second_wind"
"Sh_Cav_Spear_Yari_Cavalry_Hero"	"wedge_formation"
"Sh_Cav_Sword_Katana_Cavalry_Hero_MP"	"second_wind"
"Sh_Cav_Sword_Katana_Cavalry_Hero_MP"	"wedge_formation"
"Sh_Cav_Sword_Katana_Cavalry_Hero"	"second_wind"
"Sh_Cav_Sword_Katana_Cavalry_Hero"	"wedge_formation"
"Sh_Inf_Heavy_Naginata_Heroine"	"stand_firm"
"Sh_Inf_Heavy_Naginata_Hero"	"stand_firm"
"Sh_Inf_Heavy_Tetsubo_Hero_MP"	"warcry"
"Sh_Inf_Heavy_Tetsubo_Hero"	"banzai"
"Sh_Inf_Heavy_Tetsubo_Hero"	"warcry"
"Sh_Inf_Missile_Matchlock_Hero_MP"	"bamboo_wall"
"Sh_Inf_Missile_Matchlock_Hero"	"bamboo_wall"
"Sh_Inf_Missile_Matchlock_Hero"	"rank_fire"
"Sh_Inf_Missile_Matchlock_Hero"	"rapid_volley"
"Sh_Inf_Special_Kisho_Ninja_Hero_MP"	"active_hiding"
"Sh_Inf_Special_Kisho_Ninja_Hero"	"active_hiding"
"Sh_Inf_Special_Kisho_Ninja_Hero"	"blinding_grenade"
"Sh_Inf_Sword_Nodachi_Hero_MP"	"banzai"
"Sh_Inf_Sword_Nodachi_Hero"	"banzai"
"UP1_Cav_Spear_Fire_Cavalry_MP"	"wedge_formation"
"UP1_Cav_Spear_Fire_Cavalry_Takeda"	"wedge_formation"
"UP1_Inf_Heavy_Marathon_Monks_Ikko_Ikki"	"second_wind"
"UP1_Inf_Heavy_Marathon_Monks_Ikko_Ikki"	"warcry"
"UP1_Inf_Heavy_Marathon_Monks_MP"	"second_wind"
"UP1_Inf_Heavy_Marathon_Monks_MP"	"warcry"
"UP1_Inf_Heavy_Marathon_Monks_Uesugi"	"second_wind"
"UP1_Inf_Heavy_Marathon_Monks_Uesugi"	"warcry"
"UP1_Inf_Missile_Bandits_Hattori"	"flaming_arrows_ability"
"UP1_Inf_Missile_Bandits_Hattori"	"pavisse_deployable"
"UP1_Inf_Missile_Daikyu_Samurai_Chosokabe"	"flaming_arrows_long_range_ability"
"UP1_Inf_Missile_Daikyu_Samurai_Chosokabe"	"pavisse_deployable"
"UP1_Inf_Missile_Daikyu_Samurai_MP"	"flaming_arrows_long_range_ability"
"UP1_Inf_Missile_Heavy_Gunner_Shimazu"	"bamboo_wall"
"UP1_Inf_Missile_Heavy_Gunner_Shimazu"	"rank_fire"
"UP1_Inf_Spear_Long_Yari_Ashigaru_MP"	"pike_wall_formation"
"UP1_Inf_Spear_Long_Yari_Ashigaru_Oda"	"pike_wall_formation"
"UP1_Inf_Spear_Yari_Bulletproof_Samurai_Date"	"rapid_advance"
"UP1_Inf_Spear_Yari_Bulletproof_Samurai_MP"	"rapid_advance"
