version 2, schema encyclopedia_blocks_tables, guid 54f4ea3f-7f78-438c-be87-573dfe3a56e5
unknown1(string)	unknown2(string)	unknown3(optstring)	unknown4(string)	unknown5(int)	unknown6(string)
"enc_text_manual_battle_conflict_abilities_burn"	"textblock"	nil	"right"	1	"060f_enc_manual_battle_conflict_abilities_burn"
"enc_text_manual_battle_conflict_abilities_crane"	"textblock"	"encyclopedia/content_images/how_to_play/additional/battle/ability_cantabrian_circle.png"	"left"	1	"060z2_enc_manual_battle_conflict_abilities_crane"
"enc_text_manual_battle_conflict_abilities_fast_reload"	"textblock"	"encyclopedia\\content_images\\how_to_play\\additional\\battle\\bos_ability_faster_reload_naval_unselected.png"	"left"	1	"bosh_enc_abilities_fast_reload"
"enc_text_manual_battle_conflict_abilities_firing_speed"	"textblock"	"encyclopedia\\content_images\\how_to_play\\additional\\battle\\bos_ability_tower_faster_firing_unselected.png"	"left"	1	"bosh_enc_abilities_firing_speed"
"enc_text_manual_battle_conflict_abilities_firm"	"textblock"	"encyclopedia/content_images/how_to_play/additional/battle/ability_stand_firm.png"	"left"	1	"060z1_enc_manual_battle_conflict_abilities_firm"
"enc_text_manual_battle_conflict_abilities_ganbatte"	"textblock"	"encyclopedia\\content_images\\how_to_play\\additional\\battle\\bos_ability_ganbatte_unselected.png"	"left"	1	"bosh_enc_abilities_ganbatte"
"enc_text_manual_battle_conflict_abilities_grenades"	"textblock"	"encyclopedia/content_images/how_to_play/additional/battle/ability_blinding_grenade.png"	"left"	1	"060e_enc_manual_battle_conflict_abilities_grenades"
"enc_text_manual_battle_conflict_abilities_inspire_land"	"textblock"	"encyclopedia/content_images/how_to_play/additional/battle/ability_inspire_unit.png"	"left"	1	"060m_enc_manual_battle_conflict_abilities_inspire_land"
"enc_text_manual_battle_conflict_abilities_inspire_sea"	"textblock"	"encyclopedia/content_images/how_to_play/additional/battle/ability_encourage_fleet.png"	"left"	1	"060n_enc_manual_battle_conflict_abilities_inspire_sea"
"enc_text_manual_battle_conflict_abilities_kill_zone"	"textblock"	"encyclopedia\\content_images\\how_to_play\\additional\\battle\\bos_ability_kill_zone_unselected.png"	"left"	1	"bosh_enc_abilities_kill_zone"
"enc_text_manual_battle_conflict_abilities_kisho"	"textblock"	nil	"right"	4	"060z8_enc_manual_battle_conflict_attributes"
"enc_text_manual_battle_conflict_abilities_kneel_fire"	"textblock"	"encyclopedia\\content_images\\how_to_play\\additional\\battle\\bos_ability_kneel_fire_ability_unselected.png"	"left"	1	"bosh_enc_abilities_kneel_fire"
"enc_text_manual_battle_conflict_abilities_mines"	"textblock"	"encyclopedia/content_images/how_to_play/additional/battle/button_place_mine_active.png"	"left"	1	"060q_enc_manual_battle_conflict_abilities_mines"
"enc_text_manual_battle_conflict_abilities_overheat_engine"	"textblock"	"encyclopedia\\content_images\\how_to_play\\additional\\battle\\bos_ability_overcharge_engine_unselected.png"	"left"	1	"bosh_enc_abilities_overheat_engine"
"enc_text_manual_battle_conflict_abilities_rally"	"textblock"	"encyclopedia/content_images/how_to_play/additional/battle/ability_rally_position.png"	"left"	1	"060s_enc_manual_battle_conflict_abilities_rally"
"enc_text_manual_battle_conflict_abilities_ramming"	"textblock"	"encyclopedia\\content_images\\how_to_play\\additional\\battle\\bos_ability_ram_naval_selected.png"	"left"	1	"bosh_enc_abilities_ramming"
"enc_text_manual_battle_conflict_abilities_range"	"textblock"	"encyclopedia/content_images/how_to_play/additional/battle/ability_increased_range.png"	"left"	1	"060l_enc_manual_battle_conflict_abilities_range"
"enc_text_manual_battle_conflict_abilities_ranked"	"textblock"	"encyclopedia/content_images/how_to_play/additional/battle/ability_rank_fire.png"	"left"	1	"060t_enc_manual_battle_conflict_abilities_ranked"
"enc_text_manual_battle_conflict_abilities_rowing"	"textblock"	"encyclopedia/content_images/how_to_play/additional/battle/ability_faster_rowing.png"	"left"	1	"060h_enc_manual_battle_conflict_abilities_rowing"
"enc_text_manual_battle_conflict_abilities_screens"	"textblock"	"encyclopedia/content_images/how_to_play/additional/battle/ability_deployables_pavisse.png"	"left"	1	"060v_enc_manual_battle_conflict_abilities_screens"
"enc_text_manual_battle_conflict_abilities_shrapnel_shot"	"textblock"	"encyclopedia/content_images/how_to_play/additional/battle/bos_ability_shrapnel_shot_unselected.png"	"left"	1	"bosh_enc_abilities_shrapnel_shot"
"enc_text_manual_battle_conflict_abilities_speed"	"textblock"	"encyclopedia/content_images/how_to_play/additional/battle/ability_battle_speed_naval.png"	"left"	1	"060d_enc_manual_battle_conflict_abilities_speed"
"enc_text_manual_battle_conflict_abilities_sprint"	"textblock"	"encyclopedia/content_images/how_to_play/additional/battle/ability_rapid_advance.png"	"left"	1	"060x_enc_manual_battle_conflict_abilities_sprint"
"enc_text_manual_battle_conflict_abilities_square"	"textblock"	"encyclopedia/content_images/how_to_play/additional/battle/ability_pike_square_formation.png"	"left"	1	"060z6_enc_manual_battle_conflict_abilities_square"
"enc_text_manual_battle_conflict_abilities_stand"	"textblock"	"encyclopedia/content_images/how_to_play/additional/battle/ability_we_stand_and_fight.png"	"left"	1	"060z_enc_manual_battle_conflict_abilities_stand"
"enc_text_manual_battle_conflict_abilities_suppression_fire"	"textblock"	"encyclopedia\\content_images\\how_to_play\\additional\\battle\\bos_ability_suppression_fire_unselected.png"	"left"	1	"bosh_enc_abilities_suppression_fire"
"enc_text_manual_battle_conflict_abilities_volley"	"textblock"	"encyclopedia/content_images/how_to_play/additional/battle/ability_rapid_volley.png"	"left"	1	"060u_enc_manual_battle_conflict_abilities_volley"
"enc_text_manual_battle_conflict_abilities_wall"	"textblock"	"encyclopedia/content_images/how_to_play/additional/battle/ability_pike_wall_formation.png"	"left"	1	"060z7_enc_manual_battle_conflict_abilities_wall"
"enc_text_manual_battle_conflict_abilities_warcry_land"	"textblock"	"encyclopedia/content_images/how_to_play/additional/battle/ability_menacing_advance.png"	"normal"	1	"060z3_enc_manual_battle_conflict_abilities_warcry_land"
"enc_text_manual_battle_conflict_abilities_warcry_sea"	"textblock"	nil	"left"	2	"060z3_enc_manual_battle_conflict_abilities_warcry_land"
"enc_text_manual_battle_conflict_abilities_wind"	"textblock"	"encyclopedia/content_images/how_to_play/additional/battle/ability_second_wind.png"	"left"	1	"060w_enc_manual_battle_conflict_abilities_wind"
"enc_text_manual_battle_conflict_attributes"	"textblock"	nil	"right"	1	"060z8_enc_manual_battle_conflict_attributes"
"enc_text_manual_battle_conflict_attributes_attrition"	"textblock"	nil	"right"	7	"060z8_enc_manual_battle_conflict_attributes"
"enc_text_manual_battle_conflict_attributes_climb"	"textblock"	nil	"right"	11	"060z8_enc_manual_battle_conflict_attributes"
"enc_text_manual_battle_conflict_attributes_disciplined"	"textblock"	nil	"left"	8	"060z8_enc_manual_battle_conflict_attributes"
"enc_text_manual_battle_conflict_attributes_dismount"	"textblock"	"encyclopedia/content_images/how_to_play/additional/battle/ability_dismount.png"	"left"	12	"060z8_enc_manual_battle_conflict_attributes"
"enc_text_manual_battle_conflict_attributes_fatigue"	"textblock"	nil	"right"	10	"060z8_enc_manual_battle_conflict_attributes"
"enc_text_manual_battle_conflict_attributes_grass"	"textblock"	nil	"left"	6	"060z8_enc_manual_battle_conflict_attributes"
"enc_text_manual_battle_conflict_attributes_inspire"	"textblock"	nil	"left"	9	"060z8_enc_manual_battle_conflict_attributes"
"enc_text_manual_battle_conflict_attributes_scrub"	"textblock"	nil	"right"	5	"060z8_enc_manual_battle_conflict_attributes"
"enc_text_manual_battle_conflict_attributes_snipe"	"textblock"	nil	"right"	3	"060z8_enc_manual_battle_conflict_attributes"
"enc_text_manual_battle_conflict_attributes_stalk"	"textblock"	nil	"left"	2	"060z8_enc_manual_battle_conflict_attributes"
"enc_text_manual_battle_conflict_attributes_woods"	"textblock"	nil	"left"	4	"060z8_enc_manual_battle_conflict_attributes"
"enc_text_manual_battle_conflict_banners"	"textblock"	nil	"right"	3	"047_enc_manual_battle_conflict"
"enc_text_manual_battle_conflict_buildings_key"	"textblock"	nil	"left"	1	"054_enc_manual_battle_conflict_buildings"
"enc_text_manual_battle_conflict_buildings_key_types"	"textblock"	nil	"left"	2	"054_enc_manual_battle_conflict_buildings"
"enc_text_manual_battle_conflict_capture"	"textblock"	nil	"left"	2	"057_enc_manual_battle_conflict_sieges"
"enc_text_manual_battle_conflict_controls_balance"	"textblock"	"encyclopedia\\content_images\\how_to_play\\additional\\battle\\battle_balance_of_power.png"	"left"	3	"049_enc_manual_battle_conflict_controls"
"enc_text_manual_battle_conflict_controls_compass"	"textblock"	"encyclopedia\\content_images\\how_to_play\\additional\\battle\\battle_maneuvre_compass.png"	"left"	5	"049_enc_manual_battle_conflict_controls"
"enc_text_manual_battle_conflict_controls_radar"	"textblock"	"encyclopedia\\content_images\\how_to_play\\additional\\battle\\battle_HUD.png"	"left"	1	"049_enc_manual_battle_conflict_controls"
"enc_text_manual_battle_conflict_controls_speed"	"textblock"	"encyclopedia\\content_images\\how_to_play\\additional\\battle\\battle_speed_controls.png"	"left"	2	"049_enc_manual_battle_conflict_controls"
"enc_text_manual_battle_conflict_controls_timer"	"textblock"	"encyclopedia\\content_images\\how_to_play\\additional\\battle\\battle_timer.png"	"left"	4	"049_enc_manual_battle_conflict_controls"
"enc_text_manual_battle_conflict_crossings_attack"	"textblock"	nil	"left"	2	"055_enc_manual_battle_conflict_crossings"
"enc_text_manual_battle_conflict_crossings_bridges"	"textblock"	nil	"right"	1	"055_enc_manual_battle_conflict_crossings"
"enc_text_manual_battle_conflict_crossings_defence"	"textblock"	nil	"right"	3	"055_enc_manual_battle_conflict_crossings"
"enc_text_manual_battle_conflict_fatigue"	"textblock"	nil	"right"	1	"053_enc_manual_battle_conflict_fatigue"
"enc_text_manual_battle_conflict_forests"	"textblock"	nil	"right"	1	"056_enc_manual_battle_conflict_forests"
"enc_text_manual_battle_conflict_formations_land"	"textblock"	nil	"left"	1	"050a_enc_manual_battle_conflict_formations_land"
"enc_text_manual_battle_conflict_formations_land_bark"	"textblock"	"encyclopedia/content_images/how_to_play/additional/battle/button_bark_of_the_pine_tree_unselected_active.png"	"left"	7	"050a_enc_manual_battle_conflict_formations_land"
"enc_text_manual_battle_conflict_formations_land_bird"	"textblock"	"encyclopedia/content_images/how_to_play/additional/battle/button_flying_bird_unselected_active.png"	"left"	9	"050a_enc_manual_battle_conflict_formations_land"
"enc_text_manual_battle_conflict_formations_land_boshin"	"textblock"	nil	"left"	10	"050a_enc_manual_battle_conflict_formations_land"
"enc_text_manual_battle_conflict_formations_land_boshin_artillery"	"textblock"	"encyclopedia\\content_images\\how_to_play\\additional\\battle\\bos_button_artillery_crossfire_active.png"	"left"	16	"050a_enc_manual_battle_conflict_formations_land"
"enc_text_manual_battle_conflict_formations_land_boshin_double"	"textblock"	"encyclopedia\\content_images\\how_to_play\\additional\\battle\\bos_button_double_line_standard_active.png"	"left"	11	"050a_enc_manual_battle_conflict_formations_land"
"enc_text_manual_battle_conflict_formations_land_boshin_grand"	"textblock"	"encyclopedia\\content_images\\how_to_play\\additional\\battle\\bos_button_grand_battery_active.png"	"left"	12	"050a_enc_manual_battle_conflict_formations_land"
"enc_text_manual_battle_conflict_formations_land_boshin_left"	"textblock"	"encyclopedia\\content_images\\how_to_play\\additional\\battle\\bos_button_cavalry_heavy_left_active.png"	"left"	14	"050a_enc_manual_battle_conflict_formations_land"
"enc_text_manual_battle_conflict_formations_land_boshin_melee"	"textblock"	"encyclopedia\\content_images\\how_to_play\\additional\\battle\\bos_button_melee_frontline_active.png"	"left"	15	"050a_enc_manual_battle_conflict_formations_land"
"enc_text_manual_battle_conflict_formations_land_boshin_right"	"textblock"	"encyclopedia\\content_images\\how_to_play\\additional\\battle\\bos_button_cavalry_heavy_right_active.png"	"left"	13	"050a_enc_manual_battle_conflict_formations_land"
"enc_text_manual_battle_conflict_formations_land_cloud"	"textblock"	"encyclopedia/content_images/how_to_play/additional/battle/button_cloud_dragon_unselected_active.png"	"left"	8	"050a_enc_manual_battle_conflict_formations_land"
"enc_text_manual_battle_conflict_formations_land_crane"	"textblock"	"encyclopedia/content_images/how_to_play/additional/battle/button_crane's_wing_unselected_active.png"	"left"	3	"050a_enc_manual_battle_conflict_formations_land"
"enc_text_manual_battle_conflict_formations_land_dragon"	"textblock"	"encyclopedia/content_images/how_to_play/additional/battle/button_reclining_dragon_unselected_active.png"	"left"	5	"050a_enc_manual_battle_conflict_formations_land"
"enc_text_manual_battle_conflict_formations_land_geese"	"textblock"	"encyclopedia/content_images/how_to_play/additional/battle/button_flock_of_geese_unselected_active.png"	"left"	4	"050a_enc_manual_battle_conflict_formations_land"
"enc_text_manual_battle_conflict_formations_land_spear"	"textblock"	"encyclopedia/content_images/how_to_play/additional/battle/ability_spear_point.png"	"left"	2	"050a_enc_manual_battle_conflict_formations_land"
"enc_text_manual_battle_conflict_formations_land_tiger"	"textblock"	"encyclopedia/content_images/how_to_play/additional/battle/button_war_of_the_tiger_unselected_active.png"	"left"	6	"050a_enc_manual_battle_conflict_formations_land"
"enc_text_manual_battle_conflict_formations_naval"	"textblock"	nil	"right"	1	"050b_enc_manual_battle_conflict_formations_naval"
"enc_text_manual_battle_conflict_formations_naval_boshin"	"textblock"	nil	"right"	6	"050b_enc_manual_battle_conflict_formations_naval"
"enc_text_manual_battle_conflict_formations_naval_boshin_abreast"	"textblock"	"encyclopedia\\content_images\\how_to_play\\additional\\battle\\bos_button_line_abreast_active.png"	"left"	7	"050b_enc_manual_battle_conflict_formations_naval"
"enc_text_manual_battle_conflict_formations_naval_boshin_astern"	"textblock"	"encyclopedia\\content_images\\how_to_play\\additional\\battle\\bos_button_line_astern_active.png"	"left"	8	"050b_enc_manual_battle_conflict_formations_naval"
"enc_text_manual_battle_conflict_formations_naval_cloud"	"textblock"	"encyclopedia/content_images/how_to_play/additional/battle/button_bird_cloud_active.png"	"left"	3	"050b_enc_manual_battle_conflict_formations_naval"
"enc_text_manual_battle_conflict_formations_naval_moon"	"textblock"	"encyclopedia/content_images/how_to_play/additional/battle/button_three_day_old_moon_active.png"	"left"	4	"050b_enc_manual_battle_conflict_formations_naval"
"enc_text_manual_battle_conflict_formations_naval_snake"	"textblock"	"encyclopedia/content_images/how_to_play/additional/battle/button_extended_snake_active.png"	"left"	5	"050b_enc_manual_battle_conflict_formations_naval"
"enc_text_manual_battle_conflict_formations_naval_sword"	"textblock"	"encyclopedia/content_images/how_to_play/additional/battle/button_war_of_the_sword_active.png"	"left"	2	"050b_enc_manual_battle_conflict_formations_naval"
"enc_text_manual_battle_conflict_fukkan"	"textblock"	nil	"right"	1	"048_enc_manual_battle_conflict_fukkan"
"enc_text_manual_battle_conflict_gatling_guns"	"textblock"	"encyclopedia\\content_images\\how_to_play\\additional\\battle\\bos_ability_bullet_unselected.png"	"left"	1	"bosh_enc_gatling_guns"
"enc_text_manual_battle_conflict_gatling_guns_3rd"	"textblock"	nil	"right"	2	"bosh_enc_gatling_guns"
"enc_text_manual_battle_conflict_group_formations"	"textblock"	nil	"left"	2	"050_enc_manual_battle_conflict_groups"
"enc_text_manual_battle_conflict_groups"	"textblock"	"encyclopedia/content_images/how_to_play/additional/battle/button_group_active.png"	"left"	1	"050_enc_manual_battle_conflict_groups"
"enc_text_manual_battle_conflict_groups_controlled"	"textblock"	"encyclopedia\\content_images\\how_to_play\\additional\\battle\\bos_button_ai_attack_active.png"	"left"	4	"050_enc_manual_battle_conflict_groups"
"enc_text_manual_battle_conflict_groups_selection"	"textblock"	nil	"left"	3	"050_enc_manual_battle_conflict_groups"
"enc_text_manual_battle_conflict_modes_fire"	"textblock"	"encyclopedia/content_images/how_to_play/additional/battle/ability_fire_at_will.png"	"left"	8	"049_enc_manual_battle_conflict_controls"
"enc_text_manual_battle_conflict_modes_guard"	"textblock"	"encyclopedia/content_images/how_to_play/additional/battle/ability_defend.png"	"left"	11	"049_enc_manual_battle_conflict_controls"
"enc_text_manual_battle_conflict_modes_halt"	"textblock"	"encyclopedia/content_images/how_to_play/additional/battle/button_halt_active.png"	"left"	7	"049_enc_manual_battle_conflict_controls"
"enc_text_manual_battle_conflict_modes_loose"	"textblock"	"encyclopedia/content_images/how_to_play/additional/battle/ability_loose.png"	"left"	12	"049_enc_manual_battle_conflict_controls"
"enc_text_manual_battle_conflict_modes_melee"	"textblock"	"encyclopedia/content_images/how_to_play/additional/battle/button_melee_active.png"	"left"	9	"049_enc_manual_battle_conflict_controls"
"enc_text_manual_battle_conflict_modes_naval_fire_support"	"textblock"	nil	"right"	15	"049_enc_manual_battle_conflict_controls"
"enc_text_manual_battle_conflict_modes_rallying"	"textblock"	"encyclopedia/content_images/how_to_play/additional/battle/ability_rally.png"	"left"	3	"052_enc_manual_battle_conflict_morale"
"enc_text_manual_battle_conflict_modes_rallying_sea"	"textblock"	nil	"right"	4	"052_enc_manual_battle_conflict_morale"
"enc_text_manual_battle_conflict_modes_routing"	"textblock"	nil	"left"	2	"052_enc_manual_battle_conflict_morale"
"enc_text_manual_battle_conflict_modes_run"	"textblock"	"encyclopedia/content_images/how_to_play/additional/battle/button_movespeed_active.png"	"left"	6	"049_enc_manual_battle_conflict_controls"
"enc_text_manual_battle_conflict_modes_skirmish"	"textblock"	"encyclopedia/content_images/how_to_play/additional/battle/ability_skirmish.png"	"left"	10	"049_enc_manual_battle_conflict_controls"
"enc_text_manual_battle_conflict_modes_wedge"	"textblock"	"encyclopedia/content_images/how_to_play/additional/battle/ability_wedge_formation.png"	"left"	13	"049_enc_manual_battle_conflict_controls"
"enc_text_manual_battle_conflict_modes_withdraw"	"textblock"	"encyclopedia/content_images/how_to_play/additional/battle/button_withdraw_active.png"	"left"	14	"049_enc_manual_battle_conflict_controls"
"enc_text_manual_battle_conflict_morale"	"textblock"	nil	"left"	1	"052_enc_manual_battle_conflict_morale"
"enc_text_manual_battle_conflict_naval_battles"	"textblock"	nil	"right"	1	"bosh_enc_naval_battles"
"enc_text_manual_battle_conflict_naval_broadsides"	"textblock"	"encyclopedia\\content_images\\how_to_play\\additional\\battle\\bos_button_broadside_forward_active.png"	"left"	1	"bosh_enc_broadsides"
"enc_text_manual_battle_conflict_port_battles"	"textblock"	nil	"right"	9	"057_enc_manual_battle_conflict_sieges"
"enc_text_manual_battle_conflict_review"	"textblock"	nil	"left"	2	"047_enc_manual_battle_conflict"
"enc_text_manual_battle_conflict_shells"	"textblock"	"encyclopedia\\content_images\\how_to_play\\additional\\battle\\bos_ability_segment_shell_unselected.png"	"left"	1	"bosh_enc_ammo_types"
"enc_text_manual_battle_conflict_sieges"	"textblock"	nil	"right"	1	"057_enc_manual_battle_conflict_sieges"
"enc_text_manual_battle_conflict_sieges_defence"	"textblock"	nil	"right"	3	"057_enc_manual_battle_conflict_sieges"
"enc_text_manual_battle_conflict_sieges_units"	"textblock"	nil	"right"	4	"057_enc_manual_battle_conflict_sieges"
"enc_text_manual_battle_conflict_sieges_units_boshin"	"textblock"	nil	"right"	6	"057_enc_manual_battle_conflict_sieges"
"enc_text_manual_battle_conflict_sieges_units_gempei"	"textblock"	nil	"right"	5	"057_enc_manual_battle_conflict_sieges"
"enc_text_manual_battle_conflict_torpedoes"	"textblock"	"encyclopedia/content_images/how_to_play/additional/battle/bos_button_torpedo_forward_active.png"	"left"	2	"bosh_enc_ammo_types"
"enc_text_manual_battle_conflict_towers"	"textblock"	nil	"right"	7	"057_enc_manual_battle_conflict_sieges"
"enc_text_manual_battle_conflict_towers_3rd"	"textblock"	nil	"right"	8	"057_enc_manual_battle_conflict_sieges"
"enc_text_manual_battle_deployment_abilities"	"textblock"	nil	"right"	7	"046_enc_manual_battle_deployment"
"enc_text_manual_battle_deployment_phase"	"textblock"	nil	"normal"	2	"046_enc_manual_battle_deployment"
"enc_text_manual_battle_deployment_speeches"	"textblock"	nil	"right"	5	"046_enc_manual_battle_deployment"
"enc_text_manual_battle_deployment_weather"	"textblock"	nil	"left"	6	"046_enc_manual_battle_deployment"
"enc_text_manual_battle_deployment_zones"	"textblock"	nil	"left"	3	"046_enc_manual_battle_deployment"
"enc_text_manual_battle_naval_boarding"	"textblock"	"encyclopedia/content_images/how_to_play/additional/battle/button_board_active.png"	"left"	1	"059_enc_manual_battle_naval_boarding"
"enc_text_manual_battle_naval_capture"	"textblock"	nil	"left"	2	"059_enc_manual_battle_naval_boarding"
"enc_text_manual_battle_naval_topography_land"	"textblock"	nil	"right"	1	"058_enc_manual_battle_naval_topography"
"enc_text_manual_battle_naval_topography_shallows"	"textblock"	nil	"left"	2	"058_enc_manual_battle_naval_topography"
"enc_text_manual_battlefield_play"	"textblock"	"encyclopedia/content_images/how_to_play/additional/campaign/battle_screen.png"	"normal"	1	"046_enc_manual_battle_deployment"
"enc_text_manual_boshin_clan_fame"	"textblock"	nil	"right"	2	"024_enc_manual_clan_fame"
"enc_text_manual_boshin_foreign_trade"	"textblock"	nil	"right"	3	"019_enc_manual_trade"
"enc_text_manual_boshin_foreign_trade_routes"	"textblock"	nil	"right"	4	"019_enc_manual_trade"
"enc_text_manual_boshin_railways"	"textblock"	"encyclopedia/content_images/how_to_play/additional/campaign/bos_rail_transit.png"	"normal"	1	"bosh_enc_railways"
"enc_text_manual_campaign_boshin_naval_bombardment"	"textblock"	"encyclopedia/content_images/how_to_play/additional/campaign/bos_bombardment.png"	"normal"	1	"bosh_enc_naval_bombardment"
"enc_text_manual_campaign_boshin_naval_fire_support"	"textblock"	"encyclopedia\\content_images\\how_to_play\\additional\\battle\\bos_button_bombardment_support_active.png"	"left"	1	"bosh_enc_naval_fire_support"
"enc_text_manual_clan_effects"	"textblock"	nil	"right"	1	"023_enc_manual_clan_effects"
"enc_text_manual_clan_fame"	"textblock"	nil	"right"	1	"024_enc_manual_clan_fame"
"enc_text_manual_clan_honour"	"textblock"	nil	"right"	1	"026_enc_manual_clan_honour"
"enc_text_manual_clan_loyalty"	"textblock"	nil	"right"	1	"025_enc_manual_clan_loyalty"
"enc_text_manual_clan_traits"	"textblock"	nil	"right"	1	"022_enc_manual_clan_traits"
"enc_text_manual_fleet_access_off"	"textblock"	nil	"right"	2	"040_enc_manual_fleet_access"
"enc_text_manual_fleet_access_on"	"textblock"	nil	"right"	1	"040_enc_manual_fleet_access"
"enc_text_manual_fleet_assaults"	"textblock"	nil	"right"	1	"041_enc_manual_fleet_assaults"
"enc_text_manual_fleet_attack"	"textblock"	nil	"right"	1	"037_enc_manual_fleet_attack"
"enc_text_manual_fleet_blockades"	"textblock"	nil	"right"	1	"039_enc_manual_fleet_blockades"
"enc_text_manual_fleet_fragments_merge"	"textblock"	nil	"right"	1	"038_enc_manual_fleet_fragments"
"enc_text_manual_fleet_fragments_repairs"	"textblock"	"encyclopedia/content_images/how_to_play/additional/battle/button_naval_repair_active.png"	"left"	2	"038_enc_manual_fleet_fragments"
"enc_text_manual_fleet_moves"	"textblock"	nil	"right"	2	"035_enc_manual_fleet_moves"
"enc_text_manual_fleet_moves_blocked"	"textblock"	nil	"left"	3	"035_enc_manual_fleet_moves"
"enc_text_manual_fleet_moves_generals"	"textblock"	"encyclopedia/content_images/how_to_play/additional/campaign/general.png"	"left"	1	"035_enc_manual_fleet_moves"
"enc_text_manual_fleet_raiding_trade_routes"	"textblock"	nil	"left"	2	"037_enc_manual_fleet_attack"
"enc_text_manual_fleet_reveal"	"textblock"	nil	"right"	4	"035_enc_manual_fleet_moves"
"enc_text_manual_food_shortages"	"textblock"	nil	"right"	1	"019b_enc_manual_food_shortages"
"enc_text_manual_hud"	"textblock"	"encyclopedia/content_images/how_to_play/additional/campaign/campaign_HUD.png"	"normal"	1	"007_enc_manual_hud"
"enc_text_manual_hud_arts"	"textblock"	"encyclopedia/content_images/how_to_play/additional/campaign/button_tech_active.png"	"left"	1	"014_enc_manual_hud_arts"
"enc_text_manual_hud_boshin_modernisation"	"textblock"	"encyclopedia/content_images/how_to_play/additional/campaign/bos_modernisation_level.png"	"right"	4	"014_enc_manual_hud_arts"
"enc_text_manual_hud_boshin_punitive_forces"	"textblock"	nil	"right"	3	"037_enc_manual_fleet_attack"
"enc_text_manual_hud_boshin_tech"	"textblock"	"encyclopedia/content_images/how_to_play/additional/campaign/bos_clan_development.png"	"normal"	2	"014_enc_manual_hud_arts"
"enc_text_manual_hud_boshin_tech_goals"	"textblock"	nil	"right"	3	"014_enc_manual_hud_arts"
"enc_text_manual_hud_boshin_tech_levels"	"textblock"	"encyclopedia\\content_images\\how_to_play\\additional\\campaign\\bos_clan_level_icon.png"	"left"	5	"014_enc_manual_hud_arts"
"enc_text_manual_hud_boshin_tech_ship_upgrades"	"textblock"	nil	"right"	6	"014_enc_manual_hud_arts"
"enc_text_manual_hud_date"	"textblock"	"encyclopedia/content_images/how_to_play/additional/campaign/button_end_turn_active.png"	"left"	1	"010_enc_manual_hud_date"
"enc_text_manual_hud_diplomacy"	"textblock"	"encyclopedia/content_images/how_to_play/additional/campaign/button_diplomacy_active.png"	"left"	1	"015_enc_manual_hud_diplomacy"
"enc_text_manual_hud_diplomacy_clans"	"textblock"	nil	"right"	2	"006_enc_manual_intro"
"enc_text_manual_hud_diplomacy_mechanics"	"textblock"	nil	"right"	1	"018j_enc_manual_actions_diplomacy"
"enc_text_manual_hud_diplomacy_options_access"	"textblock"	nil	"right"	1	"015c1_enc_manual_hud_diplomacy_access"
"enc_text_manual_hud_diplomacy_options_alliance"	"textblock"	nil	"right"	1	"015c_enc_manual_hud_diplomacy_options_alliance"
"enc_text_manual_hud_diplomacy_options_counteroffer"	"textblock"	nil	"right"	1	"015i_enc_manual_hud_diplomacy_options_threaten"
"enc_text_manual_hud_diplomacy_options_hostages"	"textblock"	nil	"right"	1	"015g_enc_manual_hud_diplomacy_options_hostages"
"enc_text_manual_hud_diplomacy_options_marriage"	"textblock"	nil	"right"	1	"015h_enc_manual_hud_diplomacy_options_marriage"
"enc_text_manual_hud_diplomacy_options_money"	"textblock"	nil	"right"	1	"015d_enc_manual_hud_diplomacy_options_money"
"enc_text_manual_hud_diplomacy_options_peace"	"textblock"	nil	"right"	1	"015f1_enc_manual_hud_diplomacy_options_peace"
"enc_text_manual_hud_diplomacy_options_threaten"	"textblock"	nil	"left"	2	"015i_enc_manual_hud_diplomacy_options_threaten"
"enc_text_manual_hud_diplomacy_options_trade_agreement"	"textblock"	nil	"right"	1	"015b_enc_manual_hud_diplomacy_options_trade"
"enc_text_manual_hud_diplomacy_options_trade_embargo"	"textblock"	nil	"left"	2	"015b_enc_manual_hud_diplomacy_options_trade"
"enc_text_manual_hud_diplomacy_options_vassals"	"textblock"	nil	"right"	1	"015e_enc_manual_hud_diplomacy_options_vassals"
"enc_text_manual_hud_diplomacy_options_war_declare"	"textblock"	nil	"right"	1	"015f_enc_manual_hud_diplomacy_options_war"
"enc_text_manual_hud_diplomacy_options_war_join"	"textblock"	nil	"right"	2	"015f_enc_manual_hud_diplomacy_options_war"
"enc_text_manual_hud_diplomacy_relations"	"textblock"	nil	"left"	2	"018j_enc_manual_actions_diplomacy"
"enc_text_manual_hud_end_turn"	"textblock"	"encyclopedia/content_images/how_to_play/additional/campaign/button_end_turn_active.png"	"left"	1	"017_enc_manual_hud_end_turn"
"enc_text_manual_hud_events"	"textblock"	"encyclopedia/content_images/how_to_play/additional/campaign/event_unit_recruited.png"	"normal"	1	"012_enc_manual_hud_events"
"enc_text_manual_hud_events_dilemmas"	"textblock"	nil	"right"	1	"012a_enc_manual_hud_events_dilemmas"
"enc_text_manual_hud_events_dilemmas_religion"	"textblock"	nil	"left"	2	"018k_enc_manual_religion"
"enc_text_manual_hud_events_missions"	"textblock"	"encyclopedia/content_images/how_to_play/additional/campaign/event_mission.png"	"normal"	1	"012c_enc_manual_hud_events_missions"
