version 1

// STAND --------------------------------------------------------------------------------------------------------------------------------
STAND								filename = "Animations/MEN/AXE/AXE_Stand_Irregular/AXE_Stand.anim",							blend_in_time = 0.25
STEP_RIGHT							filename = "Animations/MEN/AXE/AXE_Stand_Irregular/Axe_Step_right.anim",					blend_in_time = 0.25

STEP_FORWARD_CROUCH					filename = "Animations/MEN/SABRE/SAB_CROUCH/SAB_CROUCH_STEP_FORWARD.anim",
STEP_BACKWARD_CROUCH				filename = "Animations/MEN/SABRE/SAB_CROUCH/SAB_CROUCH_STEP_BACK.anim",
STEP_LEFT_CROUCH					filename = "Animations/MEN/SABRE/SAB_CROUCH/SAB_CROUCH_STEP_LEFT.anim",
STEP_RIGHT_CROUCH					filename = "Animations/MEN/SABRE/SAB_CROUCH/SAB_CROUCH_STEP_RIGHT.anim",

STEP_FORWARD_TRAINED				filename = "Animations/MEN/AXE/AXE_Stand_Irregular/Axe_Step_forward.anim",   				blend_in_time = 0.25
STEP_BACKWARD_TRAINED				filename = "Animations/MEN/AXE/AXE_Stand_Irregular/Axe_Step_back.anim",						blend_in_time = 0.25
STEP_LEFT_TRAINED					filename = "Animations/MEN/AXE/AXE_Stand_Irregular/Axe_Step_left.anim",   					blend_in_time = 0.25
STEP_RIGHT_TRAINED					filename = "Animations/MEN/AXE/AXE_Stand_Irregular/Axe_Step_right.anim",  					blend_in_time = 0.25

CLIMB_UP_STAIRS						filename = "Animations/MEN/AXE/AXE_STAIRS/Axe_Up_Stairs.anim",
CLIMB_DOWN_STAIRS					filename = "Animations/MEN/AXE/AXE_STAIRS/Axe_Down_Stairs.anim",

CROSS_OBSTACLE_STAND_TO_STAND		filename = "Animations/MEN/AXE/AXE_CLIMB/Axe_climb_obstacle2.anim",							blend_in_time = 0.5
WALK_JUMP							filename = "Animations/MEN/AXE/AXE_CLIMB/Axe_walk_climb_obstacle1.anim",					blend_in_time = 0.5
RUN_JUMP							filename = "Animations/MEN/AXE/AXE_CLIMB/Axe_run_climb_obstacle1.anim",						blend_in_time = 0.5

CHARGE								filename = "Animations/MEN/AXE/AXE_Charge/Axe_charge.anim",									blend_in_time = 0.5

// TURNS --------------------------------------------------------------------------------------------------------------------------------
TURN_LEFT_45						filename = "Animations/MEN/AXE/AXE_STAND_Irregular/AXE_cw45.anim",							blend_in_time = 0.25
TURN_RIGHT_45						filename = "Animations/MEN/AXE/AXE_STAND_Irregular/AXE_CW45.anim",							blend_in_time = 0.25
TURN_LEFT_90						filename = "Animations/MEN/AXE/AXE_STAND_Irregular/AXE_ccw90.anim",							blend_in_time = 0.25
TURN_RIGHT_90						filename = "Animations/MEN/AXE/AXE_STAND_Irregular/AXE_cw90.anim",							blend_in_time = 0.25
TURN_LEFT_180						filename = "Animations/MEN/AXE/AXE_STAND_Irregular/AXE_cw180.anim",							blend_in_time = 0.25
TURN_RIGHT_180						filename = "Animations/MEN/AXE/AXE_STAND_Irregular/Axe_ccw180.anim",						blend_in_time = 0.25

TURN_LEFT_TRAINED_45				filename = "Animations/MEN/AXE/AXE_STAND_Irregular/AXE_cw45.anim",							blend_in_time = 0.25
TURN_RIGHT_TRAINED_45				filename = "Animations/MEN/AXE/AXE_STAND_Irregular/AXE_CW45.anim",							blend_in_time = 0.25
TURN_LEFT_TRAINED_90				filename = "Animations/MEN/AXE/AXE_STAND_Irregular/AXE_ccw90.anim",							blend_in_time = 0.25
TURN_RIGHT_TRAINED_90				filename = "Animations/MEN/AXE/AXE_STAND_Irregular/AXE_cw90.anim",							blend_in_time = 0.25
TURN_LEFT_TRAINED_180				filename = "Animations/MEN/AXE/AXE_STAND_Irregular/AXE_cw180.anim",							blend_in_time = 0.25
TURN_RIGHT_TRAINED_180				filename = "Animations/MEN/AXE/AXE_STAND_Irregular/Axe_ccw180.anim",						blend_in_time = 0.25

TURN_LEFT_CROUCH_45					filename = "Animations/MEN/SABRE/SAB_CROUCH/SAB_CROUCH_TURN_CCW45.anim",
TURN_RIGHT_CROUCH_45				filename = "Animations/MEN/SABRE/SAB_CROUCH/SAB_CROUCH_TURN_CW45.anim",
TURN_LEFT_CROUCH_90					filename = "Animations/MEN/SABRE/SAB_CROUCH/SAB_CROUCH_TURN_CCW90.anim",
TURN_RIGHT_CROUCH_90				filename = "Animations/MEN/SABRE/SAB_CROUCH/SAB_CROUCH_TURN_CW90.anim",
TURN_CROUCH_180						filename = "Animations/MEN/SABRE/SAB_CROUCH/SAB_CROUCH_TURN_180.anim",

COMBAT_READY_TURN_LEFT_45			filename = "Animations/MEN/AXE/AXE_Outside_Guard/Axe_OGuard_45_ccw.anim",					blend_in_time = 0.25
COMBAT_READY_TURN_RIGHT_45			filename = "Animations/MEN/AXE/AXE_Outside_Guard/Axe_OGuard_45_cw.anim",					blend_in_time = 0.25
COMBAT_READY_TURN_LEFT_90			filename = "Animations/MEN/AXE/AXE_Outside_Guard/Axe_OGuard_90_ccw.anim",					blend_in_time = 0.25
COMBAT_READY_TURN_RIGHT_90			filename = "Animations/MEN/AXE/AXE_Outside_Guard/Axe_OGuard_90_cw.anim",					blend_in_time = 0.25
COMBAT_READY_TURN_LEFT_180			filename = "Animations/MEN/AXE/AXE_Outside_Guard/Axe_OGuard_180_ccw.anim",					blend_in_time = 0.25
COMBAT_READY_TURN_RIGHT_180			filename = "Animations/MEN/AXE/AXE_Outside_Guard/Axe_OGuard_180_cw.anim",					blend_in_time = 0.25

// TRANSITIONS --------------------------------------------------------------------------------------------------------------------------
STAND_TO_WALK						filename = "Animations/MEN/AXE/AXE_Walk/Axe_stand_to_walk.anim",
STAND_TO_PRONE						filename = "Animations/MEN/MUSKET/MUS_PRONE/MUS_stand_to_prone.anim",					

STAND_TO_STAND_ALT_1				filename = "Animations/MEN/AXE/AXE_altstand1/AXE_stand_IR_to_altstand1.anim",
STAND_TO_STAND_ALT_2				filename = "Animations/MEN/AXE/AXE_altstand2/AXE_stand_IR_to_altstand2.anim",
STAND_TO_STAND_ALT_3				filename = "Animations/MEN/AXE/AXE_altstand3/AXE_stand_IR_to_altstand3.anim",

STAND_ALT_1_TO_STAND				filename = "Animations/MEN/AXE/AXE_altstand1/AXE_altstand1_IR_to_stand.anim",
STAND_ALT_2_TO_STAND				filename = "Animations/MEN/AXE/AXE_altstand2/AXE_altstand2_IR_to_stand.anim",
STAND_ALT_3_TO_STAND				filename = "Animations/MEN/AXE/AXE_altstand3/AXE_altstand3_IR_to_stand.anim",

STAND_TO_COMBAT_READY				filename = "Animations/MEN/AXE/AXE_Outside_Guard/Axe_Stand_to_OGuard.anim",	
STAND_TRAINED_TO_COMBAT_READY		filename = "Animations/MEN/AXE/AXE_Outside_Guard/Axe_Stand_to_OGuard.anim",				

COMBAT_READY_TO_STAND				filename = "Animations/MEN/AXE/AXE_Outside_Guard/Axe_OGuard_to_Stand.anim",					
COMBAT_READY_TO_STAND_TRAINED		filename = "Animations/MEN/AXE/AXE_Outside_Guard/Axe_OGuard_to_Stand.anim",					
COMBAT_READY_TO_COMBAT_READY_KNEEL	filename = "Animations/MEN/AXE/AXE_Taking_Cover/Axe_OGuard_to_cover.anim",					blend_in_time = 1

WALK_TO_STAND						filename = "Animations/MEN/AXE/Axe_Walk/Axe_walk_to_stand.anim",			
WALK_TO_RUN							filename = "Animations/MEN/AXE/AXE_Walk/Axe_walk_to_run.anim",
RUN_TO_WALK							filename = "Animations/MEN/AXE/AXE_RUN_IR/Axe_run_to_walk.anim",							blend_in_time = 0.25
RUN_TO_STAND						filename = "Animations/MEN/AXE/AXE_RUN_IR/Axe_run_to_stand.anim",							blend_in_time = 0.25

//CROUCH_TO_STAND						filename = "Animations/MEN/AXE/AXE_Taking_Cover/AXE_cover_to_stand.anim",
CROUCH_TO_STAND						filename = "Animations/MEN/SABRE/SAB_CROUCH/SAB_CROUCH_TO_STAND.anim",
//STAND_TO_CROUCH						filename = "Animations/MEN/AXE/AXE_Taking_Cover/AXE_stand_to_cover.anim",
STAND_TO_CROUCH						filename = "Animations/MEN/SABRE/SAB_CROUCH/SAB_STAND_TO_CROUCH.anim",
CROUCH_TO_KNEEL						filename = "Animations/MEN/MUSKET/MUS_CROUCH/MUS_CROUCH_TO_KNEEL.anim",
KNEEL_TO_CROUCH						filename = "Animations/MEN/MUSKET/MUS_CROUCH/MUS_KNEEL_TO_CROUCH.anim",

TURN_LEFT_TO_WALK_45				filename = "Animations/MEN/AXE/AXE_Walk/Axe_ccw45_to_walk.anim",							blend_in_time = 0.25
TURN_RIGHT_TO_WALK_45				filename = "Animations/MEN/AXE/AXE_Walk/Axe_cw45_to_walk.anim",								blend_in_time = 0.25
TURN_LEFT_TO_WALK_90				filename = "Animations/MEN/AXE/AXE_Walk/Axe_ccw90_to_walk.anim",							blend_in_time = 0.25
TURN_RIGHT_TO_WALK_90				filename = "Animations/MEN/AXE/AXE_Walk/Axe_cw90_to_walk.anim",								blend_in_time = 0.25
TURN_LEFT_TO_WALK_180				filename = "Animations/MEN/AXE/AXE_Walk/AXE_ccw180_to_walk.anim",							blend_in_time = 0.25
TURN_RIGHT_TO_WALK_180				filename = "Animations/MEN/AXE/AXE_Walk/Axe_cw180_to_walk.anim",							blend_in_time = 0.25

//CROUCH ACTIONS ###################################################################################################################################

// SNEAK --------------------------------------------------------------------------------------------------------------------------------
SNEAK								filename = "Animations/MEN/SABRE/SAB_CROUCH/SAB_CRWALK.anim",

// CROUCH -------------------------------------------------------------------------------------------------------------------------------
//CROUCH								filename = "Animations/MEN/AXE/AXE_Taking_Cover/Axe_cover.anim",
CROUCH								filename = "Animations/MEN/SABRE/SAB_CROUCH/SAB_CROUCH.anim",

CROUCH_TO_SNEAK						filename = "Animations/MEN/SABRE/SAB_CROUCH/SAB_CROUCH_TO_CRWALK.anim",
SNEAK_TO_CROUCH						filename = "Animations/MEN/SABRE/SAB_CROUCH/SAB_CRWALK_TO_CROUCH.anim",
TURN_LEFT_CROUCH_TO_WALK_180		filename = "Animations/MEN/SABRE/SAB_CROUCH/SAB_CROUCH_TURN_180_TO_WALK.anim",
TURN_LEFT_CROUCH_TO_WALK_90			filename = "Animations/MEN/SABRE/SAB_CROUCH/SAB_CROUCH_TURN_CCW90_TO_WALK.anim",
TURN_RIGHT_CROUCH_TO_WALK_90		filename = "Animations/MEN/SABRE/SAB_CROUCH/SAB_CROUCH_TURN_CW90_TO_WALK.anim",
TURN_LEFT_CROUCH_TO_WALK_45			filename = "Animations/MEN/SABRE/SAB_CROUCH/SAB_CROUCH_TURN_CCW45_TO_WALK.anim",
TURN_RIGHT_CROUCH_TO_WALK_45		filename = "Animations/MEN/SABRE/SAB_CROUCH/SAB_CROUCH_TURN_CW45_TO_WALK.anim",

//CROUCH_IDLE_1						filename = "Animations/MEN/SABRE/SAB_CROUCH/SAB_CROUCH_IDLE_1.anim",						blend_in_time = 0.25
//CROUCH_IDLE_2						filename = "Animations/MEN/SABRE/SAB_CROUCH/SAB_CROUCH_IDLE_2.anim",						blend_in_time = 0.25
//CROUCH_IDLE_3						filename = "Animations/MEN/SABRE/SAB_CROUCH/SAB_CROUCH_IDLE_3.anim",						blend_in_time = 0.25
//CROUCH_IDLE_4						filename = "Animations/MEN/SABRE/SAB_CROUCH/SAB_CROUCH_IDLE_4.anim",						blend_in_time = 0.25
//CROUCH_IDLE_5						filename = "Animations/MEN/SABRE/SAB_CROUCH/SAB_CROUCH_IDLE_4.anim",	



// KNOCKBACKS, FALLS, GETUPS, WOUNDED AND IMPACTS ########################################################################################################

KNOCKBACK_1									filename = "Animations/MEN/AXE/AXE_IMPACTS/AXE_Impact_B1.anim",						
KNOCKBACK_2									filename = "Animations/MEN/AXE/AXE_IMPACTS/AXE_Impact_F1.anim",						
KNOCKBACK_3									filename = "Animations/MEN/AXE/AXE_IMPACTS/AXE_Impact_F1.anim",						
KNOCKBACK_4									filename = "Animations/MEN/AXE/AXE_IMPACTS/AXE_Impact_L1.anim",						
KNOCKBACK_5									filename = "Animations/MEN/AXE/AXE_IMPACTS/AXE_Impact_R1.anim",						

KNOCKDOWN_1									filename = "Animations/MEN/AXE/AXE_KNOCKDOWN/AXE_KNOCKDOWN_B1.anim",				
KNOCKDOWN_2									filename = "Animations/MEN/AXE/AXE_KNOCKDOWN/AXE_KNOCKDOWN_F1.anim",				
KNOCKDOWN_3									filename = "Animations/MEN/AXE/AXE_KNOCKDOWN/AXE_KNOCKDOWN_L1.anim",				
KNOCKDOWN_4									filename = "Animations/MEN/AXE/AXE_KNOCKDOWN/AXE_KNOCKDOWN_R1.anim",				

WOUNDED_FRONT_IDLE							filename = "Animations/MEN/AXE/AXE_FACE_DOWN_GETUPS/AXE_FD_Idle.anim",	
WOUNDED_BACK_IDLE							filename = "Animations/MEN/AXE/AXE_FACE_UP_GETUPS/AXE_FU_Idle.anim",					


// FALL ---------------------------------------------------------------------------------------------------------------------------------
FALL_OVER_BACKWARDS					filename = "Animations/MEN/AXE/AXE_FALLDOWN/AXE_FU_FALLDOWN_F1.anim",
FALL_OVER_FORWARDS					filename = "Animations/MEN/AXE/AXE_FALLDOWN/AXE_FD_FALLDOWN_B1.anim",
FALL_OVER_LEFTSIDE					filename = "Animations/MEN/AXE/AXE_FALLDOWN/AXE_FU_FALLDOWN_R1.anim",
FALL_OVER_RIGHTSIDE					filename = "Animations/MEN/AXE/AXE_FALLDOWN/AXE_FD_FALLDOWN_L1.anim",
FACE_DOWN_GET_UP					filename = "Animations/MEN/AXE/AXE_FACE_DOWN_GETUPS/AXE_FD_Getup_Slow.anim",		
LYING_DOWN_FACE_DOWN				filename = "Animations/MEN/AXE/AXE_FACE_DOWN_GETUPS/AXE_FD_Idle.anim",
FACE_UP_GET_UP						filename = "Animations/MEN/AXE/AXE_FACE_UP_GETUPS/AXE_FU_Getup_Slow.anim",
LYING_DOWN_FACE_UP					filename = "Animations/MEN/AXE/AXE_FACE_UP_GETUPS/AXE_FU_Idle.anim",


// BASIC COMBAT -------------------------------------------------------------------------------------------------------------------------
ATTACK_1							filename = "Animations/MEN/AXE/AXE_Outside_Guard/Axe_OGuard_Cut_1.anim",											equipment_usage = axe			

DEFEND_1							filename = "Animations/MEN/SABRE/SAB_MEDIUM_GUARDS/SAB_MGuard_Block.anim",											equipment_usage = axe 					

// MATCHED COMBAT -----------------------------------------------------------------------------------------------------------------------
CHARGE_COMBAT_1						filename = "Animations/Matched_Combat/Kill/AXE-CH_KILL_01_AXE-OG_01_A.anim",				blend_in_time = 0.25
CHARGE_COMBAT_2						filename = "Animations/Matched_Combat/Kill/AXE-CH_KILL_01_AXE-OG_01_B.anim",				blend_in_time = 0.25

CHARGE_COMBAT_3						filename = "Animations/Matched_Combat/Kill/AXE-OG_KILL_01_AXE-CH_01_A.anim",				blend_in_time = 0.25
CHARGE_COMBAT_4						filename = "Animations/Matched_Combat/Kill/AXE-OG_KILL_01_AXE-CH_01_B.anim",				blend_in_time = 0.25

COMBAT_1							filename = "Animations/Matched_Combat/Kill/AXE-OG_KILL_01_AXE-OG_01_A.anim",				blend_in_time = 0.25
COMBAT_2							filename = "Animations/Matched_Combat/Kill/AXE-OG_KILL_01_AXE-OG_01_B.anim",				blend_in_time = 0.25

COMBAT_3							filename = "Animations/Matched_Combat/Kill/AXE-OG_KILL_03_AXE-OG_01_A.anim",				blend_in_time = 0.25
COMBAT_4							filename = "Animations/Matched_Combat/Kill/AXE-OG_KILL_03_AXE-OG_01_B.anim",				blend_in_time = 0.25

COMBAT_5							filename = "Animations/Matched_Combat/Kill/AXE-OG_KILL_04_AXE-OG_01_A.anim",				blend_in_time = 0.25
COMBAT_6							filename = "Animations/Matched_Combat/Kill/AXE-OG_KILL_04_AXE-OG_01_B.anim",				blend_in_time = 0.25

COMBAT_7							filename = "Animations/Matched_Combat/Kill/AXE-OG_KILL_01_FLA-MG_01_A.anim",				blend_in_time = 0.25
COMBAT_8							filename = "Animations/Matched_Combat/Kill/AXE-OG_KILL_01_MUS-HG_01_A.anim",				blend_in_time = 0.25
COMBAT_9							filename = "Animations/Matched_Combat/Kill/AXE-OG_KILL_01_SAB-MG_01_A.anim",				blend_in_time = 0.25
COMBAT_10							filename = "Animations/Matched_Combat/Kill/FLA-MG_KILL_01_AXE-OG_01_A.anim",				blend_in_time = 0.25
COMBAT_11							filename = "Animations/Matched_Combat/Kill/AXE-OG_KILL_01_SWS-OG_01_A.anim",				blend_in_time = 0.25
COMBAT_12							filename = "Animations/Matched_Combat/Kill/SAB-MG_KILL_01_AXE-OG_01_B.anim",				blend_in_time = 0.25
COMBAT_13							filename = "Animations/Matched_Combat/Kill/SAB-MG_KILL_02_AXE-OG_01_B.anim",				blend_in_time = 0.25
COMBAT_14							filename = "Animations/Matched_Combat/Kill/SAB-MG_KILL_03_AXE-OG_01_B.anim",				blend_in_time = 0.25
COMBAT_15							filename = "Animations/Matched_Combat/Kill/SAB-MG_KILL_04_AXE-OG_01_B.anim",				blend_in_time = 0.25
COMBAT_16							filename = "Animations/Matched_Combat/Kill/SWS-OG_KILL_01_AXE-OG_01_B.anim",				blend_in_time = 0.25

COMBAT_17   						filename = "Animations/Matched_Combat/Draw/AXE-OG_DRAW_01_AXE-OG_01_A.anim",				blend_in_time = 0.25
COMBAT_18   						filename = "Animations/Matched_Combat/Draw/AXE-OG_DRAW_01_AXE-OG_01_B.anim",				blend_in_time = 0.25

COMBAT_19   						filename = "Animations/Matched_Combat/Draw/AXE-OG_DRAW_02_AXE-OG_01_A.anim",				blend_in_time = 0.25
COMBAT_20  							filename = "Animations/Matched_Combat/Draw/AXE-OG_DRAW_02_AXE-OG_01_B.anim",				blend_in_time = 0.25
																																				 
COMBAT_21   						filename = "Animations/Matched_Combat/Draw/FLA-MG_AXE-OG_01_B.anim",						blend_in_time = 0.25
COMBAT_22  							filename = "Animations/Matched_Combat/Draw/FLA-MG_AXE-OG_03_B.anim",						blend_in_time = 0.25

COMBAT_23 							filename = "Animations/Matched_Combat/Draw/MUS-HG_AXE-OG_01_A.anim",						blend_in_time = 0.25
COMBAT_24   						filename = "Animations/Matched_Combat/Draw/MUS-HG_AXE-OG_02_A.anim",						blend_in_time = 0.25
COMBAT_25   						filename = "Animations/Matched_Combat/Draw/MUS-HG_AXE-OG_03_A.anim",						blend_in_time = 0.25
COMBAT_26   						filename = "Animations/Matched_Combat/Draw/MUS-HG_AXE-OG_04_B.anim",						blend_in_time = 0.25
COMBAT_27   						filename = "Animations/Matched_Combat/Draw/MUS-HG_AXE-OG_05_B.anim",						blend_in_time = 0.25
COMBAT_28   						filename = "Animations/Matched_Combat/Draw/MUS-HG_AXE-OG_06_B.anim",						blend_in_time = 0.25
COMBAT_29   						filename = "Animations/Matched_Combat/Draw/MUS-HG_AXE-OG_07_B.anim",						blend_in_time = 0.25
COMBAT_30  							filename = "Animations/Matched_Combat/Draw/MUS-HG_AXE-OG_08_B.anim",						blend_in_time = 0.25

COMBAT_31   						filename = "Animations/Matched_Combat/Draw/SAB-MG_AXE-OG_01_A.anim",						blend_in_time = 0.25
COMBAT_32  							filename = "Animations/Matched_Combat/Draw/SAB-MG_AXE-OG_02_A.anim",						blend_in_time = 0.25
COMBAT_33   						filename = "Animations/Matched_Combat/Draw/SAB-MG_AXE-OG_03_B.anim",						blend_in_time = 0.25

// PRONE STUFF -------------------------------------------------------------------------------------------------------------------------------------
STAND_TO_PRONE						filename = "Animations/MEN/AXE/AXE_Taking_Cover/Axe_stand_to_cover.anim",
COMBAT_READY_TO_COMBAT_READY_KNEEL	filename = "Animations/MEN/AXE/AXE_Taking_Cover/Axe_OGuard_to_cover.anim",		blend_in_time = 1				
COMBAT_READY_KNEEL_TO_COMBAT_READY	filename = "Animations/MEN/AXE/AXE_Taking_Cover/Axe_cover_to_OGuard.anim",
COMBAT_READY_KNEEL_TO_PRONE			filename = "Animations/MEN/AXE/AXE_Taking_Cover/Axe_cover.anim",

PRONE								filename = "Animations/MEN/AXE/AXE_Taking_Cover/Axe_cover.anim",						
PRONE_TO_STAND						filename = "Animations/MEN/AXE/AXE_Taking_Cover/Axe_cover_to_stand.anim",							
PRONE_TO_COMBAT_READY_KNEEL			filename = "Animations/MEN/AXE/AXE_Taking_Cover/Axe_cover.anim",	

// KNEEL --------------------------------------------------------------------------------------------------------------------------------
COMBAT_READY_KNEEL					filename = "Animations/MEN/AXE/AXE_Taking_Cover/Axe_cover.anim",
