version 4, schema incidents_tables, guid ca4c01f4-94c1-4966-9bdc-7e4d58e19a60
unknown1(boolean)	unknown2(string)	unknown3(string)	unknown4(string)	unknown5(boolean)
true	"i_equipment_cache"	"message_army_active.tga"	"Dilemma_Military.tga"	false
true	"i_foreign_trade_network"	"message_trade_active.tga"	"Dilemma_Port.tga"	true
true	"i_gem_agricultural_practices"	"message_food_active.tga"	"Dilemma_Agriculture.tga"	true
true	"i_gem_antoku_born_taira"	"message_dilemmas_active.tga"	"gem_antoku_born.tga"	true
true	"i_gem_antoku_enthroned_other"	"message_dilemmas_active.tga"	"gem_antoku_enthroned.tga"	true
true	"i_gem_antoku_enthroned_taira"	"message_dilemmas_active.tga"	"gem_antoku_enthroned.tga"	true
true	"i_gem_dedicated_builder"	"message_construction_active.tga"	"Dilemma_Construction.tga"	true
true	"i_gem_dedicated_seafarer_able_sailors"	"message_navy_active.tga"	"Dilemma_Ship.tga"	true
true	"i_gem_dedicated_seafarer_master_shipwrights"	"message_navy_active.tga"	"Dilemma_Port.tga"	true
true	"i_gem_research_balanced"	"message_technology_active.tga"	"Dilemma_Clan.tga"	true
true	"i_gem_research_ratio_civil"	"message_technology_active.tga"	"Dilemma_Clan.tga"	true
true	"i_gem_research_ratio_military"	"message_technology_active.tga"	"Dilemma_Clan.tga"	true
true	"i_gem_research_specific_civil"	"message_technology_active.tga"	"Dilemma_Clan.tga"	true
true	"i_gem_research_specific_military"	"message_technology_active.tga"	"Dilemma_Clan.tga"	true
true	"i_gem_show_of_support"	"message_dilemmas_active.tga"	"GEM_Convert_Province.tga"	false
true	"i_inspiration_builders_daimyo"	"message_construction_active.tga"	"Dilemma_Construction.tga"	false
true	"i_inspiration_builders_development"	"message_construction_active.tga"	"Dilemma_Construction.tga"	false
true	"i_inspiration_farmers_daimyo"	"message_food_active.tga"	"Dilemma_Agriculture.tga"	false
false	"i_inspiration_soldiers_daimyo"	"message_army_active.tga"	"Dilemma_Ashigaru.tga"	false
false	"i_inspiration_soldiers_warfare"	"message_army_active.tga"	"Dilemma_Ashigaru.tga"	false
true	"i_monopoly_blacksmiths_smiths"	"message_resources_active.tga"	"Dilemma_Samurai.tga"	true
true	"i_monopoly_blacksmiths_supplies"	"message_resources_active.tga"	"Dilemma_Samurai.tga"	true
true	"i_monopoly_horse_cavalry"	"message_resources_active.tga"	"Dilemma_cavalry.tga"	true
true	"i_monopoly_horse_horsebreeders"	"message_resources_active.tga"	"Dilemma_cavalry.tga"	true
true	"i_monopoly_iron_smiths"	"message_resources_active.tga"	"Dilemma_Samurai.tga"	true
true	"i_monopoly_iron_supplies"	"message_resources_active.tga"	"Dilemma_Samurai.tga"	true
true	"i_monopoly_stone_builders"	"message_resources_active.tga"	"Dilemma_Construction.tga"	true
true	"i_monopoly_wood_shipwrights"	"message_resources_active.tga"	"Dilemma_Ship.tga"	true
true	"i_nanban_trade_nondilemma"	"message_dilemmas_active.tga"	"Dilemma_Nanban.tga"	true
true	"i_otomo_man_of_war"	"message_christianity_active.tga"	"Dilemma_Port.tga"	false
true	"i_otomo_religious_dissention"	"message_christianity_active.tga"	"dilemma_revolt.tga"	false
true	"i_religion_convert_christian_influence"	"message_christianity_active.tga"	"Dilemma_Religion.tga"	true
true	"i_religion_convert_nanban_trade"	"message_christianity_active.tga"	"Dilemma_Religion.tga"	true
true	"i_research_balanced"	"message_technology_active.tga"	"Dilemma_Clan.tga"	true
true	"i_research_ratio_civil"	"message_technology_active.tga"	"Dilemma_Clan.tga"	true
true	"i_research_ratio_military"	"message_technology_active.tga"	"Dilemma_Clan.tga"	true
true	"i_research_specific_civil"	"message_technology_active.tga"	"Dilemma_Clan.tga"	true
true	"i_research_specific_military"	"message_technology_active.tga"	"Dilemma_Clan.tga"	true
true	"i_safeguard"	"message_army_active.tga"	"Dilemma_Lookout.tga"	false
true	"i_samurai_master"	"message_army_active.tga"	"Dilemma_Samurai.tga"	true
true	"i_teeming_sea"	"message_food_active.tga"	"Dilemma_Port.tga"	false
