version 1, schema ancillary_to_effects_tables, guid 5ec487eb-ca4b-45f0-b345-bd4e73d112f7
Ancillary_IDRef(string)	Effect_IDRef(string)	Value(float)
"s2anc_sp_bosh_item_game_chess"	"bos_general_attribute_command_all"	1
"s2anc_sp_bosh_item_game_cricket"	"bos_personal_security"	-5
"s2anc_sp_bosh_item_game_go"	"bos_general_attribute_command_all"	1
"s2anc_sp_bosh_item_game_golf"	"bos_personal_security"	-5
"s2anc_sp_bosh_item_game_tennis"	"bos_event_diplomacy"	10
"s2anc_sp_bosh_item_glasses_smoked"	"bos_general_mod_bombardment_range"	1
"s2anc_sp_bosh_item_globe"	"bos_general_attribute_command_all"	1
"s2anc_sp_bosh_item_hand_warmer"	"bos_agent_attribute_geisha_enchant_enemy"	1
"s2anc_sp_bosh_item_mech_puppet"	"bos_tech_clan_daimyo_honour_mod"	1
"s2anc_sp_bosh_item_medical_chloroform"	"bos_ancillary_replenishment_mod"	5
"s2anc_sp_bosh_item_medical_stethoscope"	"bos_ancillary_replenishment_mod"	5
"s2anc_sp_bosh_item_microscope"	"bos_ancillary_research_mod_both"	10
"s2anc_sp_bosh_item_music_accordian"	"bos_enemy_morale_mod"	1
"s2anc_sp_bosh_item_music_euphonium"	"bos_minister_morale_local"	1
"s2anc_sp_bosh_item_music_piano"	"bos_minister_morale_local"	1
"s2anc_sp_bosh_item_navy_diving"	"bos_general_mod_all_upkeep"	-5
"s2anc_sp_bosh_item_navy_diving"	"bos_personal_security"	-5
"s2anc_sp_bosh_item_navy_sextant"	"bos_ancillary_movement_point_mod_ships"	7
"s2anc_sp_bosh_item_optic_telescope"	"bos_line_of_sight_mod"	25
"s2anc_sp_bosh_item_pen"	"bos_general_mod_all_upkeep"	-5
"s2anc_sp_bosh_item_phonograph"	"bos_minister_morale_local"	1
"s2anc_sp_bosh_item_pipe_opium"	"bos_escape_chance_action_mod"	-5
"s2anc_sp_bosh_item_pipe_opium"	"bos_line_of_sight_mod"	25
"s2anc_sp_bosh_item_poisons"	"bos_agent_attribute_shinobi_assassination"	1
"s2anc_sp_bosh_item_pong"	"bos_personal_security"	-2
"s2anc_sp_bosh_item_prussian_spikey_hat"	"bos_enemy_morale_mod"	1
"s2anc_sp_bosh_item_razor"	"bos_personal_security"	-5
"s2anc_sp_bosh_item_sabre_cav"	"bos_ancillary_charge_bonus_mod_cavalry"	1
"s2anc_sp_bosh_item_sabre_cav"	"bos_ancillary_melee_attack_mod_bodyguard"	5
"s2anc_sp_bosh_item_scotch"	"bos_movement_points_all_local"	-7
"s2anc_sp_bosh_item_scotch"	"bos_veteran_mod_melee_all"	2
"s2anc_sp_bosh_item_skate"	"bos_escape_chance_action_mod"	5
"s2anc_sp_bosh_item_slide_rule"	"bos_general_mod_all_upkeep"	-5
"s2anc_sp_bosh_item_snuff"	"bos_agent_attribute_shinobi_assassination"	1
"s2anc_sp_bosh_item_snuff"	"bos_escape_chance_action_mod"	5
"s2anc_sp_bosh_item_soap"	"bos_agent_attribute_geisha_enchant_enemy"	1
"s2anc_sp_bosh_item_sword_bokken"	"bos_ancillary_melee_attack_mod_sword"	1
"s2anc_sp_bosh_item_theodolite"	"bos_veteran_mod_artillery_reload_rate"	5
"s2anc_sp_bosh_item_umbrella_sword"	"bos_personal_security"	-10
"s2anc_sp_bosh_item_vicky"	"bos_minister_morale_local"	1
"s2anc_sp_bosh_item_weapon_bayonet"	"bos_general_army_charge_bonus"	1
"s2anc_sp_bosh_item_weapon_bayonet"	"bos_veteran_mod_melee_all"	1
"s2anc_sp_bosh_item_wig_black"	"bos_general_mod_bodyguard_charge_bonus"	1
"s2anc_sp_bosh_item_wig_red"	"bos_general_mod_bodyguard_charge_bonus"	1
"s2anc_sp_bosh_item_wig_white"	"bos_general_mod_bodyguard_charge_bonus"	1
"s2anc_sp_bosh_legend_armour"	"bos_general_mod_bodyguard_morale"	1
"s2anc_sp_bosh_legend_biwa"	"bos_general_mod_bodyguard_morale"	-1
"s2anc_sp_bosh_legend_biwa"	"bos_minister_morale_local"	1
"s2anc_sp_bosh_legend_do"	"bos_general_mod_bodyguard_armour"	1
"s2anc_sp_bosh_legend_flag"	"bos_minister_morale_local"	1
"s2anc_sp_bosh_legend_go"	"bos_general_attribute_command_all"	1
"s2anc_sp_bosh_legend_haiku"	"bos_general_mod_bodyguard_morale"	1
"s2anc_sp_bosh_legend_kabuto"	"bos_general_mod_bodyguard_armour"	1
"s2anc_sp_bosh_legend_katana"	"bos_ancillary_melee_attack_mod_bodyguard"	1
"s2anc_sp_bosh_legend_kote"	"bos_general_mod_bodyguard_armour"	1
"s2anc_sp_bosh_legend_koto"	"bos_general_mod_bodyguard_morale"	-1
"s2anc_sp_bosh_legend_koto"	"bos_minister_morale_local"	1
"s2anc_sp_bosh_legend_menpo"	"bos_enemy_morale_mod"	1
"s2anc_sp_bosh_legend_ninja"	"bos_personal_security"	-10
"s2anc_sp_bosh_legend_ninjato"	"bos_agent_attribute_shinobi_assassination"	1
"s2anc_sp_bosh_legend_spy"	"bos_personal_security"	-10
"s2anc_sp_bosh_legend_suneate"	"bos_general_mod_bodyguard_armour"	1
"s2anc_sp_bosh_legend_sword"	"bos_general_mod_bodyguard_armour"	1
"s2anc_sp_bosh_legend_tea"	"bos_general_honourable"	1
"s2anc_sp_bosh_lone_arranger"	"bos_tech_clan_income_tax_mod"	5
"s2anc_sp_bosh_master_blade"	"bos_ancillary_melee_attack_mod_sword"	1
"s2anc_sp_bosh_master_go_2"	"bos_general_attribute_command_all"	1
"s2anc_sp_bosh_master_go"	"bos_general_attribute_command_land_ambush"	1
"s2anc_sp_bosh_master_iaijutsu"	"bos_veteran_mod_melee_all"	1
"s2anc_sp_bosh_master_jujutsu"	"bos_ancillary_melee_attack_mod_traditional"	1
"s2anc_sp_bosh_master_jujutsu"	"bos_personal_security"	-2
"s2anc_sp_bosh_master_kenjutsu"	"bos_ancillary_melee_attack_mod_sword"	1
"s2anc_sp_bosh_master_kyudo"	"bos_ancillary_accuracy_mod_bows"	5
"s2anc_sp_bosh_master_ninjutsu"	"bos_tech_agent_shinobi_success_mod"	1
"s2anc_sp_bosh_master_sojutsu"	"bos_ancillary_melee_attack_mod_traditional"	1
"s2anc_sp_bosh_master_tea"	"bos_general_honourable"	1
"s2anc_sp_bosh_mercenary_csa"	"bos_general_army_charge_bonus"	1
"s2anc_sp_bosh_mistress_ambitious_2"	"bos_general_attribute_command_all"	1
"s2anc_sp_bosh_mistress_ambitious_2"	"bos_general_honourable"	-1
"s2anc_sp_bosh_mistress_common"	"bos_general_mod_bodyguard_morale"	1
"s2anc_sp_bosh_mistress_discreet"	"bos_personal_security"	-2
"s2anc_sp_bosh_mistress_europe_strict"	"bos_agent_attribute_shinsengumi_instil_discipline"	1
"s2anc_sp_bosh_mistress_europe_strict"	"bos_movement_points_character"	-7
"s2anc_sp_bosh_mistress_europe"	"bos_general_mod_bodyguard_morale"	1
"s2anc_sp_bosh_mistress_foxy"	"bos_minister_morale_local"	1
"s2anc_sp_bosh_mistress_gorgeous"	"bos_minister_morale_local"	1
"s2anc_sp_bosh_mistress_joro"	"bos_general_mod_bodyguard_morale"	1
"s2anc_sp_bosh_mistress_soldier"	"bos_minister_morale_local"	1
"s2anc_sp_bosh_modernist"	"bos_minister_morale_local"	1
"s2anc_sp_bosh_mummified_mermaid"	"bos_agent_attribute_veteran_supervise_recruitment"	1
"s2anc_sp_bosh_music_drums"	"bos_general_mod_aura"	5
"s2anc_sp_bosh_music_flute_player"	"bos_general_mod_bodyguard_morale"	1
"s2anc_sp_bosh_naval_builder_fr"	"bos_general_mod_navy_armour"	5
"s2anc_sp_bosh_naval_builder_uk"	"bos_general_mod_navy_armour"	5
"s2anc_sp_bosh_ninja_blowpipe"	"bos_agent_attribute_shinobi_assassination"	1
"s2anc_sp_bosh_ninja_chef_fugu"	"bos_agent_attribute_shinobi_assassination"	1
"s2anc_sp_bosh_ninja_chef_fugu"	"bos_escape_chance_mod"	2
"s2anc_sp_bosh_ninja_chef_sushi"	"bos_agent_attribute_shinobi_assassination"	1
"s2anc_sp_bosh_ninja_claws"	"bos_escape_chance_action_mod"	5
"s2anc_sp_bosh_ninja_disguise_fish"	"bos_escape_chance_action_mod"	5
"s2anc_sp_bosh_ninja_disguise_fish"	"bos_movement_points_character"	-7
"s2anc_sp_bosh_ninja_disguise_gaijin"	"bos_agent_attribute_shinobi_assassination"	1
"s2anc_sp_bosh_ninja_disguise_gaijin"	"bos_escape_chance_action_mod"	10
"s2anc_sp_bosh_ninja_disguise_geisha"	"bos_escape_chance_action_mod"	5
"s2anc_sp_bosh_ninja_disguise_madman"	"bos_escape_chance_action_mod"	5
"s2anc_sp_bosh_ninja_disguise_monk"	"bos_escape_chance_action_mod"	5
"s2anc_sp_bosh_ninja_disguise_ronin"	"bos_escape_chance_action_mod"	5
"s2anc_sp_bosh_ninja_disguise_town"	"bos_escape_chance_action_mod"	5
"s2anc_sp_bosh_ninja_flashbomb"	"bos_escape_chance_action_mod"	5
"s2anc_sp_bosh_ninja_gambler"	"bos_agent_attribute_ishin_shinsen_incite_revolt"	1
"s2anc_sp_bosh_ninja_shuriken"	"bos_agent_attribute_shinobi_assassination"	1
"s2anc_sp_bosh_ninja_tanto"	"bos_agent_attribute_shinobi_assassination"	1
"s2anc_sp_bosh_rail_builder_uk"	"bos_happiness_character_modernisation"	1
"s2anc_sp_bosh_rail_builder_uk"	"bos_movement_points_all_local"	10
"s2anc_sp_bosh_rail_builder_us"	"bos_happiness_character_modernisation"	1
"s2anc_sp_bosh_rail_builder_us"	"bos_movement_points_all_local"	20
"s2anc_sp_bosh_rail_guide"	"bos_happiness_character_modernisation"	1
"s2anc_sp_bosh_rail_guide"	"bos_movement_points_all_local"	10
"s2anc_sp_bosh_rail_telegraph"	"bos_ancillary_reinforcement_range_mod"	5
"s2anc_sp_bosh_ronin_unrepentent"	"bos_general_mod_bodyguard_morale"	1
"s2anc_sp_bosh_ronin_unrepentent"	"bos_personal_security"	-5
"s2anc_sp_bosh_ronin_xenophobe"	"bos_general_mod_bodyguard_morale"	1
"s2anc_sp_bosh_ronin_xenophobe"	"bos_personal_security"	-5
"s2anc_sp_bosh_samurai_boast"	"bos_agent_attribute_ishin_shinsen_incite_revolt"	1
"s2anc_sp_bosh_samurai_boast"	"bos_agent_repression_local"	1
"s2anc_sp_bosh_samurai_rude"	"bos_agent_attribute_ishin_shinsen_incite_revolt"	1
"s2anc_sp_bosh_samurai_rude"	"bos_agent_repression_local"	1
"s2anc_sp_bosh_samurai_unlettered"	"bos_personal_security"	-5
"s2anc_sp_bosh_servant_biwa"	"bos_general_mod_bodyguard_morale"	1
"s2anc_sp_bosh_servant_bodyguard"	"bos_personal_security"	-5
"s2anc_sp_bosh_servant_chef_french"	"bos_minister_morale_local"	1
"s2anc_sp_bosh_servant_chef_noodle"	"bos_minister_morale_local"	1
"s2anc_sp_bosh_servant_euro_chef_pastry"	"bos_minister_morale_local"	1
"s2anc_sp_bosh_servant_euro_waiter"	"bos_agent_attribute_veteran_administration"	1
"s2anc_sp_bosh_servant_groom"	"bos_general_mod_bodyguard_charge_bonus"	1
"s2anc_sp_bosh_servant_shogi_player"	"bos_general_attribute_command_all"	1
"s2anc_sp_bosh_servant_treasurers"	"bos_general_mod_all_upkeep"	-1
"s2anc_sp_bosh_shinsengumi_yakuza_2"	"bos_agent_repression_local"	1
"s2anc_sp_bosh_shinsengumi_yakuza"	"bos_agent_attribute_ishin_shinsen_conversion"	1
"s2anc_sp_bosh_spec_brunet"	"bos_general_mod_army_accuracy"	5
"s2anc_sp_bosh_spec_brunton"	"bos_minister_tax_local"	5
"s2anc_sp_bosh_spec_byakkotai"	"bos_general_mod_bodyguard_charge_bonus"	1
"s2anc_sp_bosh_spec_chanoine"	"bos_movement_points_all_local"	7
"s2anc_sp_bosh_spec_descharmes"	"bos_ancillary_charge_bonus_mod_cavalry"	1
"s2anc_sp_bosh_spec_duousequet"	"bos_ancillary_reload_mod_rifles"	5
"s2anc_sp_bosh_spec_genbutai"	"bos_general_army_charge_bonus"	1
"s2anc_sp_bosh_spec_glover"	"mod_unit_upkeep_all_local"	-4
"s2anc_sp_bosh_spec_glover"	"movement_points_all_local"	10
"s2anc_sp_bosh_spec_messelot"	"bos_general_mod_army_reload_rate"	5
"s2anc_sp_bosh_spec_roches"	"bos_ancillary_research_mod_both"	5
"s2anc_sp_bosh_spec_satow"	"bos_event_diplomacy"	20
"s2anc_sp_bosh_spec_schnell_edward"	"bos_agent_attribute_veteran_supervise_recruitment"	1
"s2anc_sp_bosh_spec_schnell_henry"	"bos_agent_attribute_veteran_train_troops"	1
"s2anc_sp_bosh_spec_seiryutai"	"bos_general_army_charge_bonus"	1
"s2anc_sp_bosh_spec_smith_parkes"	"bos_event_diplomacy"	20
"s2anc_sp_bosh_spec_suzakutai"	"bos_general_army_charge_bonus"	1
"s2anc_sp_bosh_spec_thouars"	"bos_general_mod_navy_broadsides"	10
"s2anc_sp_bosh_spec_valkenburg"	"bos_event_diplomacy"	10
"s2anc_sp_bosh_spec_verny"	"bos_happiness_character_modernisation"	2
"s2anc_sp_bosh_sumo_champion"	"bos_personal_security"	-5
"s2anc_sp_bosh_sumo_wrestler_1"	"bos_general_honourable"	1
"s2anc_sp_bosh_sumo_wrestler_2"	"bos_minister_morale_local"	1
"s2anc_sp_bosh_trader_arms_fr"	"bos_veteran_mod_marksmanship_rifles"	5
"s2anc_sp_bosh_trader_arms_fr"	"bos_veteran_mod_reload_rate_rifles"	5
"s2anc_sp_bosh_trader_arms_ger"	"bos_veteran_mod_marksmanship_rifles"	5
"s2anc_sp_bosh_trader_arms_ger"	"bos_veteran_mod_reload_rate_rifles"	5
"s2anc_sp_bosh_trader_arms_uk"	"bos_veteran_mod_marksmanship_rifles"	5
"s2anc_sp_bosh_trader_arms_uk"	"bos_veteran_mod_reload_rate_rifles"	5
"s2anc_sp_bosh_trader_arms_us"	"bos_veteran_mod_marksmanship_rifles"	5
"s2anc_sp_bosh_trader_arms_us"	"bos_veteran_mod_reload_rate_rifles"	5
"s2anc_sp_bosh_trader_banker_jr"	"bos_trade_income_mod"	5
"s2anc_sp_bosh_trader_french"	"bos_trade_income_mod"	5
"s2anc_sp_bosh_trader_japan_industry"	"bos_happiness_character_modernisation"	2
"s2anc_sp_bosh_trader_rich"	"bos_trade_income_mod"	5
"s2anc_sp_bosh_trader_tax_farmer"	"bos_tech_clan_income_tax_mod"	2
"s2anc_sp_bosh_trader_us"	"bos_minister_tax_local"	5
"s2anc_sp_bosh_uniform_admiral"	"bos_general_rally_mod"	5
"s2anc_sp_bosh_uniform_general"	"bos_general_rally_mod"	5
"s2anc_sp_bosh_uniform_naval_uk"	"bos_general_mod_bodyguard_morale"	1
"s2anc_sp_bosh_uniform_sailor_cap"	"bos_general_rally_mod"	5
"s2anc_sp_bosh_uniform_sailor_cap"	"bos_minister_morale_local"	1
"s2anc_sp_bosh_uniform_snow_shoes"	"bos_ancillary_attrition_mod"	-5
"s2anc_sp_bosh_uniform_top_hat"	"bos_minister_repression_local"	1
"s2anc_sumo_champion"	"general_honour_bonus"	1
"s2anc_sumo_wrestler_1"	"gentlemen_happiness_bonus"	2
"s2anc_sumo_wrestler_2"	"gentlemen_happiness_bonus"	1
