version 1, schema historical_characters_tables
Name_IDRef(string)	Unknown1(boolean)	Genre(string)	Agent_ID(string)	Faction_ID(string)	Date_Birth(int)	Date_Death(int)	Notes(string)
"ita_johann_klenau"	false	"m"	"General"	"ita_austrian_alliance"	1778	1819	"n"
"ita_joseph_vukassovich"	false	"m"	"General"	"ita_austrian_alliance"	1775	1809	"n"
"ita_jurij_bartolomej_vega"	false	"m"	"gentleman"	"austria"	1774	1802	"artillery tech"
"ita_karl_osterreich"	false	"m"	"General"	"ita_austrian_alliance"	1791	1847	"n"
"ita_louis_almeras"	false	"m"	"General"	"ita_french_republic"	1788	1828	"n"
"ita_louis_hilliers"	false	"m"	"General"	"ita_french_republic"	1784	1813	"n"
"ita_louis_robert"	false	"m"	"gentleman"	"france"	1790	1800	"n"
"ita_louis_suchet"	false	"m"	"General"	"ita_french_republic"	1790	1826	"n"
"ita_michael_melas"	false	"m"	"General"	"ita_austrian_alliance"	1749	1806	"n"
"ita_nicholas_cugnot"	false	"m"	"gentleman"	"france"	1745	1804	"ind3, automobile"
"ita_pater_quasdanovich"	false	"m"	"General"	"ita_austrian_alliance"	1758	1802	"n"
"ita_paul_davidovich"	false	"m"	"General"	"ita_austrian_alliance"	1757	1814	"n"
"ita_peter_ott"	false	"m"	"General"	"ita_austrian_alliance"	1758	1809	"n"
"ita_pierre_augereau"	false	"m"	"General"	"ita_french_republic"	1777	1816	"n"
"ita_pierre_beaumarchais"	false	"m"	"gentleman"	"france"	1752	1799	"revolutionary, all-round"
"ita_pierre_choderlos"	false	"m"	"gentleman"	"france"	1761	1803	"liaisons dangereuses"
"ita_vincenz_bianchi"	false	"m"	"General"	"ita_austrian_alliance"	1788	1855	"n"
"ita_vincenzo_count_dandolo"	true	"m"	"gentleman"	"ita_venice"	1778	1819	"agri4"
"spa_adolphus_frederick"	false	"m"	"General"	"spa_britain"	1794	1850	"n"
"spa_alexander_abercromby"	false	"m"	"General"	"spa_britain"	1804	1853	"n"
"spa_alexander_campbell"	false	"m"	"General"	"spa_britain"	1779	1824	"n"
"spa_alexander_mercer"	false	"m"	"General"	"spa_britain"	1803	1868	"artillery"
"spa_andrew_meikle"	false	"m"	"gentleman"	"spa_britain"	1739	1811	"agriculture tech 3 (threshing machine)"
"spa_brent_spencer"	false	"m"	"General"	"spa_britain"	1780	1828	"n"
"spa_pablo_morillo"	false	"m"	"General"	"spa_spain"	1775	1837	"guerrilla#spa_cantabria#001"
"spa_gaspar_jauregui"	false	"m"	"General"	"spa_spain"	1791	1844	"guerrilla#spa_vascongadas#014"
"spa_francisco_espoz_y_mina"	false	"m"	"General"	"spa_spain"	1781	1836	"guerrilla#spa_navarre#002"
"spa_mariano_renovales"	false	"m"	"General"	"spa_spain"	1774	1850	"guerrilla#spa_zaragoza#002"
"spa_juan_martin_diez"	false	"m"	"General"	"spa_spain"	1775	1825	"guerrilla#spa_castilla_la_vieja#004"
"spa_juan_palarea_blanes"	false	"m"	"General"	"spa_spain"	1780	1842	"guerrilla#spa_castilla_la_nueva#014"
"spa_francisco_abad_moreno"	false	"m"	"General"	"spa_spain"	1788	1827	"guerrilla#spa_la_mancha#011"
"spa_jose_romeu"	false	"m"	"General"	"spa_spain"	1778	1812	"guerrilla#spa_valencia#008"
"spa_miguel_quero"	false	"m"	"General"	"spa_spain"	1784	1850	"guerrilla#spa_caceres#019"
"spa_ramon_garcia"	false	"m"	"General"	"spa_spain"	1779	1850	"guerrilla#spa_badajoz#013"
"spa_jeronimo_cob"	false	"m"	"General"	"spa_spain"	1769	1844	"guerrilla#spa_burgos#009"
"spa_julian_sanchez"	false	"m"	"General"	"spa_spain"	1774	1832	"guerrilla#spa_salamanca#006"
"spa_joaquin_ibanez"	false	"m"	"General"	"spa_spain"	1784	1825	"guerrilla#spa_cataluna#015"
"spa_luis_rebolledo"	false	"m"	"General"	"spa_spain"	1772	1843	"n"
"spa_jose_palafox"	false	"m"	"General"	"spa_spain"	1780	1847	"n"
"spa_vicente_quesada"	false	"m"	"General"	"spa_spain"	1782	1836	"n"
"spa_charles_belson"	false	"m"	"General"	"spa_britain"	1794	1830	"n"
"spa_charles_colville"	false	"m"	"General"	"spa_britain"	1790	1843	"n"
"spa_charles_grey"	false	"m"	"minister"	"spa_britain"	1784	1845	"n"
"spa_charles_middleton"	false	"m"	"minister"	"spa_britain"	1784	1845	"n"
"spa_david_ricardo"	false	"m"	"gentleman"	"spa_britain"	1792	1823	"economist4"
"spa_edmund_cartwright"	false	"m"	"gentleman"	"spa_britain"	1763	1823	"ind5, power loom"
"spa_edward_augustus"	false	"m"	"General"	"spa_britain"	1787	1820	"n"
"spa_edward_paget"	false	"m"	"General"	"spa_britain"	1795	1849	"n"
"spa_edward_pakenham"	false	"m"	"General"	"spa_britain"	1798	1815	"n"
"spa_edward_stopford"	false	"m"	"General"	"spa_britain"	1786	1837	"n"
"spa_ernest_augustus"	false	"m"	"General"	"spa_britain"	1791	1851	"n"
"spa_ferdinand_waldstein"	false	"m"	"General"	"spa_britain"	1782	1823	"n"
"spa_frederick_adam"	false	"m"	"General"	"spa_britain"	1804	1853	"n"
"spa_frederick_york"	false	"m"	"General"	"spa_britain"	1784	1827	"n"
"spa_galbraith_cole"	false	"m"	"General"	"spa_britain"	1782	1842	"n"
"spa_george_augustus"	false	"m"	"General"	"spa_britain"	1803	1815	"n"
"spa_george_dreiberg"	false	"m"	"General"	"spa_britain"	1767	1832	"n"
"spa_george_murray"	false	"m"	"General"	"spa_britain"	1792	1846	"n"
"spa_george_stephenson"	false	"m"	"gentleman"	"spa_britain"	1801	1848	"steam loco inventor"
"spa_george_walker"	false	"m"	"General"	"spa_britain"	1784	1842	"n"
"spa_henry_clinton"	false	"m"	"General"	"spa_britain"	1791	1829	"m"
"spa_henry_paget"	true	"m"	"General"	"spa_britain"	1788	1854	"British General"
"spa_henry_phipps"	false	"m"	"minister"	"spa_britain"	1775	1831	"n"
"spa_henry_temple"	false	"m"	"minister"	"spa_britain"	1804	1865	"n"
"spa_humphry_davy"	false	"m"	"gentleman"	"spa_britain"	1798	1829	"mining lamp (ind3)"
"spa_james_hamilton"	false	"m"	"General"	"spa_britain"	1797	1815	"n"
"spa_james_leith"	false	"m"	"General"	"spa_britain"	1783	1816	"n"
"spa_james_watt"	false	"m"	"gentleman"	"spa_britain"	1756	1819	"ind5, steam engine, electricity"
"spa_jeremy_bentham"	false	"m"	"gentleman"	"spa_britain"	1768	1832	"phil4, utilitarianism"
"spa_john_blenkinsop"	false	"m"	"gentleman"	"spa_britain"	1803	1831	"ind5"
"spa_john_gaspard_le_marchant"	false	"m"	"General"	"spa_britain"	1786	1812	"British General"
"spa_john_hope"	false	"m"	"General"	"spa_britain"	1785	1836	"n"
"spa_john_jervis"	true	"m"	"admiral"	"spa_britain"	1755	1823	"British Admiral"
"spa_john_jones"	false	"m"	"General"	"spa_britain"	1803	1843	"n"
"spa_john_macadam"	true	"m"	"gentleman"	"spa_britain"	1776	1836	"ind4, roads"
"spa_john_oswald"	false	"m"	"General"	"spa_britain"	1791	1840	"n"
"spa_john_pitt"	false	"m"	"General"	"spa_britain"	1776	1835	"n"
"spa_john_saunders"	false	"m"	"General"	"spa_britain"	1772	1846	"n"
"spa_john_sherbrooke"	false	"m"	"General"	"spa_britain"	1784	1830	"n"
"spa_john_stuart"	false	"m"	"General"	"spa_britain"	1779	1815	"n"
"spa_john_thomas_duckworth"	true	"m"	"admiral"	"spa_britain"	1767	1817	"British Admiral"
"spa_josepth_manton"	false	"m"	"gentleman"	"spa_britain"	1780	1835	"army tech 5"
"spa_matthew_darby"	false	"m"	"General"	"spa_britain"	1792	1823	"n"
"spa_nicholas_vansittart"	false	"m"	"minister"	"spa_britain"	1786	1850	"n"
"spa_richard_kirwan"	false	"m"	"gentleman"	"spa_britain"	1753	1812	"scientist"
"spa_richard_trevithick"	false	"m"	"gentleman"	"spa_britain"	1791	1833	"ind4, steam loco"
"spa_robert_calder"	true	"m"	"captain"	"spa_britain"	1765	1818	"British Captain"
"spa_robert_craufurd"	false	"m"	"General"	"spa_britain"	1764	1812	"n"
"spa_robert_darwin"	false	"m"	"gentleman"	"spa_britain"	1786	1848	"doctor"
"spa_robert_dundas"	false	"m"	"minister"	"spa_britain"	1791	1851	"n"
"spa_robert_ross"	false	"m"	"General"	"spa_britain"	1786	1814	"n"
"spa_robert_wallace"	false	"m"	"gentleman"	"spa_britain"	1793	1853	"ind1, postage reform"
"spa_rowland_hill"	false	"m"	"General"	"spa_britain"	1792	1842	"n"
"spa_rudolphus_bodecker"	false	"m"	"General"	"spa_britain"	1779	1831	"n"
"spa_samuel_crompton"	false	"m"	"gentleman"	"spa_britain"	1773	1827	"ind3"
"spa_stapleton_cotton"	false	"m"	"General"	"spa_britain"	1793	1865	"n"
"spa_thomas_clarkson"	false	"m"	"gentleman"	"spa_britain"	1780	1846	"abolitionist"
"spa_thomas_cochrane"	true	"m"	"admiral"	"spa_britain"	1795	1860	"British Admiral"
"spa_thomas_graham"	false	"m"	"General"	"spa_britain"	1768	1850	"n"
"spa_thomas_grenville"	false	"m"	"minister"	"spa_britain"	1775	1846	"n"
"spa_thomas_hardy"	true	"m"	"admiral"	"spa_britain"	1789	1839	"British Captain"
"spa_thomas_malthus"	false	"m"	"gentleman"	"spa_britain"	1786	1834	"econ5"
"spa_thomas_picton"	false	"m"	"General"	"spa_britain"	1778	1815	"n"
"spa_william_anson"	false	"m"	"General"	"spa_britain"	1792	1847	"n"
"spa_william_dornberg"	false	"m"	"General"	"spa_britain"	1788	1850	"n"
"spa_william_dundas"	false	"m"	"minister"	"spa_britain"	1782	1845	"n"
"spa_william_hope"	false	"m"	"minister"	"spa_britain"	1786	1831	"n"
"spa_william_horrocks"	false	"m"	"gentleman"	"spa_britain"	1796	1825	"n"
"spa_william_murdoch"	false	"m"	"gentleman"	"spa_britain"	1774	1839	"ind5"
"spa_william_rose"	false	"m"	"gentleman"	"spa_britain"	1795	1843	"n"
"spa_william_sidney_smith"	true	"m"	"admiral"	"spa_britain"	1784	1840	"British Admiral"
"spa_william_strutt"	false	"m"	"gentleman"	"spa_britain"	1776	1830	"ind3"
"spa_william_wilberforce"	false	"m"	"gentleman"	"spa_britain"	1779	1833	"n"
"spa_felix_de_azara"	false	"m"	"gentleman"	"spa_spain"	1766	1821	"military engineer & general"
"spa_francisco_de_miranda"	false	"m"	"gentleman"	"spa_spain"	1770	1816	"n"
"spa_fray_lasierra"	false	"m"	"gentleman"	"spa_spain"	1765	1813	"historian"
"spa_jose_clavijo"	false	"m"	"gentleman"	"spa_spain"	1751	1813	"historian"
"spa_jose_conde"	false	"m"	"gentleman"	"spa_spain"	1786	1820	"orientalist"
"spa_jose_de_arredondo"	false	"m"	"General"	"spa_spain"	1788	1837	"n"
"spa_jose_de_iturrigaray"	false	"m"	"General"	"spa_spain"	1762	1815	"vicious, valorous"
"spa_juan_masdeu"	false	"m"	"gentleman"	"spa_spain"	1764	1817	"jesuit historian"
"spa_manuel_de_godoy"	true	"m"	"minister"	"spa_spain"	1787	1851	"n"
"spa_tomas_de_suria"	false	"m"	"gentleman"	"spa_spain"	1781	1844	"n"
"spa_jacques_macdonald"	false	"m"	"General"	"spa_france"	1785	1840	"n"
"spa_claude_perrin"	false	"m"	"General"	"spa_france"	1784	1841	"n"
"spa_henri_delaborde"	false	"m"	"General"	"spa_france"	1784	1833	"n"
"spa_jose_pascual"	false	"m"	"General"	"spa_spain"	1772	1827	"n"
"spa_manley_power"	false	"m"	"General"	"spa_britain"	1773	1826	"n"
"spa_luis_barreto"	false	"m"	"General"	"spa_portugal"	1777	1840	"n"
"spa_agostinho_fonseca"	false	"m"	"General"	"spa_portugal"	1751	1831	"n"
"spa_antonia_henriques"	false	"m"	"General"	"spa_portugal"	1761	1835	"n"
"spa_henri_saint_simon"	false	"m"	"gentleman"	"spa_france"	1780	1825	"n"
"spa_cosmao_kerjulien"	false	"m"	"admiral"	"spa_france"	1781	1825	"French Captain"
"spa_dominique_vandamme"	false	"m"	"General"	"spa_france"	1790	1830	"n"
"spa_jean_drouet"	false	"m"	"General"	"spa_france"	1785	1844	"n"
"spa_jacques_lauriston"	false	"m"	"General"	"spa_france"	1768	1828	"n"
"spa_edouard_mortier"	false	"m"	"General"	"spa_france"	1788	1835	"n"
"spa_dumanoir_le_pelley"	false	"m"	"admiral"	"spa_france"	1790	1829	"French Captain"
"spa_guyton_morveau"	false	"m"	"gentleman"	"spa_france"	1757	1816	"chemist3, chemical nomenclature"
"spa_claude_berthollet"	false	"m"	"gentleman"	"spa_france"	1768	1822	"chemist1"
"spa_francois_chris_kellerman"	false	"m"	"minister"	"spa_france"	1757	1820	"n"
"spa_gaspard_monge"	false	"m"	"gentleman"	"spa_france"	1766	1818	""
"spa_francous_lefebvre"	false	"m"	"General"	"spa_france"	1775	1820	"n"
"spa_francois_truguet"	false	"m"	"admiral"	"spa_france"	1772	1839	"French Admiral"
"spa_bon_moncey"	false	"m"	"General"	"spa_france"	1774	1842	"n"
"spa_francois_kellerman"	false	"m"	"General"	"spa_france"	1790	1835	"n"
"spa_armand_philippon"	false	"m"	"General"	"spa_france"	1794	1852	"n"
"spa_guillaume_brune"	false	"m"	"General"	"spa_france"	1783	1815	"n"
"spa_eugene_vilatte"	false	"m"	"General"	"spa_france"	1790	1834	"n"
"spa_etienne_lucas"	false	"m"	"admiral"	"spa_france"	1784	1819	"French Captain"
"spa_emmanual_grouchy"	false	"m"	"General"	"spa_france"	1786	1847	"n"
"spa_geraud_duroc"	false	"m"	"General"	"spa_france"	1792	1813	"n"
"spa_adrien_legendre"	false	"m"	"gentleman"	"spa_france"	1772	1833	"math4"
"spa_joseph_jacquard"	false	"m"	"gentleman"	"spa_france"	1772	1834	"ind4, punch card loom"
"spa_jean_rapp"	false	"m"	"General"	"spa_france"	1791	1821	"n"
"spa_jean_reynier"	false	"m"	"General"	"spa_france"	1791	1814	"n"
"spa_jean_say"	false	"m"	"gentleman"	"spa_france"	1787	1832	"econ4, free trade"
"spa_jean_bessieres"	false	"m"	"General"	"spa_france"	1788	1813	"n"
"spa_jean_serurier"	false	"m"	"minister"	"spa_france"	1762	1819	"n"
"spa_jean_moreau"	false	"m"	"General"	"spa_france"	1783	1813	"n"
"spa_jozef_antoni_poniatowski"	false	"m"	"General"	"spa_france"	1783	1813	"gen4, defender against bad odds"
"spa_nicolas_oudinot"	false	"m"	"General"	"spa_france"	1787	1847	"n"
"spa_nicholas_appert"	false	"m"	"gentleman"	"spa_france"	1769	1841	"canning, food preservation"
"spa_louis_hilliers"	false	"m"	"General"	"spa_france"	1784	1813	"n"
"spa_louis_almeras"	false	"m"	"General"	"spa_france"	1788	1828	"n"
"spa_laurent_cyr"	false	"m"	"General"	"spa_france"	1784	1830	"n"
"spa_joseph_niepce"	false	"m"	"gentleman"	"spa_france"	1785	1833	"photography"
"spa_jean_jourdan"	false	"m"	"General"	"spa_france"	1788	1828	"n"
"spa_pierre_augereau"	false	"m"	"General"	"spa_france"	1777	1816	"n"
"spa_joseph_guillotin"	false	"m"	"gentleman"	"spa_france"	1758	1814	"guillotine"
"spa_joseph_fouce"	false	"m"	"minister"	"spa_france"	1779	1820	"n"
"spa_joseph_lagrange"	false	"m"	"gentleman"	"spa_france"	1756	1813	"math4"
"spa_jean_junot"	false	"m"	"General"	"spa_france"	1791	1813	"n"
"spa_pierre_laplace"	false	"m"	"gentleman"	"spa_france"	1769	1827	"math3"
"spa_jean_marchand"	false	"m"	"General"	"spa_france"	1785	1852	"n"
