version 1, schema campaign_map_slots_tables
Campaign_Map_Slot_ID(string)	Region(string)	Slot(string)	Unknown1(blob:5)
"wheat:saxony:erfurt"	"saxony"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:silesia:south"	"silesia"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:sindh:central"	"sindh"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:spain:ebro"	"spain"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:spain:seville"	"spain"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:sweden:vanersee"	"sweden"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:tatariya:pensa"	"tatariya"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:transylvania:central"	"transylvania"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:tunis:coast"	"tunis"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:ukraine:kiev"	"ukraine"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:ukraine:poltava"	"ukraine"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:west_pommerania:rostock"	"west_pommerania"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:west_prussia:southeast"	"west_prussia"	"wheat"	"\x00\x00\x00\x00\x00"
"wine:anatolia:west"	"anatolia"	"wine"	"\x00\x00\x00\x00\x00"
"wine:corsica:east"	"corsica"	"wine"	"\x00\x00\x00\x00\x00"
"wine:croatia:west"	"croatia"	"wine"	"\x00\x00\x00\x00\x00"
"wine:france:bordeaux"	"france"	"wine"	"\x00\x00\x00\x00\x00"
"wine:france:loire_valley"	"france"	"wine"	"\x00\x00\x00\x00\x00"
"wine:genoa:la_spezia"	"genoa"	"wine"	"\x00\x00\x00\x00\x00"
"wine:greece:athens"	"greece"	"wine"	"\x00\x00\x00\x00\x00"
"wine:greece:central"	"greece"	"wine"	"\x00\x00\x00\x00\x00"
"wine:morea:patras"	"morea"	"wine"	"\x00\x00\x00\x00\x00"
"wine:naples:calabria"	"naples"	"wine"	"\x00\x00\x00\x00\x00"
"wine:naples:west_sicily"	"naples"	"wine"	"\x00\x00\x00\x00\x00"
"wine:portugal:porto"	"portugal"	"wine"	"\x00\x00\x00\x00\x00"
"wine:rumelia:central"	"rumelia"	"wine"	"\x00\x00\x00\x00\x00"
"wine:sardinia:east"	"sardinia"	"wine"	"\x00\x00\x00\x00\x00"
"wine:savoy:niece"	"savoy"	"wine"	"\x00\x00\x00\x00\x00"
"wine:spain:central"	"spain"	"wine"	"\x00\x00\x00\x00\x00"
"wine:the_papal_states:florence"	"the_papal_states"	"wine"	"\x00\x00\x00\x00\x00"
"wine:the_papal_states:rome"	"the_papal_states"	"wine"	"\x00\x00\x00\x00\x00"
"wine:the_papal_states:san_marino"	"the_papal_states"	"wine"	"\x00\x00\x00\x00\x00"
"wine:venice:udine"	"venice"	"wine"	"\x00\x00\x00\x00\x00"
"wine:wurttemberg:freiburg"	"wurttemberg"	"wine"	"\x00\x00\x00\x00\x00"
