version 2, schema factions_tables
Faction_ID(string)	ID2(int)	Subculture(string)	Type(string)	Nation(string)	Nationality(string)	Names_DB(string)	sounds_id(string)	unknown10(optstring)	Rebels(boolean)	Early_Availability(boolean)	Late_Availability(boolean)	Icon(string)	Flag1(string)	Flag2(optstring)	Flag3(optstring)	R1(float)	G1(float)	B1(float)	R2(float)	G2(float)	B2(float)	R3(float)	G3(float)	B3(float)	R4(float)	G4(float)	B4(float)	R5(float)	G5(float)	B5(float)	R6(float)	G6(float)	B6(float)	Military_x0020_Group(string)	Settler_Rebels(optstring)	R(float)	G(float)	B(float)	ID3(optstring)	Abreviation(string)	unknown43(boolean)	unknown44(boolean)	Names_1(string)	Names_2(string)
"piedmont_savoy"	28	"sc_european_south"	"minor"	"Savoy"	"Savoyard"	"names_italian"	"savoy"	nil	false	false	false	"data\\ui\\units\\icons\\piedmont_savoy"	"data\\ui\\flags\\piedmont_savoy"	nil	"data\\ui\\flags\\rebels_europe"	145	147	173	145	147	173	144	29	27	144	29	27	66	95	108	66	95	108	"venice_group"	"european_settler_rebels"	173	173	173	nil	"Fr"	false	false	"names_english"	"names_french"
"pirates"	42	"sc_european_america"	"minor"	"Pirates"	"Pirate"	"names_pirates"	"pirates"	nil	false	false	true	"data\\ui\\units\\icons\\pirates"	"data\\ui\\flags\\pirates"	nil	"data\\ui\\flags\\rebels_other"	25	25	25	25	25	25	254	254	254	254	254	254	84	95	83	84	95	83	"pirates"	"pirates"	173	173	173	nil	"Uk"	false	false	"names_english"	"names_pirates"
"plains"	45	"sc_tribal_american"	"minor"	"Plains Nations"	"Plains"	"names_native_american"	"usa"	nil	false	false	false	"data\\ui\\units\\icons\\plains"	"data\\ui\\flags\\plains"	nil	"data\\ui\\flags\\rebels_other"	122	47	34	122	47	34	214	214	214	214	214	214	101	48	41	101	48	41	"amerinds_group"	"amerind_rebels"	173	173	173	nil	"Us_trib"	false	false	"names_native_american"	"names_native_american"
"plains_playable"	1736209357	"sc_tribal_playable"	"playable"	"Plains Nations"	"Plains"	"names_native_american"	"usa"	"Native_American"	false	true	false	"data\\ui\\units\\icons\\plains"	"data\\ui\\flags\\plains"	nil	"data\\ui\\flags\\rebels_other"	122	47	34	122	47	34	214	214	214	214	214	214	101	48	41	101	48	41	"nan_group"	"amerind_rebels"	173	173	173	"62"	"Us_trib"	false	false	"names_native_american"	"names_native_american"
"poland_lithuania"	17	"sc_european_east"	"playable"	"Poland-Lithuania"	"Polish"	"names_polish"	"poland_lithuania"	nil	false	true	true	"data\\ui\\units\\icons\\poland_lithuania"	"data\\ui\\flags\\poland_lithuania"	"data\\ui\\flags\\poland_republic"	"data\\ui\\flags\\rebels_europe"	160	48	56	160	48	56	238	218	161	238	218	161	212	43	61	212	43	61	"russia_poland_group"	"european_settler_rebels"	173	173	173	"26"	"Pl"	false	false	"names_english"	"names_polish"
"portugal"	29	"sc_european_south"	"minor"	"Portugal"	"Portuguese"	"names_portuguese"	"portugal"	nil	false	false	false	"data\\ui\\units\\icons\\portugal"	"data\\ui\\flags\\portugal"	nil	"data\\ui\\flags\\rebels_europe"	238	242	248	238	242	248	120	179	204	120	179	204	134	165	192	134	165	192	"spain_group"	"european_settler_rebels"	173	173	173	nil	"Po"	false	false	"names_english"	"names_portuguese"
"portugese_rebels"	61	"sc_european_south"	"rebel"	"-"	"Rebel"	"names_portuguese"	"usa"	nil	true	false	false	"data\\ui\\units\\icons\\portugese_rebels"	"data\\ui\\flags\\rebels_europe"	nil	nil	84	95	83	84	95	83	254	254	254	254	254	254	84	95	83	84	95	83	"spain_group"	"european_settler_rebels"	173	173	173	nil	"Po"	false	false	"names_english"	"names_portuguese"
"powhatan"	1222867902	"sc_tribal_american"	"minor"	"Powhatan Confederacy"	"Powhatan"	"names_native_american"	"usa"	nil	false	false	false	"data\\ui\\units\\icons\\powhatan"	"data\\ui\\flags\\powhatan"	nil	"data\\ui\\flags\\rebels_other"	158	163	122	158	163	122	214	215	189	214	215	189	121	112	37	121	112	37	"amerinds_group"	"amerind_rebels"	173	173	173	nil	"Us_trib"	false	false	"names_native_american"	"names_native_american"
"prussia"	18	"sc_european_north"	"playable"	"Prussia"	"Prussian"	"names_prussian"	"prussia"	nil	false	true	true	"data\\ui\\units\\icons\\prussia"	"data\\ui\\flags\\prussia"	"data\\ui\\flags\\prussia_republic"	"data\\ui\\flags\\rebels_europe"	0	49	83	0	49	83	208	207	199	208	207	199	0	49	83	0	49	83	"prussia_group"	"european_settler_rebels"	173	173	173	"27"	"Ge"	false	false	"names_english"	"names_prussian"
"prussian_rebels"	58	"sc_european_north"	"rebel"	"-"	"Rebel"	"names_prussian"	"usa"	nil	true	false	false	"data\\ui\\units\\icons\\prussian_rebels"	"data\\ui\\flags\\rebels_europe"	nil	nil	84	95	83	84	95	83	254	254	254	254	254	254	84	95	83	84	95	83	"prussia_group"	"european_settler_rebels"	173	173	173	nil	"Ge"	false	false	"names_english"	"names_prussian"
"pueblo"	44	"sc_tribal_american"	"minor"	"Pueblo Nations"	"Pueblo"	"names_native_american"	"usa"	nil	false	false	false	"data\\ui\\units\\icons\\pueblo"	"data\\ui\\flags\\pueblo"	nil	"data\\ui\\flags\\rebels_other"	227	137	37	227	137	37	225	184	105	225	184	105	222	119	70	222	119	70	"amerinds_group"	"european_settler_rebels"	173	173	173	nil	"Us_trib"	false	false	"names_native_american"	"names_native_american"
"pueblo_playable"	-1289058038	"sc_tribal_playable"	"playable"	"Pueblo Nations"	"Pueblo"	"names_native_american"	"usa"	"Native_American"	false	true	false	"data\\ui\\units\\icons\\pueblo"	"data\\ui\\flags\\pueblo"	nil	"data\\ui\\flags\\rebels_other"	227	137	37	227	137	37	225	184	105	225	184	105	222	119	70	222	119	70	"nan_group"	"european_settler_rebels"	173	173	173	"62"	"Us_trib"	false	false	"names_native_american"	"names_native_american"
"punjab"	49	"sc_indian_sikh"	"minor"	"Punjab"	"Punjabi"	"names_indian_hindu"	"punjab"	nil	false	false	false	"data\\ui\\units\\icons\\punjab"	"data\\ui\\flags\\punjab"	nil	"data\\ui\\flags\\rebels_eastern"	255	235	151	255	235	151	95	13	17	95	13	17	65	88	53	65	88	53	"maratha_group"	"india_settler_rebels"	173	173	173	nil	"Hi"	false	false	"names_indian_hindu"	"names_muslim_general"
"quebec"	106430697	"sc_european_america"	"minor"	"Québec"	"Québécois"	"names_french"	"france"	nil	false	false	false	"data\\ui\\units\\icons\\quebec"	"data\\ui\\flags\\quebec"	nil	"data\\ui\\flags\\rebels_europe"	114	202	220	114	202	220	228	180	9	228	180	9	255	255	240	255	255	240	"france_group"	"french_settler_rebels"	173	173	173	"0"	"Fr"	true	true	"names_english"	"names_french"
"russia"	19	"sc_european_east"	"playable"	"Russia"	"Russian"	"names_slavonic_general"	"russia"	nil	false	true	true	"data\\ui\\units\\icons\\russia"	"data\\ui\\flags\\russia"	"data\\ui\\flags\\russia_republic"	"data\\ui\\flags\\rebels_europe"	34	106	34	34	106	34	255	255	255	255	255	255	34	106	34	34	106	34	"russia_poland_group"	"european_settler_rebels"	173	173	173	"28"	"Ru"	false	false	"names_english"	"names_slavonic_general"
"safavids"	20	"sc_mideast_islamic"	"minor"	"Persia"	"Persian"	"names_persian"	"safavids"	nil	false	false	false	"data\\ui\\units\\icons\\safavids"	"data\\ui\\flags\\safavids"	nil	"data\\ui\\flags\\rebels_eastern"	247	227	131	247	227	131	250	131	198	250	131	198	141	144	95	141	144	95	"mughal_group"	"india_settler_rebels"	173	173	173	nil	"Ar"	false	false	"names_ottoman"	"names_persian"
"saxony"	41	"sc_european_west"	"minor"	"Saxony"	"Saxon"	"names_german_catholic"	"saxony"	nil	false	false	false	"data\\ui\\units\\icons\\saxony"	"data\\ui\\flags\\saxony"	nil	"data\\ui\\flags\\rebels_europe"	57	180	8	57	180	8	253	253	253	253	253	253	89	110	86	89	110	86	"prussia_group"	"european_settler_rebels"	173	173	173	nil	"Ge"	false	false	"names_english"	"names_german_catholic"
"scandinavian_rebels"	62	"sc_european_north"	"rebel"	"-"	"Rebel"	"names_swedish"	"usa"	nil	true	false	false	"data\\ui\\units\\icons\\scandinavian_rebels"	"data\\ui\\flags\\rebels_europe"	nil	nil	84	95	83	84	95	83	254	254	254	254	254	254	84	95	83	84	95	83	"sweden_denmark_group"	"european_settler_rebels"	173	173	173	nil	"Sw"	false	false	"names_english"	"names_swedish"
"scotland"	21	"sc_european_north"	"minor"	"Scotland"	"Scottish"	"names_scottish"	"scotland"	nil	false	false	false	"data\\ui\\units\\icons\\scotland"	"data\\ui\\flags\\scotland"	nil	"data\\ui\\flags\\rebels_europe"	41	64	177	41	64	177	226	220	218	226	220	218	20	42	49	20	42	49	"great_britain_group"	"british_settler_rebels"	173	173	173	nil	"Uk"	false	false	"names_english"	"names_english"
"sikh_rebels"	75	"sc_indian_sikh"	"rebel"	"-"	"Rebel"	"names_indian_hindu"	"usa"	nil	true	false	false	"data\\ui\\units\\icons\\punjab"	"data\\ui\\flags\\punjab"	nil	nil	84	95	83	84	95	83	254	254	254	254	254	254	84	95	83	84	95	83	"mughal_group"	"india_settler_rebels"	173	173	173	nil	"Hi"	false	false	"names_indian_hindu"	"names_indian_hindu"
"slavic_rebels"	59	"sc_european_east"	"rebel"	"-"	"Rebel"	"names_slavonic_general"	"usa"	nil	true	false	false	"data\\ui\\units\\icons\\slavic_rebels"	"data\\ui\\flags\\rebels_europe"	nil	nil	84	95	83	84	95	83	254	254	254	254	254	254	84	95	83	84	95	83	"russia_poland_group"	"european_settler_rebels"	173	173	173	nil	"Ru"	false	false	"names_english"	"names_slavonic_general"
"spain"	22	"sc_european_south"	"playable"	"Spain"	"Spanish"	"names_spanish"	"spain"	nil	false	true	true	"data\\ui\\units\\icons\\spain"	"data\\ui\\flags\\spain"	"data\\ui\\flags\\spain_republic"	"data\\ui\\flags\\rebels_europe"	253	217	1	253	217	1	164	0	1	164	0	1	255	255	255	238	207	84	"spain_group"	"european_settler_rebels"	173	173	173	"29"	"Sp"	false	false	"names_english"	"names_spanish"
"spanish_rebels"	60	"sc_european_south"	"rebel"	"-"	"Rebel"	"names_spanish"	"usa"	nil	true	false	false	"data\\ui\\units\\icons\\spanish_rebels"	"data\\ui\\flags\\rebels_europe"	nil	nil	84	95	83	84	95	83	254	254	254	254	254	254	84	95	83	84	95	83	"spain_group"	"european_settler_rebels"	173	173	173	nil	"Sp"	false	false	"names_english"	"names_spanish"
"spanish_settler_rebels"	-2139733337	"sc_european_america"	"rebel"	"-"	"Rebel"	"names_spanish"	"usa"	nil	true	false	false	"data\\ui\\units\\icons\\spanish_settler_rebels"	"data\\ui\\flags\\rebels_europe"	nil	nil	84	95	83	84	95	83	254	254	254	254	254	254	0	0	0	0	0	0	"spain_group"	"spanish_settler_rebels"	173	173	173	nil	"Sp"	false	false	"names_english"	"names_spanish"
"sweden"	23	"sc_european_north"	"playable"	"Sweden"	"Swedish"	"names_swedish"	"sweden"	nil	false	true	true	"data\\ui\\units\\icons\\sweden"	"data\\ui\\flags\\sweden"	"data\\ui\\flags\\sweden_republic"	"data\\ui\\flags\\rebels_europe"	15	91	153	15	91	153	181	181	181	181	181	181	15	91	153	15	91	153	"sweden_denmark_group"	"european_settler_rebels"	173	173	173	"30"	"Sw"	false	false	"names_english"	"names_swedish"
"swiss_confederation"	27	"sc_european_west"	"non-expansionist"	"Swiss Confederation"	"Swiss"	"names_german_catholic"	"swiss_confederation"	nil	false	false	false	"data\\ui\\units\\icons\\swiss_confederation"	"data\\ui\\flags\\swiss_confederation"	nil	"data\\ui\\flags\\rebels_europe"	143	29	27	143	29	27	228	208	205	228	208	205	78	24	39	78	24	39	"prussia_group"	"european_settler_rebels"	173	173	173	nil	"Ge"	false	false	"names_english"	"names_german_catholic"
"thirteen_colonies"	673359322	"sc_european_west"	"minor"	"Thirteen Colonies"	"Thirteen Colonies"	"names_english"	"britain"	nil	false	false	false	"data\\ui\\units\\icons\\virginia_colonists"	"data\\ui\\flags\\george_washington"	"data\\ui\\flags\\united_states"	"data\\ui\\flags\\rebels_europe"	229	78	78	229	78	78	18	46	86	18	46	86	113	19	19	113	19	19	"great_britain_group"	"british_settler_rebels"	173	173	173	nil	"Us"	false	false	"names_english"	"names_english"
"tuscany"	32	"sc_european_south"	"non-expansionist"	"Tuscany"	"Tuscan"	"names_italian"	"tuscany"	nil	false	false	false	"data\\ui\\units\\icons\\tuscany"	"data\\ui\\flags\\tuscany"	nil	"data\\ui\\flags\\rebels_europe"	249	234	181	249	234	181	252	233	164	252	233	164	134	90	18	134	90	18	"venice_group"	"european_settler_rebels"	173	173	173	nil	"It"	false	false	"names_english"	"names_italian"
"united_states"	24	"sc_european_america"	"playable"	"United States"	"American"	"names_english"	"united_states"	nil	false	true	true	"data\\ui\\units\\icons\\united_states"	"data\\ui\\flags\\us_monarchy"	"data\\ui\\flags\\united_states"	"data\\ui\\flags\\rebels_europe"	0	40	104	0	40	104	255	255	255	255	255	255	0	32	83	0	32	83	"usa_group"	"european_settler_rebels"	173	173	173	"31"	"Us"	true	true	"names_english"	"names_english"
"venice"	25	"sc_european_south"	"minor"	"Venice"	"Venetian"	"names_italian"	"venice"	nil	false	false	false	"data\\ui\\units\\icons\\venice"	"data\\ui\\flags\\venice"	nil	"data\\ui\\flags\\rebels_europe"	150	46	74	150	46	74	76	110	142	76	110	142	113	59	77	113	59	77	"venice_group"	"european_settler_rebels"	173	173	173	nil	"It"	true	true	"names_english"	"names_italian"
"virginia"	1616414635	"sc_european_west"	"playable"	"British Colonials"	"British Colonial"	"names_english"	"usa"	nil	false	false	false	"data\\ui\\units\\icons\\george_washington"	"data\\ui\\flags\\george_washington"	"data\\ui\\flags\\united_states"	"data\\ui\\flags\\rebels_europe"	229	78	78	229	78	78	255	255	255	255	255	255	113	19	19	113	19	19	"great_britain_group"	"european_settler_rebels"	173	173	173	"23"	"Us"	false	false	"names_english"	"names_english"
"virginia_colonists"	1223032615	"sc_european_west"	"playable"	"Virginia Colonists"	"Virginia Colony"	"names_english"	"britain"	nil	false	false	false	"data\\ui\\units\\icons\\virginia_colonists"	"data\\ui\\flags\\virginia_colonists"	"data\\ui\\flags\\united_states"	"data\\ui\\flags\\rebels_europe"	229	78	78	229	78	78	18	46	86	18	46	86	113	19	19	113	19	19	"great_britain_group"	"british_settler_rebels"	173	173	173	nil	"Uk"	false	false	"names_english"	"names_english"
"westphalia"	9	"sc_european_west"	"non-expansionist"	"Westphalia"	"Westphalian"	"names_german_catholic"	"westphalia"	nil	false	false	false	"data\\ui\\units\\icons\\westphalia"	"data\\ui\\flags\\westphalia"	nil	"data\\ui\\flags\\rebels_europe"	27	90	114	27	90	114	20	36	72	20	36	72	0	34	72	0	34	72	"austria_group"	"european_settler_rebels"	173	173	173	nil	"Ge"	false	false	"names_english"	"names_german_catholic"
"wurttemberg"	31	"sc_european_west"	"non-expansionist"	"Württemberg"	"Württemberger"	"names_german_catholic"	"wurttemberg"	nil	false	false	false	"data\\ui\\units\\icons\\wurttemberg"	"data\\ui\\flags\\wurttemberg"	nil	"data\\ui\\flags\\rebels_europe"	81	55	55	81	55	55	44	48	51	44	48	51	102	73	42	102	73	42	"austria_group"	"european_settler_rebels"	173	173	173	nil	"Ge"	false	false	"names_english"	"names_german_catholic"
