version 2, schema battlefield_buildings_tables
Battlefield_Building_ID(string)	Type(string)	Building_2(string)	Material(string)	Hit_points(int)	Fort_type(optstring)	Terrain(optstring)	unknown6(int)
"rocks2_type01"	"boulder"	"rocks2_type01"	"stone"	15	nil	nil	500
"rocks2_type02"	"boulder"	"rocks2_type02"	"stone"	15	nil	nil	500
"rocks2_type03"	"boulder"	"rocks2_type03"	"stone"	15	nil	nil	500
"rocks2_type04"	"boulder"	"rocks2_type04"	"stone"	15	nil	nil	500
"rocks2_type05"	"boulder"	"rocks2_type05"	"stone"	15	nil	nil	500
"rocks2_type06"	"boulder"	"rocks2_type06"	"stone"	15	nil	nil	500
"rocks2_type07"	"boulder"	"rocks2_type07"	"stone"	15	nil	nil	500
"rocks2_type08"	"boulder"	"rocks2_type08"	"stone"	15	nil	nil	500
"rocks2_type09"	"boulder"	"rocks2_type09"	"stone"	15	nil	nil	500
"ruinedchurch"	"ruins"	"ruinedchurch"	"stone"	500	nil	"terrain_threshold_upright"	500
"ruins"	"ruins"	"ruins"	"stone"	500	nil	"terrain_threshold_upright"	500
"small_rock_1"	"boulder"	"small_rock_1"	"stone"	15	nil	nil	500
"small_rock_2"	"boulder"	"small_rock_2"	"stone"	15	nil	nil	500
"small_rock_3"	"boulder"	"small_rock_3"	"stone"	15	nil	nil	500
"small_rock_4"	"boulder"	"small_rock_4"	"stone"	15	nil	nil	500
"south_euro_church"	"church"	"south_euro_church"	"brick"	500	nil	nil	500
"south_euro_house01"	"house"	"south_euro_house01"	"brick"	300	nil	nil	500
"south_euro_house01b"	"house"	"south_euro_house01b"	"brick"	300	nil	nil	500
"south_euro_house02"	"house"	"south_euro_house02"	"brick"	300	nil	nil	500
"south_euro_house03"	"house"	"south_euro_house03"	"brick"	300	nil	nil	500
"south_euro_house03b"	"house"	"south_euro_house03b"	"brick"	300	nil	nil	500
"south_euro_house04"	"house"	"south_euro_house04"	"brick"	300	nil	nil	500
"south_euro_house04b"	"house"	"south_euro_house04b"	"brick"	300	nil	nil	500
"south_euro_house05"	"house"	"south_euro_house05"	"brick"	300	nil	nil	500
"south_euro_house05b"	"house"	"south_euro_house05b"	"brick"	300	nil	nil	500
"south_euro_house06"	"house"	"south_euro_house06"	"brick"	300	nil	nil	500
"south_euro_house06b"	"house"	"south_euro_house06b"	"brick"	300	nil	nil	500
"south_euro_house07"	"house"	"south_euro_house07"	"brick"	300	nil	nil	500
"south_euro_house08"	"house"	"south_euro_house08"	"brick"	300	nil	nil	500
"south_euro_house08b"	"house"	"south_euro_house08b"	"brick"	300	nil	nil	500
"south_euro_house09"	"house"	"south_euro_house09"	"brick"	300	nil	nil	500
"south_euro_house09b"	"house"	"south_euro_house09b"	"brick"	300	nil	nil	500
"south_euro_house10"	"house"	"south_euro_house10"	"brick"	300	nil	nil	500
"south_euro_house10b"	"house"	"south_euro_house10b"	"brick"	300	nil	nil	500
"south_euro_hut01"	"house"	"south_euro_hut01"	"brick"	200	nil	nil	500
"south_euro_hut02"	"house"	"south_euro_hut02"	"brick"	200	nil	nil	500
"south_euro_hut03"	"house"	"south_euro_hut03"	"brick"	200	nil	nil	500
"south_euro_hut04"	"house"	"south_euro_hut04"	"brick"	200	nil	nil	500
"south_euro_hut05"	"house"	"south_euro_hut05"	"brick"	150	nil	nil	500
"south_euro_ruins"	"ruins"	"south_euro_ruins"	"brick"	150	nil	nil	500
"south_euro_rural01"	"rural"	"south_euro_rural01"	"brick"	200	nil	nil	500
"south_euro_rural02"	"rural"	"south_euro_rural02"	"brick"	200	nil	nil	500
"south_euro_rural03"	"rural"	"south_euro_rural03"	"brick"	200	nil	nil	500
"south_euro_rural04"	"rural"	"south_euro_rural04"	"brick"	200	nil	nil	500
"south_euro_stone_bridge"	"bridge"	"south_euro_stone_bridge"	"stone"	500	nil	nil	500
"south_euro_windmill"	"windmill"	"south_euro_windmill"	"brick"	300	nil	nil	500
"sphinx"	"ruins"	"sphinx"	"stone"	500	nil	nil	500
"west_euro_church"	"church"	"west_euro_church"	"stone"	500	nil	nil	500
"west_euro_church02"	"house"	"west_euro_church02"	"brick"	600	nil	nil	500
"west_euro_house01"	"house"	"west_euro_house01"	"wood"	300	nil	nil	500
"west_euro_house01b"	"house"	"west_euro_house01b"	"wood"	300	nil	nil	500
"west_euro_house02"	"house"	"west_euro_house02"	"stone"	300	nil	nil	500
"west_euro_house02b"	"house"	"west_euro_house02b"	"brick"	300	nil	nil	500
"west_euro_house03"	"house"	"west_euro_house03"	"brick"	300	nil	nil	500
"west_euro_house03b"	"house"	"west_euro_house03b"	"brick"	300	nil	nil	500
"west_euro_house04"	"house"	"west_euro_house04"	"brick"	300	nil	nil	500
"west_euro_house04b"	"house"	"west_euro_house04b"	"brick"	300	nil	nil	500
"west_euro_house05"	"house"	"west_euro_house05"	"brick"	300	nil	nil	500
"west_euro_house05b"	"house"	"west_euro_house05b"	"brick"	300	nil	nil	500
"west_euro_house06"	"house"	"west_euro_house06"	"brick"	300	nil	nil	500
"west_euro_house06b"	"house"	"west_euro_house06b"	"brick"	300	nil	nil	500
"west_euro_house07"	"house"	"west_euro_house07"	"brick"	300	nil	nil	500
"west_euro_house07a"	"house"	"west_euro_house07a"	"brick"	300	nil	nil	500
"west_euro_house07b"	"house"	"west_euro_house07b"	"brick"	300	nil	nil	500
"west_euro_house07c"	"house"	"west_euro_house07c"	"brick"	300	nil	nil	500
"west_euro_house08"	"house"	"west_euro_house08"	"brick"	300	nil	nil	500
"west_euro_house08a"	"house"	"west_euro_house08a"	"brick"	300	nil	nil	500
"west_euro_house08b"	"house"	"west_euro_house08b"	"brick"	300	nil	nil	500
"west_euro_hut01"	"house"	"west_euro_hut01"	"brick"	200	nil	nil	500
"west_euro_hut02"	"house"	"west_euro_hut02"	"brick"	150	nil	nil	500
"west_euro_hut03"	"house"	"west_euro_hut03"	"brick"	150	nil	nil	500
"west_euro_hut04"	"house"	"west_euro_hut04"	"brick"	150	nil	nil	500
"west_euro_hut05"	"house"	"west_euro_hut05"	"brick"	150	nil	nil	500
"west_euro_ruins"	"house"	"west_euro_ruins"	"stone"	150	nil	nil	500
"west_euro_rural01"	"house"	"west_euro_rural01"	"wood"	150	nil	nil	500
"west_euro_rural02"	"house"	"west_euro_rural02"	"brick"	150	nil	nil	500
"west_euro_rural03"	"house"	"west_euro_rural03"	"stone"	100	nil	nil	500
"west_euro_stone_bridge"	"bridge"	"west_euro_stone_bridge"	"stone"	500	nil	nil	500
"star_fort_armoury_v2"	"armoury"	"star_fort_armoury_v2"	"stone"	800	nil	nil	500
"american_bridge_basic_3middle_wide"	"bridge"	"american_bridge_basic_3middle_wide"	"wood"	150	nil	nil	500
"reeds_2"	"boulder"	"reeds_2"	"stone"	15	nil	nil	500
"indian_large_fort_armoury02"	"armoury"	"indian_large_fort_armoury02"	"stone"	600	nil	nil	500
"northern_africa_building04"	"house"	"northern_africa_building04"	"stone"	100	nil	nil	500
"american_townhall"	"townhall"	"american_townhall"	"wood"	600	nil	nil	500
"habitable_building_a"	"house"	"habitable_building_a"	"stone"	15	nil	nil	500
"indian_large_fort_hq"	"house"	"indian_large_fort_hq"	"stone"	150	nil	nil	500
"western_fort_command_hq"	"house"	"western_fort_command_hq"	"stone"	150	nil	nil	500
"southern_europe_building01"	"house"	"southern_europe_building01"	"stone"	100	nil	nil	500
"ottoman_large_fort_command_hq"	"command_HQ"	"ottoman_large_fort_command_hq"	"stone"	800	nil	nil	500
"st_basil"	"house"	"st_basil"	"stone"	900	nil	nil	500
"habitable_building_b"	"house"	"habitable_building_b"	"stone"	15	nil	nil	500
"nsc_cannon_balls"	"incidental"	"nsc_cannon_balls"	"stone"	1700	nil	nil	500
"american_bridge_basic_1middle_wide"	"bridge"	"american_bridge_basic_1middle_wide"	"wood"	150	nil	nil	500
"eastern_europe_building10"	"house"	"eastern_europe_building10"	"stone"	100	nil	nil	500
"ottoman_fort_armoury"	"armoury"	"ottoman_fort_armoury"	"stone"	600	nil	nil	500
"habitable_building_c"	"house"	"habitable_building_c"	"stone"	15	nil	nil	500
"napoleon_filler_building01"	"house"	"napoleon_filler_building01"	"stone"	300	nil	nil	500
"nsc_scorched_supply_cart_with_dead_british"	"incidental"	"nsc_scorched_supply_cart_with_dead_british"	"stone"	1700	nil	nil	500
"southern_europe_building02"	"house"	"southern_europe_building02"	"stone"	100	nil	nil	500
"napoleon_filler_building02"	"house"	"napoleon_filler_building02"	"stone"	300	nil	nil	500
"nsc_dead_british01"	"incidental"	"nsc_dead_british01"	"stone"	1700	nil	nil	500
"nsc_damaged_cannon_with_dead_austrian"	"incidental"	"nsc_damaged_cannon_with_dead_austrian"	"stone"	1700	nil	nil	500
"napoleon_filler_building03"	"house"	"napoleon_filler_building03"	"stone"	300	nil	nil	500
"west_euro_stone_bridge_1middle"	"bridge"	"west_euro_stone_bridge_1middle"	"stone"	500	nil	nil	500
"european_warehouse01"	"warehouse"	"european_warehouse01"	"brick"	600	nil	nil	500
"nsc_frozen_horse"	"incidental"	"nsc_frozen_horse"	"stone"	1700	nil	nil	500
"ottoman_townhall"	"townhall"	"ottoman_townhall"	"stone"	600	nil	nil	500
"southern_europe_building03"	"house"	"southern_europe_building03"	"stone"	100	nil	nil	500
"napoleon_filler_building04"	"house"	"napoleon_filler_building04"	"stone"	300	nil	nil	500
"nwe_euro_ruins01"	"ruins"	"nwe_euro_ruins01"	"stone"	500	nil	nil	500
"napoleon_shed01"	"house"	"napoleon_shed01"	"wood"	5	nil	nil	500
"napoleon_filler_building05"	"house"	"napoleon_filler_building05"	"stone"	300	nil	nil	500
"indian_fort_armoury"	"armoury"	"indian_fort_armoury"	"stone"	600	nil	nil	500
"nsc_stone_field_wall_with_dead_french"	"incidental"	"nsc_stone_field_wall_with_dead_french"	"stone"	1700	nil	nil	500
"napoleon_filler_building06"	"house"	"napoleon_filler_building06"	"stone"	300	nil	nil	500
"napoleon_shed02"	"house"	"napoleon_shed02"	"wood"	5	nil	nil	500
"napoleon_filler_building07"	"house"	"napoleon_filler_building07"	"stone"	300	nil	nil	500
"west_euro_stone_bridge_2middle_wide"	"bridge"	"west_euro_stone_bridge_2middle_wide"	"stone"	500	nil	nil	500
"napoleon_shed03"	"house"	"napoleon_shed03"	"wood"	5	nil	nil	500
"napoleon_filler_building08"	"house"	"napoleon_filler_building08"	"stone"	300	nil	nil	500
"wharf"	"house"	"wharf"	"stone"	15	nil	nil	500
"nsc_cannon01"	"incidental"	"nsc_cannon01"	"stone"	1700	nil	nil	500
"nsc_wheels"	"incidental"	"nsc_wheels"	"stone"	1700	nil	nil	500
"napoleon_shed04"	"house"	"napoleon_shed04"	"wood"	5	nil	nil	500
"northern_africa_building01"	"house"	"northern_africa_building01"	"stone"	100	nil	nil	500
"american_bridge_basic_3middle"	"bridge"	"american_bridge_basic_3middle"	"wood"	150	nil	nil	500
"south_euro_farmhouse"	"house"	"south_euro_farmhouse"	"brick"	500	nil	nil	500
"napoleon_shed05"	"house"	"napoleon_shed05"	"wood"	5	nil	nil	500
"nsc_wooden_board"	"incidental"	"nsc_wooden_board"	"stone"	1700	nil	nil	500
"habitable_building_f"	"house"	"habitable_building_f"	"stone"	15	nil	nil	500
"nsc_dead_british02"	"incidental"	"nsc_dead_british02"	"stone"	1700	nil	nil	500
"american_bridge_basic_2middle"	"bridge"	"american_bridge_basic_2middle"	"wood"	150	nil	nil	500
"pyramids"	"ruins"	"pyramids"	"stone"	500	nil	nil	500
"ottoman_warehouse04"	"warehouse"	"ottoman_warehouse04"	"brick"	600	nil	nil	500
"nsc_cannon02"	"incidental"	"nsc_cannon02"	"stone"	1700	nil	nil	500
"nsc_applebarrels"	"incidental"	"nsc_applebarrels"	"stone"	1700	nil	nil	500
"nsc_stone_field_wall_with_dead_austrian"	"incidental"	"nsc_stone_field_wall_with_dead_austrian"	"stone"	1700	nil	nil	500
"indian_fort_barracks"	"barracks"	"indian_fort_barracks"	"stone"	300	nil	nil	500
"western_fort_armoury"	"armoury"	"western_fort_armoury"	"wood"	500	nil	nil	500
"northern_africa_building10"	"house"	"northern_africa_building10"	"stone"	100	nil	nil	500
"napoleon_shed06"	"house"	"napoleon_shed06"	"wood"	5	nil	nil	500
"habitable_building_g"	"house"	"habitable_building_g"	"stone"	15	nil	nil	500
"american_bridge_basic_2middle_wide"	"bridge"	"american_bridge_basic_2middle_wide"	"wood"	150	nil	nil	500
"nsc_dead_british03"	"incidental"	"nsc_dead_british03"	"stone"	1700	nil	nil	500
"napoleon_shed07"	"house"	"napoleon_shed07"	"wood"	5	nil	nil	500
"east_euro_farmhouse"	"house"	"east_euro_farmhouse"	"wood"	350	nil	nil	500
"west_euro_farmhouse"	"farmhouse"	"west_euro_farmhouse"	"brick"	300	nil	nil	500
"nsc_damaged_cannon_with_dead_british"	"incidental"	"nsc_damaged_cannon_with_dead_british"	"stone"	1700	nil	nil	500
"west_euro_stone_bridge_1middle_wide"	"bridge"	"west_euro_stone_bridge_1middle_wide"	"stone"	500	nil	nil	500
"ottoman_large_fort_armoury01"	"armoury"	"ottoman_large_fort_armoury01"	"stone"	600	nil	nil	500
"south_euro_house02b"	"house"	"south_euro_house02b"	"brick"	300	nil	nil	500
"nsc_dead_french01"	"incidental"	"nsc_dead_french01"	"stone"	1700	nil	nil	500
"european_warehouse02"	"warehouse"	"european_warehouse02"	"brick"	600	nil	nil	500
"napoleon_shed08"	"house"	"napoleon_shed08"	"wood"	5	nil	nil	500
"nsc_dead_french02"	"incidental"	"nsc_dead_french02"	"stone"	1700	nil	nil	500
"habitable_building_h"	"house"	"habitable_building_h"	"stone"	15	nil	nil	500
"nsc_frozen_soldier_french01"	"incidental"	"nsc_frozen_soldier_french01"	"stone"	1700	nil	nil	500
"star_fort_barracks_v2"	"armoury"	"star_fort_barracks_v2"	"stone"	800	nil	nil	500
"euro_stone_armoury01"	"armoury"	"euro_stone_armoury01"	"stone"	800	nil	nil	500
"eastern_europe_building02"	"house"	"eastern_europe_building02"	"stone"	100	nil	nil	500
"nsc_dead_french03"	"incidental"	"nsc_dead_french03"	"stone"	1700	nil	nil	500
"habitable_building_i"	"house"	"habitable_building_i"	"stone"	15	nil	nil	500
"ottoman_large_fort_armoury02"	"armoury"	"ottoman_large_fort_armoury02"	"stone"	600	nil	nil	500
"north_west_europe_building01"	"house"	"north_west_europe_building01"	"stone"	100	nil	nil	500
"pyramid_pieces"	"ruins"	"pyramid_pieces"	"stone"	500	nil	nil	500
"north_west_europe_building02"	"house"	"north_west_europe_building02"	"stone"	100	nil	nil	500
"napoleon_shed09"	"house"	"napoleon_shed09"	"wood"	5	nil	nil	500
"nsc_crate_of_muskets"	"incidental"	"nsc_crate_of_muskets"	"stone"	1700	nil	nil	500
"dead_tree_1"	"boulder"	"dead_tree_1"	"stone"	15	nil	nil	500
"northern_africa_building02"	"house"	"northern_africa_building02"	"stone"	100	nil	nil	500
"euro_stone_armoury02"	"armoury"	"euro_stone_armoury02"	"stone"	600	nil	nil	500
"nsc_damaged_cannon_with_dead_french"	"incidental"	"nsc_damaged_cannon_with_dead_french"	"stone"	1700	nil	nil	500
"eastern_europe_building06"	"house"	"eastern_europe_building06"	"stone"	100	nil	nil	500
"west_euro_townhall"	"townhall"	"west_euro_townhall"	"stone"	700	nil	nil	500
"dead_tree_2"	"boulder"	"dead_tree_2"	"stone"	15	nil	nil	500
"nsc_frozen_soldier_french02"	"incidental"	"nsc_frozen_soldier_french02"	"stone"	1700	nil	nil	500
"south_euro_townhall"	"townhall"	"south_euro_townhall"	"brick"	700	nil	nil	500
"northern_africa_building06"	"house"	"northern_africa_building06"	"stone"	100	nil	nil	500
"napoleon_shed10"	"house"	"napoleon_shed10"	"wood"	5	nil	nil	500
"dead_tree_3"	"boulder"	"dead_tree_3"	"stone"	15	nil	nil	500
"west_euro_farmhouse02"	"farmhouse"	"west_euro_farmhouse02"	"brick"	300	nil	nil	500
"north_west_europe_building06"	"house"	"north_west_europe_building06"	"stone"	100	nil	nil	500
"west_euro_stone_bridge_3middle_wide"	"bridge"	"west_euro_stone_bridge_3middle_wide"	"stone"	500	nil	nil	500
"nsc_frozen_soldier_french03"	"incidental"	"nsc_frozen_soldier_french03"	"stone"	1700	nil	nil	500
"east_euro_townhall"	"townhall"	"east_euro_townhall"	"brick"	600	nil	nil	500
"american_warehouse"	"warehouse"	"american_warehouse"	"wood"	500	nil	nil	500
"nsc_stack_of_trunks"	"incidental"	"nsc_stack_of_trunks"	"stone"	1700	nil	nil	500
"euro_stone_command_hq"	"command_HQ"	"euro_stone_command_hq"	"stone"	800	nil	nil	500
"nsc_scorched_supply_cart_with_dead_austrian"	"incidental"	"nsc_scorched_supply_cart_with_dead_austrian"	"stone"	1700	nil	nil	500
"european_warehouse03"	"warehouse"	"european_warehouse03"	"brick"	600	nil	nil	500
"dead_tree_4"	"boulder"	"dead_tree_4"	"stone"	15	nil	nil	500
"nsc_stone_field_wall_with_dead_british"	"incidental"	"nsc_stone_field_wall_with_dead_british"	"stone"	1700	nil	nil	500
"dead_tree_5"	"boulder"	"dead_tree_5"	"stone"	15	nil	nil	500
"west_euro_stone_bridge_2middle"	"bridge"	"west_euro_stone_bridge_2middle"	"stone"	500	nil	nil	500
"dead_tree_6"	"boulder"	"dead_tree_6"	"stone"	15	nil	nil	500
"european_warehouse04"	"warehouse"	"european_warehouse04"	"brick"	600	nil	nil	500
"nsc_crate"	"incidental"	"nsc_crate"	"stone"	1700	nil	nil	500
"dead_tree_7"	"boulder"	"dead_tree_7"	"stone"	15	nil	nil	500
"western_fort_armoury_v2"	"armoury"	"western_fort_armoury_v2"	"wood"	800	nil	nil	500
"west_euro_stone_bridge_3middle"	"bridge"	"west_euro_stone_bridge_3middle"	"stone"	500	nil	nil	500
"jamestown_townhall"	"townhall"	"jamestown_townhall"	"wood"	300	nil	nil	500
"western_fort_barracks"	"barracks"	"western_fort_barracks"	"wood"	800	nil	nil	500
"american_bridge_basic_1middle"	"bridge"	"american_bridge_basic_1middle"	"wood"	150	nil	nil	500
"euro_stone_barracks"	"barracks"	"euro_stone_barracks"	"stone"	700	nil	nil	500
"west_euro_farmhouse03"	"farmhouse"	"west_euro_farmhouse03"	"wood"	500	nil	nil	500
"nsc_scorched_supply_cart_with_dead_french"	"incidental"	"nsc_scorched_supply_cart_with_dead_french"	"stone"	1700	nil	nil	500
"nsc_sphinx"	"ruins"	"nsc_sphinx"	"stone"	500	nil	nil	500
"star_fort_command_hq"	"command_HQ"	"star_fort_command_hq"	"wood"	900	nil	nil	500
"ottoman_large_fort_barracks"	"barracks"	"ottoman_large_fort_barracks"	"stone"	800	nil	nil	500
"indian_large_fort_armoury01"	"armoury"	"indian_large_fort_armoury01"	"stone"	600	nil	nil	500
"waterloo_eastern_europe_building06"	"house"	"eastern_europe_building06"	"stone"	16000	nil	nil	500
"waterloo_north_west_europe_building01"	"house"	"north_west_europe_building01"	"stone"	16000	nil	nil	500
"waterloo_north_west_europe_building02"	"house"	"north_west_europe_building02"	"stone"	16000	nil	nil	500
"waterloo_north_west_europe_building06"	"house"	"north_west_europe_building06"	"stone"	16000	nil	nil	500
"nsc_dead_russian03"	"incidental"	"nsc_dead_russian03"	"stone"	1700	nil	nil	500
"nsc_dead_russian02"	"incidental"	"nsc_dead_russian02"	"stone"	1700	nil	nil	500
"nsc_dead_russian01"	"incidental"	"nsc_dead_russian01"	"stone"	1700	nil	nil	500
"nsc_damaged_cannon_with_dead_russian"	"incidental"	"nsc_damaged_cannon_with_dead_russian"	"stone"	1700	nil	nil	500
"nsc_scorched_supply_cart_with_dead_prussian"	"incidental"	"nsc_scorched_supply_cart_with_dead_prussian"	"stone"	1700	nil	nil	500
"nsc_scorched_supply_cart_with_dead_russian"	"incidental"	"nsc_scorched_supply_cart_with_dead_russian"	"stone"	1700	nil	nil	500
"nsc_damaged_cannon_with_dead_prussian"	"incidental"	"nsc_damaged_cannon_with_dead_prussian"	"stone"	1700	nil	nil	500
"nsc_dead_prussian01"	"incidental"	"nsc_dead_prussian01"	"stone"	1700	nil	nil	500
"nsc_dead_prussian02"	"incidental"	"nsc_dead_prussian02"	"stone"	1700	nil	nil	500
"nsc_dead_prussian03"	"incidental"	"nsc_dead_prussian03"	"stone"	1700	nil	nil	500
