version 1, schema uniform_to_faction_colours_tables
unknown1(string)	unknown2(string)	unknown3(int)	unknown4(int)	unknown5(int)	unknown6(int)	unknown7(int)	unknown8(int)	unknown9(int)	unknown10(int)	unknown11(int)
"French_Rep_Egy_Cav_Miss_Bedouin_Camel_Gunners"	"egy_french_republic"	54	54	54	170	0	0	255	255	255
"French_Rep_Egy_Cav_Miss_French_Dromedary_Cavalry"	"egy_french_republic"	49	66	122	170	0	0	255	255	255
"French_Rep_Egy_Gen_Early_Napoleon"	"egy_french_republic"	49	65	100	170	0	0	255	255	255
"French_Rep_Egy_Gen_Generals_Staff"	"egy_french_republic"	49	65	100	170	0	0	255	255	255
"French_Rep_Egy_Inf_Gren_French_Grenadiers"	"egy_french_republic"	49	65	100	170	0	0	255	255	255
"French_Rep_Egy_Inf_Light_French_Chasseurs"	"egy_french_republic"	49	66	122	170	0	0	49	66	122
"French_Rep_Egy_Inf_Line_French_Fusiliers"	"egy_french_republic"	49	65	100	170	0	0	255	255	255
"French_Rep_Egy_Inf_Line_Line_Infantry"	"egy_french_republic"	49	65	100	170	0	0	255	255	255
"French_Rep_Egy_Inf_Militia_Militia"	"egy_french_republic"	49	65	100	170	0	0	255	255	255
"French_Rep_Egy_Inf_Militia_Ottoman_Libyan_Bedouin"	"egy_french_republic"	255	255	255	170	0	0	255	255	255
"French_Rep_Egy_Inf_Militia_Ottoman_Palestinian_Auxiliaries"	"egy_french_republic"	49	65	100	255	255	255	255	255	255
"French_Rep_Egy_Inf_Mob_Armed_Citizenry"	"egy_french_republic"	153	114	51	255	255	255	255	255	255
"French_Rep_Ita_Art_Foot_French_12_lber"	"ita_french_republic"	49	65	100	170	0	0	49	65	100
"French_Rep_Ita_Art_Foot_French_6_In_Howitzer"	"ita_french_republic"	49	65	100	170	0	0	49	65	100
"French_Rep_Ita_Art_Foot_French_6_lber"	"ita_french_republic"	49	65	100	170	0	0	49	65	100
"French_Rep_Ita_Art_Foot_French_8_lber"	"ita_french_republic"	49	65	100	170	0	0	49	65	100
"French_Rep_Ita_Art_Horse_French_6_lber"	"ita_french_republic"	49	65	100	170	0	0	49	65	100
"French_Rep_Ita_Cav_Heavy_French_Dragoons"	"ita_french_republic"	39	70	37	191	22	22	255	255	255
"French_Rep_Ita_Cav_Light_French_Chasseurs_a_Cheval"	"ita_french_republic"	26	47	24	255	255	67	26	47	24
"French_Rep_Ita_Gen_Early_Napoleon"	"ita_french_republic"	49	65	100	170	0	0	255	255	255
"French_Rep_Ita_Gen_Generals_Staff"	"ita_french_republic"	49	65	100	170	0	0	255	255	255
"French_Rep_Ita_Inf_Gren_French_Grenadiers"	"ita_french_republic"	49	65	100	170	0	0	255	255	255
"French_Rep_Ita_Inf_Light_French_Chasseurs"	"ita_french_republic"	49	66	122	170	0	0	255	255	255
"French_Rep_Ita_Inf_Light_Lombardy-Cisalpine_Legion"	"ita_french_republic"	39	70	37	202	0	0	255	255	255
"French_Rep_Ita_Inf_Line_French_Fusiliers"	"ita_french_republic"	49	65	100	170	0	0	255	255	255
"French_Rep_Ita_Inf_Line_French_Milan_Revolutionary_Infantry"	"ita_french_republic"	39	70	37	170	0	0	255	255	255
"French_Rep_Ita_Inf_Line_French_Modena_Revolutionary_Infantry"	"ita_french_republic"	39	70	37	170	0	0	39	70	37
"French_Rep_Ita_Inf_Line_French_Revolutionary_Infantry"	"ita_french_republic"	49	65	100	170	0	0	255	255	255
"French_Rep_Ita_Inf_Militia_French_National_Guard"	"ita_french_republic"	49	65	100	170	0	0	255	255	255
"French_Rep_Ita_Inf_Militia_Militia"	"ita_french_republic"	49	65	100	170	0	0	170	0	0
"French_Rep_Ita_Inf_Mob_Armed_Citizenry"	"ita_french_republic"	182	22	22	170	0	0	255	255	255
"Genoa_Art_Foot_12_lber"	"ita_genoa"	56	87	116	191	28	22	56	87	116
"Genoa_Art_Foot_6_lber"	"ita_genoa"	56	87	116	191	28	22	56	87	116
"Genoa_Art_Foot_7_lber_Howitzer"	"ita_genoa"	56	87	116	191	28	22	56	87	116
"Genoa_Cav_Heavy_Dragoons"	"ita_genoa"	56	87	116	191	28	22	191	28	22
"Genoa_Gen_Generals_Staff"	"ita_genoa"	56	87	116	191	28	22	255	255	255
"Genoa_Inf_Gren_Grenadiers"	"ita_genoa"	255	255	255	56	87	116	56	87	116
"Genoa_Inf_Line_Line_Infantry"	"ita_genoa"	56	87	116	255	255	255	56	87	116
"Genoa_Inf_Militia_Militia"	"ita_genoa"	170	0	0	255	255	255	56	87	116
"Genoa_Inf_Mob_Armed_Citizenry"	"ita_genoa"	255	255	255	191	28	22	56	87	116
"Greece_Art_Foot_12_lber"	"greece"	49	66	122	54	54	54	49	66	122
"Greece_Art_Foot_6_lber"	"greece"	49	66	122	54	54	54	49	66	122
"Greece_Art_Foot_7_lber_Howitzer"	"greece"	49	66	122	54	54	54	49	66	122
"Greece_Art_Horse_6_lber"	"greece"	49	66	122	54	54	54	173	173	173
"Greece_Cav_Heavy_Dragoons"	"greece"	49	66	122	255	255	255	173	173	173
"Greece_Cav_Light_Hussars"	"greece"	49	66	122	37	63	122	173	173	173
"Greece_Gen_Generals_Staff"	"greece"	49	66	122	255	255	255	173	173	173
"Greece_Inf_Light_Light_Infantry"	"greece"	49	66	122	255	255	255	143	144	152
"Greece_Inf_Militia_Militia"	"greece"	255	255	255	49	66	122	173	173	173
"Greece_Inf_Mob_Armed_Citizenry"	"greece"	191	28	22	49	66	122	255	255	255
"Hannover_Art_Foot_12_lber"	"hannover"	45	44	84	191	28	22	173	173	173
"Hannover_Art_Foot_6_lber"	"hannover"	45	44	84	191	28	22	173	173	173
"Hannover_Art_Foot_7_lber_Howitzer"	"hannover"	45	44	84	191	28	22	173	173	173
"Hannover_Art_Horse_6_lber"	"hannover"	45	44	84	191	28	22	173	173	173
"Hannover_Cav_Heavy_Dragoons"	"hannover"	191	28	22	63	85	53	173	173	173
"Hannover_Cav_Heavy_Life_Guards_of_Horse"	"hannover"	45	44	84	191	28	22	173	173	173
"Hannover_Cav_Heavy_Republican_Horse_Guards"	"hannover"	63	85	53	191	28	22	173	173	173
"Hannover_Cav_Light_Hussars"	"hannover"	63	85	53	191	28	22	173	173	173
"Hannover_Gen_Generals_Staff"	"hannover"	191	28	22	45	44	84	173	173	173
"Hannover_Inf_Light_Light_Infantry"	"hannover"	42	59	42	63	85	53	173	173	173
"Hannover_Inf_Line_Line_Infantry"	"hannover"	191	28	22	45	44	84	37	63	122
"Hannover_Inf_Militia_Landwehr"	"hannover"	191	28	22	45	44	84	173	173	173
"Hannover_Inf_Mob_Armed_Citizenry"	"hannover"	63	85	53	191	28	22	173	173	173
"Hessen_Art_Foot_12_lber"	"hessen"	44	52	88	54	54	54	255	255	255
"Hessen_Art_Foot_6_lber"	"hessen"	44	52	88	54	54	54	255	255	255
"Hessen_Art_Foot_7_lber_Howitzer"	"hessen"	44	52	88	54	54	54	255	255	255
"Hessen_Art_Horse_6_lber"	"hessen"	44	52	88	54	54	54	255	255	255
"Hessen_Cav_Heavy_Carabiniers"	"hessen"	255	255	255	191	28	22	255	255	255
"Hessen_Cav_Heavy_Garde_du_Corp"	"hessen"	236	204	138	170	0	0	255	255	255
"Hessen_Cav_Heavy_Republican_Horse_Guards"	"hessen"	255	255	255	30	35	67	255	255	255
"Hessen_Cav_Light_Hussars"	"hessen"	255	234	0	76	125	189	255	234	0
"Hessen_Cav_Stand_Chevauxlegers"	"hessen"	42	59	42	54	54	54	255	255	255
"Hessen_Inf_Elite_Grenadier_Guards"	"hessen"	44	52	88	191	28	22	255	234	0
"Hessen_Inf_Gren_Grenadiers"	"hessen"	44	52	88	255	234	0	255	255	255
"Hessen_Inf_Light_Fusiliers"	"hessen"	63	85	53	127	43	22	255	255	255
"Hessen_Inf_Line_Musketeers"	"hessen"	44	52	88	76	125	189	255	255	255
"Hessen_Inf_Militia_Landwehr"	"hessen"	44	52	88	45	44	84	255	255	255
"Hessen_Inf_Mob_Armed_Citizenry"	"hessen"	170	0	0	191	28	22	255	255	255
"Hessen_Inf_Skirm_Jager"	"hessen"	42	59	42	54	54	54	255	255	255
"Hungary_Art_Foot_12_lber"	"hungary"	255	255	255	170	0	68	57	130	218
"Hungary_Art_Foot_6_lber"	"hungary"	255	255	255	170	0	68	57	130	218
"Hungary_Art_Foot_7_lber_Howitzer"	"hungary"	255	255	255	170	0	68	57	130	218
"Hungary_Art_Horse_6_lber"	"hungary"	255	255	255	170	0	68	57	130	218
"Hungary_Cav_Heavy_Dragoons"	"hungary"	170	39	35	57	130	218	173	173	173
"Hungary_Cav_Light_Hussars"	"hungary"	170	0	68	57	130	218	57	130	218
"Hungary_Inf_Gren_Grenadiers"	"hungary"	170	39	35	30	35	67	57	130	218
"Hungary_Inf_Line_Line_Infantry"	"hungary"	170	39	35	255	255	255	57	130	218
"Hungary_Inf_Militia_Militia"	"hungary"	57	130	218	255	234	0	57	130	218
"Hungary_Inf_Mob_Armed_Citizenry"	"hungary"	103	69	27	170	0	68	255	255	255
"Hungary_Inf_Skirm_Jager"	"hungary"	63	85	53	54	54	54	63	85	53
"Ireland_Art_Foot_12_lber"	"ireland"	16	85	18	255	243	64	173	173	173
"Ireland_Art_Foot_6_lber"	"ireland"	16	85	18	255	243	64	143	144	152
"Ireland_Art_Foot_7_lber_Howitzer"	"ireland"	16	85	18	255	243	64	173	173	173
"Ireland_Art_Horse_6_lber"	"ireland"	16	85	18	255	243	64	173	173	173
"Ireland_Cav_Heavy_Dragoons"	"ireland"	16	85	18	255	243	64	173	173	173
"Ireland_Cav_Light_Light_Dragoons"	"ireland"	255	243	64	16	85	18	173	173	173
"Ireland_Inf_Light_Light_Infantry"	"ireland"	16	85	18	16	85	18	173	173	173
"Ireland_Inf_Militia_Militia"	"ireland"	255	255	255	16	85	18	173	173	173
"Ireland_Inf_Mob_Armed_Citizenry"	"ireland"	103	81	46	255	243	64	255	255	255
"Italian_Rebels_Art_Foot_12_lber"	"italian_rebels"	43	90	43	170	0	0	255	255	255
"Italian_Rebels_Art_Foot_6_lber"	"italian_rebels"	43	90	43	170	0	0	255	255	255
"Italian_Rebels_Art_Foot_7_lber_Howitzer"	"italian_rebels"	43	90	43	170	0	0	255	255	255
"Italian_Rebels_Inf_Gren_Grenadiers"	"italian_rebels"	43	90	43	170	0	0	255	255	255
"Italian_Rebels_Inf_Line_Line_Infantry"	"italian_rebels"	43	90	43	170	0	0	255	255	255
"Italian_Rebels_Inf_Militia_Militia"	"italian_rebels"	43	90	43	170	0	0	43	90	43
"Italian_Rebels_Inf_Mob_Armed_Citizenry"	"italian_rebels"	255	255	255	170	0	0	255	255	255
"Italy_Art_Foot_12_lber"	"italy"	43	90	43	170	0	0	43	90	43
"Italy_Inf_Militia_Militia"	"italy"	43	90	43	170	0	0	255	255	255
"Italy_Inf_Mob_Armed_Citizenry"	"italy"	255	255	255	170	0	0	255	255	255
"Kingdom_Italy_Art_Foot_12_lber"	"italy_kingdom"	42	75	45	170	0	0	42	75	45
"Kingdom_Italy_Art_Foot_6_lber"	"italy_kingdom"	42	75	45	170	0	0	42	75	45
"Kingdom_Italy_Art_Foot_7_lber_Howitzer"	"italy_kingdom"	42	75	45	170	0	0	42	75	45
"Kingdom_Italy_Art_Foot_Italian_Guard_Foot_Artillery"	"italy_kingdom"	42	75	45	170	0	0	42	75	45
"Kingdom_Italy_Art_Horse_6_lber"	"italy_kingdom"	42	75	45	170	0	0	42	75	45
"Kingdom_Italy_Art_Horse_Italian_Guard_Horse_Artillery"	"italy_kingdom"	42	75	45	170	0	0	42	75	45
"Kingdom_Italy_Cav_Heavy_Dragoons"	"italy_kingdom"	42	75	45	170	0	0	255	255	255
"Kingdom_Italy_Cav_Heavy_Italian_Guards_of_Honour"	"italy_kingdom"	43	90	43	235	188	173	255	255	255
"Kingdom_Italy_Cav_Light_Italian_Chasseurs_a_Cheval"	"italy_kingdom"	42	75	45	170	0	0	42	75	45
"Kingdom_Italy_Gen_Generals_Staff"	"italy_kingdom"	42	75	45	170	0	0	255	255	255
"Kingdom_Italy_Inf_Elite_Italian_Velite_Grenadiers"	"italy_kingdom"	255	255	255	16	56	12	255	255	255
"Kingdom_Italy_Inf_Gren_Grenadiers"	"italy_kingdom"	255	255	255	170	0	0	255	255	255
"Kingdom_Italy_Inf_Light_Light_Infantry"	"italy_kingdom"	42	75	45	76	125	189	42	75	45
"Kingdom_Italy_Inf_Line_Line_Infantry"	"italy_kingdom"	255	255	255	170	0	0	255	255	255
"Kingdom_Italy_Inf_Militia_Militia"	"italy_kingdom"	42	75	45	170	0	0	255	255	255
"Kingdom_Italy_Inf_Mob_Armed_Citizenry"	"italy_kingdom"	170	0	0	45	44	84	255	255	255
"Lucca_Art_Foot_12_lber"	"ita_lucca"	170	0	0	54	54	54	255	255	255
"Lucca_Art_Foot_6_lber"	"ita_lucca"	170	0	0	54	54	54	255	255	255
"Lucca_Art_Foot_7_lber_Howitzer"	"ita_lucca"	170	0	0	54	54	54	255	255	255
"Lucca_Cav_Heavy_Dragoons"	"ita_lucca"	91	142	218	255	255	255	255	255	255
"Lucca_Gen_Generals_Staff"	"ita_lucca"	91	142	218	170	0	0	255	255	255
"Lucca_Inf_Gren_Grenadiers"	"ita_lucca"	91	142	218	170	0	0	255	255	255
"Lucca_Inf_Line_Line_Infantry"	"ita_lucca"	91	142	218	170	0	0	255	255	255
"Lucca_Inf_Militia_Militia"	"ita_lucca"	255	255	255	170	0	0	91	142	218
"Lucca_Inf_Mob_Armed_Citizenry"	"ita_lucca"	170	0	0	91	142	218	255	255	255
"Mamelukes_Art_Foot_Ottoman_9_lber"	"egy_mamelukes"	90	140	43	174	143	62	90	140	43
"Mamelukes_Cav_Light_Mamelukes"	"egy_mamelukes"	90	140	43	255	205	3	255	255	255
"Mamelukes_Gen_Generals_Bodyguard"	"egy_mamelukes"	191	28	22	45	44	84	255	255	255
"Mamelukes_Inf_Irreg_Ottoman_Azzars"	"egy_mamelukes"	27	44	100	63	85	53	255	255	255
"Mamelukes_Inf_Militia_Ottoman_Libyan_Bedouin"	"egy_mamelukes"	150	81	40	202	89	37	255	255	255
"Mamelukes_Inf_Militia_Ottoman_Palestinian_Auxiliaries"	"egy_mamelukes"	170	91	54	49	66	122	90	140	43
"Mamelukes_Inf_Militia_Ottoman_Peasant_Levy"	"egy_mamelukes"	63	85	53	255	255	255	255	255	255
"Mamelukes_Inf_Mob_Armed_Populace"	"egy_mamelukes"	170	122	56	170	134	62	255	255	255
"Mamelukes_Inf_Mob_Armed_Populace_Firelock"	"egy_mamelukes"	170	122	56	170	134	62	255	255	255
"Mecklenburg_Art_Foot_12_lber"	"mecklenburg"	37	63	122	54	54	54	255	255	255
"Mecklenburg_Art_Foot_6_lber"	"mecklenburg"	37	63	122	54	54	54	255	255	255
"Mecklenburg_Art_Foot_7_lber_Howitzer"	"mecklenburg"	37	63	122	54	54	54	255	255	255
"Mecklenburg_Art_Horse_6_lber"	"mecklenburg"	37	63	122	54	54	54	255	255	255
"Mecklenburg_Cav_Stand_Chevauxlegers"	"mecklenburg"	37	63	122	191	28	22	173	173	173
"Mecklenburg_Gen_Generals_Staff"	"mecklenburg"	37	63	122	191	28	22	255	255	255
"Mecklenburg_Inf_Line_Line_Infantry"	"mecklenburg"	37	63	122	191	28	22	255	255	255
"Mecklenburg_Inf_Militia_Militia"	"mecklenburg"	173	173	173	191	28	22	255	255	255
"Mecklenburg_Inf_Mob_Armed_Citizenry"	"mecklenburg"	103	69	27	191	28	22	255	255	255
"Mecklenburg_Inf_Skirm_Jager"	"mecklenburg"	63	85	53	54	54	54	63	85	53
"Milan_Art_Foot_12_lber"	"ita_milan"	43	113	45	170	0	0	255	255	255
"Milan_Art_Foot_6_lber"	"ita_milan"	43	113	45	170	0	0	255	255	255
"Milan_Art_Foot_7_lber_Howitzer"	"ita_milan"	43	113	45	170	0	0	255	255	255
"Milan_Cav_Heavy_Dragoons"	"ita_milan"	255	255	255	43	113	45	170	0	0
"Milan_Gen_Generals_Staff"	"ita_milan"	170	0	0	43	113	45	255	255	255
"Milan_Inf_Gren_Grenadiers"	"ita_milan"	255	255	255	43	113	45	255	241	38
"Milan_Inf_Line_Line_Infantry"	"ita_milan"	255	255	255	43	113	45	170	0	0
"Milan_Inf_Militia_Militia"	"ita_milan"	255	255	255	43	113	45	43	113	45
"Milan_Inf_Mob_Armed_Citizenry"	"ita_milan"	170	0	0	43	113	45	255	255	255
"Modena_Art_Foot_12_lber"	"ita_modena"	49	65	100	255	255	255	255	255	255
"Modena_Art_Foot_6_lber"	"ita_modena"	49	65	100	255	255	255	255	255	255
"Modena_Art_Foot_7_lber_Howitzer"	"ita_modena"	49	65	100	255	255	255	255	255	255
"Modena_Cav_Heavy_Dragoons"	"ita_modena"	255	255	255	49	65	100	255	255	255
"Modena_Gen_Generals_Staff"	"ita_modena"	49	65	100	255	255	255	255	255	255
"Modena_Inf_Gren_Grenadiers"	"ita_modena"	49	65	100	255	255	255	255	255	255
"Modena_Inf_Line_Line_Infantry"	"ita_modena"	49	65	100	170	0	0	255	255	255
"Modena_Inf_Militia_Militia"	"ita_modena"	255	255	255	49	65	100	255	255	255
"Modena_Inf_Mob_Armed_Citizenry"	"ita_modena"	170	0	0	49	65	100	255	255	255
"Naples_Art_Foot_12_lber"	"naples"	103	75	44	255	234	0	255	255	255
"Naples_Art_Foot_6_lber"	"naples"	103	75	44	255	234	0	255	255	255
"Naples_Art_Foot_7_lber_Howitzer"	"naples"	103	75	44	255	234	0	255	255	255
"Naples_Art_Horse_6_lber"	"naples"	103	75	44	76	125	189	255	255	255
"Naples_Cav_Heavy_Dragoons"	"naples"	76	125	189	45	44	84	255	233	123
"Naples_Cav_Light_Hussars"	"naples"	42	59	42	76	125	189	42	59	42
"Naples_Gen_Generals_Staff"	"naples"	45	44	84	170	0	0	255	255	255
"Naples_Inf_Gren_Grenadiers"	"naples"	42	59	42	54	54	54	255	255	255
"Naples_Inf_Light_Light_Infantry"	"naples"	113	152	189	42	59	42	113	152	189
"Naples_Inf_Line_Line_Infantry"	"naples"	42	59	42	191	28	22	255	255	255
"Naples_Inf_Militia_Militia"	"naples"	255	255	255	255	255	255	255	255	255
"Netherlands_Art_Foot_12_lber"	"netherlands"	45	44	84	170	0	0	255	255	255
"Netherlands_Art_Foot_6_lber"	"netherlands"	45	44	84	191	28	22	255	255	255
"Netherlands_Art_Foot_7_lber_Howitzer"	"netherlands"	45	44	84	170	0	0	255	255	255
"Netherlands_Art_Horse_6_lber"	"netherlands"	45	44	84	170	0	0	255	233	123
"Netherlands_Cav_Heavy_Dragoons"	"netherlands"	45	44	84	203	172	193	255	233	123
"Netherlands_Cav_Light_Light_Dragoons"	"netherlands"	255	255	255	54	54	54	173	173	173
"Netherlands_Gen_Generals_Staff"	"netherlands"	45	44	84	170	0	0	255	255	255
"Netherlands_Inf_Gren_Grenadiers"	"netherlands"	45	44	84	255	234	0	255	255	255
"Netherlands_Inf_Line_Line_Infantry"	"netherlands"	45	44	84	255	255	255	255	255	255
"Netherlands_Inf_Militia_Militia"	"netherlands"	255	255	255	45	44	84	255	255	255
"Netherlands_Inf_Mob_Armed_Citizenry"	"netherlands"	170	0	0	24	63	147	255	255	255
"Netherlands_Inf_Skirm_Jager"	"netherlands"	16	56	12	191	28	22	16	56	12
"Norway_Art_Foot_12_lber"	"norway"	49	66	122	212	34	34	255	255	255
"Norway_Art_Horse_6_lber"	"norway"	49	66	122	212	34	34	49	66	122
"Norway_Cav_Heavy_Dragoons"	"norway"	49	66	122	76	125	189	173	173	173
"Norway_Cav_Light_Light_Dragoons"	"norway"	49	66	122	54	54	54	173	173	173
"Norway_Gen_Generals_Staff"	"norway"	49	66	122	255	255	255	255	255	255
"Norway_Inf_Gren_Grenadiers"	"norway"	49	66	122	212	34	34	173	173	173
"Norway_Inf_Line_Line_Infantry"	"norway"	49	66	122	63	85	53	255	255	255
"Norway_Inf_Militia_Militia"	"norway"	173	173	173	212	34	34	173	173	173
"Norway_Inf_Mob_Armed_Citizenry"	"norway"	170	0	0	49	66	122	255	255	255
"Norway_Inf_Skirm_Jager"	"norway"	63	85	53	54	54	54	173	173	173
"Norway_Inf_Skirm_Norwegian_Ski_Troops"	"norway"	49	66	122	255	234	0	49	66	122
"Oldenburg_Art_Foot_12_lber"	"oldenburg"	44	52	88	54	54	54	162	162	162
"Oldenburg_Art_Foot_6_lber"	"oldenburg"	44	52	88	54	54	54	162	162	162
"Oldenburg_Art_Foot_7_lber_Howitzer"	"oldenburg"	44	52	88	54	54	54	162	162	162
"Oldenburg_Art_Horse_6_lber"	"oldenburg"	44	52	88	54	54	54	162	162	162
"Oldenburg_Inf_Militia_Landwehr"	"oldenburg"	44	52	88	255	255	255	162	162	162
"Oldenburg_Inf_Mob_Armed_Citizenry"	"oldenburg"	255	255	255	191	28	22	162	162	162
"Oldenburg_Inf_Skirm_Jager"	"oldenburg"	44	52	88	63	85	53	162	162	162
"Ottoman_Rebels_Art_Foot_12_lber"	"ottoman_rebels"	13	85	22	170	0	0	255	255	255
"Ottoman_Rebels_Art_Foot_Ottoman_9_lber"	"ottoman_rebels"	76	125	189	30	35	67	255	255	255
"Ottoman_Rebels_Cav_Light_Ottoman_Deli_Horsemen"	"ottoman_rebels"	255	195	42	255	255	255	54	54	54
"Ottoman_Rebels_Inf_Irreg_Ottoman_Azzars"	"ottoman_rebels"	170	0	0	170	0	0	45	44	84
"Ottoman_Rebels_Inf_Militia_Ottoman_Peasant_Levy"	"ottoman_rebels"	13	85	22	255	255	255	255	255	255
"Ottoman_Rebels_Inf_Mob_Armed_Populace"	"ottoman_rebels"	255	255	255	170	122	56	255	255	255
"Ottoman_Rebels_Inf_Mob_Armed_Populace_Firelock"	"ottoman_rebels"	255	255	255	170	122	56	255	255	255
"Ottomans_Art_Fix_Ottoman_Bombardment_Mortars"	"ottomans"	90	140	43	255	170	0	90	140	43
"Ottomans_Art_Foot_Ottoman_18_lber"	"ottomans"	90	140	43	255	170	0	90	140	43
"Ottomans_Art_Foot_Ottoman_9_lber"	"ottomans"	90	140	43	255	170	0	90	140	43
"Ottomans_Art_Foot_Ottoman_Howitzers"	"ottomans"	90	140	43	255	170	0	90	140	43
"Ottomans_Cav_Heavy_Ottoman_Silahtar_Guard"	"ottomans"	170	0	0	49	66	122	255	255	255
"Ottomans_Cav_Heavy_Ottoman_Siphai_Cavalry"	"ottomans"	128	172	213	191	28	22	49	66	122
"Ottomans_Cav_Light_French_Mamelukes"	"france"	76	125	189	170	0	0	170	0	0
"Ottomans_Cav_Light_Ottoman_Deli_Horsemen"	"ottomans"	90	140	43	115	158	86	49	65	100
"Ottomans_Cav_Miss_Ottoman_Shaturnal_Camel_Gunners"	"ottomans"	170	0	0	255	255	255	255	255	255
"Ottomans_Egy_Art_Fix_Ottoman_Bombardment_Mortars"	"egy_ottomans"	90	140	43	255	170	0	90	140	43
"Ottomans_Egy_Art_Foot_Ottoman_18_lber"	"egy_ottomans"	90	140	43	255	170	0	90	140	43
"Ottomans_Egy_Art_Foot_Ottoman_9_lber"	"egy_ottomans"	90	140	43	255	170	0	90	140	43
"Ottomans_Egy_Art_Foot_Ottoman_Howitzers"	"egy_ottomans"	90	140	43	255	170	0	90	140	43
"Ottomans_Egy_Cav_Heavy_Ottoman_Silahtar_Guard"	"egy_ottomans"	170	0	0	49	66	122	255	255	255
"Ottomans_Egy_Cav_Heavy_Ottoman_Siphai_Cavalry"	"egy_ottomans"	128	172	213	191	28	22	49	66	122
"Ottomans_Egy_Cav_Light_Mamelukes"	"egy_ottomans"	90	140	43	255	205	3	255	255	255
"Ottomans_Egy_Cav_Light_Ottoman_Bedouin_Camel_Warriors"	"egy_ottomans"	255	255	255	191	28	22	255	255	255
"Ottomans_Egy_Cav_Light_Ottoman_Deli_Horsemen"	"egy_ottomans"	90	140	43	115	158	86	49	65	100
"Ottomans_Egy_Cav_Miss_Ottoman_Bedouin_Camel_Gunners"	"egy_ottomans"	54	54	54	191	28	22	255	255	255
"Ottomans_Egy_Cav_Miss_Ottoman_Shaturnal_Camel_Gunners"	"egy_ottomans"	170	0	0	255	255	255	255	255	255
"Ottomans_Egy_Gen_Generals_Bodyguard"	"egy_ottomans"	170	0	0	30	35	67	255	255	255
"Ottomans_Egy_Gen_Murad_Bey"	"egy_ottomans"	191	28	22	66	107	49	170	0	0
"Ottomans_Egy_Inf_Gren_Ottoman_Beylik_Janissary_Grenadiers"	"egy_ottomans"	191	28	22	135	0	0	255	255	255
"Ottomans_Egy_Inf_Irreg_Ottoman_Azzars"	"egy_ottomans"	63	85	53	0	85	0	255	255	255
"Ottomans_Egy_Inf_Irreg_Ottoman_Bashi_Bazouks"	"egy_ottomans"	76	125	189	27	44	100	191	28	22
"Ottomans_Egy_Inf_Light_Egy_Ottoman_Nizam_I_Cedit_Light_Infantry"	"egy_ottomans"	191	28	22	0	85	0	49	66	122
"Ottomans_Egy_Inf_Line_Egy_Ottoman_Nizam_I_Cedit_Infantry"	"egy_ottomans"	191	28	22	170	0	0	49	66	122
"Ottomans_Egy_Inf_Line_Ottoman_Beylik_Janissary_Musketeers"	"egy_ottomans"	63	102	52	255	255	255	255	255	255
"Ottomans_Egy_Inf_Line_Provincial_Egy_Ottoman_Nizam_I_Cedit"	"egy_ottomans"	49	66	122	191	28	22	49	66	122
"Ottomans_Egy_Inf_Melee_Ottoman_Cemaat_Janissaries"	"egy_ottomans"	170	0	0	170	0	0	45	44	84
"Ottomans_Egy_Inf_Militia_Ottoman_Libyan_Bedouin"	"egy_ottomans"	255	255	255	213	145	8	255	255	255
"Ottomans_Egy_Inf_Militia_Ottoman_Palestinian_Auxiliaries"	"egy_ottomans"	168	80	3	76	125	189	27	44	100
"Ottomans_Egy_Inf_Militia_Ottoman_Peasant_Levy"	"egy_ottomans"	42	59	42	255	255	255	255	255	255
"Ottomans_Egy_Inf_Mob_Armed_Populace"	"egy_ottomans"	170	122	56	255	255	255	255	255	255
"Ottomans_Egy_Inf_Mob_Armed_Populace_Firelock"	"egy_ottomans"	170	122	56	255	255	255	255	255	255
"Ottomans_Egy_Mounted_Inf_Egy_Ottoman_Mounted_Nizam_I_Cedit"	"egy_ottomans"	49	66	122	191	28	22	49	66	122
"Ottomans_Gen_Ahmed_Al-Jazzar"	"ottomans"	45	44	84	49	65	100	255	255	255
"Ottomans_Gen_Generals_Bodyguard"	"ottomans"	170	0	0	30	35	67	255	255	255
"Ottomans_Gen_Ibrahim_Basha"	"ottomans"	170	0	0	0	85	0	45	44	84
"Ottomans_Gen_Mehmed_Ali"	"ottomans"	170	0	0	170	0	0	255	255	255
"Ottomans_Gen_Murad_Bey"	"ottomans"	191	28	22	66	107	49	170	0	0
"Ottomans_Inf_Gren_Ottoman_Beylik_Janissary_Grenadiers"	"ottomans"	191	28	22	135	0	0	255	255	255
"Ottomans_Inf_Irreg_Ottoman_Azzars"	"ottomans"	63	85	53	0	85	0	255	255	255
"Ottomans_Inf_Irreg_Ottoman_Bashi_Bazouks"	"ottomans"	76	125	189	27	44	100	191	28	22
"Ottomans_Inf_Light_Ottoman_Nizam_I_Cedit_Light_Infantry"	"ottomans"	191	28	22	0	85	0	49	66	122
"Ottomans_Inf_Line_Ottoman_Beylik_Janissary_Musketeers"	"ottomans"	63	102	52	255	255	255	255	255	255
"Ottomans_Inf_Line_Ottoman_Nizam_I_Cedit_Infantry"	"ottomans"	191	28	22	170	0	0	49	66	122
"Ottomans_Inf_Line_Provincial_Ottoman_Nizam_I_Cedit"	"ottomans"	49	66	122	191	28	22	49	66	122
"Ottomans_Inf_Melee_Ottoman_Cemaat_Janissaries"	"ottomans"	170	0	0	170	0	0	45	44	84
