version 3, schema unit_stats_naval_tables
Unit_IDRef(string)	Morale(int)	Hull_Strength(int)	Crew_Size(int)	Admiral_Variant(optstring)	Cannon_Type_1(optstring)	Cannon_Type_2(optstring)	Cannon_Type_3(optstring)	Cannon_Type_4(optstring)	Cannon_Type_5(optstring)	Cannon_Type_6(optstring)	Cannon_Type_7(optstring)	Ship(string)	Admiral(string)	Cpt(optstring)	Lt(optstring)	Bosun(optstring)	Marines(int)	Seamen(int)	Gun_Crewmen(int)	Accuracy(int)	Reloading_Skill(int)	Technology(string)	unknown4(float)	unknown5(float)	unknown6(float)	unknown7(int)	unknown8(float)	unknown9(int)	unknown10(int)	unknown11(int)	General_Speed(int)	Turning_x0020_Speed_x003F_(float)	unknown13(float)	unknown14(float)	unknown15(int)	unknown16(int)	unknown17(int)	_x0023_0_x0020_degree_x0020_speed_coefficient(float)	_x0023_10-15_x0020_degree_x0020_speed_coefficient(float)	_x0023_25-30_x0020_degree_x0020_speed_coefficient(float)	_x0023_40-45_x0020_degree_x0020_speed_coefficient(float)	_x0023_50-55_x0020_degree_x0020_speed_coefficient(float)	_x0023_70-75_x0020_degree_x0020_speed_coefficient(float)	_x0023_90-95_x0020_degree_x0020_speed_coefficient(float)	_x0023_100-105_x0020_degree_x0020_speed_coefficient(float)	_x0023_120-125_x0020_degree_x0020_speed_coefficient(float)	_x0023_130-135_x0020_degree_x0020_speed_coefficient(float)	_x0023_140-145_x0020_degree_x0020_speed_coefficient(float)	_x0023_165-180_x0020_degree_x0020_speed_coefficient(float)	bound_x0020_by_waves(float)	pitch_x0020_by_waves(float)	Turn_rate_x0020_max_speed(float)	Turn_rate_x0020_2-3_speed(float)	Turn_rate_x0020_1-3_speed(float)	Turn_rate_x0020_4-15_speed(float)	Turn_rate_x0020_1-5_speed(float)	Turn_rate_x0020_2-15_speed(float)	Turn_rate_x0020_1-15_speed(float)	Turn_rate_x0020_0_speed(float)	unknown40(boolean)	unknown41(int)	unknown42(int)	unknown43(float)	unknown44(int)	unknown45(int)	unknown46(float)	unknown47(int)	unknown48(int)	unknown49(float)	unknown50(int)	unknown51(int)	unknown52(float)	unknown53(int)	unknown54(int)	unknown55(float)	unknown56(int)	unknown57(int)	unknown58(float)	unknown59(int)	unknown60(int)	unknown61(float)	unknown62(int)	unknown63(int)	unknown64(float)	unknown65(int)	unknown66(int)	unknown67(float)	unknown68(int)	unknown69(int)	unknown70(float)	unknown71(int)	unknown72(int)	unknown73(float)	unknown74(int)	unknown75(int)	unknown76(float)	unknown77(int)	unknown78(int)	unknown79(float)	unknown80(int)	unknown81(int)	unknown82(float)	unknown83(int)	unknown84(int)	unknown85(float)	unknown86(int)	unknown87(int)	unknown88(float)	unknown89(int)	unknown90(int)	unknown91(float)	unknown92(int)	unknown93(int)	unknown94(float)	unknown95(boolean)	unknown96(boolean)	Can_Trade(boolean)	Manoeuverability(string)	Hull_Strength_Shown(int)	unknown97(string)
"2_Decker_Scandinavian_80"	10	14	160	"3rd_rate_admiral"	"naval_9_pounder"	"naval_9_pounder"	nil	"naval_12_pounder"	"naval_24_pounder"	"naval_32_pounder"	nil	"2deck80"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	32	32	45	40	15	"matchlock"	3.5	0.1	0.8	2700	1	95	75	8	16	0.9	21	0.8	138	25	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	2.260124921798706	4.685625076293945	5.7475	6.943124771118164	6.281875133514404	5.1425	3.8115	1.3	true	3	161	0.8	3	243	0.8	4	341	0.95	3	189	0.8	4	341	0.95	1	13	0.1	4	341	0.95	3	165	0.8	3	165	0.8	3	165	0.8	1	190	0	1	237	0	1	296	0	1	161	0	3	165	0.8	1	161	0	1	161	0	1	42	0.95	false	false	false	"Low"	1970	"sail"
"2_Decker_Spanish_64"	10	10	120	"3rd_rate_admiral"	"naval_6_pounder"	"naval_6_pounder"	nil	"naval_6_pounder"	"naval_18_pounder"	"naval_24_pounder"	nil	"2deck64"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	26	28	124	40	15	"matchlock"	3	0.1	0.9	2150	1.1	90	70	9	16	1.1	20	0.9	140	25	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	2.53575	4.96125	6.05	7.27375	6.6125	5.445	4.114	1.4	true	3	102	0.8	3	171	0.8	3	297	0.95	3	133	0.8	3	297	0.95	1	10	0.1	3	297	0.95	3	155	0.8	3	155	0.8	3	155	0.8	1	170	0	1	212	0	1	265	0	1	144	0	3	155	0.8	1	144	0	1	144	0	1	42	0.95	false	false	false	"Low"	1380	"sail"
"2_Decker_Spanish_74"	10	14	160	"3rd_rate_admiral"	"naval_6_pounder"	"naval_6_pounder"	"naval_9_pounder"	"naval_9_pounder"	"naval_18_pounder"	"naval_32_pounder"	nil	"2deck74"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	30	30	144	40	15	"matchlock"	3.5	0.1	0.8	2580	1	95	75	8	16	0.9	21	0.8	138	25	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	2.260124921798706	4.685625076293945	5.7475	6.943124771118164	6.281875133514404	5.1425	3.8115	1.3	true	3	127	0.8	3	198	0.8	4	330	0.95	3	154	0.8	4	330	0.95	1	12	0.1	4	330	0.95	3	160	0.8	3	160	0.8	3	160	0.8	1	180	0	1	225	0	1	281	0	1	153	0	3	160	0.8	1	153	0	1	153	0	1	42	0.95	false	false	false	"Low"	1830	"sail"
"2_Decker_Spanish_80"	10	14	160	"3rd_rate_admiral"	"naval_9_pounder"	"naval_9_pounder"	nil	"naval_12_pounder"	"naval_24_pounder"	"naval_32_pounder"	nil	"2deck80"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	32	32	156	40	15	"matchlock"	3.5	0.1	0.8	2700	1	95	75	8	16	0.9	21	0.8	138	25	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	2.260124921798706	4.685625076293945	5.7475	6.943124771118164	6.281875133514404	5.1425	3.8115	1.3	true	3	161	0.8	3	243	0.8	4	341	0.95	3	189	0.8	4	341	0.95	1	13	0.1	4	341	0.95	3	165	0.8	3	165	0.8	3	165	0.8	1	190	0	1	237	0	1	296	0	1	161	0	3	165	0.8	1	161	0	1	161	0	1	42	0.95	false	false	false	"Low"	1970	"sail"
"2_Decker_Tutorial_74"	10	14	160	"3rd_rate_admiral"	"naval_6_pounder"	"naval_6_pounder"	"naval_9_pounder"	"naval_9_pounder"	"naval_18_pounder"	"naval_32_pounder"	nil	"2deck74"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	30	30	144	40	15	"matchlock"	3.5	0.1	0.8	2580	1	95	75	8	16	0.9	21	0.8	138	25	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	2.260124921798706	4.685625076293945	5.7475	6.943124771118164	6.281875133514404	5.1425	3.8115	1.3	true	3	255	0.8	3	396	0.8	4	660	0.95	3	308	0.8	4	660	0.95	1	24	0.1	4	660	0.95	3	160	0.8	3	160	0.8	3	160	0.8	1	180	0	1	225	0	1	281	0	1	153	0	3	160	0.8	1	153	0	1	153	0	1	84	0.95	false	false	false	"Low"	3400	"sail"
"3_Decker_106"	11	20	220	"1st_rate_admiral"	"naval_6_pounder"	"naval_6_pounder"	nil	"naval_12_pounder"	"naval_12_pounder"	"naval_24_pounder"	"naval_32_pounder"	"3deck100"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	50	50	204	30	10	"matchlock"	4.5	0.1	0.8	3210	0.8	100	80	7	13	0.7	23	0.6	130	25	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	1.7088749408721924	4.134375095367432	5.1425	6.281875133514404	5.620625019073486	4.5375	3.2065	1.15	true	3	221	0.8	3	360	0.8	5	605	0.95	3	280	0.8	5	605	0.95	1	18	0.1	5	605	0.95	3	170	0.8	3	170	0.8	3	170	0.8	1	195	0	1	243	0	1	303	0	1	165	0	3	170	0.8	1	165	0	1	165	0	1	42	0.95	false	false	false	"Low"	3650	"sail"
"3_Decker_86"	10	17	190	"1st_rate_admiral"	"naval_6_pounder"	nil	nil	"naval_6_pounder"	"naval_12_pounder"	"naval_18_pounder"	"naval_32_pounder"	"3deck80"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	46	46	168	30	10	"matchlock"	4.5	0.1	0.8	2715	0.9	100	80	8	13	0.8	22	0.7	135	25	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	1.9845	4.41	5.445	6.6125	5.95125	4.84	3.509	1.2	true	3	199	0.8	3	333	0.8	5	572	0.95	3	259	0.8	5	572	0.95	1	16	0.1	5	572	0.95	3	165	0.8	3	165	0.8	3	165	0.8	1	190	0	1	237	0	1	296	0	1	161	0	3	165	0.8	1	161	0	1	161	0	1	42	0.95	false	false	false	"Low"	3320	"sail"
"3_Decker_British_1st_Rate"	13	20	220	"1st_rate_admiral"	"naval_6_pounder"	"naval_6_pounder"	nil	"naval_12_pounder"	"naval_12_pounder"	"naval_24_pounder"	"naval_32_pounder"	"3deck100"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	50	50	204	30	20	"matchlock"	4.5	0.1	0.8	3210	0.8	100	80	7	13	0.7	23	0.6	130	25	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	1.7088749408721924	4.134375095367432	5.1425	6.281875133514404	5.620625019073486	4.5375	3.2065	1.15	true	3	232	0.8	3	378	0.8	5	635	0.95	3	294	0.8	5	635	0.95	1	18	0.1	5	635	0.95	3	170	0.8	3	170	0.8	3	170	0.8	1	195	0	1	243	0	1	303	0	1	165	0	3	170	0.8	1	165	0	1	165	0	1	44	0.95	false	false	false	"Low"	3820	"sail"
"3_Decker_British_2nd_Rate"	12	17	190	"1st_rate_admiral"	"naval_6_pounder"	"naval_6_pounder"	nil	"naval_9_pounder"	"naval_12_pounder"	"naval_18_pounder"	"naval_32_pounder"	"3deck98"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	46	46	188	30	20	"matchlock"	4.5	0.1	0.8	2890	0.9	100	80	8	13	0.8	22	0.7	135	25	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	1.9845	4.41	5.445	6.6125	5.95125	4.84	3.509	1.2	true	3	209	0.8	3	349	0.8	5	600	0.95	3	271	0.8	5	600	0.95	1	17	0.1	5	600	0.95	3	165	0.8	3	165	0.8	3	165	0.8	1	190	0	1	237	0	1	296	0	1	161	0	3	165	0.8	1	161	0	1	161	0	1	44	0.95	false	false	false	"Low"	3470	"sail"
"3_Decker_British_Heavy_1st_Rate"	14	15	250	"over_1st_rate"	"naval_9_pounder"	"naval_9_pounder"	nil	"naval_12_pounder"	"naval_18_pounder"	"naval_24_pounder"	"naval_32_pounder"	"4deck120"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	54	54	236	20	15	"matchlock"	6.5	0.1	0.8	3915	0.7	105	85	7	12	0.6	24	0.5	135	30	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	1.43325	3.85875	4.84	5.95125	5.29	4.235	2.904	1.1	true	3	267	0.8	3	415	0.8	5	693	0.95	3	323	0.8	5	693	0.95	1	20	0.1	5	693	0.95	3	180	0.8	3	180	0.8	3	180	0.8	1	215	0	1	268	0	1	335	0	1	182	0	3	180	0.8	1	182	0	1	182	0	1	44	0.95	false	false	false	"Low"	4190	"sail"
"3_Decker_French_122"	12	15	250	"over_1st_rate"	"naval_9_pounder"	"naval_9_pounder"	nil	"naval_12_pounder"	"naval_18_pounder"	"naval_24_pounder"	"naval_32_pounder"	"4deck120"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	54	54	236	30	5	"matchlock"	6.5	0.1	0.8	3915	0.7	105	85	7	13	0.8	24	0.5	135	30	130	0.8925	0.945	0.9975	0.945	0.8925	0.84	0.7875	0.735	0.6825	0.6195	0.504	0.399	0.17	0.12	1.5049124956130981	4.051687717437744	5.082	6.248812675476074	5.5545	4.44675	3.0492	1.155	true	3	255	0.8	3	396	0.8	5	660	0.95	3	308	0.8	5	660	0.95	1	19	0.1	5	660	0.95	3	180	0.8	3	180	0.8	3	180	0.8	1	215	0	1	268	0	1	335	0	1	182	0	3	180	0.8	1	182	0	1	182	0	1	42	0.95	false	false	false	"Low"	4000	"sail"
"3_Decker_Spanish_106"	11	20	220	"1st_rate_admiral"	"naval_6_pounder"	"naval_6_pounder"	nil	"naval_12_pounder"	"naval_12_pounder"	"naval_24_pounder"	"naval_32_pounder"	"3deck100"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	50	50	204	30	10	"matchlock"	4.5	0.1	0.8	3210	0.8	100	80	7	13	0.7	23	0.6	130	25	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	1.7088749408721924	4.134375095367432	5.1425	6.281875133514404	5.620625019073486	4.5375	3.2065	1.15	true	3	221	0.8	3	360	0.8	5	605	0.95	3	280	0.8	5	605	0.95	1	18	0.1	5	605	0.95	3	170	0.8	3	170	0.8	3	170	0.8	1	195	0	1	243	0	1	303	0	1	165	0	3	170	0.8	1	165	0	1	165	0	1	42	0.95	false	false	false	"Low"	3650	"sail"
"3_Decker_Spanish_122"	12	15	250	"over_1st_rate"	"naval_9_pounder"	"naval_9_pounder"	nil	"naval_12_pounder"	"naval_18_pounder"	"naval_24_pounder"	"naval_32_pounder"	"4deck120"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	54	54	236	20	5	"matchlock"	6.5	0.1	0.8	3915	0.7	105	85	7	12	0.6	24	0.5	135	30	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	1.43325	3.85875	4.84	5.95125	5.29	4.235	2.904	1.1	true	3	255	0.8	3	396	0.8	5	660	0.95	3	308	0.8	5	660	0.95	1	19	0.1	5	660	0.95	3	180	0.8	3	180	0.8	3	180	0.8	1	215	0	1	268	0	1	335	0	1	182	0	3	180	0.8	1	182	0	1	182	0	1	42	0.95	false	false	false	"Low"	4000	"sail"
"4_Decker_Spanish_Santissima_Trinidad"	12	15	250	"over_1st_rate"	"naval_12_pounder"	"naval_12_pounder"	nil	"naval_12_pounder"	"naval_18_pounder"	"naval_24_pounder"	"naval_32_pounder"	"4deck140"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	60	60	272	15	5	"matchlock"	6.5	0.1	0.8	4200	0.7	105	85	7	11	0.5	24	0.5	135	30	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	1.21275	3.583125114440918	4.5375	5.620625019073486	4.959374904632568	3.9325	2.662	1	true	3	297	0.8	3	450	0.8	5	715	0.95	3	350	0.8	5	715	0.95	1	14	0.1	5	715	0.95	3	190	0.8	3	190	0.8	3	190	0.8	1	230	0	1	287	0	1	358	0	1	195	0	3	190	0.8	1	195	0	1	195	0	1	42	0.95	false	true	false	"Low"	4380	"sail"
"Frigate_24"	9	8	90	"5th_rate_admiral"	nil	nil	nil	nil	"naval_9_pounder_lr"	nil	nil	"1deck24"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	14	14	48	60	40	"matchlock"	2.5	0.1	1.1	765	1.3	80	65	10	20	1.7	15	1.1	144	27	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	3.63825	6.06375	7.26	8.59625	7.935	6.655	5.324	1.8	true	2	50	0.8	2	67	0.8	2	123	0.95	2	67	0.8	2	123	0.95	0	4	0.1	2	123	0.95	2	120	0.8	2	120	0.8	2	120	0.8	1	110	0	1	137	0	1	171	0	1	93	0	2	120	0.8	1	93	0	1	93	0	1	24	0.95	false	false	false	"Medium"	430	"sail"
"Frigate_32"	9	9	100	"5th_rate_admiral"	nil	nil	nil	"naval_12_pounder_lr"	nil	nil	"naval_6_pounder_lr"	"1deck32"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	16	16	64	60	40	"matchlock"	2.5	0.1	1.1	1185	1.3	85	70	9	20	1.7	15	1	142	26	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	3.63825	6.06375	7.26	8.59625	7.935	6.655	5.324	1.75	true	2	55	0.8	2	85	0.8	2	145	0.95	2	66	0.8	2	145	0.95	0	5	0.1	2	145	0.95	2	130	0.8	2	130	0.8	2	130	0.8	1	120	0	1	150	0	1	187	0	1	102	0	2	130	0.8	1	102	0	1	102	0	1	24	0.95	false	false	false	"Medium"	510	"sail"
"Small_Russian_Sloop"	8	3	50	"5th_rate_admiral"	nil	nil	"naval_6_pounder_lr"	"naval_9_pounder_lr"	nil	nil	nil	"sloop"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	12	14	36	70	60	"matchlock"	1	0.1	1.2	375	1.4	50	40	13	26	2.1	12	2	155	30	130	0.7	0.8	0.9	0.95	0.95	0.9	0.85	0.8	0.72	0.59	0.48	0.38	0.17	0.12	6.615	8.82	10.89	12.56375	11.9025	10.285	8.7725	1.9	false	1	34	0.8	1	54	0.8	1	88	0.95	1	42	0.8	1	88	0.95	0	3	0.1	1	88	0.95	1	120	0.8	1	120	0.8	1	120	0.8	1	120	0	1	150	0	1	187	0	1	102	0	1	120	0.8	1	102	0	1	102	0	2	7	0.95	false	false	false	"High"	170	"sail"
"Small_Scandinavian_Brig"	8	7	70	"5th_rate_admiral"	nil	"naval_6_pounder_lr"	nil	"naval_6_pounder_lr"	nil	nil	nil	"brig"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	14	14	50	70	60	"matchlock"	1.5	0.1	1.2	450	1.4	65	50	11	25	1.9	12	1.2	148	29	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.67	0.59	0.59	0.48	0.38	0.17	0.12	5.9535	8.82	10.285	11.9025	11.50575	9.196	7.865	1.8	true	1	42	0.8	1	58	0.8	1	99	0.95	1	45	0.8	1	99	0.95	0	3	0.1	1	99	0.95	1	120	0.8	1	120	0.8	1	120	0.8	1	120	0	1	150	0	1	187	0	1	102	0	1	120	0.8	1	102	0	1	102	0	2	7	0.95	false	false	false	"High"	170	"sail"
"Small_Scandinavian_Sloop"	8	3	50	"5th_rate_admiral"	nil	nil	"naval_6_pounder_lr"	"naval_9_pounder_lr"	nil	nil	nil	"sloop"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	12	14	36	70	60	"matchlock"	1	0.1	1.2	375	1.4	50	40	13	26	2.1	12	2	155	30	130	0.7	0.8	0.9	0.95	0.95	0.9	0.85	0.8	0.72	0.59	0.48	0.38	0.17	0.12	6.615	8.82	10.89	12.56375	11.9025	10.285	8.7725	1.9	false	1	34	0.8	1	54	0.8	1	88	0.95	1	42	0.8	1	88	0.95	0	3	0.1	1	88	0.95	1	120	0.8	1	120	0.8	1	120	0.8	1	120	0	1	150	0	1	187	0	1	102	0	1	120	0.8	1	102	0	1	102	0	2	7	0.95	false	false	false	"High"	170	"sail"
"Small_Sloop"	8	3	50	"5th_rate_admiral"	nil	nil	"naval_6_pounder_lr"	"naval_9_pounder_lr"	nil	nil	nil	"sloop"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	12	14	36	70	60	"matchlock"	1	0.1	1.2	375	1.4	50	40	13	26	2.1	12	2	155	30	130	0.7	0.8	0.9	0.95	0.95	0.9	0.85	0.8	0.72	0.59	0.48	0.38	0.17	0.12	6.615	8.82	10.89	12.56375	11.9025	10.285	8.7725	1.9	false	1	34	0.8	1	54	0.8	1	88	0.95	1	42	0.8	1	88	0.95	0	3	0.1	1	88	0.95	1	120	0.8	1	120	0.8	1	120	0.8	1	120	0	1	150	0	1	187	0	1	102	0	1	120	0.8	1	102	0	1	102	0	2	7	0.95	false	false	false	"High"	170	"sail"
"Frigate_38"	9	9	100	"5th_rate_admiral"	"naval_6_pounder_lr"	"naval_6_pounder_lr"	"naval_6_pounder_lr"	"naval_18_pounder_lr"	nil	nil	nil	"1deck38"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	18	18	72	55	35	"matchlock"	2.5	0.1	1.1	1300	1.3	85	70	9	19	1.6	16	1	142	26	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	3.41775	5.788125038146973	6.9575	8.265625	7.604374885559082	6.3525	5.082	1.65	true	2	63	0.8	2	108	0.8	2	167	0.95	2	84	0.8	2	167	0.95	0	7	0.1	2	167	0.95	2	130	0.8	2	130	0.8	2	130	0.8	1	120	0	1	150	0	1	187	0	1	102	0	2	130	0.8	1	102	0	1	102	0	1	24	0.95	false	false	false	"Medium"	580	"sail"
"Frigate_British_32_5th_Rate"	11	9	100	"5th_rate_admiral"	nil	nil	nil	"naval_12_pounder_lr"	nil	nil	"naval_6_pounder_lr"	"1deck32"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	16	16	64	60	50	"matchlock"	2.5	0.1	1.1	1185	1.3	85	70	9	20	1.7	15	1	142	26	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	3.63825	6.06375	7.26	8.59625	7.935	6.655	5.324	1.75	true	2	58	0.8	2	89	0.8	2	152	0.95	2	69	0.8	2	152	0.95	0	5	0.1	2	152	0.95	2	130	0.8	2	130	0.8	2	130	0.8	1	120	0	1	150	0	1	187	0	1	102	0	2	130	0.8	1	102	0	1	102	0	1	25	0.95	false	false	false	"Medium"	520	"sail"
"Frigate_British_38_5th_Rate"	11	9	100	"5th_rate_admiral"	"naval_6_pounder_lr"	"naval_6_pounder_lr"	"naval_6_pounder_lr"	"naval_18_pounder_lr"	nil	nil	nil	"1deck38"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	18	18	72	55	45	"matchlock"	2.5	0.1	1.1	1300	1.3	85	70	9	19	1.6	16	1	142	26	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	3.41775	5.788125038146973	6.9575	8.265625	7.604374885559082	6.3525	5.082	1.65	true	2	66	0.8	2	113	0.8	2	175	0.95	2	88	0.8	2	175	0.95	0	7	0.1	2	175	0.95	2	130	0.8	2	130	0.8	2	130	0.8	1	120	0	1	150	0	1	187	0	1	102	0	2	130	0.8	1	102	0	1	102	0	1	25	0.95	false	false	false	"Medium"	600	"sail"
"Frigate_British_6th_Rate"	11	8	90	"5th_rate_admiral"	nil	nil	nil	nil	"naval_9_pounder_lr"	nil	nil	"1deck24"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	14	14	48	60	50	"matchlock"	2.5	0.1	1.1	765	1.3	80	65	10	20	1.7	15	1.1	144	27	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	3.63825	6.06375	7.26	8.59625	7.935	6.655	5.324	1.8	true	2	52	0.8	2	70	0.8	2	129	0.95	2	70	0.8	2	129	0.95	0	5	0.1	2	129	0.95	2	120	0.8	2	120	0.8	2	120	0.8	1	110	0	1	137	0	1	171	0	1	93	0	2	120	0.8	1	93	0	1	93	0	1	25	0.95	false	false	false	"Medium"	450	"sail"
"Frigate_British_Carronade_Frigate"	11	9	100	"5th_rate_admiral"	nil	nil	nil	"naval_carronade_32_pounder"	nil	nil	"naval_carronade_32_pounder"	"1deck32"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	16	16	64	60	50	"matchlock"	2.5	0.1	1.1	1185	1.3	85	70	9	20	1.7	15	1	142	26	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	3.63825	6.06375	7.26	8.59625	7.935	6.655	5.324	1.75	true	2	58	0.8	2	89	0.8	2	152	0.95	2	69	0.8	2	152	0.95	0	5	0.1	2	152	0.95	2	130	0.8	2	130	0.8	2	130	0.8	1	120	0	1	150	0	1	187	0	1	102	0	2	130	0.8	1	102	0	1	102	0	1	25	0.95	false	false	false	"Medium"	520	"sail"
"Frigate_British_Razee"	11	9	100	"3rd_rate_admiral"	nil	"naval_6_pounder_lr"	nil	"naval_12_pounder"	nil	"naval_24_pounder"	nil	"razee44"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	20	20	94	60	50	"matchlock"	2.5	0.1	1	1650	1.2	85	70	9	19	1.5	18	1	142	25	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	3.3626248836517334	5.788125038146973	6.9575	8.265625	7.604374885559082	6.3525	5.0215	1.7	true	3	116	0.8	3	189	0.8	3	330	0.95	3	147	0.8	3	330	0.95	1	11	0.1	3	330	0.95	2	160	0.8	2	160	0.8	2	160	0.8	1	170	0	1	212	0	1	265	0	1	144	0	2	160	0.8	1	144	0	1	144	0	1	44	0.95	false	false	false	"Medium"	1430	"sail"
"Frigate_Carronade_Frigate"	9	9	100	"5th_rate_admiral"	nil	nil	nil	"naval_carronade_32_pounder"	nil	nil	"naval_carronade_32_pounder"	"1deck32"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	16	16	64	60	40	"matchlock"	2.5	0.1	1.1	1185	1.3	85	70	9	20	1.7	15	1	142	26	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	3.63825	6.06375	7.26	8.59625	7.935	6.655	5.324	1.75	true	2	55	0.8	2	85	0.8	2	145	0.95	2	66	0.8	2	145	0.95	0	5	0.1	2	145	0.95	2	130	0.8	2	130	0.8	2	130	0.8	1	120	0	1	150	0	1	187	0	1	102	0	2	130	0.8	1	102	0	1	102	0	1	24	0.95	false	false	false	"Medium"	510	"sail"
"Frigate_Dutch_24"	9	8	90	"5th_rate_admiral"	nil	nil	nil	nil	"naval_9_pounder_lr"	nil	nil	"1deck24"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	14	14	48	60	40	"matchlock"	2.5	0.1	1.1	765	1.3	80	65	10	20	1.7	15	1.1	144	27	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	3.63825	6.06375	7.26	8.59625	7.935	6.655	5.324	1.8	true	2	50	0.8	2	67	0.8	2	123	0.95	2	67	0.8	2	123	0.95	0	4	0.1	2	123	0.95	2	120	0.8	2	120	0.8	2	120	0.8	1	110	0	1	137	0	1	171	0	1	93	0	2	120	0.8	1	93	0	1	93	0	1	24	0.95	false	false	false	"Medium"	430	"sail"
