version 2, schema unit_stats_naval_tables
Unit_IDRef(string)	Morale(int)	Hull_Strength(int)	Crew_Size(int)	Admiral_Variant(optstring)	Cannon_Type_1(optstring)	Cannon_Type_2(optstring)	Cannon_Type_3(optstring)	Cannon_Type_4(optstring)	Cannon_Type_5(optstring)	Cannon_Type_6(optstring)	Cannon_Type_7(optstring)	Ship(string)	Admiral(string)	Cpt(optstring)	Lt(optstring)	Bosun(optstring)	Marines(int)	Seamen(int)	Gun_Crewmen(int)	Accuracy(int)	Reloading_Skill(int)	Technology(string)	unknown4(float)	unknown5(float)	unknown6(float)	unknown7(int)	unknown8(float)	unknown9(int)	unknown10(int)	unknown11(int)	General_Speed(int)	Turning_x0020_Speed_x003F_(float)	unknown13(float)	unknown14(float)	unknown15(int)	unknown16(int)	unknown17(int)	_x0023_0_x0020_degree_x0020_speed_coefficient(float)	_x0023_10-15_x0020_degree_x0020_speed_coefficient(float)	_x0023_25-30_x0020_degree_x0020_speed_coefficient(float)	_x0023_40-45_x0020_degree_x0020_speed_coefficient(float)	_x0023_50-55_x0020_degree_x0020_speed_coefficient(float)	_x0023_70-75_x0020_degree_x0020_speed_coefficient(float)	_x0023_90-95_x0020_degree_x0020_speed_coefficient(float)	_x0023_100-105_x0020_degree_x0020_speed_coefficient(float)	_x0023_120-125_x0020_degree_x0020_speed_coefficient(float)	_x0023_130-135_x0020_degree_x0020_speed_coefficient(float)	_x0023_140-145_x0020_degree_x0020_speed_coefficient(float)	_x0023_165-180_x0020_degree_x0020_speed_coefficient(float)	bound_x0020_by_waves(float)	pitch_x0020_by_waves(float)	Turn_rate_x0020_max_speed(float)	Turn_rate_x0020_2-3_speed(float)	Turn_rate_x0020_1-3_speed(float)	Turn_rate_x0020_4-15_speed(float)	Turn_rate_x0020_1-5_speed(float)	Turn_rate_x0020_2-15_speed(float)	Turn_rate_x0020_1-15_speed(float)	Turn_rate_x0020_0_speed(float)	unknown40(boolean)	unknown41(int)	unknown42(int)	unknown43(float)	unknown44(int)	unknown45(int)	unknown46(float)	unknown47(int)	unknown48(int)	unknown49(float)	unknown50(int)	unknown51(int)	unknown52(float)	unknown53(int)	unknown54(int)	unknown55(float)	unknown56(int)	unknown57(int)	unknown58(float)	unknown59(int)	unknown60(int)	unknown61(float)	unknown62(int)	unknown63(int)	unknown64(float)	unknown65(int)	unknown66(int)	unknown67(float)	unknown68(int)	unknown69(int)	unknown70(float)	unknown71(int)	unknown72(int)	unknown73(float)	unknown74(int)	unknown75(int)	unknown76(float)	unknown77(int)	unknown78(int)	unknown79(float)	unknown80(int)	unknown81(int)	unknown82(float)	unknown83(int)	unknown84(int)	unknown85(float)	unknown86(int)	unknown87(int)	unknown88(float)	unknown89(int)	unknown90(int)	unknown91(float)	unknown92(int)	unknown93(int)	unknown94(float)	unknown95(boolean)	unknown96(boolean)	Can_Trade(boolean)	Manoeuverability(string)	Hull_Strength_Shown(int)
"3rd_rate_american"	10	14	160	"3rd_rate_admiral_american"	"naval_9_pounder"	"naval_9_pounder"	"naval_9_pounder"	"naval_9_pounder"	"naval_18_pounder"	"naval_32_pounder"	nil	"2deck74"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	26	26	144	40	25	"matchlock"	3.5	0.1	0.8	2580	1	95	75	8	14	0.9	21	0.8	136	25	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	2.05	4.25	4.75	5.25	4.75	4.25	3.15	1.3	true	3	168	0.7	3	241	0.7	4	333	0.95	3	241	0.7	4	333	0.95	1	21	0.1	4	333	0.95	3	160	0.8	3	160	0.8	3	160	0.8	1	180	0	1	225	0	1	281	0	1	153	0	3	160	0.8	1	153	0	1	153	0	1	73	0.95	false	false	false	"Low"	4818
"3rd_rate_british"	10	14	160	"3rd_rate_admiral_british"	"naval_9_pounder"	"naval_9_pounder"	"naval_9_pounder"	"naval_9_pounder"	"naval_18_pounder"	"naval_32_pounder"	nil	"2deck74"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	26	26	144	40	30	"matchlock"	3.5	0.1	0.8	2580	1	95	75	10	14	0.9	21	0.8	140	26	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	2.05	4.25	4.75	5.25	4.75	4.25	3.15	1.3	true	3	168	0.7	3	241	0.7	4	333	0.95	3	241	0.7	4	333	0.95	1	21	0.1	4	333	0.95	3	160	0.8	3	160	0.8	3	160	0.8	1	180	0	1	225	0	1	281	0	1	153	0	3	160	0.8	1	153	0	1	153	0	1	73	0.95	false	false	false	"Low"	4818
"3rd_rate_french"	9	14	160	"3rd_rate_admiral_french"	"naval_9_pounder"	"naval_9_pounder"	"naval_9_pounder"	"naval_9_pounder"	"naval_18_pounder"	"naval_32_pounder"	nil	"2deck74_fr"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	26	26	144	50	15	"matchlock"	3.5	0.1	0.8	2580	1	95	75	8	15	1.1	21	0.8	136	25	130	0.8925	0.945	0.9975	0.945	0.8925	0.84	0.7875	0.735	0.6825	0.6195	0.504	0.399	0.17	0.12	2.1525	4.4625	4.9875	5.5125	4.9875	4.4625	3.3075	1.365	true	3	160	0.7	3	230	0.7	4	318	0.95	3	230	0.7	4	318	0.95	1	20	0.1	4	318	0.95	3	160	0.8	3	160	0.8	3	160	0.8	1	180	0	1	225	0	1	281	0	1	153	0	3	160	0.8	1	153	0	1	153	0	1	70	0.95	false	false	false	"Low"	4590
"3rd_rate_russian"	9	14	160	"3rd_rate_admiral_russian"	"naval_9_pounder"	"naval_9_pounder"	"naval_9_pounder"	"naval_9_pounder"	"naval_18_pounder"	"naval_32_pounder"	nil	"2deck74_ru"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	26	26	144	40	15	"matchlock"	3.5	0.1	0.8	2580	1	95	75	8	14	0.9	21	0.8	138	25	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	2.05	4.25	4.75	5.25	4.75	4.25	3.15	1.3	true	3	160	0.7	3	230	0.7	4	318	0.95	3	230	0.7	4	318	0.95	1	20	0.1	4	318	0.95	3	160	0.8	3	160	0.8	3	160	0.8	1	180	0	1	225	0	1	281	0	1	153	0	3	160	0.8	1	153	0	1	153	0	1	70	0.95	false	false	false	"Low"	4582
"3rd_rate_spanish"	9	14	160	"3rd_rate_admiral_spanish"	"naval_9_pounder"	"naval_9_pounder"	"naval_9_pounder"	"naval_9_pounder"	"naval_18_pounder"	"naval_32_pounder"	nil	"2deck74_sp"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	26	26	144	40	15	"matchlock"	3.5	0.1	0.8	2580	1	95	75	8	14	0.9	21	0.8	138	25	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	2.05	4.25	4.75	5.25	4.75	4.25	3.15	1.3	true	3	160	0.7	3	230	0.7	4	318	0.95	3	230	0.7	4	318	0.95	1	20	0.1	4	318	0.95	3	160	0.8	3	160	0.8	3	160	0.8	1	180	0	1	225	0	1	281	0	1	153	0	3	160	0.8	1	153	0	1	153	0	1	70	0.95	false	false	false	"Low"	4582
"4th_rate"	9	10	120	"3rd_rate_admiral"	"naval_6_pounder"	"naval_6_pounder"	nil	nil	"naval_12_pounder"	"naval_24_pounder"	nil	"2deck64"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	20	20	112	40	15	"matchlock"	3	0.1	0.9	2070	1.1	90	70	9	14	1.1	20	0.9	140	25	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	2.3	4.5	5	5.5	5	4.5	3.4	1.4	true	3	115	0.7	3	170	0.7	3	245	0.95	3	170	0.7	3	245	0.95	1	18	0.1	3	245	0.95	3	155	0.8	3	155	0.8	3	155	0.8	1	170	0	1	212	0	1	265	0	1	144	0	3	155	0.8	1	144	0	1	144	0	1	70	0.95	false	false	false	"Low"	3978
"4th_rate_american"	10	10	120	"3rd_rate_admiral_american"	"naval_6_pounder"	"naval_6_pounder"	nil	nil	"naval_12_pounder"	"naval_24_pounder"	nil	"2deck64"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	20	20	112	40	25	"matchlock"	3	0.1	0.9	2070	1.1	90	70	9	14	1.1	20	0.9	138	25	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	2.3	4.5	5	5.5	5	4.5	3.4	1.4	true	3	120	0.7	3	178	0.7	3	257	0.95	3	178	0.7	3	257	0.95	1	18	0.1	3	257	0.95	3	155	0.8	3	155	0.8	3	155	0.8	1	170	0	1	212	0	1	265	0	1	144	0	3	155	0.8	1	144	0	1	144	0	1	73	0.95	false	false	false	"Low"	4152
"4th_rate_british"	10	10	120	"3rd_rate_admiral_british"	"naval_6_pounder"	"naval_6_pounder"	nil	nil	"naval_12_pounder"	"naval_24_pounder"	nil	"2deck64"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	20	20	112	40	30	"matchlock"	3	0.1	0.9	2070	1.1	90	70	11	14	1.1	20	0.9	142	26	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	2.3	4.5	5	5.5	5	4.5	3.4	1.4	true	3	120	0.7	3	178	0.7	3	257	0.95	3	178	0.7	3	257	0.95	1	18	0.1	3	257	0.95	3	155	0.8	3	155	0.8	3	155	0.8	1	170	0	1	212	0	1	265	0	1	144	0	3	155	0.8	1	144	0	1	144	0	1	73	0.95	false	false	false	"Low"	4152
"4th_rate_french"	9	10	120	"3rd_rate_admiral_french"	"naval_6_pounder"	"naval_6_pounder"	nil	nil	"naval_12_pounder"	"naval_24_pounder"	nil	"2deck64"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	20	20	112	50	15	"matchlock"	3	0.1	0.9	2070	1.1	90	70	9	15	1.3	20	0.9	138	25	130	0.8925	0.945	0.9975	0.945	0.8925	0.84	0.7875	0.735	0.6825	0.6195	0.504	0.399	0.17	0.12	2.415	4.725	5.25	5.775	5.25	4.725	3.57	1.47	true	3	115	0.7	3	170	0.7	3	245	0.95	3	170	0.7	3	245	0.95	1	18	0.1	3	245	0.95	3	155	0.8	3	155	0.8	3	155	0.8	1	170	0	1	212	0	1	265	0	1	144	0	3	155	0.8	1	144	0	1	144	0	1	70	0.95	false	false	false	"Low"	4068
"4th_rate_frigate_standard"	9	10	120	"3rd_rate_admiral"	"naval_6_pounder"	"naval_6_pounder"	nil	nil	"naval_12_pounder"	"naval_24_pounder"	nil	"2deck64"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	20	20	112	40	15	"matchlock"	3	0.1	0.9	2070	1.1	90	70	5	14	1.1	20	0.9	140	25	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	2.3	4.5	5	5.5	5	4.5	3.4	1.4	true	3	115	0.7	3	170	0.7	3	245	0.95	3	170	0.7	3	245	0.95	1	18	0.1	3	245	0.95	3	155	0.8	3	155	0.8	3	155	0.8	1	170	0	1	212	0	1	265	0	1	144	0	3	155	0.8	1	144	0	1	144	0	1	70	0.95	false	false	false	"Low"	3978
"4th_rate_spanish"	9	10	120	"3rd_rate_admiral_spanish"	"naval_6_pounder"	"naval_6_pounder"	nil	nil	"naval_12_pounder"	"naval_24_pounder"	nil	"2deck64"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	20	20	112	40	15	"matchlock"	3	0.1	0.9	2070	1.1	90	70	9	14	1.1	20	0.9	140	25	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	2.3	4.5	5	5.5	5	4.5	3.4	1.4	true	3	115	0.7	3	170	0.7	3	245	0.95	3	170	0.7	3	245	0.95	1	18	0.1	3	245	0.95	3	155	0.8	3	155	0.8	3	155	0.8	1	170	0	1	212	0	1	265	0	1	144	0	3	155	0.8	1	144	0	1	144	0	1	70	0.95	false	false	false	"Low"	3978
"5th_rate"	8	9	100	"5th_rate_admiral"	"naval_6_pounder_lr"	nil	nil	"naval_9_pounder_lr"	"naval_18_pounder_lr"	nil	nil	"2deck44"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	18	18	94	60	40	"matchlock"	2.5	0.1	1	1425	1.2	85	70	9	17	1.5	18	1	142	26	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	3.05	5.25	5.75	6.25	5.75	5.25	4.15	1.75	true	3	100	0.7	3	135	0.7	3	165	0.95	3	135	0.7	3	165	0.95	1	13	0.1	3	165	0.95	2	140	0.8	2	140	0.8	2	140	0.8	1	145	0	1	181	0	1	226	0	1	123	0	2	140	0.8	1	123	0	1	123	0	1	40	0.95	false	false	false	"Medium"	2716
"5th_rate_admiral"	10	9	100	"5th_rate_admiral"	"naval_6_pounder_lr"	nil	nil	"naval_9_pounder_lr"	"naval_18_pounder_lr"	nil	nil	"2deck44"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	18	18	94	60	40	"matchlock"	2.5	0.1	1	1425	1.2	85	70	9	17	1.5	18	1	142	26	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	3.05	5.25	5.75	6.25	5.75	5.25	4.15	1.75	true	3	105	0.7	3	141	0.7	3	173	0.95	3	141	0.7	3	173	0.95	1	13	0.1	3	173	0.95	2	140	0.8	2	140	0.8	2	140	0.8	1	145	0	1	181	0	1	226	0	1	123	0	2	140	0.8	1	123	0	1	123	0	1	42	0.95	false	true	false	"Medium"	2928
"5th_rate_admiral_american"	11	9	100	"5th_rate_admiral_american"	"naval_6_pounder_lr"	nil	nil	"naval_9_pounder_lr"	"naval_18_pounder_lr"	nil	nil	"2deck44"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	18	18	94	60	50	"matchlock"	2.5	0.1	1	1425	1.2	85	70	9	17	1.5	18	1	142	26	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	3.05	5.25	5.75	6.25	5.75	5.25	4.15	1.75	true	3	110	0.7	3	148	0.7	3	181	0.95	3	148	0.7	3	181	0.95	1	14	0.1	3	181	0.95	2	140	0.8	2	140	0.8	2	140	0.8	1	145	0	1	181	0	1	226	0	1	123	0	2	140	0.8	1	123	0	1	123	0	1	44	0.95	false	true	false	"Medium"	3080
"5th_rate_admiral_british"	11	9	100	"5th_rate_admiral_british"	"naval_6_pounder_lr"	nil	nil	"naval_9_pounder_lr"	"naval_18_pounder_lr"	nil	nil	"2deck44"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	18	18	94	60	55	"matchlock"	2.5	0.1	1	1425	1.2	85	70	9	17	1.5	18	1	142	27	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	3.05	5.25	5.75	6.25	5.75	5.25	4.15	1.75	true	3	110	0.7	3	148	0.7	3	181	0.95	3	148	0.7	3	181	0.95	1	14	0.1	3	181	0.95	2	140	0.8	2	140	0.8	2	140	0.8	1	145	0	1	181	0	1	226	0	1	123	0	2	140	0.8	1	123	0	1	123	0	1	44	0.95	false	true	false	"Medium"	3080
"5th_rate_admiral_french"	10	9	100	"5th_rate_admiral_french"	"naval_6_pounder_lr"	nil	nil	"naval_9_pounder_lr"	"naval_18_pounder_lr"	nil	nil	"2deck44_fr"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	18	18	94	70	40	"matchlock"	2.5	0.1	1	1425	1.2	85	70	9	18	1.7	18	1	142	26	130	0.8925	0.945	0.9975	0.945	0.8925	0.84	0.7875	0.735	0.6825	0.6195	0.504	0.399	0.17	0.12	3.2025	5.5125	6.0375	6.5625	6.0375	5.5125	4.3575	1.785	true	3	105	0.7	3	141	0.7	3	173	0.95	3	141	0.7	3	173	0.95	1	13	0.1	3	173	0.95	2	140	0.8	2	140	0.8	2	140	0.8	1	145	0	1	181	0	1	226	0	1	123	0	2	140	0.8	1	123	0	1	123	0	1	42	0.95	false	true	false	"Medium"	3000
"5th_rate_admiral_russian"	10	9	100	"5th_rate_admiral_russian"	"naval_6_pounder_lr"	nil	nil	"naval_9_pounder_lr"	"naval_18_pounder_lr"	nil	nil	"2deck44_ru"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	18	18	94	60	40	"matchlock"	2.5	0.1	1	1425	1.2	85	70	9	17	1.5	18	1	142	26	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	3.05	5.25	5.75	6.25	5.75	5.25	4.15	1.7	true	3	105	0.7	3	141	0.7	3	173	0.95	3	141	0.7	3	173	0.95	1	13	0.1	3	173	0.95	2	140	0.8	2	140	0.8	2	140	0.8	1	145	0	1	181	0	1	226	0	1	123	0	2	140	0.8	1	123	0	1	123	0	1	42	0.95	false	true	false	"Medium"	2928
"5th_rate_admiral_spanish"	10	9	100	"5th_rate_admiral_spanish"	"naval_6_pounder_lr"	nil	nil	"naval_9_pounder_lr"	"naval_18_pounder_lr"	nil	nil	"2deck44_sp"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	18	18	94	60	40	"matchlock"	2.5	0.1	1	1425	1.2	85	70	9	17	1.5	18	1	142	26	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	3.05	5.25	5.75	6.25	5.75	5.25	4.15	1.7	true	3	105	0.7	3	141	0.7	3	173	0.95	3	141	0.7	3	173	0.95	1	13	0.1	3	173	0.95	2	140	0.8	2	140	0.8	2	140	0.8	1	145	0	1	181	0	1	226	0	1	123	0	2	140	0.8	1	123	0	1	123	0	1	42	0.95	false	true	false	"Medium"	2928
"5th_rate_american"	9	9	100	"5th_rate_admiral_american"	"naval_6_pounder_lr"	nil	nil	"naval_9_pounder_lr"	"naval_18_pounder_lr"	nil	nil	"2deck44"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	18	18	94	60	50	"matchlock"	2.5	0.1	1	1425	1.2	85	70	9	17	1.5	18	1	142	26	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	3.05	5.25	5.75	6.25	5.75	5.25	4.15	1.75	true	3	105	0.7	3	141	0.7	3	173	0.95	3	141	0.7	3	173	0.95	1	13	0.1	3	173	0.95	2	140	0.8	2	140	0.8	2	140	0.8	1	145	0	1	181	0	1	226	0	1	123	0	2	140	0.8	1	123	0	1	123	0	1	42	0.95	false	false	false	"Medium"	2856
"5th_rate_british"	9	9	100	"5th_rate_admiral_british"	"naval_6_pounder_lr"	nil	nil	"naval_9_pounder_lr"	"naval_18_pounder_lr"	nil	nil	"2deck44"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	18	18	94	60	55	"matchlock"	2.5	0.1	1	1425	1.2	85	70	11	17	1.5	18	1	144	27	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	3.05	5.25	5.75	6.25	5.75	5.25	4.15	1.75	true	3	105	0.7	3	141	0.7	3	173	0.95	3	141	0.7	3	173	0.95	1	13	0.1	3	173	0.95	2	140	0.8	2	140	0.8	2	140	0.8	1	145	0	1	181	0	1	226	0	1	123	0	2	140	0.8	1	123	0	1	123	0	1	42	0.95	false	false	false	"Medium"	2856
"5th_rate_french"	8	9	100	"5th_rate_admiral_french"	"naval_6_pounder_lr"	nil	nil	"naval_9_pounder_lr"	"naval_18_pounder_lr"	nil	nil	"2deck44_fr"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	18	18	94	70	40	"matchlock"	2.5	0.1	1	1425	1.2	85	70	9	18	1.7	18	1	140	26	130	0.8925	0.945	0.9975	0.945	0.8925	0.84	0.7875	0.735	0.6825	0.6195	0.504	0.399	0.17	0.12	3.2025	5.5125	6.0375	6.5625	6.0375	5.5125	4.3575	1.785	true	3	100	0.7	3	135	0.7	3	165	0.95	3	135	0.7	3	165	0.95	1	13	0.1	3	165	0.95	2	140	0.8	2	140	0.8	2	140	0.8	1	145	0	1	181	0	1	226	0	1	123	0	2	140	0.8	1	123	0	1	123	0	1	40	0.95	false	false	false	"Medium"	2790
"5th_rate_russian"	8	9	100	"5th_rate_admiral_russian"	"naval_6_pounder_lr"	nil	nil	"naval_9_pounder_lr"	"naval_18_pounder_lr"	nil	nil	"2deck44_ru"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	18	18	94	60	40	"matchlock"	2.5	0.1	1	1425	1.2	85	70	9	17	1.5	18	1	142	26	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	3.05	5.25	5.75	6.25	5.75	5.25	4.15	1.7	true	3	100	0.7	3	135	0.7	3	165	0.95	3	135	0.7	3	165	0.95	1	13	0.1	3	165	0.95	2	140	0.8	2	140	0.8	2	140	0.8	1	145	0	1	181	0	1	226	0	1	123	0	2	140	0.8	1	123	0	1	123	0	1	40	0.95	false	false	false	"Medium"	2716
"5th_rate_spanish"	8	9	100	"5th_rate_admiral_spanish"	"naval_6_pounder_lr"	nil	nil	"naval_9_pounder_lr"	"naval_18_pounder_lr"	nil	nil	"2deck44_sp"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	18	18	94	60	40	"matchlock"	2.5	0.1	1	1425	1.2	85	70	9	17	1.5	18	1	142	26	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	3.05	5.25	5.75	6.25	5.75	5.25	4.15	1.7	true	3	100	0.7	3	135	0.7	3	165	0.95	3	135	0.7	3	165	0.95	1	13	0.1	3	165	0.95	2	140	0.8	2	140	0.8	2	140	0.8	1	145	0	1	181	0	1	226	0	1	123	0	2	140	0.8	1	123	0	1	123	0	1	40	0.95	false	false	false	"Medium"	2716
"6th_rate"	8	8	90	"5th_rate_admiral"	nil	nil	nil	"naval_12_pounder_lr"	nil	nil	"naval_6_pounder_lr"	"1deck32"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	12	16	64	60	40	"matchlock"	2.5	0.1	1.1	1185	1.3	80	65	10	18	1.7	15	1.1	144	27	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	3.3	5.5	6	6.5	6	5.5	4.4	1.75	true	2	75	0.7	2	105	0.7	2	142	0.95	2	105	0.7	2	142	0.95	0	10	0.1	2	142	0.95	2	130	0.8	2	130	0.8	2	130	0.8	1	120	0	1	150	0	1	187	0	1	102	0	2	130	0.8	1	102	0	1	102	0	1	40	0.95	false	false	false	"Medium"	2118
"6th_rate_american"	9	8	90	"5th_rate_admiral_american"	nil	nil	nil	"naval_12_pounder_lr"	nil	nil	"naval_6_pounder_lr"	"1deck32"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	12	16	64	60	50	"matchlock"	2.5	0.1	1.1	1185	1.3	80	65	10	18	1.7	15	1.1	144	27	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	3.3	5.5	6	6.5	6	5.5	4.4	1.75	true	2	78	0.7	2	110	0.7	2	149	0.95	2	110	0.7	2	149	0.95	0	10	0.1	2	149	0.95	2	130	0.8	2	130	0.8	2	130	0.8	1	120	0	1	150	0	1	187	0	1	102	0	2	130	0.8	1	102	0	1	102	0	1	42	0.95	false	false	false	"Medium"	2198
"6th_rate_british"	9	8	90	"5th_rate_admiral_british"	nil	nil	nil	"naval_12_pounder_lr"	nil	nil	"naval_6_pounder_lr"	"1deck32"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	12	16	64	60	55	"matchlock"	2.5	0.1	1.1	1185	1.3	80	65	12	18	1.7	15	1.1	146	28	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	3.3	5.5	6	6.5	6	5.5	4.4	1.75	true	2	78	0.7	2	110	0.7	2	149	0.95	2	110	0.7	2	149	0.95	0	10	0.1	2	149	0.95	2	130	0.8	2	130	0.8	2	130	0.8	1	120	0	1	150	0	1	187	0	1	102	0	2	130	0.8	1	102	0	1	102	0	1	42	0.95	false	false	false	"Medium"	2198
"6th_rate_british_tutorial"	90	8	90	"5th_rate_admiral_british"	nil	nil	nil	"naval_18_pounder_lr"	nil	nil	"naval_9_pounder_lr"	"1deck32"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	12	16	64	60	40	"matchlock"	2500	0.1	1.1	1052	1.3	80	65	12	19	1.7	15	1.1	146	28	130	0.9	0.95	1	0.97	0.95	0.9	0.85	0.77	0.69	0.61	0.46	0.34	0.17	0.12	4.9335	7.7142	8	8	7.8936	6.9069	5.9202	1.794	true	200	6785	0.6	200	7620	0.7	200	14200	1	200	7620	0.7	200	14200	1	200	4900	0.7	200	14200	1	200	3000	0.8	200	3000	0.8	200	3000	0.8	1	14400	0.1	1	19200	0.1	1	21600	0.1	1	12000	0.1	200	3000	0.8	1	13200	0.1	1	13200	0.1	5000	4000	1	false	false	false	"Medium"	150308
"6th_rate_french"	8	8	90	"5th_rate_admiral_french"	nil	nil	nil	"naval_12_pounder_lr"	nil	nil	"naval_6_pounder_lr"	"1deck32_fr"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	12	16	64	70	40	"matchlock"	2.5	0.1	1.1	1185	1.3	80	65	10	19	1.9	15	1.1	142	27	130	0.8925	0.945	0.9975	0.945	0.8925	0.84	0.7875	0.735	0.6825	0.6195	0.504	0.399	0.17	0.12	3.2025	5.5125	6.0375	6.5625	6.0375	5.5125	4.3575	1.785	true	2	75	0.7	2	105	0.7	2	142	0.95	2	105	0.7	2	142	0.95	0	10	0.1	2	142	0.95	2	130	0.8	2	130	0.8	2	130	0.8	1	120	0	1	150	0	1	187	0	1	102	0	2	130	0.8	1	102	0	1	102	0	1	40	0.95	false	false	false	"Medium"	2146
