version 1, schema historical_characters_tables
Name_IDRef(string)	Unknown1(boolean)	Genre(string)	Agent_ID(string)	Faction_ID(string)	Date_Birth(int)	Date_Death(int)	Notes(string)
"john_van_kingsbergen"	false	"m"	"admiral"	"netherlands"	1755	1819	"Dutch Admiral"
"jonas_alstromer"	false	"m"	"gentleman"	"sweden"	1705	1761	"agri2, ind2"
"jonas_carlsson_dryander"	false	"m"	"gentleman"	"sweden"	1768	1810	"botanist"
"jonas_lindstromer"	false	"m"	"gentleman"	"sweden"	1775	1808	"naval tech 5"
"jonathan_trumbull"	false	"m"	"minister"	"united_states"	1730	1785	"n"
"jose_celestino"	false	"m"	"gentleman"	"spain"	1752	1808	"math4 (quite famous, on spanish peseta notes)"
"jose_clavijo"	false	"m"	"gentleman"	"spain"	1751	1813	"historian"
"jose_conde"	false	"m"	"gentleman"	"spain"	1786	1820	"orientalist"
"jose_da_cunha"	false	"m"	"gentleman"	"portugal"	1764	1787	"math2"
"jose_de_arredondo"	false	"m"	"General"	"spain"	1788	1837	"n"
"jose_de_iturrigaray"	false	"m"	"General"	"spain"	1762	1815	"vicious, valorous"
"jose_velasquez"	false	"m"	"General"	"spain"	1737	1785	"n"
"joseph_black"	false	"m"	"gentleman"	"britain"	1748	1799	"chemist1"
"joseph_brant"	false	"m"	"General"	"iroquoi"	1763	1807	"Mohawk General"
"joseph_delisle"	false	"m"	"gentleman"	"russia"	1708	1768	"astronomer"
"joseph_francois_dupleix"	false	"m"	"minister"	"france"	1717	1763	"French General"
"joseph_guillotin"	false	"m"	"gentleman"	"france"	1758	1814	"guillotine"
"joseph_jacquard"	false	"m"	"gentleman"	"france"	1772	1834	"ind4, punch card loom"
"joseph_lagrange"	false	"m"	"gentleman"	"france"	1756	1813	"math4"
"joseph_niepce"	false	"m"	"gentleman"	"france"	1785	1833	"photography"
"josepth_manton"	false	"m"	"gentleman"	"britain"	1780	1835	"army tech 5"
"jozef_antoni_poniatowski"	false	"m"	"General"	"poland_lithuania"	1783	1813	"gen4, defender against bad odds"
"jozef_kajetan_ossolinski"	false	"m"	"minister"	"poland_lithuania"	1778	1834	"n"
"jozef_sowinski"	false	"m"	"General"	"poland_lithuania"	1797	1831	"n"
"juan_crespi"	false	"m"	"catholic_missionary"	"spain"	1741	1782	"n"
"juan_de_ayala"	false	"m"	"captain"	"spain"	1765	1797	"n"
"juan_masdeu"	false	"m"	"gentleman"	"spain"	1764	1817	"jesuit historian"
"juan_perez"	false	"m"	"admiral"	"spain"	1745	1775	"n"
"julian_ursyn_niemcewicz"	false	"m"	"gentleman"	"poland_lithuania"	1778	1841	"scholar, patriot"
"jurij_bartolomej_vega"	false	"m"	"gentleman"	"austria"	1774	1802	"artillery tech"
"kanhoji_angre"	false	"m"	"admiral"	"maratha"	1695	1729	"Maratha Admiral"
"karol_kniaziewicz"	false	"m"	"General"	"poland_lithuania"	1782	1842	"n"
"karoly_hadaly"	false	"m"	"gentleman"	"austria"	1763	1834	"math1"
"koca_mehmed_pasha"	false	"m"	"admiral"	"ottomans"	1789	1855	"n"
"lachlan_mackintosh"	false	"m"	"General"	"united_states"	1745	1806	"American General"
"leonhard_euler"	false	"m"	"gentleman"	"prussia"	1727	1783	"math5"
"leonty_magnitsky"	false	"m"	"gentleman"	"russia"	1689	1739	"math1"
"leopold_anhalt_dessau"	true	"m"	"General"	"prussia"	1696	1747	"Prussian General"
"leopold_gmelin"	false	"m"	"gentleman"	"westphalia"	1808	1853	"chemist"
"lorenzo_hervas_y_panduro"	false	"m"	"gentleman"	"spain"	1755	1809	"philologist"
"louis_antoine_de_bougainville"	false	"m"	"General"	"france"	1749	1811	"circumnavigator"
"louis_joseph_de_bourbon"	true	"m"	"General"	"france"	1754	1814	"French General"
"louis_joseph_montcalm"	true	"m"	"General"	"france"	1732	1759	"French General"
"louis_robert"	false	"m"	"gentleman"	"france"	1790	1800	"n"
"maciej_radziwill"	false	"m"	"minister"	"poland_lithuania"	1769	1800	"n"
"mad_jack_byron"	false	"m"	"rake"	"britain"	1776	1791	"British Rake"
"madhavrao_peshwa"	false	"m"	"minister"	"maratha"	1765	1772	"n"
"magnus_stenbock"	false	"m"	"General"	"sweden"	1684	1717	"Swedish General"
"manuel_de_amat"	false	"m"	"General"	"spain"	1727	1782	"land3"
"manuel_de_godoy_y_alvarez_de_faria"	true	"m"	"minister"	"spain"	1787	1851	"n"
"marie_caritat"	false	"m"	"gentleman"	"france"	1763	1794	"econ4"
"marthanda_varma"	false	"m"	"minister"	"mysore"	1726	1758	"n"
"martin_dobrizhoffer"	false	"m"	"catholic_missionary"	"austria"	1737	1791	"n"
"martin_triewald"	false	"m"	"gentleman"	"sweden"	1711	1747	"ind2"
"mateo_aimerich"	false	"m"	"gentleman"	"spain"	1735	1799	"phil2, religious"
"matias_de_galvez"	false	"m"	"General"	"spain"	1745	1784	"n"
"matthew_boulton"	false	"m"	"gentleman"	"britain"	1748	1809	"ind3"
"matthew_flood"	false	"m"	"rake"	"britain"	1685	1723	"British Rake"
"mauel_german"	false	"m"	"gentleman"	"spain"	1758	1806	"phil2, enlightened"
"maurice_suckling"	false	"m"	"captain"	"britain"	1746	1788	"British Captain"
"methedios_anthrakites"	false	"m"	"gentleman"	"ottomans"	1700	1748	"n"
"mikhail_illarionovich_kutuzov"	false	"m"	"General"	"russia"	1765	1813	"gen4, defender of homeland"
"moses_hazen"	false	"m"	"colonel"	"united_states"	1753	1803	"American Colonel"
"moshe_chaim_luzzatto"	false	"m"	"gentleman"	"venice"	1727	1746	"ethicist"
"muhammad_al-wahhab"	false	"m"	"gentleman"	"ottomans"	1723	1792	"radicla islamist"
"munishvara"	false	"m"	"Eastern_Scholar"	"mughal"	1680	1740	"math2"
"mustafa_pasha"	false	"m"	"General"	"ottoman_rebels"	1785	1825	"Ottoman General"
"nanasaheb_peshwa"	false	"m"	"minister"	"maratha"	1740	1761	"n"
"napoleon_bonaparte"	false	"m"	"General"	"france"	1789	1821	"French General"
"nicholas_appert"	false	"m"	"gentleman"	"france"	1769	1841	"canning, food preservation"
"nicholas_cugnot"	false	"m"	"gentleman"	"france"	1745	1804	"ind3, automobile"
"nicholas_herkimer"	false	"m"	"General"	"united_states"	1748	1777	"American General"
"nicolas_leblanc"	false	"m"	"gentleman"	"france"	1762	1806	"ind3, soda"
"nicolaus_sahlgren"	false	"m"	"gentleman"	"sweden"	1721	1776	"ind2"
"nikolay_novikov"	false	"m"	"gentleman"	"russia"	1764	1818	"n"
"olof_stromstierna"	false	"m"	"admiral"	"sweden"	1680	1730	"n"
"patrick_ferguson"	false	"m"	"colonel"	"britain"	1764	1780	"army tech 4"
"patrona_halil"	false	"m"	"rake"	"ottomans"	1700	1730	"replaced a sultan"
"paul_mohring"	false	"m"	"gentleman"	"westphalia"	1730	1792	"naturalist"
"peder_horrebow"	false	"m"	"gentleman"	"denmark"	1699	1764	"math4, astronomer"
"pedro_caro"	false	"m"	"General"	"spain"	1781	1811	"n"
"pedro_lozano"	false	"m"	"gentleman"	"spain"	1717	1752	"enthographer, jesuit"
"pehr_kalm"	false	"m"	"gentleman"	"sweden"	1736	1779	"agri3"
"pehr_wargentin"	false	"m"	"gentleman"	"sweden"	1727	1783	"astronomer"
"percy_blakeney"	true	"m"	"rake"	"britain"	1789	1820	"British Rake"
"peter_artedi"	false	"m"	"gentleman"	"sweden"	1725	1735	"naturalist"
"peter_lascy"	false	"m"	"General"	"russia"	1698	1751	"Catholic Irish General, fought for Russia"
"peter_pallas"	false	"m"	"gentleman"	"prussia"	1761	1811	"naturalist"
"peter_tordenskjold"	false	"m"	"admiral"	"denmark"	1711	1720	"Danish Gentleman, duellist"
"philip_livingston"	false	"m"	"minister"	"united_states"	1736	1778	"n"
"philip_vaughan"	false	"m"	"gentleman"	"britain"	1789	1800	"ind2"
"pierre_beaumarchais"	false	"m"	"gentleman"	"france"	1752	1799	"revolutionary, all-round"
"pierre_charles_villeneuve"	false	"m"	"admiral"	"france"	1783	1806	"French Admiral"
"pierre_choderlos"	false	"m"	"gentleman"	"france"	1761	1803	"liaisons dangereuses"
"pierre_laplace"	false	"m"	"gentleman"	"france"	1769	1827	"math3"
"pierre_macquer"	false	"m"	"gentleman"	"france"	1738	1784	"ind2"
"pierre_varignon"	false	"m"	"gentleman"	"france"	1674	1722	"math2"
"pieter_burmann"	false	"m"	"gentleman"	"netherlands"	1734	1778	"scholar"
"pieter_van_musschenbroek"	false	"m"	"gentleman"	"netherlands"	1712	1761	"ind3, leyden jar"
"pyotr_semyonovich_saltykov"	false	"m"	"General"	"russia"	1717	1772	"Russian General"
"ralph_allen"	false	"m"	"gentleman"	"britain"	1713	1764	"British Journalist"
"ramchandra_pant_amatya"	false	"m"	"minister"	"maratha"	1670	1716	"n"
"reshid_mehmed_pasha"	false	"m"	"General"	"ottomans"	1800	1839	"n"
"richard_arkwright"	false	"m"	"gentleman"	"britain"	1753	1792	"ind4, spinning frame, water frame"
"richard_goodwin_keats"	false	"m"	"admiral"	"britain"	1777	1834	"navy2"
"richard_kirwan"	false	"m"	"gentleman"	"britain"	1753	1812	"scientist"
"richard_montgomery"	false	"m"	"colonel"	"united_states"	1758	1775	"American Colonel"
"richard_trevithick"	false	"m"	"gentleman"	"britain"	1791	1833	"ind4, steam loco"
"robert_calder"	true	"m"	"captain"	"britain"	1765	1818	"British Captain"
"robert_clive"	true	"m"	"General"	"britain"	1745	1774	"British General"
"robert_darwin"	false	"m"	"gentleman"	"britain"	1786	1848	"doctor"
"robert_harley"	true	"m"	"minister"	"britain"	1681	1724	"British Minister"
"robert_monckton"	false	"m"	"colonel"	"britain"	1746	1782	"British General"
"robert_rogers"	false	"m"	"colonel"	"britain"	1751	1795	"British Colonial Colonel"
"robert_wallace"	false	"m"	"gentleman"	"britain"	1793	1853	"ind1, postage reform"
"robert_walpole"	true	"m"	"minister"	"britain"	1696	1745	"Prime Minister"
"roger_joseph_boscovich"	false	"m"	"gentleman"	"austria"	1731	1781	"math3, atomic theory"
"sadashivrao_bhau"	false	"m"	"General"	"maratha"	1750	1761	"n"
"samuel_boyce"	false	"m"	"rake"	"britain"	1728	1749	"British Rake"
"samuel_crompton"	false	"m"	"gentleman"	"britain"	1773	1827	"ind3"
"samuel_kirkland"	false	"m"	"Protestant_Missionary"	"britain"	1761	1808	"British Colonial Missionary"
"samuel_klingenstierna"	false	"m"	"gentleman"	"sweden"	1718	1765	"telescope"
"sawai_jai_sing_ii"	false	"m"	"minister"	"mughal"	1708	1734	"phil3"
"selim_iii"	false	"m"	"minister"	"ottomans"	1781	1808	"n"
"semen_kotelnikov"	false	"m"	"gentleman"	"russia"	1743	1803	"n"
"siraj-ud-dawlah"	false	"m"	"General"	"mughal"	1753	1757	"defeated east india company"
"stael_von_holstein"	true	"m"	"gentleman"	"prussia"	1685	1730	"Prussian Rake, duellist"
"stanislaw_staszic"	false	"m"	"gentleman"	"poland_lithuania"	1775	1826	"phil3"
"stepan_krasheninnikov"	false	"m"	"gentleman"	"russia"	1731	1755	"n"
"stepan_rumovsky"	false	"m"	"gentleman"	"russia"	1754	1800	"n"
"stephen_hopkins"	false	"m"	"minister"	"britain"	1727	1785	"n"
"sven_aderman"	false	"m"	"gentleman"	"sweden"	1690	1730	"army tech 4"
"tadeusz_czacki"	false	"m"	"gentleman"	"poland_lithuania"	1785	1813	"n"
"tadeusz_kosciuszko"	false	"m"	"General"	"poland_lithuania"	1766	1817	"land3, leader of uprising, national hero"
"thomas_bayes"	false	"m"	"gentleman"	"britain"	1722	1761	"math2"
"thomas_bowdler"	false	"m"	"gentleman"	"britain"	1774	1725	"British Gentleman, moralist"
"thomas_clarkson"	false	"m"	"gentleman"	"britain"	1780	1846	"abolitionist"
"thomas_cochrane"	true	"m"	"admiral"	"britain"	1795	1860	"British Admiral"
"thomas_foley"	true	"m"	"admiral"	"britain"	1777	1833	"British Admiral"
"thomas_gage"	false	"m"	"General"	"britain"	1739	1787	"British General"
"thomas_godfrey"	false	"m"	"gentleman"	"britain"	1724	1749	"naval tech (sextant)"
"thomas_hardy"	true	"m"	"captain"	"britain"	1789	1839	"British Captain"
"thomas_malthus"	false	"m"	"gentleman"	"britain"	1786	1834	"econ5"
"thomas_matthews"	false	"m"	"admiral"	"britain"	1700	1751	"British Admiral"
"thomas_newcomen"	false	"m"	"gentleman"	"britain"	1684	1729	"ind4"
"thomas_simpson"	false	"m"	"gentleman"	"britain"	1730	1761	"math2"
"thomas_stickney"	false	"m"	"General"	"united_states"	1749	1809	"American General"
"tiberius_hemsterhuis"	false	"m"	"gentleman"	"netherlands"	1705	1766	"philologist"
"tipu_sultan"	true	"m"	"General"	"mysore"	1770	1799	"land3, defender of homeland"
"tobias_mayer"	false	"m"	"gentleman"	"bavaria"	1743	1762	"astronomer of the moon"
"tom_king"	false	"m"	"rake"	"britain"	1720	1737	"British Rake"
"tomas_de_suria"	false	"m"	"gentleman"	"spain"	1781	1844	"n"
"tomasz_wawrzecki"	false	"m"	"General"	"poland_lithuania"	1773	1816	"n"
"vaclav_prokop_divis"	false	"m"	"gentleman"	"austria"	1718	1765	"ind3 (first electrical instrument)"
"vasiliy_dolgorukov"	true	"m"	"minister"	"russia"	1692	1739	"Russian Minister"
"vasily_adodurov"	false	"m"	"gentleman"	"russia"	1729	1800	"n"
"vasily_severgin"	false	"m"	"gentleman"	"russia"	1785	1800	"n"
"vasily_tatishchev"	false	"m"	"minister"	"russia"	1706	1750	"first full russian history"
"vincenzo_count_dandolo"	true	"m"	"gentleman"	"venice"	1778	1819	"agri4"
"vitus_bering"	false	"m"	"admiral"	"russia"	1701	1741	"Danish Explorer, worked for Russia"
"waliullah_dehlav"	false	"m"	"Eastern_Scholar"	"mughal"	1723	1762	"phil3"
"warren_hastings"	false	"m"	"minister"	"britain"	1752	1818	"British Governor of India"
"wenzel_anton_graf_kaunitz"	true	"m"	"minister"	"austria"	1731	1794	"enlightened, educator"
"wilhelm_von_knyphausen"	true	"m"	"General"	"hessen"	1736	1800	"hessian commander in us revolutionary war"
"willem_s_gravesande"	false	"m"	"gentleman"	"netherlands"	1708	1722	"physics2"
"william_caslon"	false	"m"	"gentleman"	"britain"	1712	1766	"army techs 3"
"william_cullen"	false	"m"	"gentleman"	"britain"	1730	1790	"chemist"
"william_dodd"	false	"m"	"rake"	"britain"	1749	1777	"British Rake"
"william_hamilton"	true	"m"	"minister"	"britain"	1750	1803	"British Minister"
"william_horrocks"	false	"m"	"gentleman"	"britain"	1796	1825	"n"
"william_johnson"	false	"m"	"colonel"	"britain"	1735	1774	"British General"
"william_murdoch"	false	"m"	"gentleman"	"britain"	1774	1839	"ind5"
"william_pepperrell"	true	"m"	"General"	"britain"	1716	1759	"British General"
"william_pitt_elder"	false	"m"	"minister"	"britain"	1728	1778	"Prime Minister"
"william_pitt_younger"	false	"m"	"minister"	"britain"	1779	1806	"Prime Minister"
"william_sidney_smith"	true	"m"	"admiral"	"britain"	1784	1840	"British Admiral"
"william_strutt"	false	"m"	"gentleman"	"britain"	1776	1830	"ind3"
"wirich_philipp_von_daun"	true	"m"	"General"	"austria"	1689	1741	"general2"
"zakhar_tchernyshov"	true	"m"	"General"	"russia"	1742	1784	"Russian General"
