version 2, schema projectiles_tables
Projectile_ID(string)	Type(string)	Shot_x0020_Type(string)	Missile_x0020_Type(string)	Model(optstring)	Projectile_Explosion_IDRef(optstring)	Trail(optstring)	Spin(string)	Number_of_Pellets(int)	In_x0020_Flight_x0020_Transition(optstring)	Trajectory_x0020_Sight(string)	Range(int)	Minimum_x0020_Range(int)	Max_x0020_Elevation(int)	Velocity(float)	Marksmanship_x0020_Bonus(float)	Maximum_deviance_x0020_from_0_to_360(float)	Damage(float)	Damage_x0020_Range_effectiveness(optstring)	Incendiary(optstring)	Blast_x0020_Effect(optstring)	Can_x0020_Bounce(boolean)	High_x0020_Air_x0020_Resistance(boolean)	Collision_x0020_Radius(float)	Base_Reload__x0020_Time_x0020__x0023_Added_to_animation(int)	Base_x0020_Misfire_x0020_Chance(int)	Weather_x0020_Effect(optstring)	Sail_x0020_Damage_x0020_Modifier(float)	Below_x0020_Waterline_x0020_Damage_x0020_Modifier(float)	Launch_x0020_Audio(string)	Hit_x0020_Audio(string)	Launch_x0020_Particle_x0020_Effect(optstring)	Projectile_x0020_Trail_x0020_Particle_x0020_Effect(optstring)	Impact(optstring)	Gun_x0020_Type(optstring)
"naval_24_pounder_chain"	"naval"	"chain"	"chain"	"projectile_chainshot01"	nil	"alpha"	"chain_shot_spin"	1	nil	"low"	350	0	30	150	25	0	5	"low"	nil	nil	false	false	0.2	30	2	nil	5	0	"gun"	"large"	"CannonFire"	nil	"default_ball"	"cannon"
"naval_24_pounder_grape"	"naval"	"grape"	"small_ball"	"projectile_grapeshot"	nil	"alpha_bullet"	"none"	10	nil	"low"	150	0	30	100	0	10	0.99	"low"	"low"	"impact_light"	false	false	0.05	30	2	nil	0.1	0	"gun"	"small"	"CannonFire"	nil	"naval_grape"	"cannon"
"naval_24_pounder_shot"	"naval"	"round_shot"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	nil	"low"	450	0	30	150	0	0	24	"high"	"low"	"impact"	true	false	0.2	30	2	nil	0.17	1	"gun"	"large"	"CannonFire"	nil	"default_ball"	"cannon"
"naval_24_pounder_shot_rifled"	"naval"	"rifled_naval_cannon"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	"n"	"low"	450	0	30	150	50	0	24	"high"	"low"	"impact"	true	false	0.2	30	2	nil	0.17	1	"gun"	"large"	"CannonFire"	nil	"default_ball"	"cannon"
"naval_24_pounder_shot_uniform"	"naval"	"uniform_shot"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	nil	"low"	450	0	30	150	0	0	32	"high"	"low"	"impact"	true	false	0.2	18	2	nil	0.17	1	"gun"	"large"	"CannonFire"	nil	"default_ball"	"cannon"
"naval_32_pounder_chain"	"naval"	"chain"	"chain"	"projectile_chainshot02"	nil	"alpha"	"chain_shot_spin"	1	"n"	"low"	350	0	30	150	25	0	5	"low"	nil	nil	false	false	0.2	30	2	nil	5	0	"gun"	"large"	"CannonFire"	nil	"default_ball"	"cannon"
"naval_32_pounder_grape"	"naval"	"grape"	"small_ball"	"projectile_grapeshot"	nil	"alpha_bullet"	"none"	10	"n"	"low"	150	0	30	100	0	10	0.99	"low"	"low"	"impact_light"	false	false	0.05	30	2	nil	0.1	0	"gun"	"small"	"CannonFire"	nil	"naval_grape"	"cannon"
"naval_32_pounder_shot"	"naval"	"round_shot"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	nil	"low"	450	0	30	150	0	0	32	"high"	"low"	"impact"	true	false	0.2	30	2	nil	0.17	1	"gun"	"large"	"CannonFire"	nil	"default_ball"	"cannon"
"naval_32_pounder_shot_rifled"	"naval"	"rifled_naval_cannon"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	"n"	"low"	450	0	30	150	50	0	32	"high"	"low"	"impact"	true	false	0.2	30	2	nil	0.17	1	"gun"	"large"	"CannonFire"	nil	"default_ball"	"cannon"
"naval_32_pounder_shot_uniform"	"naval"	"uniform_shot"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	nil	"low"	450	0	30	150	0	0	32	"high"	"low"	"impact"	true	false	0.2	18	2	nil	0.17	1	"gun"	"large"	"CannonFire"	nil	"default_ball"	"cannon"
"naval_42_pounder_chain"	"naval"	"chain"	"chain"	"projectile_chainshot02"	nil	"alpha"	"chain_shot_spin"	1	"n"	"low"	350	0	30	150	25	0	12	"low"	nil	nil	false	false	0.2	30	2	nil	5	0	"gun"	"large"	"CannonFire"	nil	"default_ball"	"cannon"
"naval_42_pounder_grape"	"naval"	"grape"	"small_ball"	"projectile_grapeshot"	nil	"alpha_bullet"	"none"	10	"n"	"low"	150	0	30	100	0	10	0.99	"low"	"low"	"impact_light"	false	false	0.05	30	2	nil	0.1	0	"gun"	"small"	"CannonFire"	nil	"naval_grape"	"cannon"
"naval_42_pounder_shot"	"naval"	"round_shot"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	"n"	"low"	450	0	30	150	0	0	80	"high"	"low"	"impact"	true	false	0.2	30	2	nil	0.17	1	"gun"	"large"	"CannonFire"	nil	"default_ball"	"cannon"
"naval_42_pounder_shot_rifled"	"naval"	"rifled_naval_cannon"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	"n"	"low"	450	0	30	150	50	0	80	"high"	"low"	"impact"	true	false	0.2	30	2	nil	0.17	1	"gun"	"large"	"CannonFire"	nil	"default_ball"	"cannon"
"naval_6_pounder_chain"	"naval"	"chain"	"chain"	"projectile_chainshot01"	nil	"alpha"	"chain_shot_spin"	1	"n"	"low"	300	0	30	150	25	0	4	"low"	nil	nil	false	false	0.2	30	2	nil	5	0	"gun"	"medium"	"CannonFire"	nil	"default_ball"	"cannon"
"naval_6_pounder_chain_lr"	"naval"	"canister"	"chain"	"projectile_chainshot01"	nil	"alpha"	"chain_shot_spin"	1	"n"	"low"	350	0	30	150	25	0	6	"low"	nil	nil	false	false	0.2	30	2	nil	8	0	"gun"	"medium"	"CannonFire"	nil	"default_ball"	"cannon"
"naval_6_pounder_grape"	"naval"	"grape"	"small_ball"	"projectile_grapeshot"	nil	"alpha_bullet"	"none"	10	"n"	"low"	150	0	30	100	0	10	0.99	"low"	"low"	"impact_light"	false	false	0.05	30	2	nil	0.1	0	"gun"	"small"	"CannonFire"	nil	"naval_grape"	"cannon"
"naval_6_pounder_shot"	"naval"	"round_shot"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	nil	"low"	450	0	30	150	0	0	6	"medium"	"low"	"impact"	true	false	0.2	30	2	nil	0.17	1	"gun"	"medium"	"CannonFire"	nil	"default_ball"	"cannon"
"naval_6_pounder_shot_lr"	"naval"	"round_shot"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	"n"	"low"	500	0	30	150	0	0	6	"medium"	"low"	"impact"	true	false	0.2	30	2	nil	0.17	1	"gun"	"medium"	"CannonFire"	nil	"default_ball"	"cannon"
"naval_6_pounder_shot_lr_rifled"	"naval"	"rifled_naval_cannon"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	"n"	"low"	500	0	30	150	50	0	6	"medium"	"low"	"impact"	true	false	0.2	30	2	nil	0.17	1	"gun"	"medium"	"CannonFire"	nil	"default_ball"	"cannon"
"naval_6_pounder_shot_lr_uniform"	"naval"	"uniform_shot"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	nil	"low"	500	0	30	150	0	0	18	"high"	"low"	"impact"	true	false	0.2	18	2	nil	0.17	1	"gun"	"large"	"CannonFire"	nil	"default_ball"	"cannon"
"naval_6_pounder_shot_rifled"	"naval"	"rifled_naval_cannon"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	"n"	"low"	450	0	30	150	50	0	6	"high"	"low"	"impact"	true	false	0.2	30	2	nil	0.17	1	"gun"	"medium"	"CannonFire"	nil	"default_ball"	"cannon"
"naval_6_pounder_shot_uniform"	"naval"	"uniform_shot"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	nil	"low"	450	0	30	150	0	0	18	"high"	"low"	"impact"	true	false	0.2	18	2	nil	0.17	1	"gun"	"large"	"CannonFire"	nil	"default_ball"	"cannon"
"naval_9_pounder_chain"	"naval"	"chain"	"chain"	"projectile_chainshot01"	nil	"alpha"	"chain_shot_spin"	1	nil	"low"	300	0	30	150	25	0	4	"low"	nil	nil	false	false	0.2	30	2	nil	5	0	"gun"	"medium"	"CannonFire"	nil	"default_ball"	"cannon"
"naval_9_pounder_chain_lr"	"naval"	"chain"	"chain"	"projectile_chainshot01"	nil	"alpha"	"chain_shot_spin"	1	"n"	"low"	350	0	30	150	25	0	6	"low"	nil	nil	false	false	0.2	30	2	nil	8	0	"gun"	"medium"	"CannonFire"	nil	"default_ball"	"cannon"
"naval_9_pounder_grape"	"naval"	"grape"	"small_ball"	"projectile_grapeshot"	nil	"alpha_bullet"	"none"	10	nil	"low"	150	0	30	100	0	10	0.99	"low"	"low"	"impact_light"	false	false	0.05	30	2	nil	0.1	0	"gun"	"small"	"CannonFire"	nil	"naval_grape"	"cannon"
"naval_9_pounder_shot"	"naval"	"round_shot"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	nil	"low"	450	0	30	150	0	0	9	"medium"	"low"	"impact"	true	false	0.2	30	2	nil	0.17	1	"gun"	"large"	"CannonFire"	nil	"default_ball"	"cannon"
"naval_9_pounder_shot_lr"	"naval"	"round_shot"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	"n"	"low"	500	0	30	150	0	0	9	"medium"	"low"	"impact"	true	false	0.2	30	2	nil	0.17	1	"gun"	"large"	"CannonFire"	nil	"default_ball"	"cannon"
"naval_9_pounder_shot_lr_rifled"	"naval"	"rifled_naval_cannon"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	"n"	"low"	500	0	30	150	50	0	9	"medium"	"low"	"impact"	true	false	0.2	30	2	nil	0.17	1	"gun"	"large"	"CannonFire"	nil	"default_ball"	"cannon"
"naval_9_pounder_shot_lr_uniform"	"naval"	"uniform_shot"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	nil	"low"	500	0	30	150	0	0	18	"high"	"low"	"impact"	true	false	0.2	18	2	nil	0.17	1	"gun"	"large"	"CannonFire"	nil	"default_ball"	"cannon"
"naval_9_pounder_shot_rifled"	"naval"	"rifled_naval_cannon"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	"n"	"low"	450	0	30	150	50	0	9	"high"	"low"	"impact"	true	false	0.2	30	2	nil	0.17	1	"gun"	"large"	"CannonFire"	nil	"default_ball"	"cannon"
"naval_9_pounder_shot_uniform"	"naval"	"uniform_shot"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	nil	"low"	450	0	30	150	0	0	18	"high"	"low"	"impact"	true	false	0.2	18	2	nil	0.17	1	"gun"	"large"	"CannonFire"	nil	"default_ball"	"cannon"
"naval_carronade_32_chain"	"naval"	"chain"	"chain"	"projectile_chainshot01"	nil	"alpha"	"chain_shot_spin"	1	"n"	"low"	200	0	30	150	0	0	10	"low"	nil	nil	false	false	0.2	30	2	nil	5	0	"gun"	"large"	"CannonFire"	nil	"default_ball"	"cannon"
"naval_carronade_32_grape"	"naval"	"grape"	"small_ball"	"projectile_grapeshot"	nil	"alpha_bullet"	"none"	10	"n"	"low"	125	0	30	100	0	10	0.99	"low"	"low"	"impact_light"	false	false	0.05	30	2	nil	0.17	0	"gun"	"small"	"CannonFire"	nil	"naval_grape"	"cannon"
"naval_carronade_32_shot"	"naval"	"round_shot"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	nil	"low"	250	0	30	150	0	0	42	"high"	"low"	nil	true	false	0.2	30	2	nil	0.17	1	"gun"	"large"	"CannonFire"	nil	"default_ball"	"cannon"
"naval_carronade_64_chain"	"naval"	"chain"	"chain"	"projectile_chainshot02"	nil	"alpha"	"chain_shot_spin"	1	"n"	"low"	200	0	30	150	0	0	20	"low"	nil	nil	false	false	0.2	30	2	nil	5	0	"gun"	"large"	"CannonFire"	nil	"default_ball"	"cannon"
"naval_carronade_64_grape"	"naval"	"grape"	"small_ball"	"projectile_grapeshot"	nil	"alpha_bullet"	"none"	10	"n"	"low"	125	0	30	100	0	10	0.99	"low"	"low"	"impact_light"	false	false	0.05	30	2	nil	0.17	0	"gun"	"small"	"CannonFire"	nil	"naval_grape"	"cannon"
"naval_carronade_64_shot"	"naval"	"round_shot"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	nil	"low"	250	0	30	150	0	0	51	"high"	"low"	nil	true	false	0.2	30	2	nil	0.17	1	"gun"	"large"	"CannonFire"	nil	"default_ball"	"cannon"
"naval_mortar_shell"	"naval"	"explosive_shell"	"cannon_ball"	"projectile_cannonbal"	"naval_mortar_shell"	"alpha"	"shell_spin"	1	"shrapnel"	"fixed"	750	225	45	100	500	0	32	"high"	"high"	"explode"	false	false	0.2	30	2	nil	0.5	2	"gun"	"large"	"LandGunFire_mortar"	nil	"default_ball"	"naval_mortar"
"naval_mortar_shell_fragment"	"missile"	"fragment"	"shrapnel"	"projectile_fragment01"	nil	"alpha"	"none"	1	"n"	"low"	200	0	0	90	0	0	32	"high"	"low"	"impact"	false	false	0.1	0	0	nil	0.5	2	"boom"	"large"	nil	nil	"default_ball"	"none"
"naval_mortar_shot"	"naval"	"round_shot"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	nil	"fixed"	750	225	45	100	0	0	46	"high"	"low"	"impact"	true	false	0.2	33	2	nil	0.17	1	"gun"	"large"	"LandGunFire_mortar"	nil	"default_ball"	"naval_mortar"
"ottoman_great_cannon_12_shot"	"missile"	"round_shot"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	12	"n"	"low"	400	0	15	175	75	9	12	"high"	"low"	"impact"	true	false	0.2	60	12	nil	0.1	0	"gun"	"large"	"LandGunFire_large"	nil	"default_ball"	"cannon"
"pistol"	"missile"	"bullet"	"bullet"	"projectile_musketball"	nil	"alpha_bullet"	"none"	1	nil	"low"	40	0	80	80	0	0	0.99	"ap"	nil	nil	false	false	0.1	10	2	"medium"	0.1	0	"small_arm"	"small"	"pistolFire"	nil	"musket_ball"	"pistol"
"puckle"	"missile"	"bullet"	"bullet"	"projectile_musketball"	nil	"alpha_bullet"	"none"	1	nil	"low"	150	0	30	150	0	0	3	"effective_range_based"	nil	nil	false	false	0.1	6	6	"medium"	0.1	0	"small_arm"	"medium"	"LandGunFire_small"	nil	"musket_ball"	"puckle"
"quicklime_fragment"	"missile"	"fragment"	"shrapnel"	"projectile_fragment01"	nil	"alpha"	"none"	1	"n"	"low"	50	0	90	4	0	0	0.99	"low"	nil	nil	false	true	0.1	0	0	"medium"	1	0	"boom"	"none"	nil	"quicklime_fragment_trail"	"default_ball"	"none"
"rockets"	"rocket"	"rocket"	"rocket"	"projectile_rocket"	"rocket"	"alpha"	"none"	1	nil	"rocket"	750	150	44	100	50	0	6	"ap"	"high"	"explode"	false	false	0.3	15	2	"medium"	1	0	"rocket"	"large"	nil	"congreve_rocket"	"musket_ball"	"rockets"
"rockets_naval"	"naval"	"rocket"	"rocket"	"projectile_rocket"	"rocket_naval"	"e3_rocket"	"none"	1	nil	"rocket"	750	100	44	100	0	15	32	"ap"	"high"	"explode"	false	false	0.3	20	2	"medium"	2	0	"rocket"	"large"	nil	"congreve_rocket"	"musket_ball"	"rockets_naval"
"rockets_naval_fragment"	"missile"	"fragment"	"shrapnel"	"projectile_fragment01"	nil	"e3_rocket"	"none"	1	"n"	"low"	200	0	360	60	0	0	32	"high"	"high"	nil	false	false	0.0009999999310821295	0	0	nil	4	2	"gun"	"large"	nil	nil	nil	"none"
"shell_fragment"	"missile"	"fragment"	"shrapnel"	"projectile_fragment01"	nil	"alpha_shrapnel"	"none"	1	nil	"low"	20	0	90	30	0	0	0.65	"effective_range_based"	nil	nil	true	true	0.07	0	0	nil	0.1	0	"boom"	"small"	nil	"shrapnel_trail"	"musket_ball"	"none"
"ship_explosion_fragment"	"missile"	"fragment"	"shrapnel"	nil	nil	"none"	"none"	1	"n"	"low"	150	0	1	20	0	0	5000	"high"	"high"	nil	false	false	0.1	0	0	"medium"	4	2	"boom"	"small"	nil	nil	"default_ball"	"none"
"ship_explosion_fragment_visual"	"missile"	"fragment"	"shrapnel"	"projectile_fragment01"	nil	"e3_rocket"	"none"	1	"n"	"high"	150	0	1	30	0	0	0	nil	nil	nil	false	false	0.5	0	0	"medium"	0	0	"boom"	"small"	nil	"ship_explosion_fragment_trail"	nil	"none"
"shrapnel"	"missile"	"fragment"	"shrapnel"	"projectile_fragment01"	nil	"alpha_shrapnel"	"none"	1	nil	"low"	120	0	90	6	0	0	1.1	"effective_range_based"	nil	nil	false	false	0.1	0	0	nil	0.1	0	"boom"	"small"	nil	nil	"musket_ball"	"none"
"siege_cannon_64_pounder_shot"	"artillery"	"round_shot"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	nil	"low"	600	0	30	125	50	0	70	"high"	"low"	"impact"	true	false	0.1	40	0	nil	0.1	0	"boom"	"large"	"LandGunFire_large"	nil	"default_ball"	"cannon"
"siege_cannon_64_pounder_shrapnel"	"artillery"	"shrapnel"	"shrapnel"	"projectile_cannonbal"	"shrapnel_64lb"	"alpha"	"none"	1	"shrapnel"	"low"	600	0	20	125	0	0	8	"low"	nil	"impact_light"	false	false	0.1	30	0	nil	0.2	0	"gun"	"large"	"LandGunFire_large"	nil	"default_ball"	"cannon"
"throwing_axe"	"missile"	"throwing_axe"	"axe"	"projectile_tomahawk"	nil	"none"	"axe_spin"	1	nil	"low"	40	0	30	30	0	0	0.99	nil	nil	nil	false	false	0.1	8	0	nil	0.1	0	"flight"	"small"	nil	nil	"musket_ball"	"none"
"tutorial_cannister"	"artillery"	"canister"	"bullet"	"projectile_musketball"	nil	"alpha_bullet"	"none"	50	"n"	"low"	100	0	30	75	0	8	0.99	nil	nil	nil	false	false	0.1	30	0	nil	0.2	0	"gun"	"small"	"LandGunFire_canister"	nil	"musket_ball"	"cannon"
"tutorial_shot"	"artillery"	"round_shot"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	"n"	"low"	100	0	30	125	0	0	42	"high"	"low"	"impact"	true	false	0	10	0	nil	0.1	0	"gun"	"large"	"LandGunFire"	nil	"default_ball"	"cannon"
"unicorn_10_pounder_canister"	"artillery"	"canister"	"bullet"	"projectile_musketball"	nil	"alpha_bullet"	"none"	35	nil	"low"	100	25	15	150	0	4	0.99	"effective_range_based"	nil	nil	false	false	0.1	25	0	nil	0.2	0	"gun"	"small"	"LandGunFire_canister"	nil	"musket_ball"	"howitzer"
"unicorn_10_pounder_shell"	"artillery"	"explosive_shell"	"cannon_ball"	"projectile_cannonbal"	"shell_12lb"	"alpha"	"shell_spin"	1	"shrapnel"	"fixed"	450	100	20	200	-50	0	18	"high"	"medium"	"explode"	false	false	0.1	25	0	nil	0.2	0	"gun"	"large"	"LandGunFire_howitzer"	nil	"default_ball"	"howitzer"
"unicorn_20_pounder_canister"	"artillery"	"canister"	"bullet"	"projectile_musketball"	nil	"alpha_bullet"	"none"	50	nil	"low"	100	25	15	150	0	6	0.99	"effective_range_based"	nil	nil	false	false	0.1	25	0	nil	0.2	0	"gun"	"small"	"LandGunFire_canister"	nil	"musket_ball"	"howitzer"
"unicorn_20_pounder_shell"	"artillery"	"explosive_shell"	"cannon_ball"	"projectile_cannonbal"	"shell_24lb"	"alpha"	"shell_spin"	1	"shrapnel"	"fixed"	550	100	20	200	-50	0	27	"high"	"medium"	"explode"	false	false	0.1	25	0	nil	0.2	0	"gun"	"large"	"LandGunFire_howitzer"	nil	"default_ball"	"howitzer"
"musket_rifle_carbine"	"missile"	"bullet"	"bullet"	"projectile_musketball"	nil	"alpha_bullet"	"none"	1	nil	"low"	125	0	88	200	-25	0	0.75	"ap"	nil	nil	false	false	0.1	45	1	"medium"	0.1	0	"small_arm"	"small"	"rifleFire"	nil	"musket_ball"	"musket"
